start,end,text
0,5440," Hello everyone and welcome to yet another recreational programming session with Mr. Azudin."
5440,11480," So I just realized that I haven't been developing my chatbot for quite some time and chatbot is"
11480,16040," this thing that is sitting in the Twitch chat and not only Twitch chat also Discord chat."
16040,20520," It's actually the same program. It's actually the same program. It just listens to two streams,"
20520,25600," right? So one from Twitch and another one from Discord and just responds to the command, right?"
25600,30100," So, and this is the thing that responds to this kind of commands. It has different kind of"
30100,35120," commands. I think it also has a weather command. You can check your weather. It calls to a separate"
35120,38960," service, which is down probably right now. As you can see, it doesn't respond at all."
38960,44280," Though the bot is actually, oh yeah, so okay, as you can see, it actually responded. So it has"
44280,50120," like a lot of different commands and it's kind of cool, right? So, and I kind of abandoned development"
50120,57320," of this chatbot for quite some time because I was busy with different things. And today I've got an"
57320,66140," interesting idea. What if I integrate a text editor into the chatbot? Right. So there is this text editor"
66140,73240," called ed, right? So some of the Linux nerds know about this text editor, but hyper-oriented developers"
73240,78380," that only heard about Visual Studio Code and the latest JavaScript framework, they probably never heard"
78380,86620," about this text editor. Right. So it's a text editor that is sort of like a predecessor to Vim and a lot of"
86620,95740," weirdness of Vim are actually based on the shortcuts of ed. ed is sort of like the original Unix editor"
95740,102860," that Ken Thompson developed, right? So this one by GNU is actually not the one, not the original one,"
102860,109740," right? So it's a re-implementation of GNU, but it is inspired and kind of like based on the original text"
109740,114780," editor for Unix. And what's interesting about this text editor is that it's not interactive,"
114780,121820," not visual, I would say. It is interactive, but it is not visual. When you start ed, this is it."
123100,128700," You may think that it kind of stuck in some sort of loop. No, no, this is the editor actually."
128700,134780," Right. So, and if you try to just do something, it always responds with question mark."
134780,140860," Right. Like, it's just like, no matter what, you can't even quit it. You try controls, you can't,"
140860,145900," it's even worse than Vim. You know the meme, like, how do I quit Vim? Try to quit this shit."
147260,155900," Right. So the way you quit it is you put Q. Sounds familiar, isn't it? Okay. Kind of said,"
155900,164220," Q and stuff like that. Again, a lot of weirdness of Vim is based on ed. Like, in fact, a lot of"
164220,170380," shortcuts of ed, right, are kind of like Vim. Right. So let's actually experiment with it. So let's"
170380,177420," actually try to write a simple hello world in it. I'm going to go to somewhere like here, like ed"
177420,182380," hello world. Right. So this is going to be ed hello world. And the way you do that, you just like do it"
182380,186700," like that. You open the file and there you go. The file has been opened. It doesn't exist yet,"
186700,193020," but it has been opened nonetheless. So to go into the insertion mode, there's several modes in here."
193020,199260," There's a command mode and insertion mode. Sounds familiar, right? You press A. It doesn't even"
199260,204620," respond to anything. Right. So that's how weird it is. You just have to know how to use this editor."
204620,211500," Right. So you press A and now everything you type is going to go into the file, into the buffer,"
211500,218700," into the current buffer. Right. So let's actually include stdio. Right. So let's create a main"
218700,228220," function. Right. And let's do hello world. So here is hello world like this. And let's also return,"
