start,end,text
0,29980," We'll be right back."
30000,59980," We'll be right back."
60000,89980," We'll be right back."
90000,119980," We'll be right back."
120000,149980," We'll be right back."
150000,179980," We'll be right back."
180000,209980," We'll be right back."
210000,239980," We'll be right back."
239980,269960," We'll be right back."
269960,299940," We'll be right back."
299940,329920," We'll be right back."
329920,359900," We'll be right back."
359920,389900," We'll be right back."
389920,419900," We'll be right back."
419920,449900," We'll be right back."
449920,479900," We'll be right back."
479900,509880," We'll be right back."
509880,539860," We'll be right back."
539880,569860," We'll be right back."
569860,599840," We'll be right back."
599860,629840," We'll be right back."
629840,659820," We'll be right back."
659820,689800," We'll be right back."
689800,719780," We'll be right back."
719780,749760," We'll be right back."
749760,779740," We'll be right back."
779740,809720," We'll be right back."
809720,839700," We'll be right back."
839700,869680," We'll be right back."
869680,899660," We'll be right back."
899660,929640," We'll be right back."
929640,959620," We'll be right back."
959620,989600," We'll be right back."
989600,1019580," We'll be right back."
1019580,1049560," We'll be right back."
1049560,1079540," We'll be right back."
1079540,1109520," We'll be right back."
1109520,1139500," We'll be right back."
1139500,1169480," We'll be right back."
1169480,1199460," We'll be right back."
1199460,1229440," We'll be right back."
1229440,1259420," We'll be right back."
1259420,1289400," We'll be right back."
1289400,1319380," We'll be right back."
1319400,1349380," We'll be right back."
1349380,1379360," We'll be right back."
1379360,1409340," We'll be right back."
1409340,1439320," We'll be right back."
1439320,1469300," We'll be right back."
1469300,1499280," We'll be right back."
1499280,1529260," We'll be right back."
1529260,1559240," We'll be right back."
1559240,1589220," We'll be right back."
1589220,1619200," We'll be right back."
1619200,1649180," We'll be right back."
1649180,1679160," We'll be right back."
1679160,1709140," We'll be right back."
1709140,1739120," We'll be right back."
1739120,1769100," We'll be right back."
1769100,1799080," We'll be right back."
1799080,1829060," We'll be right back."
1829060,1859040," We'll be right back."
1859040,1889020," We'll be right back."
1889020,1919000," We'll be right back."
1919000,1948980," We'll be right back."
1948980,1978960," We'll be right back."
1978960,2008940," We'll be right back."
2008940,2038920," We'll be right back."
2038920,2068900," We'll be right back."
2068900,2098880," We'll be right back."
2098880,2128860," We'll be right back."
2128860,2158840," We'll be right back."
2158840,2188820," We'll be right back."
2188820,2218800," We'll be right back."
2218800,2248780," We'll be right back."
2248780,2278760," We'll be right back."
2278760,2308740," We'll be right back."
2308740,2338720," We'll be right back."
2338720,2368700," We'll be right back."
2368700,2398680," We'll be right back."
2398680,2428660," We'll be right back."
2428660,2458640," We'll be right back."
2458640,2488620," We'll be right back."
2488620,2518600," We'll be right back."
2518600,2548580," We'll be right back."
2548580,2578560," We'll be right back."
2578560,2608540," We'll be right back."
2608540,2638520," We'll be right back."
2638520,2668500," We'll be right back."
2668500,2698480," We'll be right back."
2698480,2728460," We'll be right back."
2728460,2758440," We'll be right back."
2758440,2788420," We'll be right back."
2788420,2818400," We'll be right back."
2818400,2848380," We'll be right back."
2848380,2878360," We'll be right back."
2878360,2908340," We'll be right back."
2908340,2938320," We'll be right back."
2938320,2968300," We'll be right back."
2968300,2998280," We'll be right back."
2998280,3028260," We'll be right back."
3028260,3058240," We'll be right back."
3058240,3088220," We'll be right back."
3088220,3118200," We'll be right back."
3118200,3148180," We'll be right back."
3148180,3178160," We'll be right back."
3178160,3208140," We'll be right back."
3208140,3238120," We'll be right back."
3238120,3268100," We'll be right back."
3268100,3298080," We'll be right back."
3298080,3328060," We'll be right back."
3328060,3358040," We'll be right back."
3358040,3388020," We'll be right back."
3388020,3418000," We'll be right back."
3418000,3447980," We'll be right back."
3447980,3477960," We'll be right back."
3477960,3507940," We'll be right back."
3507940,3537920," We'll be right back."
3537920,3567900," We'll be right back."
3567900,3597880," We'll be right back."
3597880,3627860," We'll be right back."
3627860,3657840," We'll be right back."
3657840,3687820," We'll be right back."
3687820,3717800," We'll be right back."
3717800,3747780," We'll be right back."
3747780,3777760," We'll be right back."
3777760,3807740," We'll be right back."
3807740,3837720," We'll be right back."
3837720,3867700," We'll be right back."
3867700,3897680," We'll be right back."
3897680,3927660," We'll be right back."
3927660,3957640," We'll be right back."
3957640,3987620," We'll be right back."
3987620,4017600," We'll be right back."
4017600,4047580," We'll be right back."
4047580,4077560," We'll be right back."
4077560,4107540," We'll be right back."
4107540,4137520," We'll be right back."
4137520,4167500," We'll be right back."
