start,end,text
880,29640," Hello, and welcome to another Zorzin session. How about that? So I have a breaking news for you guys. Python is slow. So yeah, basically, we've been developing our own programming language for the past like three weeks. And we're developing this programming language in in Python, as you can see. So yeah, it's kind of weird. I know developing the programming language in Python, but that's what we're doing."
30000,59980," And to be fair, the specific language we're using for doing that doesn't really matter because we're generating assembly code anyway. So the final result is actually quite fast, right? So it doesn't matter what's the host, like how fast the host language is, it only affects the the process of compilation, how fast the compilation go, but the final result is just actually unaffected by the by the host language. But here's the interesting thing. On top of the compilation,"
60000,89980," simulation mode, our language also has a simulation mode. And I think simulation is actually quite bad name for the for for this, I rather mean emulation. So what it does, instead of compiling the program, it emulates the program, essentially, it interprets it. So we're interpreting a language using an interpreted language. And that is unsurprisingly, very slow. But I didn't realize how slow that is until recently,"
89980,104980," until we try to use this language for solving project Euler problems. For those who doesn't know project Euler is basically a collection of computer, computer science problems, right, you can find this thing in the description, I'm going to put it in the description."
104980,109980," Right, so there you go, I'm going to put a lot of things in the description. So you can find the source code of the language we're developing also here. And we already accumulated like a good playlist of the series of me developing this thing. So in here is the project Euler. And honestly, I'm going to also put the link to the stream where we were solving the project Euler problems. So project Euler"
109980,116980," Euler solving stream, right, right, so all that is going to be in the description, right, so all that is going to be in the description. So I'm going to put the link to the stream where we were solving the project Euler problems. So project Euler solving stream, right, so all that is going to be in the description."
116980,124220," good playlist of the series of me developing this thing. So in here is the project Euler. And"
124220,131440," honestly, I'm going to also put the link to the stream where we were solving the project Euler"
131440,139460," problems. So project Euler solving stream, right? So all of that is going to be in the description."
140280,146680," All right, so and we are solving the fourth problem, right? The specifics of this problem"
146680,156420," doesn't really matter. What matters is that we have two nested loops, right? So from 100 to 1000,"
156420,165500," right? So essentially, yeah, like roughly 1000 of iterations, 900 iterations. And inside of that loop,"
165680,172380," we have additional loop, which basically factorizes the number, right? So we have essentially three"
172380,180520," nested loops. And let's take a look at how fast this program runs, actually, right? So let's go ahead"
180520,188020," and compile that program. So this is going to be example and problem fourth. Actually, that example"
188020,196720," is actually Euler problem fourth, fourth. All right, so this is how quickly it compiled and then run."
196720,201840," Right. So as you can see, we generated assembly code, we compile the assembly code, and then we link it into"
201840,206980," the program. And then we run the program, we can run the program separately without the process of"
206980,214780," compilation just to time it. Right. So the expected result is 906609. Right. And if we time this entire"
214780,221860," time, I think it's relatively fast, could have been faster, but it's usually does not exceed 200 seconds,"
221860,231340," at milliseconds, 200 milliseconds. So and we can try to simulate that program, right? So a simulation will"
231340,236140," essentially not compile it will it will just try to interpret this program. And let's see how much time it"
236140,243900," will take to do. So I'm going to put a sim in here, and I'm going to put the time in here. And so it will go,"
243900,254060," if I remember correctly, like for five minutes, roughly 150 milliseconds, five minutes, to be fair,"
254060,261100," five minutes is actually pretty long time. So let's make a small cut and just like jump straight into"
261100,269660," this thing being finished. Holy moly, it actually took eight minutes instead of expected five, it took five"
269660,274780," minutes when I was not running OBS, but with OBS, it actually added like three extra minutes."
274780,280860," Okay, so as you can see, the program actually still works correctly, it produces the same result, it's just"
280860,288700," extremely slow. As a matter of fact, like it's like magnitude slower, and I never actually experienced the"
288700,296700," simulation mode being that slow. So the discrepancy was there, but it was not that many magnitudes. So"
296700,303100," there's something really, really fishy going on in here. And to be fair, like the the performance of"
303100,309980," the simulation mode got so bad, to the point that I don't consider it useful anymore. And it was like,"
309980,316460," seriously thinking to completely remove it from the language. But here's the thing, I think the simulation"
316460,323340," simulation mode by itself, like Python, and like, you know, performance aside is a very useful thing, because"
323340,328860," you're essentially executing the program in a sandbox environment, and you have a full control of that"
328860,335100," environment. And you can, for instance, gather some interesting metrics about the program you're running"
335100,341660," without compiling it or without, you know, using something platform dependent, right. So it's actually a pretty cool"
341660,350300," sandbox that can give you a lot of insights into the into your program that you're simulating. And so"
350300,358620," here's another thing that something is fish is going on. I think Droka, one of my viewers actually"
358620,364940," rewrote the simulation mode just for shits and giggles in Go. Right, so I'm going to put their"
366540,379420," their implementation in description. So here it is. So Porth simulation in Go. Right, so this is where"
379420,385580," we're going to have here. And here's an interesting thing for a thing for rule 110 specifically, right,"
385580,393740," so we have a bunch of examples for a written in our language. So for all 110, the simulation in Python was"
393740,400780," four seconds. But when we're written in Go, it actually went down to 26 milliseconds, right,"
400780,408860," dramatically faster. So basically, the problem is probably with Python somewhere. So if we used like"
408860,414220," a different language, we wouldn't have to remove the simulation mode and simulation mode would have been"
414220,423420," feasible. Right. So what I decided to do, I decided to try to look into how we implement the simulation"
423420,430780," mode in Python, and see if we can improve something, right, and see if there is any particular operation"
430780,435980," within the simulation mode that is extremely slow, some like maybe some sort of a bottleneck that we can"
435980,442060," fix and improve the performance of this thing overall. So and let's take a look at it. Let's take a look at"
442060,449660," how the simulation is implemented generally. So it's implemented in a function called simulation,"
449660,455980," actually simulate little endian Linux, right, it accepts a program, a sequence of operations or a"
455980,462380," sequence of instructions of a bytecode, and just iterates over them. And it has a huge switch case and"
462380,469980," just interprets them, right. So and what I wanted to do, I wanted to add some sort of instrumentation"
469980,477260," for each individual operation and each individual intrinsic. And just gather how many times a particular"
477260,485420," operation was executed to just see what's the hottest operation for that specific program. And also maybe"
485420,493500," gather some timing, right, so for like, how much time the program spent executing that instruction and that"
493500,502300," intrinsic. And maybe if we run it for the problem 04, we'll gather enough insights to actually see where"
502300,509500," the problem, right. So maybe there is one particular operation here that is extremely slow. And if we fix and"
509500,514860," speed up that instruction, the simulation mode overall is going to become faster, right, so but we don't"
514860,520380," know what that instruction yet. So to to know that instruction, we need to do some some measurements,"
520380,528780," right. So how are we going to be doing measurements, let's actually create some sort of a table. All right, so"
531020,539100," OP stats, right. So I want this thing to be some sort of a dictionary that maps OP type to, let's say, an"
539100,545180," integer, and this is going to be essentially a counter how many times a particular operation has been executed."
545180,552620," So as far as I know, dictionary is not particularly convenient, because it doesn't really have a default"
552620,560220," value, does it? Maybe we can make it have a default value, maybe we can pre initialize it with default"
560220,565980," values or something. So if I have something like this, and if I query something that doesn't exist,"
565980,572620," it will essentially tell me, well, basically throw an exception, I cannot just do a plus one and assume"
572620,578380," that it's going to be defaulted to zero, maybe there is a way to do a default. I remember there was something"
578380,584620," like set default. But I don't quite remember how to use that. Can I just set default to zero, right,"
584620,594140," and then just do plus one? Probably doesn't work like this. So luckily, operation type is enumeration."
594140,600540," So one of the things we can do, we can probably make this entire thing at least, right, we're going to be"
600540,609980," making it a list. And then we're going to create a list of the size of the operation types, right. So"
609980,616780," operation types, as you can see, class or P type is enumeration. And if you take a length of this"
616780,623420," thing, it will give you this thing, it will give you eight, eight enumeration values. So we can create"
623420,631740," the list. And now we should be able to access the OP stats by doing something like OP type, right,"
631740,637180," so by doing something like OP type, and then do plus one, because all of them are initialized with zero."
637180,643260," I think it's actually kind of useful. Okay, so I think it would make sense to actually"
643260,651260," bump the operation counter at the end of the iteration or after the types are checked correctly."
651260,658860," And we're trying to get a statistic for non existing operation. So this is where we're going to be"
658860,668380," doing all of that. Right. Oh, shit. Okay. So yeah, we have a pretty cool flag in here, a debug flag."
668380,676300," It's only enabled if you provide minus debug before the sub command of the compiler. So I think we're"
676300,681180," going to be printing the this stuff in the debug mode, right? So I'm not going to print"
