start,end,text
240,7440," looks like we're live hello everyone and welcome to yet another recreational programming session"
7440,13840," with Azuisin uh so let's make a little bit of announcement and officially start the stream as"
13840,23200," usual as usual uh so we're gonna do a red a circle uh live on twitch and what are we doing today on"
23200,32640," twitch.a television website so today we're doing windows development on linux that's right uh today"
32640,37200," is going to be the legendary stream that i've never done before i've never done anything like that"
37200,44080," before uh but we're gonna do that right so we're gonna be doing a windows development on linux so"
44080,50480," and i can hear you asking but zozin why would you do a development for this niche operating system for"
50480,57440," video games and stuff like that well i'll tell you right so i was working on my mutualizer right so"
57440,62400," the thing uh that we can visualize the music and produce high quality videos and stuff like that"
62400,68000," in fact i can show you how this entire looks like it actually looks pretty cool i'm super proud of this"
68000,75360," thing in fact i didn't know that i can produce such a cool looking results uh right this looks like it"
75360,80880," was created by an artist but then they look back to it and i was who created it it's just like so"
80880,88720," bizarre sometimes right so i'm super proud of this thing uh right so looks how it looks like so freaking"
88720,93920," awesome and then you can press f and it will start rendering the video right it will take some time so"
93920,98640," we're not going to do a full video so i'm going to just close it right away but yeah so uh if you want"
98640,105440," to watch how the final video looks like uh you can watch it on um you know on the github page right so"
105440,110160," you can watch it in here so i'm going to copy paste the source code to this thing uh to the chat and for"
110160,116480," people who are watching on youtube of course it is going to be in the description as usual as usual so"
116480,125280," here it is uh so um i basically upload it to github i publish the source code and then weird comments"
125280,130640," start to roll in things like but where is the windows support so you know when you're gonna do"
130640,137520," a windows port windows windows windows windows windows it's just like who still uses this niche"
137520,145200," operating system for video games in 2023 and apparently like i didn't freaking know that apparently there's"
145200,152160," like a huge community of people who still use that operating system like holy and apparently"
152160,158800," like i i have to actually port my programs to this weird operating system specifically designed for"
158800,165120," video games like i don't know why people don't use like a real operating systems right designed for"
165120,170720," real serious professional work why they're using operating system for silly video games i do not"
170720,175040," understand it's kind of weird to me but i mean i i don't judge right i don't judge"
175040,179440," if a lot of people chose this weird operating system for video games as the main operating system"
179440,186240," so be it so we'll have to port uh our mutualizer to windows as well"
186240,194080," so anyway obviously i'm joking right so just a disclaimer right so this is just a joke right"
194080,200800," because i actually seen people take my stance on you know niche uh operating system for video games too"
200800,206080," seriously like i'm obviously joking right i know it's the most used operating system on desktop i know"
206080,211520," that okay i'm not that dumb i'm not the smartest person on planet earth but i'm not that dumb"
211520,217840," okay right so anyway uh we need to have a windows support obviously right so because i want this"
217840,223360," application to be cross-platform and we're using primarily cross-platform dependencies so it should be"
223360,230400," relatively doable um right so the problem is i do not have windows well i do have windows on this machine"
230400,238640," actually i have windows 8 but uh setting up a streaming um things on that um operating system is"
238640,245120," kind of pain in ass look i did i didn't i didn't want to spend time on that so i decided uh what if i just"
245120,253280," try to port it to windows on linux by cross-compiling using min.gw you guys know what is a min.gw so"
253280,261120," it's actually a pretty cool project uh min.gw is basically a port of gcc uh that basically generates"
261120,265760," uh windows code i don't know why it's source code but there was a official website yeah this one i think i"
265760,272640," think that's the official website of min.gw so uh it's an advancement of the original min.gw oh so it's"
272640,277520," sort of like a min.gw2 electric boogaloo uh well"
277520,282400," well that's an advancement for sure"
282400,289760," just having a working website is already advancement of a previous version i do agree with that anyway"
289760,297040," so uh right and essentially what they did they ported gcc compiler to actually target windows system"
298160,304240," right so they now target windows systems as well and what's interesting is that this compiler since"
304240,311520," it targets windows system and generates like windows code but it's original gcc it can actually work on"
311520,317040," linux as well right so if you take a look at the downloads you will see not only windows like mcs i"
317040,324720," think mcs sort of like a distribution that comes with min.gw but you also see a linux right so essentially"
325280,334240," you can have a windows compiler windows compiler running on linux right so that's what you can do"
334240,341440," with min.gw so sitting on linux you can write windows code you can literally do include windows dot"
341440,349680," h right so you can literally do let me show you main let's see you can do include windows dot h and then the famous"
349680,355360," do you guys do you guys know this one win32 lin and min you can do this kind of crazy windows"
355360,362720," right this you usually do on the operating system for video games and sitting on linux you can compile it for windows"
362720,370640," oh yeah yeah so there's also i forgot about this like no min max i i don't know do you just do define no min max"
370640,376640," i don't remember i remember how to define it but i do remember uh something about min max right that collides with the standard min max"
376640,385600," standard min max so it's like yeah it's a mess windows api is a mess but to be fair it is as much of a mess as"
385600,394480," posix i feel like both posix and win api they're both mess but they're mess in a different way you know what"
394480,401680," i mean right so they're both kind of messy but slightly differently uh right and you can do like"
401680,411760," shot like that um so and you can compile it and you can produce actual pe executable on linux do you guys"
411760,421840," know what is a pe uh right so there is such thing as pe and there is such thing as adv right pe stands for i"
421840,429440," think it stands for portable executable right uh executable and elf stands for executable"
429440,437920," and linkable format right so both of these formats both of these formats they are designed for the same"
437920,445840," thing they are designed to hold the you know native instructions for executing so basically their format of"
445840,450720," the executable files that you run when you double clicking them so the only difference between them is"
450720,461440," that pe is for windows right so it's a windows and elf is for linux in fact it's for any unix posix uh and"
461440,470240," whatnot right so i think it's more it since it's supported primarily by unixes it's more widespread than pe right"
470240,476960," but but but in any case uh p is the windows executable format and elf is the linux unix posix executable"
476960,483680," format so as far as no macros and linux both use that format uh so anyway so and essentially uh you"
483680,492560," can take this program on linux and by calling mingw you can produce pe executable right you can produce"
492560,500080," the pe executable so and uh what i did i actually installed mingw and they actually come with this"
500080,505760," standard um in the standard repo of debian but the problem with mingw is that all its executable have"
506320,515040," um weird ass naming scheme that i can never fucking remember right it is so fucking painful the thing i"
515040,521360," have to do i have to go to user bin all right and essentially do ls and grab a grab for mingw"
523360,533280," ah yes x86 64 w64 mingw 32 g plus yeah yeah that one yeah so this is the executable that you need to go"
533280,543600," uh you see what i'm talking about right so uh essentially let's give it a try x86 64 um"
543600,551840," w64 mingw 32 uh a lot of numbers in here as you can see and i think we have to call gcc"
551840,558000," uh right there we go so it acts like gcc uh and it even says no input files and stuff like that"
558000,563360," so let's actually try to uh compile our application our windows application that"
