start,end,text
160,4480," Hello everyone and welcome to yet another recreational programming session with"
4480,8080," Ahu Amista Azozin. So today we're going to continue working on Panim,"
8080,13360," which is a programming animation engine that we studied to develop some time ago, right? I think"
13360,18560," like two weeks ago. We can even check it out actually. We're using the version control system"
18560,22640," and I can say precisely for how long we've been doing all of that. So the first commit"
22640,29840," was actually a week ago, right? So yeah, so the progress of the week is essentially looks like"
29840,35920," this. I'm going to do buildLipTM, right? So I'm working on animation for my YouTube video. So"
35920,43280," this is how it looks like. It looks pretty good. So pretty, pretty good for weeks progress, which I"
43280,49040," was also streaming on Twitch and stuff like that. So it's a little bit bright. Let's go back into the"
49040,55680," into darker mode, darker mode. So I'm going to go in here and let's actually find this entire thing."
55680,61280," And I'm going to switch to a darker mode. And the cool thing in here is that I can hot reload this"
61280,66880," entire stuff, right? As you can see, I now have a dark mode. Unfortunately, the problem with dark mode"
66880,75280," is that emotes blend with the background of the cells. So it doesn't really look good, right? So recently,"
75280,80320," we actually developed a very interesting system for describing the animations, right? So these kind of"
80320,89040," animations, they are actually scripted, sort of like scripted with a task system, right? So let me open"
89040,94640," this entire thing. Let me find a place where we reset the state of the plugin. And in here we have a thing"
94640,103600," called task, right? And a task is basically a piece of work that should perform over a certain period of time,"
103600,112800," right? So essentially, we have one single task within the state of the plugin, right? One single task. And"
112800,119920," that task plays the entirety of the animation. Like that task is responsible for playing everything you see"
119920,126480," right now. It's animating. One single task is animating everything you see on the screen right now."
127120,134320," One single root task. So now it's finished, the task is over, right? So and what we're doing in the plugin"
134320,140240," update in here, we're rendering the current state of the scene, right? So here, and before we render it,"
140240,149520," we actually update the task with the current environment. So we essentially pull the task and it performs this"
149520,156480," animated sequence. One single task. Now let's take a look at how you construct such task. So to construct"
156480,164720," such task, you use compound tasks, right? So essentially, I have a task that performs the"
164720,172880," intro, right? So this thing performs the intro and stops at a particular cell. Then it waits for 3/4 of"
172880,179680," the second or 750 milliseconds, right? So that's what it does. And then it writes into the current head a"
179680,188720," symbol 1. Then it moves its head to the right, then writes symbol 2 and so on and so forth, right? So"
188720,194400," you can also write the symbol images, right? There are two kinds of symbols in the entire system, right?"
194400,202000," A symbol text and symbol image, right? So I want to also have some, you know, visual fun element in the"
202000,206480," animation. So because of that, I allow writing images and stuff like that. And as you can see,"
206480,214480," here is the entirety of the animation. Here is the entirety of the animation and it is scripted. Also,"
214480,220560," all of that is wrapped with task sequence which accepts any other task and just place all of these"
220560,227600," tasks in a sequence. So this is the kind of system we developed. And the other tasks that you can have in"
227600,235520," here. So the main one is just wait. All of these tasks are custom tasks specifically for this animation,"
235520,242000," right? So there's a task sequence which plays the sequence of the task. There is a task group which"
242000,247280," takes the group of the tasks and plays them simultaneously. So you can do things that play"
247280,253840," simultaneously. A good example that I have in here is the square example or Microsoft Windows loading example,"
253840,259440," right? Because that's what it turned out to be. So we actually try to run this and I think I'm going"
259440,267760," to do square and I'm going to just run this entire stuff. This is how it looks like, right? So it's a"
267760,273040," Windows loading example. If we take a look at that specific examples and how it is constructed,"
273040,278160," it is constructed in a very interesting way. So there is a function that produces the loading. Yeah,"
278160,285360," there we go. So we basically play a sequence of three shuffles, right? So we do three shuffles."
285360,292880," And a single shuffle looks like this. So as you can see, we are moving squares to their particular"
292880,300160," position. So we perform three square movements and we group them together into a single task. So these three"
300160,308480," movements happen simultaneously, right? So essentially... Let me actually reset. If I start playing frame by"
308480,316000," frame, as you can see, all of the three squares are moving simultaneously. Look, so three tasks are"
316000,321600," playing simultaneously, right? So and then, as you can see, there is one single movement and that single"
321600,326800," movement is this one. So you can perform one movement or if you want to perform several movements,"
326800,334080," you can group them into the task group. So and you have this sort of tree of tasks. You have this"
334080,340960," tree of tasks. And so if you watch the previous stream, you know the way we developed all of that."
340960,347600," We kind of reinvented virtual methods. We kind of reinvented virtual methods. So essentially, task"
348720,355680," has a tag, right? It has a tag, which is just an integer. And then it has a pointer to some data for"
355680,362400," that specific kind of task. For that specific kind of task. And the way you, for example, call a task"
362400,368320," update, where you provide the structure task, which is this thing with the tag and data and an environment"
368320,374000," addition parameters and stuff like that. So you do the following way. Let's actually find it. You take the"
374640,381600," the tag of the task, right? You take its tag, you look in it, looking up in a virtual table and find"
381600,390240," the update method and you forward that data to that method in there. This is literally a virtual table."
390240,395680," So I rarely need this kind of stuff, but this is like, and usually when I need this kind of thing,"
395680,402160," I just have enumerations and switch cases and it's totally fine. This is the first time where I really,"
402160,407920," really needed to make things like that. And I couldn't even get away with just function pointers."
407920,415920," You guys know why, right? Of people who watched the previous stream. The reason is function pointers"
415920,421600," get invalidated after hot reloading the animation. Yeah. So because the way people already know,"
421600,429760," people already know. So this entire plugin system is based on the DLLs, right? So essentially,"
429760,436960," custom animations are literally DLLs. So, and if you store some function pointers in the state"
436960,441920," of the plugin, and state of the plugin actually survives between the loading of the DLLs,"
441920,448400," if that state of the plugin stores even just one single function pointer, that function pointer may"
448400,456960," get invalidated. Because of that, we have a table of function pointers that gets updated and rebuild every"
456960,462080," time we load the plugin. And we refer to the functions through the indices in that table."
462080,468000," Through the indices in that table. So these indices never get invalidated because they point to the things"
468000,474480," that, you know, rebuild every reload. So it's always correct. And that's how it works."
475520,482720," So, and again, this is literally a virtual table. This is literally a virtual table. So, and because"
482720,489440," of that, I was thinking, wouldn't it be easier to just like use C++, right? So it's nice that complexity"
489440,496560," of this process isn't abstracted into single virtual keywords. Maybe it is nice. So we can see exactly,"
496560,501360," technically how all of that is implemented, right? So, because in the case of C++, you usually don't"
501360,507520," have control of how that virtual table is allocated, where it's placed, what it's layouting and stuff"
507520,514080," like that, how it's looked up and stuff like this. But here we do have control over that. And furthermore,"
514080,520720," we can even specify in which arena we allocate in that table, right? So if you take a look at this entire"
520720,527120," thing, right, just a second. So task. So we have a special function that rebuilds this thing. And you're"
527120,532960," supposed to call this function yourself manually when the the plugin is rebuild. Look at what you're"
532960,538400," providing here. Look what you're providing here. You literally provide an arena. So I can control"
538400,545360," where in memory that virtual table goes. I literally have that level of control, right? So we have a"
545360,550240," special way of allocating memory. I can just say precisely like put that virtual table there or there or"
550240,555040," somewhere else, right? I can't even save it if I want to, right? So I have full control over that."
555040,560320," So it's all exposed. None of that is hidden for me or anything like that."
560320,567840," So we've got some subs. We've got some subs. I wish my mouse worked. Oh, my mouse is working. Look at that."
567840,573440," So thank you so much, Scripty Bebe. I hope I pronounced your nickname correctly. Thank you so much for"
573440,577840," trying with the message. I hoped which pays you now. It was racist what they... What?"
579840,586880," Is it? Is it? I don't know. I'm not sure if what Twitch is doing is racist. It's just like they're"
586880,591680," just following the laws of the country we're operating. So it's kind of normal."
591680,598640," So thank you so much, ElfJSF for T1's application. Thank you, thank you, thank you with a message."
598640,606880," Hi, hello. Hello, hello. So yeah, cheers. I suppose it was a joke, right? So let's suppose it was a joke."
609600,612400," So the Tinkering EE. Thank you so much for T1. Thank you, thank you, thank you."
612400,620720," So yeah, what I want you to do, like, I want you to know, maybe it would be just easier for me to use"
620720,628560," Z++, because you know what I'm talking about. Why not just use Z++? And then I realized that the selling"
628560,635840," point of C++ is that you can start, like, right away using that language along with C in your project."
635840,648640," Who said we can't just create a DLL in C++ and then even leave the engine in C? We can just take the"
648640,658400," engine, right, panim executable as it is, and give it a DLL written in C++. C++ is a real language used for"
658400,665520," serious software development. Hence, you can create a DLL in that language, unlike in scripting toy"
665520,672320," languages, unless you're doing some hackery, which involves using real languages for real software"
672320,678320," development. But that's besides the point. Right, so extern C time, exactly, exactly, extern C time."
678640,684880," So I really apologize that I can't zoom in very quickly today, because my mouse is semi-dead."
684880,688640," It keeps dying and dying and dying. So this is what we're going to be doing today. So sometimes I'm just"
688640,696640," using my touchpad on my laptop. Right, so my mouse just, sometimes it works, but sometimes it dies."
696640,704880," And so I have no idea what's up with that. Maybe it was hacked. Yeah, maybe it was hacked. So yeah,"
704880,709760," and sometimes when it doesn't work, I just use a touchpad on my right, on my laptop in here. So that's"
709760,718000," why I'm a little bit slow with my mouse. So yes, yes, yes. So let's actually give it a try. Right,"
718000,725360," let's give it a try. So we already have a template. Look at that. So this is the template. And it's basically"
726000,735360," an empty animation. If we go ahead and just rebuild everything. Right, and then I'm going to take Panim"
735360,745600," and just give Panim a leap template. What it will do. And I'm going to just like run it like this. Arena"
745600,754880," real log undefined symbol. Ha, I see what's going on. I'm actually linking all of the plugins with the task."
754880,762480," Right, so with the task. And the task requires to have Arena. So it's kind of interesting that it was not"
762480,768880," caught at compile time, probably because I'm building DLL. Right, so essentially, apparently,"
770000,774640," what I have to do, I probably have to just include Arena with all of its implementations,"
774640,781760," like so. Define Arena implementation. Okay, that's something that I learned all of a sudden. That's"
781760,787840," something that I learned. So apparently, if you're building DLL, for that DLL, you have missing symbols"
787840,795120," during compile time. It's going to compile just fine, and it's going to fail at runtime. Which kind of"
795120,798960," makes sense, I suppose. Right, so kind of makes sense. But at the same time, I didn't expect that. That's very"
798960,804080," interesting. I guess I learned something. Right, so people tell me that my streams are very educational,"
804080,809840," but the thing is, I'm also learning shit on those streams. Right, so I'm also learning things. All"
809840,814880," right, so there we go. So here is a panume template, as you can see. So this is just a template. One of the"
814880,823680," things we can try to do, we can go ahead and copy this thing and rename it to probe cpp. So this is going"
823680,835040," to be C++ now. This is C++ now. Z++. So, and I wonder if I can just add this entire thing to the build."
835040,840960," Right, so I'm using cc, and as far as you know, cc will probably automatically detect that I'm trying to"
840960,847520," build C++, and it will switch to C++ compiler, hopefully. Right, so in here, I'm going to just include"
847520,855520," probcpp, and this one is going to be libprobe. All right, so let's actually try to rebuild this"
855520,861440," syntax and stuff and see what it is going to do. Maybe I'm going to just remove. Holy fuck."
863840,872000," Oof. So it actually, in fact, tried to compile it as C++, and there's a shit ton of warnings because"
872000,880560," of that. Very interesting. Very interesting. So missing extern c. I know that, right? I'm doing"
880560,885840," that intentionally. I'm just trying to evoke the errors. By the way, I wonder if there's extern... Yeah,"
885840,893600," okay, look at that. So there is an extern c in here in Raylib. So RL API. Oh, it just like basically wraps"
893600,898160," everything in extern c in here, so to not worry about this kind of stuff. Prevent name mangling of the"
898160,906080," function. It's actually, it's actually pretty cool that Raysan even specifically said why he put extern c in"
906080,912720," here. So he really understands, right, the difference between C and C++ and everything. So this is"
912720,919280," specifically to prevent mangling, right? So because one of the things C++ does, it mangles the names of"
919280,923840," the functions, right? So the mangles the names of functions. I think I already demonstrated that"
923840,928720," multiple times, but I can demonstrate that one more time for people who never saw that before, right? So"
928720,936480," if you have a C function, right? So and then you have a main, then we can call something like hello,"
936480,941520," right? So maybe it makes sense to actually put it in here. So this is going to be something like that."
