start,end,text
0,5840," Looks like we're live! Hello everyone and welcome to yet another recreational programming session"
5840,15280," with Azuzan. Forgive me my tracksuit, I'm just Russian. It's a little bit cold inside so I had"
15280,21760," to just put something that is a little bit more warm than a t-shirt. There's also some problem"
21760,27760," with my windows so it's a little bit cold inside. Outside we can actually check out how much it is"
27760,35600," outside. So minus 28. It's actually a little bit warmer than it was yesterday. I think yesterday"
35600,42400," it was almost minus 40. So it's getting warmer. It's getting warmer so which is actually quite nice."
42400,49520," Which is actually quite nice. So let's make a little bit of an announcement. A red circle live on Twitch"
49520,55520," and the question is what are we doing today on twitch.at television website? Today we're"
55520,63360," hacking Erlang. That's right. I'm going to give the link to where we're doing all that twitch.tv/adsodding"
63360,67040," and I'm going to ping everyone who's interested in being pinged and there we go the stream has"
67040,74320," officially started. The stream has officially started. So today we're hacking Erlang. That's right. Does"
74320,80480," anybody know this beautiful beautiful programming language? So yeah it's a programming language for"
80480,85920," distributed systems right? So for concurrent distributed systems right? So it's a functional programming"
85920,93360," language right? And it has a prologue-like syntax right? So I've been requested to do something"
93360,100320," related to Erlang for quite some time specifically in the form of Elixir right? So the the younger brother of"
100320,108160," Erlang is Elixir right? Elixir. Is that the thing? Bootlin? I don't know what the f*ck is bootlin. But let's"
108160,114160," actually actually google up Elixir. So here's the website to Erlang right? So I'm going to copy paste it"
114160,120320," in the chat and for people on YouTube it's going to be in the description. So an Elixir is this thing."
120320,127440," Hopefully yeah okay so it's under HTTPS. So it's basically a younger brother of Erlang and the way they are"
127440,133920," related. They are related through the same virtual machine because Erlang is basically a managed"
133920,138880," programming language. It has its own virtual machine kind of similar to Java but the virtual machine of"
138880,146560," Erlang is different right? So and basically Elixir compiles to the same virtual machine right? And by the"
146560,154240," way it is the virtual machine I'm interested in today rather than a specific language. I want to explore the"
154240,161840," virtual machine of Erlang specifically. So here's Elixir like I don't know how different they are."
161840,168800," So for me Elixir just looks like a Ruby clone that compiles to Beam and Beam is the name of the virtual"
168800,175920," machine of Erlang right? It's called Beam and I think it's spelled like that right? So that's probably why"
175920,181440," I'm not really that interested in Elixir right? For me it's just like a different thing that compiles to"
181440,190320," Beam Beam right? So essentially Elixir is a Kotlin for Erlang right? So the original language was Java"
190320,195440," right? So and then you have Kotlin which compiles to the same virtual machine. So it's kind of a similar"
195440,200560," situation with Elixir. The original language was Erlang right? And Elixir is just like a different language"
200560,209840," that compiles to the same virtual machine. So yeah let's actually put Elixir here also in the description"
209840,217920," in the references. So specifically what's going to be my goal today? I want to generate some Beam files"
217920,227120," right? I want to generate some Beam files and I want to try to parse them. That's right. I want to try to parse and"
227120,235520," understand the format of Beam and maybe even find the sections where the bytecode is contained and try to"
235520,241440," understand what is going on in that bytecode. Furthermore if we have enough time and everything"
241440,250560," we can try to generate that bytecode right? So ideally but I'm not going to claim that I'm going to do that on"
250560,255280," today's string but ideally I would like to have a small like a stack-based programming language like"
255280,263040," a port-like thingy that compiles down to Erlang virtual machine to the bytecode of the Erlang virtual"
263040,269600," machine. That would have been kind of cool right? Nothing super fancy right? Not the entirety of the port but"
269600,279600," just an ability to do something like you know 34 35 plus print and then take this string and compile it to"
279600,284880," Beam file and then run it within the virtual machine of Erlang. That would have been kind of cool."
284880,291040," That is something that I aspire to do today but I'm not really sure if I'll be able to do that right?"
291040,295760," So maybe the the format of Erlang virtual machine is so complicated that we won't be able to do that"
295760,302560," but I have a couple of interesting things that may help us to to understand that format a little bit"
302560,309440," better right? So if I if I know if I knew for sure that I won't be able to do that within the stream"
309440,314960," I would not probably start this stream in the first place right? So that means I know a little bit about"
314960,319840," like how we're going to go about it so maybe the probability is rather high right? Otherwise I wouldn't"
319840,327520," even start streaming. Anyways so let's actually go ahead and try to write something in Erlang right? So let's"
327520,334800," try to write something in Erlang and so I'm going to put something in here so I don't know Erlang"
334800,342400," Erlang hello right? So here's going to be this thing and so essentially we're going to create a file"
342400,350960," main Erlang. If I'm not mistaken the main extension for Erlang is Erl right? So here is Erl and Emacs"
350960,356400," actually recognize it correctly it's it is in fact Erlang. So if I'm not mistaken right? If I'm not"
356400,361120," mistaken what you're supposed to do you're supposed to create like a function right? And here's the interesting"
361120,370800," thing um in in terms of entry point in terms of entry point into the Erlang program Erlang is kind of"
370800,379760," closer to Python rather it is close to Rust, C, C++ or any other compiled languages right? In the sense that"
379760,385440," you just start up the environment you just load something into the environment and you just run"
385440,390320," that thing in the environment and as far as if I understand correctly there is no really standardized"
390320,397760," entry point there's no really standardized entry point like in like just like in Python right? So and"
397760,402240," if we have any professional Erlang developers in the chat please correct me"
402240,406320," please let me know I might be wrong because I'm not an Erlang developer like at all"
406320,413120," so uh okay so we're going to create the function and uh so this is how we define the body of the function"
413120,418960," right here is the name of the function here is the basically parentheses where you put arguments of"
418960,424000," the functions right and then you put arrow and you start actually writing the body of the function"
424720,429680," in the body of the function how do you write it you write actions right so you write rather"
429680,436480," expressions that may have side effects right so you may have expression one then you write the next"
436480,442560," expression like separated by comma so this is the second expression this is the third expression and so on"
442560,451280," and so on and so forth and you end your list of expressions with dot so how Erlang evaluates your"
451280,458080," function it evaluates an expression one performing any side effects that may happen within expression one"
458080,465040," then proceeds to evaluate an expression two three and four and the result of the expression four becomes the"
465040,471200," result of the call to the function so it is an expression based language just like Erlang or a"
471200,477680," camel or Haskell or anything like that right so that's basically the syntax of Erlang essentially"
477680,483600," it's kind of goofy it's kind of silly but this is because it's based on the syntax of Prolog it's"
483600,489600," it's really close to Prolog and as far as I know when people were developing Erlang the first version"
489600,495440," of Erlang was essentially a library for Prolog then they realized that the Prolog is not really good"
495440,500560," language for this kind of stuff right so and they implemented their own language but they kind of preserved"
500560,505840," the syntax because they kind of got used to it right so that's why it kind of looks like a Prolog in Prolog"
505840,512240," by the way you write sort of clause uh like this right so you can have some arguments in a clause"
512240,518640," and then you put this kind of like this kind of iterator and within the iterator you kind of also put"
518640,522640," expressions in here like that so it's kind of similar to Prolog and you also end by the way"
522640,530000," with a dot uh right so it kind of mimics the Prolog syntax if I'm not mistaken okay so if you want to"
530000,538160," write hello world I don't quite remember how to um write hello world or how to print things in Erlang"
538160,545680," is there something like print uh all right so let me find Erlang hello world there should be something like to"
545680,549680," print uh print uh print things okay getting started getting farted"
549680,551680," um"
551680,557040," uh iof right okay so you're supposed to do iof right all right"
557040,563680," iof right uh and then so as you can see there is some sort of like a name spacing in here"
563680,573680," uh right it has uh names oh by the way iof format I kind of vaguely remember that yeah that's right iof format thank you thank you so let's do format instead uh it's gonna be hello"
573680,579600," stats uh it's gonna be hello hello world and there you go so you put a dot in here"
579600,587440," so if i understand correctly uh Emacs has uh sort of like an Erlang shell you can say Erlang"
587440,591680," shell and there we go so you can have Erlang shell within Emacs how about that"
591680,598640," how about that so it just i suppose it just runs an external Erl right i'm pretty sure that's that's"
598640,604480," what it does uh right so just runs external Erl and lets you put this kind of stuff within within"
604480,610320," the thing so the way you run the program the first thing you have to do you have to compile that specific"
