start,end,text
0,6400," looks like we're live hello everyone are we wait we're alive right looks like we're live hello"
6400,13200," everyone and welcome to yet another recreation programming session with mr azuzin uh let's make"
13200,18720," a little bit of announcement and officially start the stream as usual so right circle live on twitch"
18720,26720," what are we doing today on twitch.tv television website today we are reviewing your pull requests"
26720,30960," uh that's right i'm going to give the link to twitch.tv/serving the place where we do know that"
30960,36400," and of course i'm going to ping everyone who's interested in being pinged and there you go the"
36400,42400," stream has officially started the stream has officially started so uh today i would like"
42400,47680," to take a look at the pull request that people submitted to raylib.js experimental project that"
47680,54080," we started uh several streams ago right so it's an official implementation of subset of raylib api"
54080,60880," in javascript right so um essentially the goal of this thing is to be like a one file javascript"
60880,68480," implementation of the raylib api that can be called from web assembly and uh it does not depend on mscript"
68480,74800," and or any other over complicated setups or anything like that just like literally single file that you"
74800,81520," include into your project you take your game written in c you compile that game to web assembly and uh then"
81520,87440," using this raylib.js you will be able to load that web assembly module and actually execute it on on a"
87440,94960," web page right so that's basically the goal uh and of course this approach is very much limited it is very"
94960,102400," much limited uh but it is simple right and that's my goal my goal is to explore the ways to do simplicity"
102400,107680," and stuff like that so and i also said that this uh project is open for pull requests and people submitted"
107680,112480," quite a few pull requests so and that's exactly what i wanted to do today i want you to go through"
112480,118240," the pull request and review them maybe merge some of them provide the feedback and stuff like that right"
118240,123520," so that's basically the goal for today's stream that's basically the goal for today's stream so uh let's"
123520,129280," take a look at them uh let's take a look at them uh so okay we have uh 12 pull requests i think i'm"
129280,134400," going to start from the bottom right so i'm going to start from the bottom in order as people were"
134400,141840," submitting the pull request i think it's fair so uh selected example to url search path okay so this is"
141840,151280," actually uh the problem that i had for some time right so let's actually maybe start the server uh http"
151280,161120," http server 6969 uh 6969 right and let's actually go here so one of the problems that i had okay so we"
161120,168880," already have a dark mode so uh i'm not using any dark reader or anything like that but i'm actually using"
169440,177600," chrome flags uh and yeah so basically out a dark mode for web content so this is experimental flag"
177600,182960," and it actually works quite well it works faster than a darker reader because it's probably built"
182960,189440," into the browser itself right on the level of c plus plus so that's why it is faster and uh yeah now we"
189440,197440," have a dark mode i remember somebody even submitted like a pull request excuse me for the dark mode uh yeah"
197440,204240," we don't need dark mode anymore just like enable the flag for for chromium so we don't need a dark mode"
204240,208960," uh i'm joking by the way i'll look into that and we'll see if we can merge that so essentially the"
208960,215680," problem that i had all right uh is that um from time to time i would experiment and switch to different"
215680,222080," um you know different examples and then if i recompile example i want to be able to refresh the page"
222800,229600," but if i refresh the page it goes back to the default example which is kind of meh right so it's very"
229600,236400," tedious to constantly switch back to to the example that you were working on right so it would be nice"
236400,244960," if the page actually kind of stored its state in the url so then when you refresh it recovers its own state"
245520,252320," uh you know the lost art of storing the state of the web application in the url right so we're going to"
252320,259440," recover that art right so we're going to rediscover it again uh so and here here is the pull request so"
259440,266400," another many changes actually not that many changes so uh so i put it to do in here to actually implement"
266400,275520," that so we have uh default wasm so we have wasm paths and essentially we take the values and we take"
275520,281840," basically sort of like the first element of the first value uh which i suppose makes sense right and"
281840,290560," that becomes the default uh the default example so then when we start to relib we are looking into the search"
290560,296400," path and is that even a good idea to actually do that inside of it maybe it is maybe it is"
296400,304000," so we look into that so it's an example parameter we also add that to the history so then we can actually"
304000,311840," do back right so we can press back and uh check the the previous state and then we set the ray"
311840,320720," leap example select so this is yes so we set the selector in here and here the first thing we do"
320720,328560," we'll look if there is a search path and there is a query parameter and i suppose if it is missing we're"
328560,335440," going to be using the default one if i understand all of that correctly uh right right so essentially"
335440,341280," this is operated right so this is undefined we're going to pick the the second one right so that's how"
341280,347760," this entire thing probably works uh right so let's actually do something like that uh if i have um"
347760,354880," something like hello uh 69 it's going to be just that but if i put undefined in here"
354880,361360," uh it's going to be 69 so it's sort of like it acts like or but the question is is that that different"
361360,370720," from or uh maybe it is different from or like by the way what's the difference between just doing that and"
370720,379200," that uh is there any difference but i'm going to believe that there is a difference but i mean it's"
379200,381760," it's basically like or uh so"
381760,396720," uh it would trigger on zero consider zero invalid right so if i do that okay okay i see i say so that so"
396720,402880," that's the pro jesus christ it's it's so freaking common in javascript that you have a certain feature"
402880,409040," but it has a special case that everyone is annoyed with and they introduce another construction specifically"
409040,417680," without that case it is such a freaking common pattern in javascript design it's insane they keep"
417680,425120," repeating that thing over and over and over again ah they never learn they never learn anyway so let's"
425120,431520," actually fetch the the changes and and see what we have in here so we probably need to add the uh the"
431520,442880," remote right so let me take a look at your repo uh so i'm gonna actually go into your repo right into your repo"
442880,452320," rayleapjs this is how i like to actually fetch the pull requests uh this is my personal preferences don't"
452320,461600," add me all right so we're gonna do that and don't make a default push please i beg you my number one do"
462160,468720," so you have quite a few um quite a few branches in here so what but i suppose we are only interested"
468720,475520," in this one so here's the url uh and that's the only changes you've made in here right so you only"
475520,486000," modify this thing um so let me go ahead and refresh this entire thing and here we have example game"
486560,492160," okay that makes sense so interestingly what if you provide an example that doesn't exist"
492160,499360," so it just uses it just goes back to the default one uh which probably makes sense i don't remember"
499360,509600," seeing that in a code um right so oh i suppose i suppose it does make sense right because we are"
511040,515600," starting something right so we start in the example"
515600,526480," and if wasn't path include example so this is the search path so we extract that"
526480,533840," then we query replace example default and and if it couldn't be find"
535440,543520," uh right if it doesn't exist it's going to be the default uh but then uh we are just doing that"
543520,550080," uh so i think i do understand what is going on in here right so it basically always tries to redirect"
550080,558080," to the default one um right that makes sense so now if i just go here right so i refresh everything's"
558080,565120," fine and if i go here uh and refresh everything fine i can also go back to previous states so that makes"
565120,571520," sense all that makes sense so i think i i think i like it so we have like this particular you know"
571520,578560," section of the scripts become bigger and bigger and bigger and um i think it would be nice to maybe"
578560,587760," factor it out to a separate thing at some point so but if i do it right now it will break all of the pull"
587760,592880," requests too much so maybe i'm gonna do that a little bit later right so maybe i'm gonna do that a little"
592880,602800," bit later anyway so i suppose this is fine uh i think i'm fine with that so we have parameter and initially"
602800,608320," to be fair i wanted to store an example sort of like in an anchor right so anchor would be the name"
608320,615200," of the example but i suppose the get parameters are also fine it actually implies that we may have more"
615200,621680," state in here in the future right more state in here in the future why ampersands and stuff like that"
621680,628240," so maybe some sort of like a resolution or something um because why not right so maybe more parameters can"
628240,632720," be can be actually stolen here in the application so i suppose it does make sense"
633440,638000," i suppose it does make sense all right so let me go ahead and just like merge this into i think"
638000,648720," um so looks good to me thank you so and we're going to merge it"
648720,659760," so let me go ahead and just go to the main and fetch the latest thing"
662800,671120," merge main and url so i just realized by the way that i still haven't merged the snake game right so"
671120,679040," because we ported snake game to the to the raylib.js so if i actually go here uh so one of the examples"
679040,684240," in here is the snake game which stopped working by the way for whatever freaking reason probably because"
684240,691680," i have to yeah yeah so trace lock is not implemented uh that's bizarre yeah there we go so i suppose"
691680,698800," something was cached in there uh right so and the problem with the snake as well is that the focus"
698800,705200," focus has been really a little bit weird so and this thing is using raylib.js so i still haven't merged it"
705200,711920," into the final project but maybe this is something that we can do uh like today maybe after i merged all"
711920,717440," of the pull requests so it doesn't really break too much too many pull requests um okay so all of"
717440,722560," that was merged and we already merged this thing so everything seems to be fine let's take a look at"
722560,732480," the next pull request let's take a look at the next pull request uh niche video game operating system"
732480,740480," like i would like to do that myself so this is the reason like why i don't like that like you probably"
740480,748480," copied knob.h right so you probably copied knob.h um so let me actually see yeah that's what you did you"
748480,754800," also copied the libraries and stuff like that nah like i don't know how you made those libraries and"
754800,762000," whether you make modifications to knob.h i actually have to like look into that so i really would like"
762000,770960," to do that myself i really would like that to do that myself and building final executables like native"
770960,778160," executables is not really the primary focus of this application so that's like it is not the primary"
778160,783840," focus of this application and it should not be a thing that we spend too much time on you know"
783840,790880," it's kind of nice to have a native build to sort of compare okay so this is the native thing and this"
790880,798240," is the uh web thing but making it like a full feature that we like invest into and constantly support"
798240,802640," no this project is about web it's not about native thing like"
804240,811600," no i'm sorry i'm sorry i'm not gonna actually uh not gonna actually accept that uh so it is out of"
811600,818320," scope like this kind of stuff is out of scope so thank you thank you so much uh out of scope um right"
818320,825680," and i'm gonna just close with a comment so this is definitely out of scope uh i might actually add"
825680,833200," knob built in the future right so i can add knob built in the future but uh i'm gonna do that definitely"
833200,840480," myself and to be fair it's actually relatively easy to do it right now um right because you basically"
840480,847600," go ahead and port build.sh and it's actually super simple thing to be fair it is actually super simple"
847600,856240," thing maybe we can do that um so let me go into the mutualizer and this is going to be a knob.h and i'm"
