start,end,text
0,29980," *music*"
30000,40000," *music*"
40000,44000," *music*"
44000,50000," *music*"
50000,56000," *music*"
56000,66000," *music*"
66000,88000," *music*"
88000,98000," *music*"
98000,108000," *music*"
108000,118000," *music*"
118000,128000," *music*"
128000,138000," *music*"
138000,140000," *music*"
140000,150000," *music*"
150000,152000," *music*"
152000,164000," *music*"
164000,164000," *music*"
164000,164000," *music*"
164000,174000," *music*"
174000,176000," *music*"
176000,186000," *music*"
186000,186000," *music*"
186000,188000," *music*"
188000,188000," *music*"
188000,190000," *music*"
190000,202000," *music*"
202000,204000," *music*"
204000,206000," *music*"
206000,216000," *music*"
216000,218000," *music*"
218000,218000," *music*"
218000,220000," *music*"
220000,220000," *music*"
220000,222000," *music*"
222000,236000," *music*"
236000,238000," *music*"
238000,240000," *music*"
240000,242000," *music*"
270000,272000," *music*"
272000,276000," *music*"
276000,284000," *music*"
284000,290000," *music*"
290000,294000," *music*"
294000,298000," *music*"
298000,326000," *music*"
326000,328000," *music*"
328000,330000," *music*"
330000,332000," *music*"
332000,332000," *music*"
332000,334000," *music*"
334000,336000," *music*"
336000,338000," *music*"
338000,340000," *music*"
340000,342000," *music*"
342000,344000," *music*"
344000,373980," So, let's go."
374000,403980," So, let's go."
404000,433980," So, let's go."
434000,463980," So, let's go."
464000,493980," So, let's go."
494000,523980," So, let's go."
524000,553980," So, let's go."
554000,583980," So, let's go."
583980,613960," So, let's go."
613960,643940," So, let's go."
643940,673920," So, let's go."
673920,703900," So, let's go."
703900,733880," So, let's go."
733880,763860," So, let's go."
763860,793840," So, let's go."
793840,808520," Maybe I'm going to prepare some boilerplate for the problem because we all know that the input is going to be read probably from a file and also the problem is going to be probably split into two parts."
808520,838500," So, let's go."
838520,868500," So, let's go."
868500,898480," So, let's go."
898480,928460," So, let's go."
928460,958440," So, let's go."
958440,988420," So, let's go."
988420,1018400," So, let's go."
1018400,1048380," So, let's go."
1048380,1078360," So, let's go."
1078360,1108340," Python, but not, let's go."
1108340,1138320," So, let's go."
1138320,1168300," So, let's go."
1168300,1198280," So, let's go."
1198280,1228260," So, let's go."
1228260,1258240," So, let's go."
1258240,1288220," So, let's go."
1288220,1318200," So, let's go."
1318200,1348180," So, let's go."
1348180,1378160," So, let's go."
1378160,1408140," So, let's go."
1408140,1438120," So, let's go."
1438120,1468100," So, let's go."
1468100,1498080," So, let's go."
1498080,1528060," So, let's go."
1528060,1558040," So, let's go."
1558040,1588020," So, let's go."
1588020,1618000," So, let's go."
1618000,1647980," So, let's go."
1647980,1677960," So, let's go."
1677960,1707940," So, let's go."
1707940,1737920," So, let's go."
1737920,1767900," So, let's go."
1767900,1797880," So, let's go."
1797880,1827860," So, let's go."
1827860,1857840," So, let's go."
1857840,1887820," So, let's go."
1887820,1917800," So, let's go."
1917800,1947780," So, let's go."
1947780,1977760," So, let's go."
1977760,2007740," So, let's go."
2007740,2037720," So, let's go."
2037720,2067700," So, let's go."
2067700,2097680," So, let's go."
2097680,2127660," So, let's go."
2127660,2157640," So, let's go."
2157640,2187620," So, let's go."
2187620,2217600," So, let's go."
2217600,2247580," So, let's go."
2247580,2277560," So, let's go."
2277560,2307540," So, let's go."
2307540,2337520," So, let's go."
2337520,2367500," So, let's go."
2367500,2397480," So, let's go."
2397480,2427460," So, let's go."
2427460,2457440," So, let's go."
2457440,2487420," So, let's go."
2487420,2517400," So, let's go."
2517400,2547380," So, let's go."
2547380,2577360," So, let's go."
2577360,2607340," So, let's go."
2607340,2637320," So, let's go."
2637320,2667300," So, let's go."
2667300,2697280," So, let's go."
2697280,2727260," So, let's go."
2727260,2757240," So, let's go."
2757240,2787220," So, let's go."
2787220,2817200," So, let's go."
2817200,2847180," So, let's go."
2847180,2877160," So, let's go."
2877160,2907140," So, let's go."
2907140,2937120," So, let's go."
2937120,2967100," So, let's go."
