start,end,text
160,7120," hello and welcome to another zuzin session how about that how about that and that fly the"
7120,12800," anyway so uh the fly is still flying around i still didn't catch it i still didn't kill it maybe"
12800,17600," this is something that i'll have to do at some point so today uh we're going to continue doing"
17600,24080," what we did yesterday uh we were doing a meta programming in c and specifically what we were"
24080,30880," doing we were generating a linear algebra library right so and the reason why we're using linear"
30880,36880," algebra that why we were using a generation code generation for linear algebra is because of this"
36880,45280," right so we have a bunch of different size vectors and we have a bunch of um you know vectors with"
45280,50960," different types and so we have a combinatorial complexity uh to generate different operations"
50960,56560," for all of those things so and i was thinking about different approaches on how to do that in pure c"
56560,66480," and the most reasonable so far looks like just go ahead and generate all of that uh so then the user"
66480,74000," of this library doesn't have to wonder they're using a function v2f sum but when they try to grab the"
74000,80000," library for this v2 v2f sum there is no uh there is no definition for this function in there because we're"
80000,85760," using macros and the actual definition of the function is obscured right so i could use macros"
85760,91200," and go nuts with code generation using preprocessor but first of all preprocessor is very limited"
91200,96800," and we're already doing more than um c preprocessor is capable in in this particular particular generation"
96800,102240," and second of all it obscures the names it obscures the definitions which makes the experience of the"
102240,107680," user of the library worse right because of the user uh uses a library library and they see a particular"
107680,112400," function from the library that function should be present in the library so the user can just go"
112400,118640," there and see how the function works specifically um so i've been in this kind of situations multiple"
118640,124560," times when i used a code that has a lot of macros and stuff like that and it's completely uh impossible"
124560,130320," to find where all these things are defined it's completely possible to explore this library and this"
130320,134800," is something that i don't want to have in this specific library so that's why i'm just like"
134800,139760," pre-generating everything and i'm shipping this pre-generated code as the final thing that you're"
139760,146240," supposed to use right so that's basically what it is you can find the source code of this library and the"
146240,153280," generator in uh the chat right and uh i'm gonna put this kind of thing in the disk what the f is going on"
153280,159920," uh in the description as well so here is the source code uh there we go this is for lovely people on"
159920,164560," youtube if you're watching this on youtube you can find this link in the description and if you want to"
164560,169840," watch that on youtube as well if you're watching on twitch uh go subscribe to to this channel right"
171200,179200," so uh let's go uh so uh we already generate a couple of things right and uh we actually need to generate"
179200,185360," more i created a bunch of todos and um basically the objective of today's stream is going to be"
185360,194160," just close the majority of these studios right i close the majority of them um all right so we actually"
194160,200320," have a lot of interesting things for example we have um a notion of a type definition"
201040,206640," right a notion of a type definition and time definition consists of the name of the type"
206640,212640," and the suffix of the type you know what that means so if we take a look at the generated code"
212640,221760," you would see that the vector has uh its size in its name and also it has the type uh that this"
221760,226880," vector is using so if the vector is using floating point it has f at the end of its name if it's using"
226880,233840," double it has d at the end of its name and so on and so forth so the type suffix is this specific"
233840,239760," thing right so within the code generation we have a notion of a type definition right and we have a"
239760,244560," list of all of the types for which we want to generate vectors right and then what we're doing"
244560,248720," we're just iterating uh through all of the type definitions and we're calling corresponding functions"
248720,255280," for example uh generate vector definition which accepts the size of the vector and type definition"
255280,260000," of the vector and all of these descriptions are used to properly generate everything you see we sort of"
260000,266480," have like a global description of the vectors that we want to generate furthermore we have also descriptions"
266480,273200," of the operations uh that you want to generate right an operation has a suffix and the uh the operator"
273200,279760," that you you're supposed to use in c and we have like a sum subtraction multiplication division and"
279760,284640," here are the operators that we're going to be using and uh you can find this kind of result in the source"
284640,290320," code you you have subtraction and here is the operator that we use for subtraction you see so we basically"
290320,295680," have like a bunch of definitions and we combinatorially basically generate like different versions of these"
295680,300000," things so that's basically what we're doing that's basically what we're doing does make sense"
301360,309200," um hopefully that makes sense and at any point i can quite easily add a new type uh so far i have float"
309200,318640," double and int uh for instance it's quite easy for me to uh add um uint64 i don't know maybe even size"
318640,326000," because size is is more common than like uint64 size is sort of like a maximum uh unsigned integer that's"
326000,331040," what it is it's a maximum unsigned integer and if i add this kind of thing to to the library and i can try"
331040,336640," to compile it will not compile because now i need to add the definition for the size in here"
336640,343120," so uh i'll have to do something like uh type def size and the definition is going to go like this"
343120,348480," so the name of the type is obviously size t and the suffix uh what's going to be the"
348480,354800," suffix for the size i think it could be s right it's usually s right so and let's try to generate uh"
354800,361680," more things and the problem here is that uh as you can see it already generated uh some things but um"
361680,369200," it doesn't know anything about size t because it's located in the uh std leap right it's located in"
369200,375760," std leap and the thing we're gonna do here we want to include the std leap in here uh like this all right"
375760,382000," and if i regenerate everything and forgot uh forgot semicolon there we go uh we just generated a new"
382000,388640," version of the vector uh that has a size t as its type and as you can see it generated the corresponding"
388640,395440," definitions so here is the size of um size t of the size two three and four then we have all of the"
395440,400000," operations for all of these things and all of these operations were automatically implemented so the only"
400000,404080," thing i need to do i just need to add a new type and all the you know operations definitions they're"
404080,411680," already there right so it's quite convenient and quite easy to add new things in there um right so"
411680,415280," that's basically the code generation that's basically the code generation pretty powerful"
415280,422240," uh you won't be able to achieve this kind of stuff uh with the cpre processor already so anyways let's"
422240,427200," actually remove all of that uh that was just basically a demonstration on how all of that works"
427760,434080," and in my opinion it works very very lovely so uh let's take a look at the to do's that we have"
434080,439760," in the generator i think we have a pretty interesting to do yeah on the previous stream we implemented"
439760,447120," something called a short string right it's a short string it's a limited size string uh of the size of"
447120,457520," 120 128 so um the reason why you may want to have such a short string is because if you want to use like"
457520,462720," unlimited size strings right if you want to actually return something like this which is basically an"
462720,469440," unlimited size string you have to start thinking who's managing the memory for that string right"
469440,474800," because you're passing a huge string by a reference so there's a lot of memory management involved in"
474800,482560," this kind of thing and in c memory management is mostly manual except the stack stack management is actually"
482560,489680," automatic right and uh it's kind of difficult to uh to actually work with these kind of things and"
489680,495680," what's interesting is that we have a lot of small strings we generate a lot of small strings uh for"
495680,503360," instance to not um you know pollute the code with a lot of like parameters and formatting things we just"
503360,511360," pre-generate these types once right and then we basically paste them around so the size of the string"
511360,518400," does not really exceed you know this line i think we also render the signature into into a string so usually"
518400,525120," the size of the string doesn't uh exceed 26 characters so essentially what i did i wrapped a small array of"
525120,533680," characters into a struct and now this small array of characters of characters acts like um like a value so"
533680,542080," when you return this short string you actually return 128 characters by value not by a reference"
542080,550160," and when you pass some uh like uh you know short string somewhere you pass it by value so basically"
550160,558240," you exchange short strings via the stack right so in essentially for very small short strings you're"
