start,end,text
720,6080," so i haven't checked jay for quite some time already uh all right so and i decided to maybe"
6080,12400," the time has come to take a look at it again as far as the latest build is 96th one uh right so"
12400,18800," i have no idea what to expect from it so let's actually unpack it super quick uh let's actually"
18800,26960," unpack it um i think i haven't updated my jay theme or jay mode uh in emacs for quite some time"
26960,32400," as well i think it is located somewhere in emacs dot local so we have a bunch of like a custom modes"
32400,38560," that are not installable via the what is it called melpa right so and jay is one of them and i think"
38560,48240," it's just like i copy pasted it once and simply forgot about it um so the js is that is there js"
48880,58720," wait wait wait a second um there is a apparently there is a js jay uses js mode"
62720,69600," that's the i've never expected actually what the so jay is literally inherits"
69600,74960," uh js mode apparently it it uses js and then"
74960,86160," okay uh moving on so anyway what i wanted to do i wanted to actually update my my jay mode jay mode for"
86160,94560," emacs um jay is a javascript ai exactly so good some subs thank you so much everyone for the subs uh"
94560,100560," thank you thank you thank you so this was yesterday uh ormus boxer thank you so much for the message yay"
100560,105040," jay um thank you thank you that's your one azora akimori thank you so much for the trine with the"
105040,112320," message toting a panger your mom's a banger thank you thank you so much all right so i think that's the"
112320,118720," one i'm using right now so yeah uh were there any okay the latest changes were made like a last year"
118720,124880," so it's not really supported that actively anymore uh fortunately or unfortunately i don't really know"
124880,138160," it just depends um what the fuck is is that some sort of like a like a build system for emacs packages"
138160,144560," that i'm not aware of i i know that there was like emacs cask right so it's a project management tool"
144560,150720," for emacs like uh completely unnecessary as usual but but this one is isk"
150720,162000," what is going on bro emacs isk okay don't freaking tell me that it's a replacement for freaking cask"
162000,165120," so it's a lot for building runtime testing managing your freaking"
168240,175920," webification of emacs like this disease spreads across of all of the languages like what the"
175920,181520," is wrong with people why people keep spreading this disease this web disease"
181520,187040," it's literally a disease like it's absolutely unnecessary people just like dumping all of"
187040,191840," that like in all of the languages in all of the infrastructures anyways let's let's"
191840,196560," fucking ignore that shit let's fucking ignore that let's not ruin our mood today we're on a good mood"
196560,202560," today we're trying to we're gonna just check the latest build of jai so i don't want to ruin my mood"
202560,211200," today anyways so it's actually doing all the latest stuff and uh i'm going to do a w a get uh right so"
211200,218080," hopefully it's going to replace i wonder if ah thank you w get i want you to actually replace the file"
218080,224400," button it is what it is so is there any changes in jai mode okay so there's a bunch of changes in here"
224400,237120," okay so a few more keywords were actually removed is that the wrong mode is that the wrong mode i'm looking"
237120,247120," at i feel like this is like did i wait um no this is the this is the right mode why was it"
248080,252000," so it removed a bunch of things maybe maybe it literally got rid of all of these things"
252000,260080," uh so but then some of the con okay i don't think it's completely different but it is different"
260080,267360," nonetheless um it's not very basic anymore no it is a rather basic but it's just like afraid maybe i just"
267360,276320," copy pasted the wrong one no it's it's the same one just modified uh so actualized keywords uh yeah so i"
276320,279840," i think i think that's the right one anyway so i'm not going to commit it right away i'm just going to"
279840,286800," keep it in okay so uh let me go and just probe the jai let's actually write a hello world for the latest"
286800,291840," version so this is going to be main jai uh i suppose one of the things i probably want to do i want to"
291840,298480," restart my emacs super quick uh right so let's actually go here so here's the main jai um and if"
298480,304640," i remember correctly you import basic module right so and you just do something like this right i haven't"
304640,310320," programmed in jai for quite some time so i don't quite remember the things in there so if i understand"
310320,317120," correctly i do not have jai in my path unfortunately okay so one of the things i can do is just something"
317120,322560," like this right so jai linux so let's just do it like that and it seems to be working so look how quickly"
322560,329200," it compiles look how quickly it compiles can your rust do that i don't think so i don't think"
329200,335520," rust can pull that off but anyway so here is the executable right so here is the q and it says hello"
335520,342160," world so everything seems to be working everything seems to be twerking that's pretty cool um so let's"
342160,350080," take a look at what we have in here uh so remember they recently added more or less proper uh proper"
350080,360160," support for um web assembly macOS the current what is this or macOS anything you download while the web"
360160,366240," gets flagged as quarantine i think i already read that oh it's the current team right okay"
366240,373440," it's really funny so editor support oh it's msvc only msvc nobody gives a shit about msvc"
374000,381520," so there's a bunch of things in here uh executables and stuff like that so let me see uh stuff about"
381520,387600," web assembling right so let me find some okay okay so there is some example yeah there's literally"
387600,393920," examples for wasm right so there's one example for wasm uh let's take a look at it and they even"
393920,403360," mention me right so because i did quite some work for like uh you know compiling jay to wasm so i"
403360,408400," suppose they used some of my work and okay they mentioned me in the example which is actually rather"
408400,416400," cool so this example compiles a j program into wasm64 uh after compiling first you can view it in"
416400,422480," your browser by serving the public folder via web server since jay currently only supports compiling"
422480,427360," okay so they did they didn't figure out how to solve that problem they really didn't figure out so"
427360,438160," the main problem here is that jay cannot compile to wasm32 right and wasm64 at the time at least was"
438160,444560," not mainstream uh right so and it was not supported in any browsers or anything like that you like if you"
444560,450160," go to use it in node you would have to enable experimental flag if you were to use it in a browser you"
450160,455440," would have to go to the settings set the settings and so on and so forth right so it's a huge pain"
455440,460960," in the ass and uh because of that you couldn't ship that program at all to to the end user because the"
460960,465840," end user is not going to go into the settings and put experimental flags nobody's going to do that"
465840,472320," right so one of the solutions that i used for when i was creating i think it was called jay break"
472320,478560," right so here's the uh here's the thing so this is the jay break this uh game is written in jay by the"
478560,483120," way and it works in the browser and it doesn't require you setting up any flags or anything like"
483120,490320," that uh right so it just works in the browser the way i solved this problem is i actually wrote a tool"
491440,499360," that converts 30 64 wasn't 64 to kind of wasn't 32 uh right so i'm going to show you in a second"
499360,502560," i need to find my description where's my description by the way because i want to put some"
502560,511760," uh references in here uh right i think it was called a wasm uh 64 to 32 or maybe it was a 32"
513040,521520," 264 i don't quite remember i don't remember okay so let's actually do a search uh so wasm"
521520,531840," yeah wasm64 to 32 so and i actually forked the official sort of like a tooling for for wasm and i"
531840,538240," hacked it to to work as as intended a simple tool that converts wasm64 binaries to wasm32 ones based"
538240,545600," on the code of the original bobbitt right so interestingly is that um so how does it work as"
545600,552240," far as i'm concerned the only thing memory uh thing memory the only thing memory 64 does is that it allows"
