start,end,text
0,12060," looks like we're live hello everyone and welcome to yet another a recreational programming session"
12060,18780," how about that uh let's make a little bit of an announcement on our discord server and uh"
18780,27540," officially start the stream i suppose uh let me let me see so i'm gonna do a red circle uh live"
27540,35960," on twitch right and what are we doing today on twitch today we're actually coding in assembly"
35960,43500," on linux that's what we're doing today believe it or not all right and uh this is needed for"
43500,49340," one of the interesting feature for uh for both the programming language that we're developing in here"
49340,61460," uh right because it's a very like a low levelish feature uh that requires interacting with um with"
61460,67220," an operating system in a very specific way uh yeah we continue to work on control c but i don't think"
67220,72680," i'm gonna uh publish that control that previous control control c stream because it wasn't really"
72680,80360," that interesting uh right so i didn't expect in going into such a deep rabbit hole uh right so i did"
80360,87000," a little bit of research off screen and i think this is basically going to be my essentially report on how"
87000,95420," um we're going to be handling the uh signals in um in ports from now on right hello hello everyone welcome"
95420,103880," welcome welcome so yeah we're uh we want to implement an ability to handle posix signals in port right so it's"
103880,111420," actually google up posix signals right it's a very important feature that uh i think um we should be able to"
111420,118300," support so signal ipc so basically it's a standardized message sent to a running program to trigger specific"
118300,124220," behaviors such as quitting or error handling they're limited um form of inter-process communication"
124220,130460," typically used in unix unix like and other posix compliant operating systems so i'm going to actually"
130460,136700," give the link to this definition in the chat and also in the description right so the language that will"
136700,140540," be developed and by the way is concatenative language if you never heard about concatenative"
140540,146700," languages check out concatenative.org it's like basically a wiki uh that collects information"
146700,152140," about concatenative languages and um it's it's like a whole new word uh trust me it's it's very very"
152140,162860," interesting so um signals uh signals so we've got some subs uh thank you so much uh hey jvt for"
162860,168620," resubscribing for two months of tier one subscription thank you thank you thank you and welcome to our epic"
168620,175980," port club so let me actually go and maybe update uh my port stuff um i'm gonna actually clean up yeah so"
175980,183100," there's some stuff uh from experimentation we're gonna clean everything up uh and um also i have some stuff"
183100,193100," in here maybe i'm gonna do git reset minus minus heart uh very very hard reset uh and let me uh fetch the"
193100,200780," latest stuff right so i'm gonna fetch the latest changes that i made to the compiler right so i did"
200780,208380," a little bit of stuff uh off screen and by the way for the module feng shui lovers i finally split my"
208380,214940," huge port file into several files right so there's a ssc folder and as you can see i have the main entry"
214940,221020," point i have the lexa the compiler the generator the type checker and so on and so forth as you can see"
221020,226460," everything split into these like components uh you know the standard compiler components because"
226460,233660," something like lexa compiler uh type checker and congeneration is like a more or less standardized"
233660,239260," the comp uh standardized components of the compiler so i just basically split those into separate files"
239260,244700," but there is still uh ports dot port file here at the root and the only thing it does it just like"
244700,249980," includes all of the components of the uh of the compiler and at the top we're also going to have"
249980,257100," some sort of like flags that control like a global behavior of the compiler uh so yeah let's actually"
257100,264700," quickly bootstrap the compiler and try to recompile it with itself so bootstrap uh fuzz them right so here"
264700,271340," is fuzz them i'm going to do that uh then i'm going to make the bootstrap compiler executable because fuzz"
271340,276220," fuzz them cannot do that uh right and i'm going to recompile the compiler with itself and as you"
276220,281180," recompile the compiler uh as you can see it just includes all of these components and compiles into"
281180,287020," a single executable uh after which you can just keep recompile the compiler with itself right so i just"
287020,298060," keep recompile the compiler with itself and uh yeah all right uh so we have that um"
298060,307100," so essentially how usually the posix signal handling is happening right so uh imagine that you have some"
307100,313020," sort of a program i'm going to be using the c for two for explanation uh right you have some sort of a"
313020,322940," program uh and for instance you have uh some sort of a signal handler right so uh let's call it handler"
322940,331740," right so literally call the handler and uh then basically what's going on um let's say caught a"
331740,339740," signal right caught a signal um and then you have some code that performs some sort of work right so"
339740,347180," while true and uh you do some steps in here right so process maybe it's actually not use comments process"
347180,355020," one then process some more data process more and so on and so forth you you have some sort of a code"
355580,361820," right so somewhere here uh somewhere at the beginning of the program you sort of have to um"
361820,368700," this is like a high level uh you know logic on how you handle the signals like it's a very high level"
368700,374540," you will basically have to tell the operating system what is the handler that you're going to be using for"
374540,381900," the signals right so you have to somehow register that handle right so you do register um oh i forgot that"
381900,388300," register is a uh is a keyword in c register handler let's call it register handler right so you tell the"
388300,395500," operating system okay so here is my handler for the signal and you move on on doing your stuff right"
395500,401900," so and you just like processing things and what's interesting is that when a signal is sent to your"
401900,409500," program the operating system will stop your program like where wherever it was right so let's assume that"
409500,416620," it was about to go into the process to function it will not go there it will instantly stop and the"
416620,424140," operating system will force your program to jump to this function and start handling the signal that's"
424140,430700," how it usually works right you receive the signal full stop operating system tells you to to do full stop"
430700,437500," go handle that signal that's how it works literally uh right and you handle that signal and as you return"
437500,444460," from this function you actually return back to the place where you were interrupted so at any point of"
444460,450940," execution you can be interrupted so yeah this is something that people don't really usually think"
450940,457580," about when the program uh for unix or linux is that you can be interrupted at any point uh for whatever"
457580,463740," reason right and you'll have to be forced to go handle these signals so usually you have default handlers"
463740,470780," uh that do default things so you don't have to think about that uh but uh if you were to"
470780,476700," overwrite those default handlers this is how it would usually work right so this is like basically"
476700,485740," how all of that works um so all right uh we've got some uh subs root black 45 thank you so much for"
485740,490220," three months of tier one subscription thank you thank you thank you and salary but thank you so much for"
490220,498140," four months of tier one subscription really really appreciate all the support so um yep yep yep yep and"
498140,506700," what kind of signals can you uh receive right usually uh the most common signal that people handle in uh"
506700,514860," postex operating systems is called the sig int it's an interrupt signal and uh it is very common because"
514860,521900," it's the signal that the user can initiate essentially when the program is running and pro user wants to"
521900,529020," stop the program they usually press ctrl c and pressing ctrl c sends sig int the interrupt signal to the"
529020,536300," program and the default handler of that signal is just quit the program but you can overwrite that in"
536300,542540," fact as far as now vim for instance override that signal so if you try to press ctrl c you can't quit"
542540,548860," vim by pressing ctrl c because vim uh overrode the standard handler for sig int and every time"
548860,554300," you press ctrl c it jumps to that handler and just prints this message in here instead of quitting so"
554300,561900," it just handles that signal so another signal that you can receive is um segmentation fault right i think"
561900,569900," uh segmentation like memory violation is a signal that you can actually handle right essentially segmentation"
569900,574940," fault happens when you're trying to touch a memory in the places where you're not supposed to touch for"
574940,581020," instance that memory is protected for writing and you try to write in there in that case the operating"
581020,587100," system will just you know snap your hands and send you a signal the default handler for that signal is going"
587100,593340," to be just die but you can catch that signal and in fact with that signal comes a lot of interesting"
593340,600460," information for example with that signal comes the information what memory you tried to touch which"
600460,607580," you can use for uh for example for debugging right so you can write your own uh handler for yeah the chat"
607580,613980," actually sets a sig servee and i don't know where exactly it stores that information maybe somewhere in"
613980,619340," trampoline or something but i heard it has a lot of information about like what exactly happened and you can"
619340,623340," kind of like extract that information and do something with it so this is another signal"
623340,630300," right for instance and it actually does fit the definition of a signal you try to touch a memory"
630300,636220," that you're not supposed to touch and you instantly got interrupted you instantly got interrupted and told"
636220,641420," please explain yourself what the were you doing right and the default explanation is just die"
641420,646620," but the forum can take an opportunity to actually explain uh or maybe do something when they touch the"
646620,655740," memory in in an appropriate place right so uh and there is different signals right so um in and uh if"
655740,661980," we're writing in a programming language we want to be able to handle such signals um so there is another"
661980,668860," interesting use case for signals for for example i already mentioned that uh nginx uh it also accepts"
668860,674380," a signal i don't remember which one i think it's a sig hup i don't remember what it means i think it's"
674380,684540," like uh hang up or yeah so it can receive this signal and when nginx receives this signal it reloads its"
684540,692060," configuration right so essentially you can use this kind of mechanism to like tell the uh running process"
692060,697500," like hot reload your configuration or update something uh which is quite convenient right"
697500,705900," so um yeah and we want to be able to handle this kind of stuff so this is like a high level description"
705900,713820," of this stuff uh nginx uses sig user one uh to hot reload running binary oh that's actually pretty cool"
713820,719820," uh so you can not only hot reload the configuration and you can also hot reload the running binary so it's a"
719820,725020," very very very dynamic thing and as you can see there is a lot of users for the signals and if the"
725020,730060," language does not support like handling these kind of signals at least for linux i don't know what"
730060,734940," exists on windows or whatever other operating system but on postex operating system we want to"
734940,739340," support you can like missing out a lot of things i think language has to support this kind of stuff"
746860,755020," hello hello hello everyone um okay just a second okay let's take a look at how you usually write the"
755020,763020," um the handler for the signal right uh so there is a lot of ways to do that and as far as i know the"
763020,771660," most portable one is uh sig action right so you would use this function which is provided by posix right it's"
771660,776620," part of the posix standard and what it does it accepts the number of the signal that you want to"
776620,787260," handle right and uh then it accepts the description um the description of the action to perform on that"
787260,795820," signal and also you can get what was the old action so because every time you set this action you overwrite"
795820,802140," the current action but you don't may not want to lose what was previously so you may want to save it"
