start,end,text
720,6800," looks like we're live hello everyone and welcome to yet another recreation programming session with"
6800,11840," a mr azuzi let's make a little bit of an announcement and officially start the stream"
11840,19760," live on twitch and what are we doing today on twitch.a television website today we are adding"
19760,26720," a pop-up system to the music visualizer that we've been developing for quite some time i'm"
26720,31440," going to give the link to where we do know that twitch.tv/todding and i'm going to ping everyone"
31440,36880," who's interested in being pinged and there we go the stream has officially started hopefully did it"
36880,42160," send the message i don't see it sending a message discord hello uh thank you thank you so much for"
42160,48720," sending a message jesus right so hello hello welcome welcome welcome so today we continue working on"
48720,53760," visualizer which is music visualizing so let's take a look at this entire thing how the application looks"
53760,60080," like so let me quickly rebuild all this stuff this is not how you build it uh just a second"
60080,67840," and i'm gonna run uh the visualizer so as you can see it greets you with this message drag and drop"
67840,72800," music in here and what you're supposed to do in here you're supposed to drag and drop some music so"
72800,79040," let's actually go ahead and uh drag and drop a couple of files in here right so this is how it looks like"
79040,85360," and um essentially uh you have a panel in here you have a timeline you can control and there's a music"
85360,91520," visualization and stuff like that so the point is to be able to render all of that into high definition"
91520,96880," videos right so you can press r uh in the future i'm going to add the button that actually renders"
96880,100880," everything so you don't have to use shortcuts the shortcuts are still going to be there but those will"
100880,108400," be also ui button uh right so it's not really like a music player it's specifically uh visualizer right"
108400,114560," it's meant to take a music and create high quality visualization of the music so the the visualization"
114560,121200," itself is also going to be customizable and stuff like that so uh let me quickly disable what we've"
121200,127440," got in here so it actually crashed right so nice uh it didn't really crash yeah i just executed"
127440,134880," accidentally okay so it's fine so essentially if you drag and drop the music that cannot be loaded"
134880,140640," right if you drag and drop the music that cannot be loaded it will literally do nothing right so for"
140640,146720," example i can drag and drop the the folder right as you can see it doesn't do anything right it doesn't"
146720,153120," do anything though in the logs it will say that it couldn't load the file right so error could not load"
153120,158560," file uh though i could have actually done a little bit of a better job saying what exactly the kind of"
158560,166240," file i could not load i think that would have been a little bit better so if i go to src plug.c and find"
166240,172160," where exactly that is going on right so yeah so i need to actually add the file path in here so i'm not"
172160,179120," going to do it right now emacs what the fuck is going on with you okay emacs is going crazy so and"
180080,186720," the fact that it doesn't really show you uh that um you know you couldn't load the file um"
186720,196560," is because we changed the way our ui ux works right we completely changed the way our ui ux works"
196560,205360," so in the past you were not able to have several files right so uh so as you can see right now you can"
205360,210720," literally um drag and drop several files maybe simultaneously right you can simultaneously drag"
210720,217680," and drop a bunch of files if you want to uh right or you can uh drag and drop them separately right so"
217680,225840," and as you can see it all works so uh before uh before you could only drag and drop a single file"
225840,233120," right and we can take a look at how that worked right so i wonder at which commit uh we started to"
233120,240080," support several files i don't really know so there's muting more ui work uh so is there something like"
240080,247200," multiple yeah roughly outline multiple file support so we can actually uh check out this specific commit"
247200,256560," right so that was two months ago actually right so i got uh you know uh derailed a little bit on other"
256560,262960," projects so that's why it was uh so long ago right so i work on several projects simultaneously right"
262960,268800," so not everything uh comes as fast i would like to but yeah uh anyway so let's actually try to"
268800,275760," rebuild the entire thing and see how it goes right so this is an old build system uh and because of that"
275760,280560," it seems to me that it wants to rebuild everything okay that's fine so let's actually let it rebuild"
280560,293200," everything if it wants to um so yesu yesu yesu uh so this is immediate mod uia exactly uh and uh let's"
293200,299920," actually uh try to run it so and the old version kind of looks the same it kind of looks the same"
299920,307360," but if you drag and drop the file that it cannot read this is what it will show you right this is what it"
307360,312320," will show you if you drag and drop the file that it can read it start visualizing without like"
312320,318400," you know the side panel or timeline and stuff like that if you drag and drop what it cannot load again"
318400,327920," it will switch back to this particular screen so that works when you have on when you work only with one"
327920,335840," file at a time as soon as you introduce the side panel that can actually store several files that entire"
335840,342800," workflow breaks right so how are you supposed to show like couldn't load file how do you proceed from"
342800,349760," there right so like where do you show all of that so like once you introduce several files this particular"
349760,356720," screen doesn't make any sense anymore so the idea was uh let's actually switch back to"
358160,365920," several files to the latest version right so let's go ahead and do that let's actually rebuild uh oh yeah"
365920,370800," this is a funny one so i just need to remove the folder and start from scratch but if i start from"
370800,374880," scratch i'll have to rebuild um you know really but it's not that big deal"
377600,387280," right and if we take a look at how um now works right so the idea was uh that once we introduce this"
387280,394800," side panel if you drag and drop the file that it cannot load it will show up the classical in annoying"
394800,401440," visual studio code pop-up somewhere here saying yeah i couldn't know the file install the plugin for this"
401440,409440," version you know the the visual studio thing right so this is like the most logical thing to do in here"
