start,end,text
0,29980," *music*"
30000,59980," *music*"
60000,72000," *music*"
72000,84000," *music*"
84000,96000," *music*"
96000,108000," *music*"
108000,120000," *music*"
120000,132000," *music*"
132000,144000," *music*"
144000,156000," *music*"
156000,168000," *music*"
168000,180000," *music*"
180000,192000," *music*"
192000,204000," *music*"
204000,216000," *music*"
216000,228000," *music*"
228000,240000," *music*"
240000,240000," *music*"
240000,252000," *music*"
252000,252000," *music*"
252000,264000," *music*"
264000,264000," *music*"
264000,264000," *music*"
264000,264000," *music*"
264000,276000," *music*"
276000,276000," *music*"
276000,278000," *music*"
278000,290000," *music*"
290000,290000," *music*"
290000,290000," *music*"
290000,290000," *music*"
290000,304000," *music*"
304000,304000," *music*"
304000,306000," *music*"
306000,320000," *music*"
320000,320000," *music*"
320000,322000," *music*"
322000,324000," *music*"
324000,338000," *music*"
338000,338000," *music*"
338000,340000," *music*"
340000,354000," *music*"
354000,356000," *music*"
356000,358000," *music*"
358000,358000," *music*"
358000,387980," So, let's go."
388000,417980," So, let's go."
418000,447980," So, let's go."
448000,477980," So, let's go."
478000,507980," So, let's go."
508000,537980," So, let's go."
538000,567980," So, let's go."
568000,597980," So, let's go."
598000,627980," So, let's go."
628000,657980," So, let's go."
657980,687960," So, let's go."
687960,717940," So, let's go."
717940,747920," So, let's go."
747920,777900," So, let's go."
777900,807880," So, let's go."
807880,837860," So, let's go."
837860,867840," So, let's go."
867840,897820," So, let's go."
897820,927800," So, let's go."
927800,957780," So, let's go."
957780,987760," So, let's go."
987760,1017740," So, let's go."
1017740,1047720," So, let's go."
1047720,1077700," So, let's go."
1077700,1107680," So, let's go."
1107680,1137660," So, let's go."
1137660,1167640," So, let's go."
1167640,1197620," So, let's go."
1197620,1227600," So, let's go."
1227600,1257580," So, let's go."
1257580,1287560," So, let's go."
1287560,1317540," So, let's go."
1317540,1347520," So, let's go."
1347520,1377500," So, let's go."
1377500,1407480," So, let's go."
1407480,1437460," So, let's go."
1437460,1467440," So, let's go."
1467440,1497420," So, let's go."
1497420,1527400," So, let's go."
1527400,1557380," So, let's go."
1557380,1587360,", let's go."
1587360,1617340," So, let's go."
1617340,1647320," So, let's go."
1647320,1677300," So, let's go."
1677300,1707280," So, let's go."
1707280,1737260," So, let's go."
1737260,1767240," So, let's go."
1767240,1797220," So, let's go."
1797220,1827200," So, let's go."
1827200,1857180," So, let's go."
1857180,1887160," So, let's go."
1887160,1917140," So, let's go."
1917140,1947120," So, let's go."
1947120,1977100," So, let's go."
1977100,2007080," So, let's go."
2007080,2037060," So, let's go."
2037060,2067040," So, let's go."
2067040,2097020," So, let's go."
2097020,2127000," So, let's go."
2127000,2156980," So, let's go."
2156980,2186960," So, let's go."
2186960,2216940," So, let's go."
2216940,2246920," So, let's go."
2246920,2276900," So, let's go."
2276900,2306880," So, let's go."
2306880,2336860," So, let's go."
2336860,2366840," So, let's go."
2366840,2396820," So, let's go."
2396820,2426800," So, let's go."
2426800,2456780," So, let's go."
2456780,2486760," So, let's go."
2486760,2516740,", let's go."
2516740,2546720," So, let's go."
2546720,2576700," So, let's go."
2576700,2606680," So, let's go."
2606680,2636660," So, let's go."
2636660,2666640," So, let's go."
2666640,2696620," So, let's go."
2696620,2726600," So, let's go."
2726600,2756580,", let's go."
2756580,2786560," So, let's go."
2786560,2816540," So, let's go."
2816540,2846520," So, let's go."
2846520,2876500," So, let's go."
2876500,2906480," So, let's go."
2906480,2936460," So, let's go."
2936460,2966440," So, let's go."
2966440,2996420," So, let's go."
2996420,3026400," So, let's go."
3026400,3056380," So, let's go."
3056380,3086360," So, let's go."
3086360,3116340," So, let's go."
3116340,3146320," So, let's go."
3146320,3176300," So, let's go."
3176300,3206280," So, let's go."
3206280,3236260," So, let's go."
3236260,3266240," So, let's go."
3266240,3296220," So, let's go."
3296220,3326200," So, let's go."
3326200,3356180," So, let's go."
3356180,3386160," So, let's go."
3386160,3416140," So, let's go."
3416140,3446120," So, let's go."
3446120,3476100," So, let's go."
3476100,3506080," So, let's go."
3506080,3536060," So, let's go."
3536060,3566040," So, let's go."
3566040,3596020," So, let's go."
3596020,3626000," So, let's go."
3626000,3655980," So, let's go."
3655980,3685960," So, let's go."
3685960,3715940," So, let's go."
3715940,3745920,", let's go."
3745920,3775900," So, let's go."
3775900,3805880," So, let's go."
3805880,3835860," So, let's go."
3835860,3865840," So, let's go."
3865840,3895820," So, let's go."
3895820,3925800," So, let's go."
3925800,3955780," So, let's go."
3955780,3985760," So, let's go."
3985760,4015740," So, let's go."
4015740,4045720," So, let's go."
4045720,4075700,", let's go."
4075700,4105680," So, let's go."
4105680,4135660," So, let's go."
4135660,4165640," So, let's go."
4165640,4195620," So, let's go."
4195620,4225600," So, let's go."
4225600,4255580," So, let's go."
4255580,4285560," So, let's go."
4285560,4315540," So, let's go."
4315540,4345520," So, let's go."
4345520,4375500," So, let's go."
4375500,4405480," So, let's go."
4405480,4435460," So, let's go."
4435460,4465440," So, let's go."
4465440,4495420," So, let's go."
4495420,4525400," So, let's go."
4525400,4555380," So, let's go."
4555380,4585360," So, let's go."
4585360,4615340," So, let's go."
4615340,4645320," So, let's go."
4645320,4675300," So, let's go."
4675300,4705280," So, let's go."
4705280,4735260," So, let's go."
4735260,4765240," So, let's go."
4765240,4795220," So, let's go."
4795220,4825200," So, let's go."
4825200,4855180," So, let's go."
4855180,4885160," So, let's go."
4885160,4915140," So, let's go."
4915140,4945120," So, let's go."
4945120,4975100," So, let's go."
4975100,5005080," So, let's go."
5005080,5035060," So, let's go."
5035060,5065040," So, let's go."
5065040,5095020," So, let's go."
5095020,5125000," So, let's go."
5125000,5154980," So, let's go."
5154980,5184960," So, let's go."
5184960,5214940," So, let's go."
5214940,5244920," So, let's go."
5244920,5274900," So, let's go."
5274900,5304880," So, let's go."
5304880,5334860,", let's go."
5334860,5364840," So, let's go."
5364840,5394820," So, let's go."
5394820,5424800,", let's go."
5424800,5454780," So, let's go."
5454780,5484760," So, let's go."
5484760,5514740," So, let's go."
5514740,5544720," implement something like this."
5544720,5574700," So, let's go."
5574700,5604680," So, let's go."
5604680,5634660," So, let's go."
5634660,5664640," So, let's go."
5664640,5694620," So, let's go."
5694620,5724600," So, let's go."
5724600,5754580," So, let's go."
5754580,5784560," So, let's go."
5784560,5814540," So, let's go."
5814540,5844520," So, let's go."
5844520,5874500," So, let's go."
5874500,5904480," So, let's go."
5904480,5934460," So, let's go."
5934460,5964440," So, let's go."
5964440,5994420," So, let's go."
5994420,6024400," So, let's go."
6024400,6054380," So, let's go."
6054380,6084360," So, let's go."
6084360,6114340," So, let's go."
6114340,6144320," So, let's go."
6144320,6174300," So, let's go."
6174300,6204280," So, let's go."
6204280,6234260," So, let's go."
6234260,6264240," So, let's go."
6264240,6294220," So, let's go."
6294220,6324200," So, let's go."
6324200,6354180," So, let's go."
6354180,6384160," So, let's go."
6384160,6414140," So, let's go."
6414140,6444120," So, let's go."
6444120,6474100," So, let's go."
6474100,6504080," So, let's go."
6504080,6534060," So, let's go."
6534060,6564040," So, let's go."
6564040,6594020," So, let's go."
6594020,6624000," So, let's go."
6624000,6653980," So, let's go."
6653980,6683960," So, let's go."
6683960,6713940,", let's go."
6713940,6743920," So, let's go."
6743920,6773900," So, let's go."
6773900,6803880," So, let's go."
6803880,6833860," So, let's go."
6833860,6863840," So, let's go."
6863840,6893820," So, let's go."
6893820,6923800," So, let's go."
6923800,6953780," So, let's go."
6953780,6983760," So, let's go."
6983760,7013740," So, let's go."
7013740,7043720," So, let's go."
7043720,7073700," So, let's go."
7073700,7103680," So, let's go."
7103680,7133660," So, let's go."
7133660,7163640," So, let's go."
7163640,7193620," So, let's go."
7193620,7223600," So, let's go."
7223600,7253580," So, let's go."
7253580,7283560," So, let's go."
7283560,7313540," So, let's go."
7313540,7343520," So, let's go."
7343520,7373500," So, let's go."
7373500,7403480," So, let's go."
7403480,7433460," So, let's go."
7433460,7463440," So, let's go."
7463440,7493420," So, let's go."
7493420,7523400," So, let's go."
7523400,7553380," So, let's go."
7553380,7583360," So, let's go."
7583360,7613340," So, let's go."
7613340,7643320," So, let's go."
7643320,7673300," So, let's go."
7673300,7703280," So, let's go."
7703280,7733260," So, let's go."
7733260,7763240," So, let's go."
7763240,7793220," So, let's go."
7793220,7823200," So, let's go."
7823200,7853180," So, let's go."
7853180,7883160," So, let's go."
7883160,7913140," So, let's go."
7913140,7943120," So, let's go."
7943120,7973100," So, let's go."
7973100,8003080," So, let's go."
8003080,8033060," So, let's go."
8033060,8063040," So, let's go."
8063040,8093020," So, let's go."
8093020,8123000," So, let's go."
8123000,8152980," So, let's go."
8152980,8182960," So, let's go."
8182960,8212940," So, let's go."
8212940,8242920," So, let's go."
8242920,8272900," So, let's go."
8272900,8302880," So, let's go."
8302880,8332860," So, let's go."
8332860,8362840," So, let's go."
8362840,8392820," So, let's go."
8392820,8422800," So, let's go."
8422800,8452780," So, let's go."
8452780,8482760," execute this."
8482760,8512740," So, let's go."
8512740,8542720," So, let's go."
8542720,8572700," So, let's go."
8572700,8602680," So, let's go."
8602680,8632660," So, let's go."
8632660,8662640," So, let's go."
8662640,8692620," So, let's go."
8692620,8722600," So, let's go."
8722600,8752580," So, let's go."
8752580,8782560," So, let's go."
8782560,8812540," So, let's go."
8812540,8842520," and put it."
8842520,8872500," So, let's go."
8872500,8902480," So, let's go."
8902480,8932460," So, let's go."
8932460,8962440," So, let's go."
8962440,8992420," So, let's go."
8992420,9022400," So, let's go."
9022400,9052380," So, let's go."
9052380,9082360," So, let's go."
9082360,9112340," So, let's go."
9112340,9142320," So, let's go."
9142320,9172300," So, let's go."
9172300,9202280," So, let's go."
9202280,9232260," So, let's go."
9232260,9262240," So, let's go."
9262240,9292220," So, let's go."
9292220,9322200," So, let's go."
9322200,9352180," So, let's go."
9352180,9382160," So, let's go."
9382160,9412140," So, let's go."
9412140,9442120," So, let's go."
9442120,9472100," So, let's go."
9472100,9502080," So, let's go."
9502080,9532060," So, let's go."
9532060,9562040," So, let's go."
9562040,9592020," So, let's go."
9592020,9622000," So, let's go."
9622000,9651980," So, let's go."
9651980,9681960," So, let's go."
9681960,9711940," So, let's go."
