start,end,text
0,6060," Hello everyone and welcome to yet another recreational programming session with Ahu Amista"
6060,11980," Azorzin. So we continue working on this game and one of the things that we're currently doing"
11980,18760," with this game, we are rewriting it in WebAssembly, right? So we're kind of in an interesting"
18760,26000," situation where half of the game is written, specifically Renderer, in TypeScript, right? And"
26000,31080," half of the game is written in C3 and compiled to WebAssembly. And it's kind of interesting,"
31080,38900," how can you have a renderer that is partially written in TypeScript and partially written"
38900,50720," in WebAssembly? Yeah, by the way, 60 FPS. So WebAssembly is working, apparently. So WebAssembly"
50720,56600," is good. So, and how can we have this situation where half of the game is written in JavaScript"
56600,61960," and half of them written in WebAssembly? Like, how do they render things? So the way it is"
61960,71280," rendered, it is rendered into WebAssembly memory, right? Even JavaScript part of the game renders"
71280,77440," into WebAssembly memory. So the canvas into which we render things pixel by pixel is located"
77440,83160," within WebAssembly. And that's how we do that. So, and we are kind of in the middle of taking"
83160,87680," the code, reading in JavaScript, aka TypeScript, it doesn't matter, the same shit, TypeScript"
87680,94560," is just a preprocessor, and just slowly moving into WebAssembly, very slowly and very carefully"
94560,101160," without breaking the game. So I want it to be like a smooth process that doesn't really break"
101160,107120," the game. And because of that, we have a lot of, like, weird things where we have huge functions"
107120,112020," that accept a lot of arguments, right? So I can even show you this kind of situation, I think."
112020,118340," So we have an interface called wasmclient, and it's pretty nasty, right? So it is really freaking"
118340,124400," nasty. So look at these functions that accept a lot of, like, arguments. And all of them are numbers,"
124400,129960," right? All of them are numbers. And these functions are calling to the code in WebAssembly. And the reason"
129960,138200," why they accept numbers is that you can only pass numbers to WebAssembly. Yeah, so if you didn't know"
138200,143880," about that, you can pass only numbers. But you probably, maybe you're using some sort of a language,"
143880,150220," high-level language, and some sort of framework where you can pass complicated things to WebAssembly."
150220,156420," And because of that, you're thinking, I'm some sort of a moron. Well, let me tell you, that is"
156420,164260," probably abstracted away. On a lower level, WebAssembly can only accept numbers. And that's it."
164260,172640," It can't accept through the arguments anything else. Anything else. If you want to pass something more"
172640,178180," complicated than numbers, like, for example, a structure, what you have to do, you have to place"
178180,183860," that structure to WebAssembly memory, right? And to do that, you need to understand how WebAssembly"
183860,189620," memory works, right? Because it's just an array of bytes. So you need to know how to encode that"
189620,196180," structure in WebAssembly. And the only thing you can do, you can pass an address to that structure"
196180,202320," as a number. That's the workaround you do in WebAssembly. And if your magical high-level language"
202320,209080," with huge overbloated framework just allows you to pass structures, I have bad news for you. All of that"
209080,215900," nastiness is just simply abstracted away from you. It is simply abstracted away from you. So to not bother"
215900,222300," you. Right. But here, we're doing a real software engineering. Right. So, because, because, listen,"
222300,228220," listen, you may argue, like, why are you using this low-level stuff if you can just use this"
228220,236060," higher-level stuff and save time? Well, guess who wrote that low-level stuff that saved your time?"
236060,244860," Who wrote all of that? You think it just magically appeared on NPM one day? No, somebody had to sit down"
244860,251260," and write it for you. Because you can't do that yourself. And guess who did that? People like me."
252220,256620," crazy nerds like me do that. Thank you very much."
256620,260780," Anyway, I'm sorry. I'm joking."
260780,267980," Cheers, by the way. So, I have nothing against using high-level frameworks. Just saying,"
267980,268860," I'm just joking wrong."
272140,277580," So, anyway, here we're just doing recreational programming. And in recreational programming,"
277580,282780," I kind of like to just do things for the heck of it. Right. So, just doing things for the heck of it."
282780,289180," Right. So, and essentially, right. So, we can only pass numbers. And we need to pass complicated things."
289180,293980," And that's why we have a lot of arguments. Some of these arguments could have been actually passed"
293980,301420," as structures. For example, it would be kind of nice to grab these three things. Like display. I'm"
301420,306780," not sure if you can see that. Like display, display width, and display height. And just combine it into"
306780,313980," a single structure. Right. That would be nice. But the thing is, this is the thing that is also used"
313980,321660," in JavaScript. It is also used in JavaScript. And that means that we need to have a structure that is"
321660,328460," both accessible in JavaScript and WebAssembly. So, that means JavaScript part that is using that structure"
328460,334220," needs to manipulate bytes of the WebAssembly memory, which is not particularly convenient. So, it's just"
334220,339260," easier to pass this thing as three numbers. Right. Because I don't want to be dealing with offsets"
