start,end,text
880,8520," hello and welcome to another starting session how about that hmm didn't expect that didn't"
8520,16520," expect that yet again hello hello so today we are adjusting our layout right I forgot to adjust it"
16520,24240," before the stream so today I decided to continue the series of mini Excel so I didn't want to do"
24240,31060," that because I thought maybe I explored everything but it went okay so maybe we can continue and"
31060,37300," actually finally finish this entire this entire project you can find the source code of the project"
37300,43200," in here if you're watching in like a life you can find it in in the chat and for people who watching"
43200,50400," on YouTube I'm going to put that in the description so the source code right and we started this entire"
50400,55780," thing on the previous episode of this series so I'm going to leave the link to the previous episode"
55780,62420," in the description as well so it is not out yet it's not published yet so it's probably going to be"
62420,70380," published after I finish the today's stream so the idea of the mini Excel is rather simple so you have"
70380,79380," a csv file right you have a csv file and in the csv file you have cells that are similar to the excel cells"
79380,85920," right so they can contain text they or they can contain numbers or they can contain expressions right"
85920,94680," so the challenge is to write a batch program that takes the csv file and actually evaluates all the"
94680,101220," expressions in the cells and prints evaluated state right it also needs to keep track of dependencies"
101220,105500," between the cells it and it also needs to keep track of whether there is a circular dependencies"
105500,110460," and stuff like that and there is a circular dependencies it should report an error in some way"
110460,117880," so we managed to implement it in to the point where it can actually handle this specific input"
117880,124720," but it supports on the uh you know plus operation and nothing else to add support for other operations"
124720,129280," you need to put a little bit of more elbow grease and maybe that's exactly what we're going to do today"
129280,137960," so yeah today I also wanted to uh clean up the source code a little bit improve the memory management"
137960,143040," uh because right now the memory management is actually kind of like very hackish we just you know"
143040,147060," malloc things and never free them and stuff like that it will be interesting to just like"
147060,153540," uh you know uh tidy up a little bit and just improve the quality of the source code overall"
153540,158280," uh right so let me finish the latest stuff I think I already fetched all the stuff so as you can see"
158280,166560," I just checked everything in here that everything works um so and the input it looks like this"
166560,172560," um uh buckle one thank you thank you so much for uh twitch prime subscription thank you thank you thank"
172560,179040," I really appreciate it your first subscription by the way uh so here's the input file and uh we're gonna"
179040,185900," fit it into the mini cell and as you can see it actually evaluated everything so a indicates the column"
185900,196780," and number indicates the role just like in excel so a1 is uh 1 and b1 is 2 so 1 plus 2 is going to be 3"
196780,204040," right as you can see it's it's 3 so in case of a2 b2 we're uh we're summing up 3 and 4 and there you go"
204040,209520," here is 7 so as you can see we do all of the computations in uh floating point that's why we"
209520,215320," have like this uh you know trailing zeros in the fraction and stuff like that so it also handles the"
215320,224460," circular dependencies right so this one is a 1 2 3 right so maybe we can put something like 3 in here"
224460,232320," right so now this thing depends on the value in this cell and uh here I think this is b3 so this cell"
232320,238260," depends on uh on this cell so now we have cells that depend on each other and if you try to evaluate this"
238260,243540," entire thing it will tell you that circular dependency is detected interestingly enough it actually"
243540,250520," prints and evaluates as it goes you see it managed to actually print the rest of the cells but once it"
250520,256800," get to other things it actually detected like circular dependency I'm not sure if it's a good idea generally"
256800,264940," maybe we should first evaluate everything and only then uh try to print the final state so um we'll see"
264940,276140," about that we'll see about that so yes yes yes um all right so let's start emacs I think I already have"
276140,284180," the emacs started so uh I'm gonna go to the mini cell in here right so and let's take a look at a couple of"
284180,292160," videos um it's really strange uh so here's the recent commits I think I didn't merge the latest"
292160,300160," stuff yeah yeah I need to merge the latest stuff first so and then if I go in here all right we have a couple"
300160,306160," of to do's all right uh we have a couple of to do's in here and on top of that I think we have a couple of"
306160,311460," issues in the issue tracker uh all arithmetic operations with the precedence and parenthesis and"
311460,316380," stuff like that and better error reporting because as already mentioned right now if you have a circular"
316380,321100," dependency right it will just tell you that there is a circular dependency but it doesn't really tell you"
321100,327060," where all right so it's not particularly convenient it would be nice to know where exactly the circular"
327060,333580," dependency has happened um right so that's one of the things we can implement in here"
333580,350420," so the first thing I wanted to address is um this thing so right now we have expressions"
350420,357040," right which are essentially abstract syntax tree right and the way we uh allocate memory"
357040,363560," for the abstract syntax tree is that uh every time you need to do a recursive reference to the"
363560,370340," expression itself we just malloc some memory so and yeah basically the entire thing is you know"
370340,375960," spread across the memory and it just forms a tree and uh the question is how are you supposed"
375960,383660," to deallocate such expression right so um I suppose you will have to write a recursive function that traverses"
383660,390180," like literally everything and then as it unwinds it would start deallocate the tree"
390180,394040," right so essentially let me take a look"
394040,399360," let me take a look let me take a look"
399360,406460," right so imagine that you have a tree right and it has a bunch of nodes that point to other nodes"
406460,412660," and then point to other nodes and so on and so forth and then you have a pointer to the root and stuff like"
412660,418840," that so to deallocate this entire tree you will have to recursively traverse the tree until you uh reach"
418840,424660," the leaves and as you reach the leaves only then you would start deallocating each individual node"
424660,431180," one by one one by one and so on and so forth until you deallocated the entire thing right"
431180,438420," which is rather slow I think and very inefficient um because we know that"
438420,441840," all of these nodes have to be deallocated at once"
441840,449780," uh deep sea gifted uh tier one sub to uh whom um to since kit thank you thank you so much for"
449780,456540," gifting tier one sub and since kit welcome to epic uh tree traversal club right uh thank you thank you"
456540,464280," thank you um so we have this tree right and uh to deallocate it we have to traverse it and then as"
464280,470860," you unwind from the recursion that traverses this entire thing um only then you deallocate um and"
470860,477620," interesting enough if the tree is big enough you may have a stack overflow right and also you deallocate"
477620,483760," uh or each individual node one by one uh and interestingly enough that the each individual node"
483760,491080," is actually the same size object right you could have pre-allocated like a lot of such objects like"
491080,498520," array of such objects and then deallocated all of these objects at once right so writing such"
498520,503560," deallocator it's actually a lot of work from the programmer's perspective because you need to write"
503560,508840," a recursive like traversal function and also from the computer perspective because you need to like"
508840,513080," traverse this entire thing when in reality you don't really have to you have a bunch of objects of"
513080,517480," the same size just pre-allocate them in the memory and once you're done with them just"
517480,522200," deallocate all of them it's just as simple as that it's just a chunk of memory i like it one chunk of"
522200,527400," memory deallocate another chunk of memory so um and that's precisely what i wanted to"
527400,535560," um to fix with our uh with our program because our program just you know forms this tree and"
535560,543720," in fact right now it doesn't even deallocate it uh so but here's the thing uh okay we can basically"
543720,547960," pre-allocate all of these nodes we can take each individual node so this is going to be"
547960,559000," uh node one two three four five right so and then instead of like deallocating them on the heap i would"
559000,566120," allocate like a huge array uh big enough array not huge array but big enough array uh and each individual"
566120,575400," cell of that array is going to be that node in here two three uh four uh five uh how many of them do we"
575400,581800," have do we we have precisely five of them and then within this entire thing i would say that one refers"
581800,590440," to two uh then also one refers to three three doesn't refer to anything two refers to uh four and it refers to"
590440,595640," five right and every time i need a node for the expression i will just take it from this array but"
595640,606600," the question is the question is uh how big should be the array right how big should it be it should be"
606600,613880," big enough so we can accommodate as many nodes as we want so we can try to implement it as like a stretcher"
613880,620680," buffer meaning that if you ran out of nodes in this array we can just use reallocate uh right"
620680,635400," realloc right this function realloc this function uh but the problem is every time you reallocate this"
635400,642120," array uh all of the pointers if you hold any pointers to the element of that array they get invalidated"
642920,648760," right so essentially if you store uh your nodes in this kind of array and then you want to extend"
648760,653960," the array all of the pointers here are going to be instantly incorrect because the entire array in"
653960,663240," the memory in the ram got moved to a different place so uh you can't use pointers to uh express"
663240,668200," a relationship between the the nodes anymore right if you want to have this like stretchy buffer"
668200,671960," that uh extends as you allocate more and more memory for your nodes"
671960,680920," right so you can't use absolute pointers so the way people usually solve it is instead of um you know"
680920,686920," describing relationships between the nodes with pointers they describe them in terms of indices"
686920,697400," within that global pool of objects right so here uh we have a expression note here we go so expression"
697400,703000," plus and it points to the left hand side expression and a right hand side expression so if we implement"
703000,709880," this sort of like a pre-allocated pool of expressions right uh instead of having the pointers we can say"
709880,717000," that this is going to be an index in that global array of these things right and index is actually"
717000,725560," insensitive to reallocation right uh basically it's offset from the base of that array it's simply an"
725560,732600," offset and it doesn't care where that base is located whatsoever and that enables actually a lot of pretty"
732600,739000," interesting tricks again it enables you reallocating your array in whatever place you want in the memory"
739000,745240," and on top of that it actually enables you serializing your entire tree quite easily so essentially you can"
745240,751800," just take this entire array dump it into the file system and then on the next run of your application"
751800,756520," where all of the pointers and all of these segments are completely different just load it up and it's"
756520,765320," still going to be valid right because the pointers now are not absolute they are relative to the base"
765320,771080," of uh this entire array you see what i'm talking about it's actually pretty cool so and this is like"
771080,776520," a common trick that's you know very cool people like casey and john use in their games engines and"
776520,781960," stuff like that and i've never actually tried to um develop things like that well i mean i sort of tried"
781960,786920," it but i never actually did anything serious with this kind of stuff so i wanted to like take this as"
786920,790360," an opportunity to implement one of these like allocators and whatnot"
790360,806520," want array we will use because slow as f to traverse when you need to search for an element"
807880,815960," it won't um so as virtual pointers rather than actual pointers yeah sort of like index is basically a"
815960,823000," pointer right index is basically a pointer but it's a relative pointer it's relative to the beginning of"
823000,831480," the array you can actually think about indices as pointers um yeah and furthermore by the way pointer is"
831480,839480," precisely eight uh bytes on the 64-bit machine right it's eight bytes on a 64-bit machine uh what if you"
839480,848440," have a lot of different objects right and they all refer to each other and uh you don't really well you"
848440,854520," have a lot of projects but um how to say that um so essentially what i'm trying to say is that you can"
854520,860760," control the size of the pointer now right if you're using absolute pointers you're stuck with eight bytes"
861480,869000," per pointer but if you're using the relative pointers uh aka indices you can actually control how much"
869000,875080," memory you can use per pointer you see what i'm talking about and if if you build a data structure"
875080,879320," that you're going to serialize into the hard drive and you have a limited memory and stuff like that"
879320,887160," it could be actually quite important um so you see what i'm talking about it's actually pretty cool"
891480,901320," um all right so uh let's try to implement this entire thing right so let's just go ahead and try to"
901320,913720," implement uh deeps and go right to hello already um so uh yeah so i hope i hope my explanation actually made"
913720,921400," sense again i'm not really um super experienced with this kind of like relative pointer stuff right"
921400,925880," where you have a pre-allocated pool of objects and objects refer to each other but not through the"
925880,934040," pointers but rather through in indices within that array um so i but i hope it was kind of like you know"
934040,938360," managed to get the idea across so maybe as we implement this entire thing maybe it's going to be"
938360,945560," a little bit more clear what i mean so yeah let's go ahead and do that um so let me create a separate"
945560,953320," branch and uh it's going to be a relative uh pointers right so this is going to be relative pointers i'm"
953320,963400," going to remove this entire thing so i suppose i want to actually create um a special object right which"
963400,971560," holds the stretching array of expressions so um yeah when we parse a primary expression we always allocate"
971560,977880," uh which is basically malloc in expression and another malloc yeah yeah so as you can see we do a"
977880,985320," lot of allocations of the objects of the same size essentially so yeah here we allocate memory for um"
985320,992040," how is it called for for for the file so we're basically allocating memory for the content of the file"
992040,995880," and in here we allocate memory for the cells but it's a completely different situation so"
995880,1003720," uh anyway where is the expression uh definition i think it's defined somewhere in here there we go"
1003720,1011320," so the thing i want to define now is something like expression buffer right so this is going to be expression"
1011320,1019560," buffer uh and expression buffer is a stretchy buffer and stretchy buffer usually uh have the amount of"
1019560,1026360," units of elements that they already have and the capacity how much memory already allocated for the elements"
1026360,1031960," right and um on top of that we're going to have a pointer to the beginning of the array"
1031960,1039080," uh so it's going to be something like items there we go uh and uh what i want to do now i want"
1039080,1048040," to create a function right so it takes expert buffer uh and basically allocates a new expression in here"
1048040,1052680," um"
1052680,1059800," right and i suppose instead of returning a pointer to the expression right it's going to straight up return"
1059800,1068520," you an index and also maybe for the index uh we wanna we want to have a separate like type depth"
1068520,1076040," uh type depth size t expression index right because it's going to be rather convenient for documentation purposes right so if a function accept expression index"
1076040,1086280," uh we know that it's something within an expression buffer right so expression index and expression buffer are sort of related to each other"
1086280,1094040," uh right so it's not particularly type safe but making this kind of stuff type safe is just like a lot of work that i don't want to put into right now"
1095000,1100360," um okay so we're not going to accept any arguments in here all right so there we go"
