start,end,text
80,6000," Looks like we're live. Hello everyone and welcome to yet another recreation programming session"
6000,12000," with Mr. Azuz. Let's make a little bit of an announcement and officially start the stream"
12000,21440," as usual. So we're going to do red circle. Okay, can anybody tell me? Okay, I'm trying to search"
21440,29760," for an emode red underscore and there's a lot of emodes that start with red underscore but for some"
29760,37440," reason at the top it is searching chat. I mean I don't complain but who wrote the system for searching"
37440,48160," emotes? Like how is that the most... like I don't understand. It worked fine before. You can watch"
48160,55120," any of my previous streams. It worked fine before. It only recently some intern, some summer intern"
55120,58720," broke this shit and now it's just like... how is that even relevant?"
60080,66000," Anyway, so we only started the stream and we already have to deal with the modern software"
67200,73360," live on Twitch and what are we doing today on twitch.television website? That's a good question."
73360,78640," So today we're doing Raylib on web, right? So I'm going to give the link to where we're doing all of"
78640,85760," that. All right, twitch.tv/toning, https twitch.tv/toning and I'm going to ping everyone who's interested in"
85760,91760," being pinged and there we go. The stream has officially started. The stream has officially started. How's it going, everyone?"
91760,100080," So Raylib is a game library that I use for basically anything related to graphics these days when I work"
100080,108480," with C and not only C because it's a very simplistic library that is actually easy to interrupt with from"
108480,114960," any language. We even did this kind of development from assembly, right? x86-64 assembly, right? So that's"
114960,122880," how simple it is. It is possible to use this library from anywhere. But some aspect of Raylib that I never"
122880,131920," really explored was web support, right? So apparently one of the platforms that it supports is web, right?"
131920,138640," So it has a lot of examples that are also compiled for web, right? So maybe they're using web assembly or"
138640,143200," something like that. I don't really know. I never really tried that and that's the point of today's"
143200,150800," stream. I want to try the web support of Raylib. Here's an interesting thing. For the longest time,"
150800,158000," I kind of thought that to do simple games in C, right? To do simple games in C, you don't really"
158000,166160," need any library support at all because it is really, really simple, right? It is really, really simple."
166160,172720," Some time ago, I developed a simple snake game, right? I developed a simple snake game and I'm going to"
172720,178320," actually show you. I actually streamed this thing, but I couldn't make those streams entertaining enough to"
178320,183600," post them on YouTube. So I really apologize to YouTube people that you probably never see that because"
183600,189040," I kind of sucked at making it interesting to watch. But the game itself, you can find it in here,"
189040,194320," right? So for people on YouTube, I'm going to actually put it in here. So this is basically"
194320,205360," so you can see C wasm, so gene snake C wasm. Right. And the game looks like this. Right. Let me show you."
205360,212560," So this is the game, basically. So it's pretty cool. I really make like an emphasis on smooth animations and"
212560,217680," stuff like that. Right. So it's actually kind of satisfying to play. I really like that. I really like"
217680,222400," how satisfying it is to play this game. So you can try it for yourself. And another satisfying thing I"
222400,227680," actually did is the death animation. Right. So essentially, if you hit yourself, you actually"
227680,232560," shatter into pieces. Right. So it's actually kind of cool. I really like that. And this game is implemented"
232560,239040," in pure C entirely. I think I didn't press enter on my, on my chat. I copy pasted the URL, but they didn't"
239040,245920," press enter. Right. So YouTube people actually received the URL, but Twitch people, they never"
245920,250000," received it because I never pressed enter. So I'm going to go ahead and just press enter. There you go."
250000,254800," Twitch people now have the link to the source code of this entire thing. It's open source. You can do"
254800,261200," whatever you want with it, except stripping off my name from the license. Again, I'm asking nicely."
261200,268080," Do whatever you want, except stripping my name. Anyway. So, and here's the thing. I'm not using any"
268080,274240," special library support. Right. So there is a SDL in here, but this is because I'm cross-compiling"
274240,279440," this entire game between two platforms. We can even take a look maybe at the source code. I'm"
279440,285120," pretty sure I do have a source code in here. So the snake C wasn't blah, blah, blah. So let's actually"
285120,289520," take a look at it. So I have some changes. So fuck that. I'm going to fetch the latest things and I'm"
289520,297440," going to merge them and everything. Right. So merge origin must up. So essentially I have sort of like"
297440,304720," two mains. Right. So I have SDL main, which is written in C, and it also has wasm main. Right."
304720,310960," And the point of these two things is to be two separate entry points to two different platforms,"
310960,317280," to two different platforms. Right. And the game itself is actually platform agnostic. Right. So the game"
317280,325200," itself knows nothing about the platform it's executing in. So what it does, it essentially exposes a couple of"
325200,330800," things that the platform is supposed to call. Things like game you need, game resize when the"
330800,336800," window got resized and stuff like that, game render, game update and game key down. Right. And then it"
336800,341920," expects certain things from the platform. It expects the platform to provide things like fill rect,"
341920,349040," stroke rect, fill text, and so on and so forth. And the entire game is implementing using only,"
350240,359600," I repeat only this API, nothing else, only this API. So and the entirety of the game looks like this. So"
359600,364400," it's almost a thousand lines of code. Right. So essentially that's the entirety of the game. It's"
364400,370240," it's the snake using only this platform API that is implemented differently depending on the platform."
370240,374720," Right. If you compile for SDL, right, for native application, all of these things are going to be"
374720,379040," implemented like so. Right. For instance, platform fill text is going to implement it. It's going to be"
