start,end,text
880,6440," Looks like we're live. Hello everyone and welcome to yet another Azuzin session."
6440,11820," Let's make a little bit of an announcement and officially start this stream."
11820,14480," Hello, hello everyone. Welcome, welcome, welcome."
14480,19120," So, Red Circle as usual, live on Twitch."
19120,23400," And what are we doing today on Twitch.television website?"
23400,35980," Today, we are generating cellular automata based on pixel art images."
35980,39280," Does it sound interesting? I think it sounds kind of interesting."
39280,42800," So, I'm going to give the link to twitch.tv.com where we're doing all of that."
42800,45320," I'm going to ping everyone who's interested in being pinged."
45320,48360," And there we go, the stream has officially started."
48360,54740," So, today we continue the project that we started yesterday, which I decided to call AutoSell."
54740,56560," But the name doesn't really matter, right?"
56560,59440," So, I'm going to give the link in the chat."
59440,60820," I'm going to copy paste it in the chat."
60820,65100," And for people who are watching on YouTube, potentially, we'll see, we'll see."
65100,66000," The winner gets tea."
66000,67940," I'm going to put that in the description."
67940,70500," So, let's take a look at the project itself."
70500,72200," So, I already, by the way, deployed it."
72200,73940," So, there is a website, right?"
73940,76880," So, since it's written in TypeScript, right?"
76880,77960," It's a web application."
77960,80500," So, this is how it looks like, right?"
80500,87200," And believe it or not, this is a straight-up Game of Life, Conway's Game of Life, right?"
87200,89280," It's that straightforward, right?"
89280,93220," So, this is what we spent two hours yesterday implementing, right?"
93220,94600," And you can see, this is a glider."
94600,96340," This is a Conway's Game of Life."
96340,98060," So, what's up with that?"
98060,101140," Why did we need to implement yet another Conway's Game of Life?"
101360,109180," We didn't really implement this thing in a conventional sort of way, where we would have, like, an if condition, right?"
109180,114500," If the amount of, like, alive neighbors is between two and three become alive and blah, blah, blah."
114500,115100," No, no, no, no."
115100,116400," We didn't implement it like that."
116400,120760," We implemented this entire thing as a transition table, right?"
120860,121760," So, let's take a look."
121760,123220," So, outer cell."
123220,127100," I'm going to go into the index.ts."
127100,132360," And this is the implementation of the Conway's Game of Life, right?"
133160,135880," So, this entire thing, right?"
135880,138980," It's a transition table, right?"
138980,145140," And the actual application is basically an interpreter of this transition table."
145140,147320," So, idea is the following, right?"
147320,151460," You have two states, dead and alive."
151460,155000," We denote them zero and one correspondingly."
155340,160500," So, essentially, each state can be used as an index within this array."
160500,164220," So, we have an array of two elements, zero and one."
164220,168320," So, if you are currently dead, right?"
168320,173080," So, if the current value is dead, you will get this table."
173080,176780," If you are alive, you will get this table, right?"
176780,181520," So, by doing this kind of thing, you picked a table, the current table."
181520,186660," And then, you have another two-dimensional thing, right?"
186660,188260," So, now we have a two-dimensional table."
