start,end,text
960,8080," hello and welcome to another zozin session how about that about that but you didn't expect that"
8080,15520," to happen so today is uh friday if i'm not mistaken i think today is friday and i want to"
15520,24000," kind of get back to a stable schedule where i have like a well-defined uh projects on the well-defined"
24000,31600," days of the week so on the friday we usually do a random one-off stream and uh that's precisely"
31600,40400," what i wanted to do today i wanted to do something random and one time right so i've been programming"
40400,45760," in pure c for quite some time already and it's actually kind of freaking boring to use the same"
45760,52800," language all the time uh even though there's not that much that many replacement languages for c"
52800,58880," for c unfortunately a lot of people claim that they managed to come up with the killer of c uh"
58880,64960," and the people were claiming that over the past of several decades right so people were trying to kill"
64960,73360," c since 80s i suppose still can't do that well like unfortunately i wish we could finally get rid of that"
73360,82560," stupid language but unfortunately nobody can finally kill uh c so um the language of today uh is nim i"
82560,87360," probably in that language long time ago actually when i was developing a boomer for those who"
87360,94800," doesn't know boomer is this thing that can zoom in and zoom out it is written in fact in nim programming"
94800,100720," language uh so maybe i'm gonna actually give the links to all of that stuff in the description for"
100720,109360," lovely people who's watching me on uh youtube and of course if you are brave enough to watch me on twitch"
110160,114960," i'm gonna give the link in the in the chat as well just for you for the brave people at twitch"
114960,122560," for the brave people at twitch who is not afraid to look at zozin life by the way hello brave people"
122560,131040," hello uh free food i could duke an oligor rastafarian mr bodka sodding hello hello everyone who i can see in"
131040,136960," the chat welcome welcome welcome welcome nim programming uh maybe i want to disable the white"
136960,143840," spaces nim programming uh language now we go so here's the new programming language and the source"
143840,148720," code of this thing that can zoom in and zoom out it's available on the starting organization believe"
148720,154800," it or not it's called boomer and the reason why it's called boomer is because it's a zoomer application for"
154800,165920," linux that's right uh so let's put it here boomer uh application uh and i'm gonna put it in here and"
165920,172560," of course for brave people at uh twitch here it is here is the thing that you can download"
173680,179920," so uh what version of nim i even use uh i don't really know so let me see how you're supposed to"
179920,186640," do it like that uh active boot switch derelease something something i'm not sure if it fails with"
186640,194160," anything uh yeah yeah so it doesn't apparently doesn't really care it's a really strange flag uh but"
194160,204400," yeah so the version is 1.04 compiled that 2019 two years ago i have a two years old uh version of nim"
204400,210480," for linux amd64 so where is it installed by the way is it installed somewhere here i think this is where"
210480,217680," it's installed uh so maybe the time has come to upgrade my my new so because the the latest version"
217680,227440," is apparently 1.4.8 all right i think the time has freaking come python ada modular some other"
227440,235920," shit anyway so let's install new uh so what operating system do we use do we use windows or do we use unix"
235920,246080," uh i think we're using unix uh pre-built binaries for linux okay so we're using x86-64 if i'm not"
246080,253680," mistaken so let's download this thing that is it apparently um okay that was fast i'm not gonna"
253680,264400," lie uh so and i wonder uh like it is installed in opt do i keep all of my archives in opt i think i do"
264400,273680," uh i i saw new media apparently oh i do apparently i do have a more or less latest version it's just like"
274240,281360," uh yeah my config is not redirected to it but i mean i think it makes sense to actually uh use the latest"
281360,287760," latest version right so let's quickly do that uh to do that i probably have to do into like go into the"
287760,294800," root right so let's quickly do that um you know what i think this is how i'm going to be doing that right"
294800,302240," so now i'm root look at that look at that i'm using a root console on the machine from which i'm streaming"
302240,311680," right now this is the content you all subscribed for look at that i'm also streaming from this machine"
311680,318880," and i have the root access post anything in the chat i'm gonna copy paste it into this command prompt i'm"
318880,324160," joking i'm not gonna do that so uh okay let's actually go ahead and take this entire thing and"
324160,332400," i'm gonna do you get uh this thing in here there we go we're downloading and i'm gonna just do tar fvx"
332400,342960," um boom there we go so it's unpacking stuff and now i'm actually exiting the root console uh i'm actually"
342960,351120," exiting the root console okay so uh now i'm gonna go to my bash let me actually double check if my bash"
351120,360480," does not contain anything sensitive i don't think it does uh but i'm gonna modify it um outside of the"
360480,372960," screen anyway just in case you know just in case just in case all right so i need to restart my console"
372960,379120," so now if i take a look at the version of neem now we have the latest and greatest version"
379120,384320," of a name compiler that was built in 2021 recently"
384320,389040," recently pretty produceable"
389040,396240," okay"
409120,419280," so team mux all right so let's take a look at this stuff uh so let's do how should i call my"
419280,423920," project i don't know so i'm gonna call it wank tiles all right so it's gonna be wank tiles and let's"
423920,433200," actually test uh you know the new installation of uh new compiler uh new installation of the new compiler"
433200,440080," uh so i think i also probably want to update my new mode in emacs because maybe uh they will introduce"
440080,446160," like introduce like new stuff in there um right so i think it's something like proc"
447360,455120," uh and i do remember that uh the entry point in nim is something like when is main module right when is"
455120,461520," main module and this is where you put all of your hello worlds and stuff like that uh right so let's also"
461520,469120," remove white spaces and if i run nim and i think i have to do something like c will that work will that work"
469120,477280," um i think it worked uh and uh here is the executable look at that it's a beautiful beautiful executable"
477280,482640," so and the executable is dynamically linked unfortunately it doesn't produce statically"
482640,490400," linked executable so let's take a look at what it depends on it only depends on libc and dl and nothing"
490400,498000," more than that so that's fine so and now we can just run uh this executable and here is a hello world"
498000,505600," here is a hello world uh it's also pretty lean by the way yeah because i think c a compiler produces"
505600,514480," bigger executables i don't know maybe maybe this so uh yeah i wanted to actually maybe update the new mode"
