start,end,text
0,5360," so okay let's actually run non-asynchronous version and we can connect to it as you can see"
5360,10040," it is responding we can connect to different client and it is responding as well but look"
10040,15660," the problem here is that it creates two separate threads and every time i do another connection"
15660,20920," it creates another freaking thread but now let's take a look at our asynchronous version let's kill"
20920,26060," this shit and let's put asynchronous true let's actually run it and i can connect to that it"
26060,30920," responds to any of my queries i can connect another one i can connect another one and"
30920,35520," all of them are responding nothing is blocking everything is perfect but look at that there's"
35520,39960," no additional threads in here it's all handled within a single thread because we're using"
39960,47980," asynchronous sockets all right let's get started hello everyone and welcome to another creation"
47980,52820," programming session with a mr zodin so today we're doing an offline session because i'm a little bit"
52820,60100," tired of you know twitch distractions so um as you know i'm developing my futures libraries"
60100,65200," in c3 because c3 doesn't have one right so it's a language that is currently in development so it"
65200,69340," doesn't have a lot of things if you want to have some things you have to develop them yourself like"
69340,76820," a real programmer uh so and um i need more examples for this library right and one of the examples i want"
76820,83540," to introduce is echo server right so echo server is essentially just a server that listens to incoming"
83540,91220," tcp or udp connections and uh the clients may send some data and that server just sends that data back"
91220,97380," right it's it's a very simple application and uh i want to have that but with the futures libraries right"
97380,104100," so if you just usually are used for asynchronous programming right and i think i wanted to um and i think i want to"
104100,108260," take it as an opportunity to demonstrate the differences between synchronous programming"
108260,112260," synchronous network programming and asynchronous network programming i think it's going to be"
112260,120420," interesting so let's go ahead and just like introduce an example uh right so c3 feud and i'm going"
120420,127620," to create echo c3 so and this is going to be the you know echo server so first of all let's create a"
127620,133060," hello world right so just to test things out i'm going to create an entry point and within the entry"
133060,140260," point we're going to say print fn uh hello world so recently i started to finally use the built-in"
140260,146100," build system of c3 which is basically a project json uh and it's very straightforward right so you can"
146100,151700," have targets and the targets can be of different types either executable static library dynamic library and"
151700,158980," you have sources right so you can also add uh new targets either manually by modifying json or there"
158980,164740," is a special sub command for that right so we can do project add target and let's add target echo which"
164740,170980," is an executable target and one of the source codes for for this example is going to be echo c3 right and"
170980,177060," what it does it literally just modifies your json and it just ends adds this entire thing so then later you can"
177060,182580," do c3 build echo and it just builds that specific example you can also run it right away and as you"
182580,187540," can see it's a hello world right so we can also put additional flags in there and stuff like that"
187540,193060," it is honestly uh it's rather limited for my uh for my tastes i haven't figured out how to do more"
193060,199380," complex actions in here right so so far what i can see is that it just builds executables right but what"
199380,204820," if you want to do some more complicated stuff right so what maybe what if some of the um you know"
204820,209620," targets in here depend on other targets right so what if maybe i want to create an executable that"
209620,214580," generates uh some sort of a resource file that and then want to link with other things it's really"
214580,220020," unclear how to do that within this build system but maybe i just haven't figured it out or maybe it's"
220020,226180," not even uh it's not really developed to that point yet maybe it is in plans i don't know right so i"
226180,231460," mean it's usable for simple things but i don't really see it how to use it for more complex stuff"
231460,236820," right but anyway so it actually doesn't really force you to develop in any particular style you can"
236820,241460," use whatever you want you can always actually build things outside of that build system which is good"
241460,247380," i really appreciate sort of like giving options to the users so anyways uh let's start with"
247380,253540," implementing maybe a synchronous asynchronous um you know echo server right so we're going to start with"
253540,263940," listening to a tcp uh to to a port to a tcp port so let's actually find uh how to work with tcp so i"
263940,273620," remember there was um a tcp file somewhere in std net tcp somewhere here right so and we can essentially"
273620,279860," listen to a specific host and specific port and backlog i suppose it's basically an option that tells the"
279860,287220," operating system the size of the queue of the connections right so essentially when one connection"
287220,293060," is waiting right another one goes into the queue and waits until the previous one uh is actually"
293060,297460," finished and this is one of the drawbacks of the synchronous programming right it's kind of difficult"
297460,303380," for you to um you know manipulate several connections right unless you do multi-threading but"
303380,309060," multi-threading but we'll go to that a little bit later right so let's actually go ahead and try to"
309060,317220," listen to a specific port right so we probably need to first import net tcp uh like so and just"
317220,322820," do tcp listen and we're listening to specific hosts let's actually listen only to local connections"
322820,329380," to the port 6969 and let's have 69 people in the queue right and this thing obviously can fail uh"
329380,334500," right so and let's actually unwrap it automatically so that means if this call fails for whatever reason"
334500,339220," this thing will unwrap it and panic it like in rust right but this is not rust this is actually good"
339220,344660," language so and this thing will return you the server socket right so it's actually called the server"
344660,350900," uh there we go and uh after that what you have to do you have to keep accepting things right so you have"
350900,356020," to keep accepting things and it will give you the client socket so you usually do that in some sort of a"
356020,361700," loop right like this and uh it's not even a method of this thing right that's kind of bizarre it could"
361700,369140," have been a method honestly but whatever uh accept uh like so it can also fail obviously and this gives us"
369140,378180," the the socket the client socket like so uh and i feel like another thing i forgot in listen actually i"
378180,384260," think i literally forgot it in one of the socket options um so we need to be able to reuse addresses"
384260,389700," because one of the annoying things in tcp is that if you close the socket incorrectly you won't be able"
389700,395940," to use this specific port for for some time right so you'll have to change the port but there's a"
395940,401780," special option that overwrites that annoying default behavior you know the classical situation when you"
401780,407300," have a annoying default behavior that nobody likes so you have to go out of your way to actually change it"
408820,413780," uh the classic situation of shitty defaults but maybe i don't know i understand that maybe it is"
413780,418820," needed sometimes but in the majority of situations i have to turn this option on that means maybe it have"
418820,424900," to be default right so and if you need a different behavior just make that an option uh i don't know"
424900,430580," right so i think it's called reuse yeah reuse address so that's basically what it is called maybe there"
430580,436660," are good reasons for it to be like that i don't know you never know you never know all right so um and"
436660,444180," essentially uh accept will block until somebody connects to the port 6969 we can even test it out"
444180,451300," right so we can do something like print fn uh okay right so and then we can close this entire thing"
451300,456740," and go to the next connection so let's go ahead and just try to run this entire thing obviously it"
456740,463220," doesn't compile for whatever reason uh so uh it does yeah so i have to unwrap this thing as well because"
463220,468980," close may fail as well right so in this thing oh and this thing will never be executed right so it's"
468980,474660," unreachable code and then reachable code apparently is an error in c3 okay whatever you want to make it"
474660,479460," an error let's make it an error right and it's gonna just basically stay like that until you try to connect"
479460,486100," to a port 6969 and as you can see we connected and the connection was instantly closed and we got okay"
486100,492420," so we can connect it one more time um right so that's basically what it is so after we connect it"
492420,498820," we may try to read something right so let's go ahead and do that we can do read and if i'm not"
498820,504660," mistaken the read is defined somewhere here yeah there we go so you need to have some sort of a buffer uh"
504660,509700," right the limited buffer of bytes into which you are reading things so let's actually allocate that buffer"
509700,514980," right so let's actually get 100 kilobytes uh right so this is the buffer and let's read a little bit"
514980,521700," right and read if i remember correctly returns you how many bytes it read right so let's actually save"
521700,526980," it in here and obviously it can also fail um right i don't really remember how it can fail"
526980,534180," um i think it may fail with a broken pipe or anything but whatever um so and in case of you"
534180,539700," know finishing the connection uh if the client close the connection i think n is going to be zero"
539700,544660," right so and after that we may want to basically print it on the server side let's actually just"
544660,551540," inspect whatever the client sent us right so before sending it back so um we can say client sent"
551540,557620," this and then we need to take the buffer and we need to take a slice out of that buffer right so let's"
557620,563460," actually do something like this right so here we say that the slice starts from zero and it has a length of"
