start,end,text
0,29980," For more information visit www.fema.org"
30000,59980," For more information visit www.fema.org"
60000,89980," For more information visit www.fema.org"
90000,119980," For more information visit www.fema.org"
120000,149980," For more information visit www.fema.org"
149980,179960," For more information visit www.fema.org"
179960,209940," For more information visit www.fema.org"
209940,239920," For more information visit www.fema.org"
239920,269900," For more information visit www.fema.org"
269900,299880," For more information visit www.fema.org"
299900,329880," For more information visit www.fema.org"
329900,359880," For more information visit www.fema.org"
359900,389880," For more information visit www.fema.org"
389880,419860," For more information visit www.fema.org"
419880,449860," For more information visit www.fema.org"
449880,479860," For more information visit www.fema.org"
479880,509860," For more information visit www.fema.org"
509880,539860," For more information visit www.fema.org"
539860,569840," For more information visit www.fema.org"
569860,599840," For more information visit www.fema.org"
599860,629840," For more information visit www.fema.org"
629840,659820," For more information visit www.fema.org"
659820,689800," For more information visit www.fema.org"
689800,719780," For more information visit www.fema.org"
719780,749760," For more information visit www.fema.org"
749760,779740," For more information visit www.fema.org"
779740,809720," For more information visit www.fema.org"
809720,839700," For more information visit www.fema.org"
839700,869680," For more information visit www.fema.org"
869680,899660," For more information visit www.fema.org"
899660,929640," For more information visit www.fema.org"
929640,959620," For more information visit www.fema.org"
959620,989600," For more information visit www.fema.org"
989600,1019580," For more information visit www.fema.org"
1019600,1049580," For more information visit www.fema.org"
1049580,1079560," For more information visit www.fema.org"
1079560,1109540," For more information visit www.fema.org"
1109540,1139520," For more information visit www.fema.org"
1139520,1169500," For more information visit www.fema.org"
1169500,1199480," For more information visit www.fema.org"
1199480,1229460," For more information visit www.fema.org"
1229460,1259440," For more information visit www.fema.org"
1259440,1289420," For more information visit www.fema.org"
1289420,1319400," For more information visit www.fema.org"
1319400,1349380," For more information visit www.fema.org"
1349380,1379360," For more information visit www.fema.org"
1379360,1409340," For more information visit www.fema.org"
1409340,1439320," For more information visit www.fema.org"
1439320,1469300," For more information visit www.fema.org"
1469300,1499280," For more information visit www.fema.org"
1499280,1529260," For more information visit www.fema.org"
1529260,1559240," For more information visit www.fema.org"
1559240,1589220," For more information visit www.fema.org"
1589220,1619200," For more information visit www.fema.org"
1619220,1649200," For more information visit www.fema.org"
1649200,1679180," For more information visit www.fema.org"
1679200,1709180," For more information visit www.fema.org"
1709200,1739180," For more information visit www.fema.org"
1739180,1769160," For more information visit www.fema.org"
1769160,1799140," For more information visit www.fema.org"
1799140,1829120," For more information visit www.fema.org"
1829120,1859100," For more information visit www.fema.org"
1859100,1889080," For more information visit www.fema.org"
1889080,1919060," For more information visit www.fema.org"
1919060,1949040," For more information visit www.fema.org"
1949040,1979020," For more information visit www.fema.org"
1979040,2009020," For more information visit www.fema.org"
2009020,2039000," For more information visit www.fema.org"
2039000,2068980," For more information visit www.fema.org"
2068980,2098960," For more information visit www.fema.org"
2098960,2128940," For more information visit www.fema.org"
2128940,2158920," For more information visit www.fema.org"
2158920,2188900," For more information visit www.fema.org"
2188900,2218880," For more information visit www.fema.org"
2218900,2248880," For more information visit www.fema.org"
2248880,2278860," For more information visit www.fema.org"
2278880,2308860," For more information visit www.fema.org"
2308860,2338840," For more information visit www.fema.org"
2338840,2368820," For more information visit www.fema.org"
2368820,2398800," For more information visit www.fema.org"
2398800,2428780," For more information visit www.fema.org"
