start,end,text
240,6080," Hello everyone and welcome to yet another recreation programming session with Mr. Zozin."
6080,12160," Some time ago we developed a very interesting library so which is called olivc or olivets"
12160,18480," depending on how you want to pronounce it and it's a very cool small library which is basically"
18480,27600," a very cross-platform because it doesn't use any specific api it's an api of itself right so"
27600,33920," essentially it's just a bunch of algorithms that allow you to draw different primitives into"
33920,42080," a given array of pixels right you just give it an array of pixels and then it will just draw"
42080,48080," things into that and because of that it's insanely cross-platform obviously it's kind of slow right it"
48080,52880," doesn't use any headway acceleration or anything like that but it's extremely cross-platform because"
52880,59520," you can have array of pixels anywhere right so um and it doesn't even use in some cases standard"
59520,65120," library so because of that uh you can even compile it uh to web assembly right so and we have a bunch"
65120,70000," of demos in here uh right so which demonstrate how the library works as you can see you have gradients"
70000,76080," you have transparency uh right so you can do a little bit of 3d in here so you can stretch textures and"
76080,82880," stuff like that you can even have like z buffers as you can see the uh the polygons are intersecting"
82880,87600," and that is done through z buffering and stuff like that again we're not using any headway acceleration or"
87600,93760," anything like that the library literally just implements um the rendering algorithms that work"
93760,100240," pixel by pixel right and this is how it's done so you can rotate textures you can have textures in 3d"
100240,105680," and you can also have 3d models and stuff like that so it's actually kind of cool it's actually kind of"
105680,112720," cool i'm going to keep uh the link to this entire thing in the description if you are interested uh so"
112720,120960," um i would like to actually add another demo in here another 3d model right so uh on our discord by the"
120960,130640," way right so um there is a pretty funny meme going on uh so people draw these sort of pictures of this"
130640,137920," creature and uh the members of our community actually collecting drawings of this uh penguin which is"
137920,144000," called panger uh right so i don't really know what's up with that or what it represents people just on our"
144000,150880," discord do that uh so and somebody created like a 3d model of this creature right i'm gonna keep"
150880,155920," the link of like to that is dedicated to to this creature in the description as well if you're"
155920,163280," interested right so uh somebody created 3d model and it's an obg file and our uh demo system actually"
163280,171040," supports obg files in fact all of these models are obg files they are from yeah we even have the emote"
171040,176800," for for panger right so we even have an emote for panger this meme is kind of getting out of control"
176800,182720," so it's originally was just like a discord sodding discord meme but it's kind of spilling out of the"
182720,187760," discord right into the wild world so it becomes kind of difficult to contain it already so i don't"
187760,193360," really know what we're gonna be doing about that uh so anyway right so all of these things are obg files"
193360,201840," already so that means it should be relatively easy to uh to actually implement so uh let me take a look at the"
201840,209040," entire thing so i already copy pasted yeah panger obg here's a panger obg so here's the obg file"
209040,215120," so there's some vertices in here as you can see uh right there's a lot of vertices uh there's also some"
215120,222000," faces and stuff like that but the um the cool thing about this model is that it also has textures right so"
222720,229040," um so here's the texture that is sort of like a put on top of the model i suppose all right and"
229040,235040," there are additional files in here specifically there is like mtl file which i suppose is a material"
235040,241440," file and that material file refers to the panger png which is a texture uh right that is put on top of"
241440,245520," this entire thing so i don't really know how exactly we're going to be rendering all that but i want to try"
245520,250960," to do that nonetheless so in the author of this uh model is max kawula i hope i pronounced your name"
250960,258480," correctly uh all right so they created this uh model so i'm gonna put your profile in the description"
258480,267680," uh right author um author of panger obg right anger obg there we go so i always like to credit people"
267680,273840," and max is amazing yeah absolutely amazing the model itself is really cool unfortunately i can't really"
273840,280240," show it right i wonder if you can just like open it with a blender uh right so obviously here's an"
280240,286240," interesting thing if you open mtl file it refers to ray leap panger blend so i suppose it's an original"
286240,292000," file from which it was created but obg is probably expert you think i wonder if you can just open this"
292000,298640," entire thing with blender so let's see uh right i do have blender in here because i use it for editing"
298640,308480," videos and videos and stuff like that uh so i wonder if i can just do that uh so blend the format is not"
308480,315520," supported file uh so argument has no blend file extension and stuff like that so apparently you"
315520,322080," can't just open obg files with blender blinger yeah um so maybe you can export this somehow but"
322080,328080," whatever i can give it a try actually so is there something like expert the problem with blender is that"
328080,335200," it's extremely unintuitive because it's a piece of software that was developed in its own sort of"
335200,343120," enclosed culture right and because of that a lot of conventions are very unconventional right so to"
343120,349120," speak right so and i don't really know it's kind of difficult to learn but it's also very cool at the"
349120,358400," the same time um so yeah okay so there's the expert in here uh can i okay so i can actually export obg files"
358400,365200," so there's a wavefront there is two of them look at that so there is a wavefront obg uh legacy"
367200,377200," and there's just uh wavefront obg not legacy classic isn't it right classic situation you have a legacy"
377200,383200," mode and non-legacy mode whatever the that means uh right so whatever the that means"
383200,391440," imported no no we need to export oh yeah imported i'm sorry yeah so you're right we're not exporting we're"
391440,398400," importing this entire thing so we'll go into the sorting and uh can i sort i think it's already sorted"
398400,410640," by the alphabet olivets olivets uh okay so and this is assets panger obg okay there's two files in here i"
410640,418080," i wonder if i can just open obg because i'm pretty sure mtl will be referring uh would we referred by"
418080,425120," panger obg yeah okay so as you can see it is referred so i suppose i would expect blender to actually"
425120,431920," recognize that and that i think here it is here's the motherfucker it didn't recognize the"
434240,444080," materials and stuff but okay so look at this look at this creature uh it's so fat oh my god i love it"
444080,452720," it's so cute and fat uh look sus yeah it looks a little bit sus yeah i really like him so yeah we"
452720,460160," need to put this uh uh this penguin into into the demos right so this is this is panger your mom's banger"
460160,471680," oh the sorry um anyways the panger your mom's banker uh so let me see how we're gonna be approaching"
471680,481120," this entire thing so this project uses no build and it uses og no build by the way right so not just like"
481120,486560," a new knob system but it's just like actually old og no build maybe i should actually migrate this entire"
486560,493760," thing to uh to know but some point right so but right now i don't really want to do that so first"
493760,500640," of all the first thing you we usually do we actually convert obg files to c files uh let me actually"
500640,512240," um so let me get rid of this kind of stuff so obviously i i'm just in the tab mode uh right for emacs"
512960,519440," uh so how do i do that uh simpc mode indent tabs mode so this is probably what i want to do let me"
519440,525760," restart my emacs just in case mine affront them uh nice tabs thank you so much thank you i worked really"
525760,533440," hard on them um so all of c and i'm gonna go no build uh dot c there we go so now it is not complaining"
533440,539840," so uh let's take a look at this entire thing maybe i'm gonna actually kill the build folder and just"
539840,544640," rebuild everything from scratch just in case there we go so we'll just wait a little bit it's gonna"
544640,551920," rebuild everything hopefully uh and there's a lot of things right so it prepares the assets right so it"
551920,557520," also then bakes them compiles all of the demos and stuff like that so maybe we can run the tests"
560320,570720," legacy legacy legacy indeed so yeah it builds the wasm demos it builds sdl demos and it builds term demos"
570720,577440," so this entire thing works natively with sdl right and it also can work in your terminal this is actually"
577440,583440," kind of insane i forgot that this entire thing does that okay so in some of the previous stream i said that"
583440,590960," i don't really understand why this project became popular i think i just remembered why"
590960,598400," god damn it okay when i said that i don't understand why this thing is popular because it's such a simple"
598400,603840," library i completely forgot that on top of just being simple library it had a shit ton of cool demos that"
603840,608800," i developed for this library i completely forgot about that and this is actually normal for me because i"
608800,615920," i developed developed a lot of different shit so uh yeah i apologize i just remembered why olive c is"
615920,622560," popular and i suppose it's it's deserved right because this is kind of cool it's it's the same code that can"
622560,630720," work uh in a browser right so and then in here we can have demos uh so teapot 3d uh sdl for instance"
630720,637040," there we go so this is the native uh native version of the same teapot in here right so this thing works"
637040,642880," in the browser and this is like a native window in here uh right and now we can even go into the"
642880,649840," terminal all right so and let's actually go somewhere here all right so like this boom uh and i'm gonna"
649840,659280," i can do um demos uh teapot 3d term yeah there we go so we can if i zoom out there we go so here's this"
659280,667120," this thing in the terminal uh using colors and stuff like that sdl is more laggy than wsd i don't know for"
667120,675440," me sdl is actually more uh smooth um right so and it's the same actual code by the way of demos"
675440,684480," right so we're just adapting since we're rendering into um into the array of pixels the library itself"
684480,690240," doesn't care where that array of pixels go right for different kind of versions we just call to the"
690240,695120," same code of the demo that just renders this entire thing and then we take the resulting array of pixels"
695120,702640," and either put it into the html5 canvas or into the sdl2d texture or into the terminal right it's just"
702640,706320," like it doesn't matter where it goes and because of that it's extremely cross-platform because you can"
706320,715360," adapt this array pixel to to anything it's super easy uh right so that's pretty cool i think i think"
715360,724240," that's a pretty a pretty cool so uh if we take a look at how all of that works all right somewhere in"
724240,730640," the folder assets we have a yuta teapot obg so as you can see it has vertices and stuff like that"
731200,739440," and we have a special utility we have a special utility which is called obg2c right obg2c and what"
739440,747280," it does it actually converts obg file to c file right so uh that utility port obg now c file and if"
747280,753200," you take a look at what it contains it actually turned all of these uh you know parameters vertices"
