start,end,text
400,6320," Looks like we're live. Hello everyone and welcome to yet another recreational programming session."
6320,9360," How about that? But you didn't expect that shit to happen."
9360,15280," So let's make a little bit of an announcement and officially start the stream."
15280,23520," Red Circle live on Twitch and what are we doing today on twitch.it division website?"
24080,34480," Today we are generating videos with neural networks in C of course."
34480,38800," I'm going to give the link to twitch.tv/setting, the place where we're doing all of that."
38800,41360," And I'm going to ping everyone who's interested in being pinged."
41360,44640," And there we go, the stream has officially started."
44640,45920," There we go."
45920,53520," So today we continue working on nn.h, which is the deep learning framework in C that we've been developing for quite some time already."
53520,56720," I don't know for how long, but it's been quite a few streams, right?"
56720,59600," So you can find the link to this thing here."
59600,61520," I'm going to copy paste it in the chat."
61520,64640," And for people who are watching on YouTube, it's going to be in the description, right?"
64640,71680," So what we're doing essentially, we are exploring a completely new for me paradigm called machine learning."
71680,75760," And we do that by implementing a deep learning framework, right?"
75760,82240," So essentially in the previous streams, we were experimenting with interpolating two images, right?"
82240,85040," So let's actually take a look at the experiments, right?"
85040,86240," So I'm going to start Tmux."
86240,91360," I'm going to go into the folder where we're developing all of that."
91360,91760," All right."
91760,97280," So I'm going to rebuild everything just in case, because I don't quite remember if I did all of that."
97280,100800," So let me bring up the Raylib environment and I'm going to do the build."
100800,107840," While it is building, I'm going to put something behind my camera so I don't see the things you guys don't see."
107840,110560," So we are on the same page, right?"
110560,113200," So that's how I usually do that."
113200,123840," So and I'm going to start the image2nn application, which basically trains a neural network to interpolate between two images."
123840,129520," The thing we have to do is that we have to provide the two images, right?"
129520,133200," So we have a couple of images from NIST dataset, right?"
133200,138480," So we're going to provide the eight and we're going to provide the six, right?"
138480,141520," So these are the digits that we're providing to this entire thing."
141520,142480," And there we go."
142480,145040," Here is this sort of like a gym, right?"
145040,148320," The gym for the neural network to train itself."
148320,151840," This architecture is a little bit too deep for my liking, right?"
151840,153680," So it has like five layers there."
153680,159600," This kind of stuff is kind of difficult to train with the activation function and the method that I use."
159600,163200," So I would like to actually reduce the complexity of this entire neural network."
163200,164160," Just a second."
164160,165360," So let's actually go in here."
165360,166480," Right."
166480,168320," So this is how many layers we have."
168320,175120," We have three input layers and we have five hidden layers and one output layer."
175120,180080," I would like to bring this amount to 2, 11 and 1, 9, right?"
180080,182800," So I remember that this kind of architecture actually worked well."
182800,186720," And let me actually rebuild this entire thing real quick."
186720,194320," So the architecture is sort of baked into the executable, right?"
194320,196560," So that's why I have to rebuild this entire thing."
196560,197280," And there you go."
197280,198880," So it's a little bit simpler."
198880,201120," So it's a little bit easier to actually train."
201120,203120," So and let's actually start the training process."
203120,205280," So basically on the left, you can see this."
205280,211600," This is how it acts as the first image and here it acts as the second one."
211600,211920," All right."
211920,216320," So here I have a slider and the slider basically controls the learning rate."
216320,222160," So here I can manually adjust the learning rate when I see that the neural network goes too crazy."
222160,224480," As you can see here, it just goes a little bit too crazy."
224480,228080," I just like bring the learning rate a little bit down and calm it down a little bit."
228080,232000," So as far as I know, you're supposed to actually do that programmatically, automatically."
232000,237040," But for the learning experience, I decided to actually put it in here in control of the user."
237040,239280," And it's actually kind of convenient, right?"
239280,243840," So to be able in real time to control the learning rate."
243840,248080," So people use different functions to control the neural, like the learning rate."
248080,255680," But what you can do, you can use another neural network to control the rate of learning of the initial neural network."
255680,259280," And you can even use your own neural network to control the learning rate."
261680,262800," This is actually funny, right?"
262800,266240," So using one neural network to control the learning rate of another neural network."
266240,271360," Anyway, so and basically this is how the neural network acts as the first image."
271360,273920," And this is how it acts as the second image."
273920,278080," And how it's supposed to act is controlled by the third neuron, right?"
278080,280720," If you put zero in here, it will act like an eight."
280720,283520," And if you put one in here, it will act like a six."
284080,286640," So how do we achieve the interpolation?"
286640,290560," Essentially, if after training this entire neural network, right?"
290560,292400," So we already train it to its limit."
292400,294320," So it doesn't really go any better than this."
294320,297120," So when we keep training it, it just keeps shaking."
297120,300400," It just tries to adjust some parameters, but it couldn't find anything better."
300400,302960," So it basically solves the problem, right?"
302960,307440," If you put a value that is neither zero nor one or something like half,"
307440,311520," it will start interpolating between these two images, right?"
312400,316960," So this slider is basically the value that goes into this neuron."
316960,319920," So these two are the coordinates of the image."
319920,324640," This one is the brightness that will be taken either from the first image or second one."
324640,326240," And this is the interpolation."
326240,328800," And we're able to actually interpolate between these two things."
328800,332160," And depending on how you train it, it's going to interpolate differently, right?"
332160,335920," So we can try to start over, right, and train it again."
335920,338720," And the interpolation itself is going to be slightly different, right?"
338720,341360," It's just depending on what kind of route it went."
342400,348480," Right, so sometimes it cannot really close the six, right?"
348480,350240," It takes a lot of time to close the six."
350240,352080," We can restart it one more time."
352080,354000," Because it's kind of a difficult shape, right?"
354000,357920," It's sort of like a loop, and for a neural network,"
357920,361600," sometimes it's kind of difficult to just sort of like close this entire loop."
361600,364800," Right, so we can slow down this learning process."
