start,end,text
880,9840," all right and we're live as far as i can tell hello hello hello uh welcome welcome welcome"
9840,19680," so uh today is uh i don't even know what day today yeah today is wednesday right so and"
19680,26960," today i'd like to continue working on something that we started to work in one of the previous"
26960,34720," days right so uh the to-do app in rust and it was quite interesting for me so i'm using this to-do"
34720,40960," app development as an opportunity to actually um you know research a little bit on how to do"
40960,48400," immediate uis in um rust right not immediately right like immediate uh terminal uis it has"
48400,53040," nothing to do with rust to be fair like this kind of stuff can be done in literally in any language"
53040,56560," and it's just like rust it's just like i'm just using rust for this one doesn't matter"
56560,63360," uh so you can find the previous episode of this um of the series in here so it's going to be previous"
63360,71360," episode uh right something like this and uh the source code can be found in here right so this is"
71360,81840," going to be uh the source code uh where is going to be like this uh so did i actually uh put the link"
81840,86800," correctly okay so i felt for a second that i removed the character out of the end of this thing so"
86800,93440," hello hello everyone welcome to the welcome to the stream how are you guys doing so uh yeah let's"
93440,99920," continue let's continue let's continue let's take a look at what we've got uh so far uh so maybe we"
99920,106560," also want to fetch the latest changes just in case uh i don't think i introduced any changes today so uh"
106560,117840," looks good to me looks good to me so i'm gonna do team ux and i'm gonna cd uh forcing cd to this folder"
118560,119600," let's do cargo build"
119600,130720," all right so it's already built so the application right now uh looks like uh looks like this right"
130720,137120," so you have a bunch of to do's and you can basically mark them as done and they're going to be removed"
137120,141840," from the list but they're not really removed from the list they are moved to a list of done things and"
141840,148000," you can switch between uh done and to do with tap right as you can see now you you are in a"
149360,156000," in a done tab and uh you can switch back and from the done you can actually uh move things back"
156000,161440," to to this list right and if you quit it actually persists the state of this entire thing so if you"
161440,169600," open it again so yeah uh it will still have the state as you um as it was when you left the application"
169600,174320," and the format of the file where it persists its own state is actually quite simple it's just little"
174320,182800," literally that so um yeah i want you to like the ui right now is actually kind of meh right so uh i"
182800,189760," want to be able to actually see what needs to be done uh and what what is already done right so i want to"
189760,197200," kind of like have a two panel um ui where if i press uh you know enter on the left tab it will uh left"
197200,205200," panel it will move to the right panel and if i'm on the right panel it will move it back so uh and i"
205200,213360," think i even created the uh the issue for that uh and yeah two panel instead of tabs so i think this is"
213360,217200," going to be the first thing that we're going to be working on today two panels instead of tabs"
217200,228240," so uh what file you say with it's a text file it's just like literally uh 1970 technology that we had for"
228240,234800," 15 years so uh let me start emacs from within the development environment"
234800,245360," so i think this is the description right and let me see what we've got this one is actually rather"
245360,254160," interesting because um to be able to draw things into panels we need to be able to have the layouting"
254160,260800," system a similar layouting system that i actually put in all all of my immediate uis um so for"
260800,266160," instance the recent immediate ui that i actually developed i developed it for my game uh right so"
266160,274080," something uh right some do i even have an executable for that i don't have an execute oh this is because"
274080,282560," it's the wrong folder i'm sorry it's something uh rewrite right so and this is how it looks like so it's"
282560,287680," it's like actually not final look and feel it's just technological demo and here is the immediate ui"
287680,293680," that i actually developed uh and as you can see there is layouting in here so there's vertical um"
293680,300000," layouting and horizontal layouting and you can have this kind of sort of grids uh and i want to have a"
300000,306080," similar uh system but for the terminal for the terminal uis and by the way i developed this entire"
306080,313680," stuff on the stream as well you can find uh the recording also on the sodding daily channel so let"
313680,319120," me actually go there so ding uh so i'm gonna actually give you this thing"
319120,330320," so i think well there's two episodes in here but i'm gonna actually uh give the link to the previous one"
330320,345840," in here all right so uh it's gonna be description um so immediate ui immediate ui development stream"
345840,352160," right so something like this immediately means that renders and loop regardless of events uh immediate"
352160,358720," ui is something like i am gooey if you never heard about i am gooey i recommend you to check it out it's like"
358720,367360," basically like a canonical example of uh immediate ui um to be fair i kind of i don't know i'm getting"
367360,374240," conflicted i didn't think the immediate ui has to be a library right i think immediate ui is more of an"
374240,380640," approach than a library that you can just depend on or you can install via npm install or something like"
380640,386720," that it's more of like a general approach and wrapping it into a general purpose library kind of defeats the"
386720,393120," whole purpose but uh the immediate ui usually looks like this right you begin the rendering of the ui"
393120,399520," then you begin a menu bar and then you begin a specific menu and then items and uh it basically"
399520,406240," rendered immediately as an opposite of first preparing the ui tree right and then giving that tree to event"
406240,413680," loop and uh then uh waiting for the for the callbacks so that's basically what it means uh i think you like"
413680,421600," the better explanation would be the casey moratory talk on uh immediate uis that he gave in 2005 so i"
421600,426000," always leave the link to this talk in here we actually watch this talk also on the stream at some"
426000,433040," point so uh check it out um so i think i'm gonna actually put the links uh in the description as well"
433760,442720," so i am gooey so this is basically canonical example of i am gooey uh and the casey motorist talk"
