start,end,text
720,7440," Looks like we're live. Hello everyone and welcome to yet another Azuzin session."
7440,14160," Let's make a little bit of an announcement and officially start this stream. As usual, as always,"
14160,25600," so let's do a red circle and live on Twitch. And what are we doing today on twitch.television"
25600,34960," website? Today we are revolutionizing web with C and Wazen. How about that? Isn't that a cool title?"
34960,39520," I think it's a pretty cool title, right? Because that's what we're doing today. We are revolutionizing"
39520,48960," web, finally. I'm going to give the link to https twitch.tv/todding, the place where we're doing all"
48960,53600," that. And I'm going to ping everyone who's interested in being pinged. There you go, the stream"
53600,60640," has officially started. The stream has officially started. So on the yesterday stream, I was trying to"
60640,69760," get some pixels of an image in a web browser. You would say that that's relatively easy, right? So,"
69760,74560," but I mean, you're probably thinking about displaying the images, right? You're probably thinking about"
74560,80960," displaying the images, but they didn't need to display an image. I needed to get like literally pixels. I"
80960,86960," want you to have an image as an array, a literal array of pixels through which I can iterate and maybe"
86960,92640," process and maybe do something and stuff like that. And apparently in the web, it is not as easy as you"
92640,101040," would think. Yes. It is not as easy as you would think. Right. First of all, you need to somehow get an"
101040,107520," image itself, right? So you need to download it usually with some sort of like an image tag, right? So let me"
107520,114480," actually grab my HTML page, right? So for the demonstration purposes and stuff like that. So you"
114480,122160," need to get the image tag. You have to put your image in here, right? Your image. There we go. So that will"
122160,127440," display the image. Sure, that will display that image, but that won't get you the array of pixels."
127440,135600," So what you have to do, you would have to take that image and place it on a canvas, right? So you have to"
135600,142400," use the canvas like draw image and then through the canvas, you would be able to get the pixels, right?"
142400,150880," So you can only get the pixels of a canvas. And in my opinion, this is dumb. This is absolutely dumb."
150880,156480," Considering that web is supposed to be the future platform of cross-platform applications, right?"
156480,162560," You develop things for web and it works everywhere for such an important platform. This is dumb."
162560,169040," I think this is dumb. This is absolutely dumb. And I don't want to do that. So I was thinking about"
169040,176000," an alternative solutions to this kind of stuff and I came up with the following thing. So effectively,"
176000,182000," in a JavaScript site, in a JavaScript site, so let's actually take a look at what we got in here."
182000,187920," Right. So we can have a fetch, right? So do you guys know what is a fetch? What do you guys know?"
187920,194080," What is a fetch? It's actually kind of cool function, which allows you to fetch a certain URL and it gives"
194080,198240," you the response, right? It gives you the response. We can take a look at what the response is capable of."
198240,203440," It's just like an interface. It has headers, some status and stuff like that. But most importantly,"
203440,210160," it extends a body. So if we take a look at what body has, it has a lot of interesting things. For"
210160,216880," example, array buffer, right? So, and blob and stuff like that, which allows you to get the stream of"
216880,224240," literally bytes. So effectively, if we do the following thing, if we take our image from here,"
224240,229280," right? So if we just like... Did I already remove it? I already removed it. So let me bring it back."
229280,234960," So if I literally fetch this entire thing and then I take this entire stuff,"
234960,244720," right? And in here I'll do a blob and then maybe... So what blob had? I remember... Maybe not blob, but..."
245440,251200," Yes, stream. I suppose I have a stream, right? So, and if I do a stream, I suppose I will get"
251200,258480," like bytes, literally bytes of an image, right? And essentially, if you have some sort of a PNG image,"
258480,262960," right? And if you take a look at the bytes, this is literally that which you'll get. But this is not"
262960,269280," particularly useful for you. It's not particularly useful for you because it's not parsed, right? So it's a"
269280,275760," like basically unparsed PNG format. And that's why you probably want to go through these loopholes of"
275760,281440," first downloading it with image, right? Downloading it with image in here, because thus"
281440,288960," you would trigger the browser to parse the PNG for you. So you don't have to deal directly with the PNG"
288960,299360," format, right? But in 2023, we have such a cool thing as WASM, right? It's literally a virtual machine"
299360,306400," inside of your browser, and it's also a compilation target. So you can take any C code and compile for"
306400,314960," that, compile that code for that specific virtual machine and run it in your browser. So what if we took"
314960,326240," a C library that can parse PNG, compile it as WASM, then we literally took the bytes of the image and"
326240,332640," feed it into that library, let that library parse the chat and give us back the array of pixels."
332640,340640," That way we directly get what we want. That way we directly get what we want, and we don't have to go"
340640,347680," go through these stupid hoops of instantiating a DOM node, letting the browser to download and parse"
347680,352880," the image. Then we have to instantiate the off-screen canvas, then we have to draw that image on that"
352880,359120," off-screen canvas, and only then maybe we can get the data image of that image, and maybe we're going"
359120,366560," to have pixels in there. No! No! In software development, if you have an image and you want to take"
366560,373840," a pixels, you should be able to grab the pixels of an image directly without any of that web bullshit."
373840,383920," The time has come to revolutionize the web with C and WASM."
387920,392160," So how did you like this intro? Was that a good intro? I think that was a good intro."
392160,397600," All right, so we've got some subs. Thank you so much, RoyalFlushGuy, for Twitter and"
397600,401840," subscription with the message: ""Hey Tony, how are you feeling?"" I'm feeling a little bit down,"
401840,411120," but that's normal for me, because I live in Russia. Right, so it is normal to feel depressed all the time,"
411120,420160," every time. All right, so and the question is: what kind of library are we going to use? We're going to"
