start,end,text
0,8820," it looks like we're live hello everyone and welcome to yet another recreational programming"
8820,14580," session how about that uh let's make a little announcement and officially start the stream"
14580,24440," so i hope my microphone is working right so um a red circle live on uh twitch and what are we"
24440,33720," doing today on twitch let me see today we're doing 3d in c without opengl um only cpu in fact we're not"
33720,39780," using any gpu apis like vulcan metal or anything we're doing everything on cpu today and it's going"
39780,44800," to be rather interesting so let me give the link to the twitch channel where we're doing all that"
44800,50660," twitch.tv and i'm going to ping everyone who's interested in being pinged uh there we go the"
50660,58680," stream has been officially started so uh today we continue series on developing the olivets which"
58680,66220," is the graphics library um which renders everything into the memory right so it doesn't have any"
66220,71680," dependencies you just give it a chunk of memory and you tell it what to render and it will render"
71680,77100," all of that pixel by pixel into that memory so you can do whatever you want with that memory you can"
77100,84000," save it as an image you can render it using opengl or anything right but the construction of the pixel"
84000,91800," itself is not on um on gpu it's on cpu anyway right so it's it's a very simple library that uh"
91800,97280," basically just fills up the memory you can find the source code of this library in here if you're"
97280,104140," interested and for um and for uh people who are watching on youtube you can find that in the"
104140,112040," description um all right so let's take a look at the uh at the source code of this thing right so let"
112040,117240," me rebuild everything just in case uh the rook sega thank you so much for three months of tier 1"
117240,121980," subscription thank you thank you thank you hello everyone really glad to see you all hello hello hello"
121980,129100," alrighty so we have a bunch of demos right we have a bunch of demos that demonstrate what you can do"
129100,135980," with this specific library in fact uh this library is so simple and doesn't have any dependencies you can"
135980,143260," compile it to web assembly and run it in a browser so yeah that's what simplicity gives you people do not"
143260,150660," understand right so they're trying to build like like very complex abstract systems but if you strip"
150660,155700," off stuff from the system they become more cross-platform right because the more dependencies"
155700,161000," you have the more probability that some of the dependencies is just not available for that specific"
161000,164900," platform the less dependencies you have the more cross-platform your application is"
164900,169220," if you can achieve the same thing with less dependencies you make the application"
169220,175260," not only more simple but also more cross-platform people just don't understand that for some reason"
175260,179460," i don't know what they think that to make thing cross-platform you have to make the thing more"
179460,186820," complex it's actually the opposite anyway right so let me actually show you http server 69 69 right"
186820,195060," so and uh these are the things that the library can do right so it can do uh barycentric coordinates"
195060,200800," interpolation right so that allows you to do the rainbow triangle this is not open jl by the way"
200800,209780," this is like on cpu pixel by pixel transparency gradients stuff like that no open jl only cpu so we"
209780,217600," have a simple 3d but 3d projection on the screen is not done by the library we'll just do that uh manually"
217600,224260," in the demo itself right the library only provides a way to render a dot uh on the projected place right"
224260,229220," so but this is just like a demo to to look impressive right but today i want to go into"
229220,236360," something more interesting right as you can see this is a projection of just a single dots a single points"
236360,245360," in 3d space i want to actually render like a solid objects in 3d right like a like a solid cube"
245360,252360," and stuff like that using that library and we can already try to do that right we already have an ability"
252360,259320," to render triangles right as already demonstrated in here so essentially you can already render 3d triangles"
259320,266040," right so if you have vertices in 3d space you just do this kind of projection and you just render"
266040,275960," projected triangle like this right but uh there are some problems with um um you know properly rendering the"
275960,281960," intersecting triangles right but we'll get to that a little bit later uh so and this is precisely what i want to"
281960,288920," to try to do today i want to try to just take a triangle and make it a 3d triangle i want to try to"
288920,295240," render a triangle in 3d and see how it will work right so and recently we implemented bary sanding"
295240,300600," coordinates for triangle interpolation uh for more information on that i recommend to watch your previous"
300600,306760," stream and that is going to be very useful when we're going to start uh rendering intersect and stuff"
306760,312280," right so right so i'm going to show you later okay so we also have like you know resizing of the of the"
312280,317160," textures and stuff like that and all these demos by the way they are available online uh you can find"
