start,end,text
0,29980," We'll be right back."
30000,59980," We'll be right back."
60000,89980," We'll be right back."
90000,119980," We'll be right back."
120000,149980," We'll be right back."
150000,179980," We'll be right back."
180000,209980," We'll be right back."
210000,239980," We'll be right back."
239980,269960," We'll be right back."
269980,299960," We'll be right back."
299960,329940," We'll be right back."
329960,359940," We'll be right back."
359940,389920," We'll be right back."
389920,419900," We'll be right back."
419920,449900," We'll be right back."
449920,479900," We'll be right back."
479920,509900," We'll be right back."
509920,539900," We'll be right back."
539900,569880," We'll be right back."
569900,599880," We'll be right back."
599900,629880," We'll be right back."
629880,659860," Welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, so today is Saturday and I'm just, you know, dropping plates and actually, all of that for the content, you know, all of that for the content."
659860,689840," We'll be right back."
689840,719820," We'll be right back."
719820,749800," So, yeah, so, yeah, so, yeah, so, yeah, so, yeah."
749800,779780," We'll be right back."
779780,809760," Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah."
809760,839740," We'll be right back."
839740,849020," so let me let me actually test that uh because uh also yeah one of the things is that the projectile"
849020,856700," starts spawning at the center of the player uh right and maybe yeah because of that it just does"
856700,863740," not affect some like yeah i think the the projectiles should spawn uh at the edge of the player"
863740,870940," so if the enemy is going behind it's not going to be affected by the uh by the player so yeah this is"
870940,877500," something that we'll have to fix as well uh mobile controls when i don't know i just developed this"
877500,887900," thing i just hacked this thing together yesterday so um um all right so let me start emacs"
891340,896780," if your tag get bigger something something back sitting okay cool thank you for for the for the"
896780,906380," ideas okay so uh what do we get uh so as far as i can tell uh columbia actually submitted a bunch of pull"
906380,912940," requests uh so that's pretty cool let's take a look at some of them let's take a look at some of them"
912940,920940," hello mcourse94 welcome to the stream uh so i did some profiling and found that it's a little better to"
920940,926940," not update size of the canvas element every frame i tested by launching the game in a small window and"
926940,938540," doing nothing on my machine i have 11 percent speed increase uh okay cool um window was resized"
938540,949980," window was resized and uh yeah essentially we just wait for the resize window and then we just do do this"
949980,962300," thing okay cool so yeah thanks for the contribution okay so i probably should test it uh and we don't"
962300,969900," even have any continuous integration actually we don't have any continuous integration maybe we should"
969900,974380," set up something but uh you know setting up continuous integration for like a browser game will require"
974380,981660," probably setting something up like a headless browser of some sort and whatnot i don't want to do that i mean"
981660,990140," it's not fun it's not even programming in my opinion um all right so let's face the latest changes"
997100,1005180," let's actually merge origin and let's actually merge origin master origin and master so i guess the changes"
1005180,1018540," actually contain uh yeah yeah so now let me actually open this entire thing in here in the browser so yeah"
1021420,1030940," it's pretty it's pretty it's pretty good all right nothing particularly um special so next pull request"
1030940,1036220," next pull request make polar function part of v2 class a little bit of bike shading"
1037820,1052140," uh now polar v2 function is a static method of polar uh of of v2"
1055740,1068860," uh ultra hardcore mode when bullets wrap around the screen and can damage you"
1068860,1076620," we haven't finished the game yet i mean it's it's cool that you guys have you guys have a lot of ideas"
1077260,1085980," uh but i mean we need to finish the thing for first right so i remember like uh i saw one of the game"
1085980,1092060," developers on twitch i don't i don't know if he still streams uh but he said a pretty interesting"
1092060,1099500," thing about the game development is that the game uh is like uh it's like a dish right you don't"
1099500,1106140," make a great dish by throwing as many components uh like ingredients into it as possible right so you"
1106140,1111500," pick uh specifically the companies that actually complement each other right and then you build the"
1111500,1119180," basic dish and then you see what other ingredients you can add to improve the dish right so the dish"
1119180,1125900," is not finished yet so it's pointless to throw more ingredients until you actually find the combination of"
1125900,1132940," ingredients that actually fit together right uh the games are not about as many features as possible as"
1132940,1140220," possible the games are about combinations of features right uh i think to be fair personally"
1140220,1146620," um you can say that about any software right not only games but just generally right so individual"
1146620,1152380," features like don't matter they just literally don't matter it's the combination of features"
1152380,1157980," that matters so features that fit together makes an ergonomic application they also make an ergonomic"
1157980,1163660," language and ergonomic programming language they also make an interesting game yeah so yeah it's it's cool"
1163660,1169820," that you guys have idea but this thing is not pretty finished yet job well no it was not your blow it was"
1169820,1170300," somebody else"
1170300,1177580," i remember i wish i remembered his name but i forgot"
1179340,1185820," he also had pretty cool uh drawing channel he also yeah because he also draws all of the art for the his"
1185820,1192380," games and he also makes all the music for his games he is very creative person um but yeah he doesn't"
1192380,1203420," really stream anymore unfortunately um all right so uh thanks for the contribution"
