start,end,text
720,7040," looks like we're live hello everyone and welcome to yet another recreational programming session"
7040,11520," with a mr azuz and let's make a little bit of an announcement and officially start the stream as"
11520,19440," usual live on twitch and what are we doing today on twitch.at television website today we're"
19440,25360," checking out qbe language backend right so i'm gonna give the link to twitch.tv/todding the place"
25360,28560," where we're doing all that and i'm gonna ping everyone who's interested in being pinged and"
28560,34720," there you go the stream has officially started the stream has officially started so on the previous"
34720,39600," stream we checked out the programming language called hair all right so it's a very simple"
39600,46160," programming language like it's a c style programming language and one of the notable sort of like um"
46160,55120," feature of that language is that it uses qbe backends right for those who doesn't know like a languages are"
55120,61920," usually split into two parts like a front end and a back end almost like web applications right so but"
61920,66400," in case of web applications front end is running on your machine and back end is running on somebody's"
66400,71920," else machine uh in in case of compilers it's like it's part of the same application that is running on"
71920,80480," your machine obviously right so and essentially the where lies the front end and where lies the back end"
81120,88400," this particular line can maybe shift around right so to speak uh but essentially by the front end we"
88400,96960," understand a thing that uh parses and understands the language right so you have a text file with a"
96960,103760," a program written in a particular language uh and the front end just lexes it right splits it into tokens"
103760,112720," uh parses it constructs an ast right abstract syntax tree out of that thing and then it traverses that ast"
112720,118960," maybe does some transformations maybe something something like uh syntax desugaring if there is a syntax sugar and stuff like that"
118960,126880," and then uh traversal of that stuff and generates uh you know intermediate representation right"
126880,132480," intermediate representation that is usually handed to a back end and the back end takes that intermediate"
132480,138800," representation uh applies some optimizations and generates the final machine code right so usually"
138800,144240," these kind of parts are developed separately quite often by different people right so there are people"
144240,150880," who specialize on uh like developing only back ends and there you go here is the compiler back end"
150880,157920," right so essentially it accepts an intermediate representation of your program in the form of a text itself"
157920,165840," right so by itself it is a small programming language already right so and then it applies optimizations and"
165840,172800," generates assembly uh right and then what you do with that assembly you essentially take that assembly and"
172800,181200," construct an executable so and this is very small and very not that known back end that i discovered"
181200,186400," only because i checked out this programming language uh the most popular back end right like"
186400,193200," the one that everybody knows about is probably llvm you probably heard about this one um right so llvm"
193200,199760," compiler infrastructure it's not even a back end it's an entire compiler infrastructure uh right so there's"
199760,206080," something with the website so i'm using basically like a dark built-in dark reader feature in chrome"
206080,211680," uh right there is a special experimental flag uh somebody told me on discord and sometimes as you can"
211680,220320," see it fails right lvm like a lot of modern languages use lvm like uh clang the cc++ compiler uses lvm"
220320,228160," rust is using lvm uh right a lot of newer languages like i think zig uses lvm maybe odin i'm not sure"
228160,236640," about that so all of these modern languages uses lvm lvm is basically the react of compilers right it is"
236640,243200," basically the react uh of compilers minus the toxic community um right but but the the downside of this"
243200,250800," particular back end is that it is very very huge it is extremely bloated it is extremely bloated and"
250800,259120," it's a huge dependency in in my opinion it has to be justified right so it it has to be justified and if"
259120,266880," you are developing uh like a hobby small language like a hobby small language depending on lvm is kind"
266880,274080," of too much it's kind of too much i developed hobby small programming languages and not only i didn't"
274080,281520," use lvm not only i didn't use lvm i uh basically created my own small back end that doesn't even do"
281520,287600," any optimizations or anything like that right because you don't need optimizations to make your language work"
289120,295680," right if you're trying to make a working language if you're trying to make a working language you"
295680,304080," don't need optimizations to make it work optimization is not a necessity it's a luxury right it's a luxury"
304080,309120," and that's one of the reasons why people program in python right so because nobody really gives a"
309120,317040," shit right so that's why web is popular because nobody gives a shit right so it would be nice right"
317040,326720," so if things were fast but uh it is what it is and it isn't what it isn't so i think qbe in that regard"
326720,332720," stands somewhere in the middle right so essentially they even stated themselves in their marketing right"
332720,337920," it's a compiler back end that aims to provide 70 percent of performance of industrial optimizing compilers"
337920,343600," and we know what they mean industrial optimizing we know what they mean what they mean right they're"
343600,353120," talking about right in 10 percent of the code 10 percent of 10 percent qbe fosters language innovations"
353120,358160," by offering a compact user-friendly and performing backend the size limit constraints qbe to focus on"
358160,366000," essential and prevents embarking on a never-ending path of diminishing returns so yeah and essentially"
366000,372000," that's what i want you to do today i want you to check out this backend right maybe uh like directly"
372000,377520," programming it because like this backend is straight up its own programming language right it's straight"
377520,382560," up its own programming language you can program in it right so i do not understand by looking at this"
382560,390000," text uh what the is all of that it's worse than php but we can try to program in this thing and maybe"
