start,end,text
0,6240," Hello everyone and welcome to yet another recreation programming session with Mr. Zozin."
6240,12240," So there is this cool thing that is called random art, right? So we developed it in one of the"
12240,16640," streams. The link to that stream is going to be in the description. Right, and the idea is actually"
16640,24800," kind of cool. The idea is that you have a function, right? So you have a function which accepts two"
24800,32560," arguments like x and y, right? So this is x and y and it returns a triple of numbers r, g and b."
32560,41280," Right, and essentially you have a canvas, right? And for each pixel of the canvas you ask what its"
41280,48880," color is going to be, right? So the ranges for the x are usually from -1 to 1, right? So x is like"
49920,56560," from -1 to 1 and y is kind of similar. So in our application we also kind of assume the same for r,"
56560,64160," g and b. Right, so we can even do something like this r, g and b. Yeah, and essentially when we're"
64160,69360," iterating the canvas with pixels and stuff like that we're normalizing, you know, the coordinates,"
69360,73840," we're normalizing the coordinates and we just like substitute the color with the core of the function."
73840,80000," So a very good example would be if you just take something like this, right? So you would get a"
80000,85600," horizontal gray, like a gray gradient, right? A horizontal gray gradient, that's what you will get."
85600,96320," So, and the idea is, right, you actually define a context-free grammar of the expression that goes to the"
96320,104640," right side of the function and you randomly generate an entire like expression, right? And then you use"
104640,114080," that expression, that function to actually generate an image. So that's what you do. And so literally you"
114080,120560," just generate AST of some sort of like an interpreted language, small interpreted language, and then you"
120560,126160," interpret it for each individual pixel generated an image and you can get images like this, right? So"
126160,132640," here is an image and it was generated by a function, a pretty big function that looks like this, and this"
132640,139360," function was generated randomly, right? So we just like randomly generated this function and we just"
139360,148560," evaluated and we got this kind of image, right? So what's interesting is that this is kind of similar to"
148560,155520," how shaders work, right? So shaders are very small programs that run on GPU and there are different kind of"
155520,161600," shaders that are executed on GPU for different kind of times, for different kind of purposes and stuff"
161600,168880," like that. Specifically, this looks more like a fragment shader, right? So fragment shader is a shader that"
168880,176560," post-processed the pixels generated by the previous shaders in the pipeline, right? So it's basically,"
176560,182320," you can think of a fragment shader as a program that is executed for each individual pixel at once,"
182320,191440," right? So since GPU is highly parallel, right? So you can think of GPU as having like thousands of cores,"
191440,198960," but those cores are much dumber than the cores of an average, just a regular CPU, right? So because of"
198960,205680," that you can't really do very heavy operations on those cores, but you have a lot of them so you can do a lot"
205680,213040," of like a lot of these operations, you know, in parallel at once, right? So and I had this idea,"
213040,220480," why can't we just take the AST that we randomly generated and just like literally translate that AST"
220480,226560," into a shader program? So that way this entire thing is going to be not going to be like very slow,"
226560,233120," it is kind of slow right now. It's going to be like executed on GPU simultaneously and maybe even in real"
233120,237920," time because this kind of stuff for a shader, I think it's like a no-brainer, right? So it should"
237920,245120," be very easy to generate. And especially I heard that shaders have a problem with branching, meaning"
245120,250880," that like, you know, control flow branching like ifs and stuff like that. We don't have any branching in"
250880,256160," here, so it's completely branchless. I suppose maybe a shader compiler will be able to optimize it"
256160,261680," like very heavily, right? So and if we'll be able to generate these kind of images with"
261680,267600," given expressions at real time, we may even try to animate something, right? So one of the ideas that I"
267600,276160," had to animate this entire stuff is to introduce a third variable, something like T into the function,"
276160,282960," right? So and also put it into the generation process, right? So it will start appearing somewhere"
282960,288400," here in the expression. And when I'm generating an image, when I'm rendering the image on GPU,"
288400,294960," I'm actually changing their value maybe with a sign value. Because of that, because of that,"
294960,302640," it's going to change its parameters and stuff like that, right? Then you compile both versions and"
302640,308960," interpolate between the two. Well, I mean, I just compile one version, right, with T. And while"
308960,315520," as I render, if I will be able to render this thing 60 times per second, I'll be able to interpolate this"
315520,321600," like one variable in real time. So that what I will be able to do probably, I don't know."
321600,330640," So and this is what I want to try and want to do. So let's actually take a look at how slow this entire"
330640,336960," thing works, right? So for instance, if I do knob run, right, so it generated this function. And look"
336960,344160," how much time it, yeah, that's a pretty big function. So and yeah, so that was the time it took to generate."
344160,350080," So let's actually put the time in here, just just to measure it precisely what how many, how many milliseconds"
350080,357440," and stuff like that. Right, so seven seconds, eight seconds, basically, right? So it took eight seconds."
359360,365840," Right, so let me see how we're going to be, you know, displaying compiling shaders and stuff like"
365840,372720," that. We could work with OpenGL directly. But RayLib, by the way, has an abstraction over shaders,"
372720,380160," right? It literally has an object shader, which allows you to like given text, just create a shader,"
380160,386880," right? Given text, just create a shader. And what we can do, we can essentially just like generate a text,"
386880,392000," then feed that text into the, you know, shader compiler, get the shader out of that and just"
392000,396080," display it. Right, so and we'll see how it goes. I think it's going to be very interesting."
