start,end,text
240,6080," Hello everyone, and welcome to yet another recreational programming session with Amistazozin."
6080,11920," We've been developing this like little rendering engine, ray casting rendering engine in Doom,"
11920,17360," like old Doom style for quite some time, right? So, and we have all the necessary elements in"
17360,22480," here. So we can render walls, we can render ceiling, we can render floor, and we can even"
22480,31040," render entities using sprites, right? So, and these entities, they can actually have, we drew"
31040,36240," them at different angles, and we have a system that automatically picks a sprite according to the"
36240,42480," angle which they are facing and stuff like that. So I'm really proud of this small little engine,"
42480,51040," but what we wanted to do, we actually wanted to make this game a multiplayer game over network."
51040,57120," So to do that, we did a little bit of exploration in a separate project called, it doesn't really have"
57120,62480," a name, it's called like multiplayer game prototype. So we did a multiplayer game prototype. Let me"
62480,69280," actually show you. Right, because I don't know how to make multiplayer games like at all. I've never"
69280,76400," made a multiplayer game. So, and what they came up with is this simple prototype, right? You go to this"
76400,83200," web page and you have a player, right? So then what you can do, you can open the same page in a different"
83200,89120," browser or in a different machine. And as you can see, you have the second player in here, right? So,"
89120,94000," and we tested this entire thing. It can easily work with hundreds of players and stuff like that. It has a"
94000,100800," binary network protocol. It allows you to synchronize the state between different computers and stuff like"
100800,109200," that. It works pretty reliable. So, and I think the time has come to actually merge these two projects"
109200,117520," together. Right. So we're going to take the capabilities of our rendering engine, our 3D rendering engine,"
117520,126880," and the capability of the network capabilities of this game prototype and make a single 3D Doom style"
126880,132400," multiplayer game. So that's going to be the topic for today's stream, right? We're going to try to merge"
132400,138640," these two code bases together somehow. I'm not really sure how exactly it's going to go, but we'll see."
138640,145440," We'll see. So yeah, sounds good. Sounds Gucci. Sounds Tamaguchi. Let's go. All right. So let's go ahead"
145440,151280," and try to fucking do that, mate. Let's go ahead and try to do that. So what do we have in here? So while I"
151280,162000," was working on the multiplayer prototype, I discovered such thing as JavaScript modules, right? So I'm a seasoned"
163200,170000," veteran web developer. I've been doing web development since Internet Explorer 6, right?"
170000,176640," So, and for me, like JavaScript modules is just like something that they introduced recently. I never heard"
176640,183200," about this, like a Zoomer new feature, but apparently web developers after so many fucking years finally"
183200,192720," solved this problem. Apparently JavaScript in fact has like built-in modules. Holy fucking shit. But that's"
192720,201040," insane. They couldn't solve that problem for decades. Around 2015. Okay. So, uh, yeah. So now they have"
201040,206400," like a proper built-in modules. Before that, they had all sorts of different solutions, right? So just like"
206400,212720," a common JS or some shit like that. They even had like, had to implement different packers, like webpack and"
212720,219520," shit. And it's just like, it was a crazy town. It was a crazy town, but finally, uh, they introduced that."
219520,226560," So, and it's, it's basically files like MGS, uh, right? So in case of a TypeScript, you have to use MTS."
226560,232080," And when I started raycasting engine specifically, right? So I didn't know about any of that, right?"
232080,237040," So I think one thing I want to do, I actually want to kind of migrate the raycasting engine to"
237040,241200," use the, uh, the module stuff, right? So I want to quickly do that."
242400,248080," Uh, it's still, it's still fucking crazy town. Yeah. I can see that. It's probably because, um, there is"
248080,254400," a lot of legacy code, right? So legacy never kind of goes away. Uh, you can, you can try to like"
254400,262080," introduce like the actual proper solution, but if the weird hacks, uh, polluted the, the entirety of the"
262080,267920," code base, right? So it becomes legacy. It never goes away. Yeah. Legacy never dies. Legacy never dies."
267920,277600," So unless you kind of starting things from scratch, but I mean, I don't really know. I don't really know."
277600,286080," So the fact that even Cabal is still around, right? Just says you something about like, uh, about legacy"
286080,293280," code. You can never get rid of it. You can, you can sort of, you can always start over somewhere in a"
293280,300160," different place or somewhere nearby, right? You can't really fix software infrastructure. You can only start"
300160,309680," from scratch somewhere else. Um, so that's the only thing you can do. Um, so it's kind of is what it is"
309680,317520," and it isn't what it isn't. So I suppose I want to maybe remove some of the JS files, right? So because"
317520,323520," when I'm compiling, uh, MTS files, right? So they're going to create MGS, right? So let's actually rename"
323520,333520," game, uh, TS to MTS. Any other TS files? So we have index MTS and also vector MTS. Uh, there we go. So I"
333520,340000," probably want to remove this thing. Look, I should be careful. I should not remove watch JS. Uh, right."
340000,346720," I also want to remove that. And I also want to remove that. There we go. All right. So if I try to now"
346720,353280," build the whole, I don't have to actually run it from here. I can run it from my Emacs. If I run building"
353280,361280," here, is it going to create MJS files? All right. So it's not going to do that. Uh, let's go into the game"
361280,367920," MTS. So, and then here, oh yeah, that's understandable, right? So because now it's MGS,"
367920,372960," right? So as you can see, we have a vector MGS and I was actually importing that thing. So we have to"
372960,378400," import MGS now, uh, even Emacs kind of highlights that. Okay. So what else do we have in here?"
378400,389280," Uh, yes, yes, yes. So, and in index MTS, in index MTS, uh, yeah. Okay. This one is very interesting. So"
390240,396160," this is a hot reloading for the ray casting. Uh, this is a hot reloading for the ray casting."
396160,406640," And if we actually introduce the server side, um, this doesn't make any sense because there will be"
406640,414400," a common part between the client and the server, right? So that means if I modify the common part,"
414400,420720," I also need to implement hot reloading for the server as well. So I have a feeling that I need"
420720,428240," to kind of switch off hot reloading for the time being, right? So, um, as I'm integrating this entire"
428240,435040," thing, I'm going to remove hot reloading. And then once I integrated multiplayer into the main game, I'll"
435040,440320," bring it back, right? So that's going to be the idea. And furthermore, uh, so to enable hot reloading,"
440320,446080," we're connecting over the WebSocket to the WebSocket server, right? That observes that file have changed."
446080,451760," Uh, we kind of want to use this port specifically for the, for the game server, right? Um, so yeah,"
451760,456640," I think I'm going to remove this, the entirety of this entire thing. So there's a to-do in here,"
456640,461360," a hot reloading should not break if game crashes. It's a useful to-do, right? So I'm going to keep"
461360,467840," it in here, but on top of that, I'm going to say, uh, bring hot reloading back, right? So, and let's"
467840,474000," actually remove this entire thing. And that also means that we don't really have to load the hot reloaded"
474000,481120," module like this. What we can do, we can just like, you know, load it from the import, like import"
481120,488320," everything as game, uh, from this thing, but this thing is now MGS, right? So let's actually use the"
488320,493200," single quotes because we usually use single quotes for this kind of stuff. And that's about it, I think."
