start,end,text
0,2000," *Sigh*"
2000,8000," *Sigh*"
8000,13000," Good time."
13000,15000," Yes, come on."
15000,18000," Let's make a couple of tea."
30000,32000," *Sigh*"
32000,34000," *Sigh*"
34000,35000," *Sigh*"
35000,36000," *Sigh*"
36000,37000," *Sigh*"
37000,38000," *Sigh*"
38000,39000," *Sigh*"
39000,40000," *Sigh*"
40000,41000," *Sigh*"
41000,42000," *Sigh*"
42000,43000," *Sigh*"
43000,44000," *Sigh*"
44000,45000," *Sigh*"
45000,46000," *Sigh*"
46000,47000," *Sigh*"
47000,48000," *Sigh*"
48000,49000," *Sigh*"
49000,50000," *Sigh*"
50000,51000," *Sigh*"
51000,52000," *Sigh*"
52000,53000," *Sigh*"
53000,54000," *Sigh*"
54000,57000," I'm kinda sick of drinking black tea."
57000,58000," *Sigh*"
58000,67360," I'm gonna do you long max tea go on third hello hello just a second I'm gonna grab a different tea"
67360,71040," super quick a little bit of tea in here"
71040,79600," note you should be left behind that's the rule that's the pulse"
88000,117520," this is a you know milky oolong"
118000,124960," i think i think this is how it's called uh ceremony what's up what's up what's up it smells amazing"
124960,135120," holy sh*t mostafa hello hello hello so it's like a semi semi fermented uh tea right so it's like"
135120,140400," half green half black am i being debated of course of course you're being debated"
140400,146720," long we've been waiting let's all get debated"
148000,164480," all right so i'm gonna quickly go to the kitchen turn on the kettle and i'm gonna be back and i'm"
164480,171360," gonna start rewriting our game in rust so the idea is gonna be the following uh we're gonna take our"
171360,176640," game that i was trying to like hopelessly trying to implement in haskell and obviously haskell is"
176640,181840," a way inferior language to to rust uh right we're gonna take regalic and we're gonna rewrite this"
181840,188720," thing in rust that's gonna be the plan for today take this thing and rewrite it in rust and maybe even"
188720,194720," extend it and since rust has like a cool um graphical dependencies maybe we can use that"
195360,201440," uh for like graphical interface rather than the um the text interface but we're gonna start with the"
201440,210080," text one so we'll see how it goes uh so what i'm working on like i want to write a roguelike game but"
210080,216800," in rust i already have like a prototype of that game in haskell and i'm writing it in rust because rust is"
216800,223680," a better language than haskell so maybe i have to actually put it in here so date cmd project are"
223680,236640," rewriting my game from haskell to rust so this in the source code source code is gonna be actually this so"
238720,245520," the antonio subscribed with tier one sub for two months thank you so thank you so much and welcome"
245520,253760," to our epic rust club we love rust in here why rust is better than haskell because it is it's just easy"
253760,260400," it's way faster it's way safer uh it's just generally better language why why would it program in inferior"
260400,269760," language and come on uh so all right good luck thank you thank you so much uh so i'm gonna quickly go"
269760,272800," to the kitchen turn on the kettle for my tea and then we're gonna be back and i'm gonna"
272800,279200," start rewriting all of that thank you thank you so much thank you for wishing me away"
290400,299760," so"
317760,319840," back to back to back champion"
319840,327280," all right boys and girls all right all right all right so we don't have any dependencies right now"
327280,333440," um so i'm gonna go with the same approach i discovered while implementing this game we can"
333440,340160," actually take a look at that game so uh garlic and i think i'm gonna catch the other stuff"
345280,351360," you actually introduced me to rust almost through the almost through the book and now i'm down the"
351360,358080," rabbit hole where i went from vim to near vim to get more modern features low through a book"
358080,362160," did i suggest to read the book i don't remember doing that"
363920,373360," um okay all right so we have that and i'm going to do car and not cargo cabal"
373360,380480," uh i should to run so this is how well i'm going to wait a couple of a couple of hours"
380480,386480," misleading title no it's not a misleading title if you take a look at what we're actually doing"
387280,394400," uh i'm rewriting my game from haskell to rust so yeah of course there will be a little bit of haskell"
394400,401680," because i'm rewriting a thing from one language to another it is not misleading uh please don't report"
401680,406560," me to twitch stuff okay it is not misleading so this is how it looks like so this is what we have so"
406560,411680," far we can generate a bunch of rooms and we have a player and you can actually move around and we have a"
411680,417120," collision detection as you can see you can not go outside of the room so we actually support more"
417120,424000," we also support doors and passages unfortunately our level generator doesn't generate them that's"
424000,430640," why you can see them but we do support them on the level of an engine uh so yeah and essentially this is"
430640,436960," what i want to port from haskell to rust for now to get a more speed right because haskell is a slow"
