start,end,text
800,5360," Hello everyone and welcome to yet another recreational programming session with Mr."
5360,11680," Zozin and the topic of today's session is raycasting. Raycasting is a technique that"
11680,17680," allows you to create some sort of like a 3D perspective on a 2D map and it was used in"
17680,23920," old games like Wolfenstein 3D. Right so everybody knows about this game it's an old famous game"
23920,32320," so and raycasting is what gives it this iconic look so i never really implemented raycasting"
32320,39600," right but i kind of know roughly how it works i know the main idea and this is exactly what i"
39600,46160," wanted to do on today's session i wanted to try to tackle this sort of technique and and learn it"
46160,52240," essentially so here i found a tutorial online so i just googled up like raycasting and what kind of"
52240,57360," tutorials you can find online and this was the first result in google and apparently it's a famous"
57360,63920," tutorial on raycasting people told me it consists actually of three parts all right so it goes quite"
63920,69520," into the detail of raycasting i'm not going to be really strictly following it or reading into it too"
69520,75440," much so i'm going to just i'm going to be just using the main ideas that i see on the pictures right so i"
75440,82080," think the pictures here are quite useful right so they actually explain you a lot so i already tried"
82080,90320," to implement um this topic on uh online on twitch but i severely underestimated how complex that topic"
90320,97600," is and how much concentration it requires from me so uh the entirety of the sessions were a mess so i"
97600,103920," actually completely scrapped them and decided to start from scratch but already offline where there is"
103920,110800," nothing that distracts me so i can fully focus on implementing raycasting so uh how raycasting works um so"
110800,118400," essentially uh you have a world that consists of a grid right so the world is the grid and the size"
118400,124640," of the cell of the grid doesn't really matter that much so and because of that it is easier to just pick"
124640,130720," the size of the cell equal to one because in that case the cell sort of becomes like a normalized value"
130720,136720," from zero to one which enables you to actually mapping that cell to whatever size you want right so it just"
136720,145280," like generally makes the math easier um right so and some of the some of the cells here are marked as"
145280,151520," walls as filled in right so let's actually mark this one as filled in and also mark this one as filled in"
151520,156720," maybe i should actually use something like this yeah so let's just fill it in i don't think i have a but"
156720,162080," maybe i do have a bucket so maybe i can just use something like that uh all right so but i mean i already"
162080,167280," screwed it up so yeah we have a bunch of walls in here and stuff like that doesn't really matter"
167280,172240," and uh we also have a position of the player and the player is not really snapped to the grid the"
172240,177360," player can be like in between the cells and stuff like that so let's actually place the player in here"
177360,186080," and uh player is looking at a certain direction uh and the player sort of like the camera that is"
186080,192080," attached to the player's head has a certain fob field of view uh right so this is the field of"
192080,198880," view and we also have a plane onto which we are projecting uh this scene and this plane sort of"
198880,205360," represents this screen so in essentially what we're doing uh we are shooting the rays from the position"
205360,211120," of the player towards that sort of screen onto which we're going to be projecting things right we're"
211120,217440," shooting the rays and we're trying to see what walls there intersect so the walls usually have"
217440,223200," some sort of a color associated with them right so we see that this ray intersects with that specific"
223200,230720," cell with that specific color right and we basically take uh the column that is associated with this point"
230720,237920," on the screen and we're just coloring that specific column on the screen uh with the color of that of that"
