start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
629980,659960," Thank you."
659980,689960," Thank you."
689980,719960," Thank you."
719960,749940," Thank you."
749940,779920," Thank you."
779940,809920," Thank you."
809940,839920," Thank you."
839940,869920," Thank you."
869940,899920," Thank you."
899940,929920," Thank you."
929920,959900," Thank you."
959920,989900," Thank you."
989920,1019900," Thank you."
1019920,1049900," Thank you."
1049920,1057120," inverted y goes down it's a screen coordinates from the top edge so the top left corner is zero"
1057120,1063760," zero and the position immediately to its right is one zero your job is to figure out uh which asteroid"
1063760,1068480," would be the best place to build a monitoring system and monitoring station can detect any"
1068480,1075760," asteroid to which it has a direct line of sight that is there can not be another asteroid exactly"
1075760,1081920," between them uh this line of sight can be at any angle not just lines aligned to the grid diagonally"
1081920,1085920," the best location is to detect the asteroid that can detect largest amount of asteroids"
1085920,1095600," so essentially this particular position i think it can detect this asteroid you see so you can detect"
1095600,1101840," that one uh that one from this one so this is because it goes through this uh imaginary hole"
1101840,1110560," so you see everything has to be in flow anyway anyway thank you witness for 13 months uh wait 20"
1110560,1115280," months of twitch prime subscription thank you thank you thank you and welcome to our epic advent of code"
1115280,1123440," club that's right so yeah and our input is just uh you know this right something like this and you have"
1123440,1131040," to find uh the position for which you can see uh the maximum amount of asteroids right so yeah essentially"
1131040,1138240," the easiest thing to do here is to take uh like go through each individual asteroid right and for each"
1138240,1148000," individual asteroid basically um group them by their angles all right and the amount of groups you have"
1148000,1154240," is the amount of asteroids visible right so essentially you have this thing you go through all of them"
1154240,1160240," you calculate angle relative to this one this one for all of them then you group them by their angles"
1160240,1166000," angles and this is your answer for that particular asteroid the amount of these groups is the amount"
1166000,1172320," of visible asteroids because this is the amount of phrase you have and that will work if you just use"
1172320,1178080," angles as as floats seriously the input data doesn't have any pitfalls and my first mistake that i did"
1178080,1182320," while solving this problem is that i thought maybe the data is going to be so tricky that if you try to"
1182320,1187360," do something like that it won't just work so you'll have to avoid floats because that's what i was"
1187360,1192800," told in competitive programming but apparently data is actually quite dumb so yeah that's the first"
1192800,1200000," lesson i learned like you always assume like a very dumb solution uh let's quickly do that i suppose"
1200000,1206720," what do you guys think let's let's go to sell this so uh let me grab the data input"
1206880,1214720," uh data where is the yeah get input yeah and the input is actually quite small this is the whole input"
1214720,1222560," uh so what do i have here emacs and let me do input txt and i'm gonna grab the input there you go"
1224320,1234640," so uh what we'll need in our program uh module main where right we'll need to introduce the point right"
1234640,1240560," we'll need to introduce the point that indicates the asteroids right so we're gonna just implement like a"
1240560,1252160," 2d vector uh deriving equal show there we go there we go uh and i think i need to restart my emacs so uh"
1255040,1256720," i can use my ghci"
1256720,1269600," i'll need to wait a little bit for for example for some reason uh first run of ghci is super slow on my"
1269600,1276000," machine uh yeah so we also need to define the entry point here otherwise it's not gonna work entry point"
1276000,1283520," is very important cundere tube worm hello welcome welcome welcome welcome how are you doing um all"
1283520,1294800," right so we have this point right let's write some code yes exactly uh okay so let's read the input file"
1294800,1299840," right so this is how we read the input file uh and again i want to split the input file by lines"
1300720,1305440," i want to split by lines and uh maybe i also wanna"
1305440,1316160," i just i just lost my thing i also want to enumerate each line right so but uh the easiest way to"
1316160,1321600," enumerate anything is to zip it with zero dot dot"
1321600,1329360," all right so uh imagine right imagine that you have a string"
1329360,1336640," hello and you want to enumerate each individual character here so you can zip zero uh like that"
1336640,1342960," and what you get is a list of pairs index character index character index character so and the reason"
1342960,1349280," why you can do that is because string is a list of characters so this is one of the things in haskell"
1349280,1355200," is that strings are literally linked list of characters yes it's not a joke in haskell"
1355200,1361360," strings are linked list of characters welcome to haskell what can i say uh so and essentially"
1361360,1369440," if you have lines you can map each individual line uh with this thing zip uh zero and that will uh"
1369440,1375840," enumerate each an individual character within each individual line but then you want to enumerate each"
1375840,1384080," individual line as well right so uh and that will give you a type a very interesting type list of"
1384800,1391600," pairs where the first element is an index a second element is another list where you have a pair of"
1391600,1398400," a character of the coordinate and the character so this is a very very complicated type but it allows"
1398400,1405920," you to index uh two dimensionally x and y so uh after that uh you want to map each individual line"
1407040,1412800," and each individual line starts with um"
1412800,1422000," yeah so essentially you start with y and a bunch of x's right but you start with y and a bunch of x's"
1422000,1432960," and within each x right within each x you have um x and a value right and what's interesting is that"
1433680,1443040," um you probably want to filter out everything that is not an asteroid right so the way to do that is"
1443040,1451840," probably uh do the filter actually oh my god i'm gonna sneeze"
