start,end,text
240,6480," looks like we're live hello everyone and welcome to yet another recreational programming session"
6480,12000," with a mr azuzin let's make a little bit of announcement and officially start the stream as"
12000,20880," usual so red circle uh live on twitch and what are we doing today on twitch.i television website"
20880,26880," today we're doing uh easy 3d in c with raylib how about that so i'm gonna give the link to where"
26880,31600," we're doing all that uh twitch.tv/starting i'm gonna ping everyone who's interested in being"
31600,37520," pinged and there we go the stream has officially started the stream has officially started so"
37520,41120," what did we do on the previous stream on the previous stream we were exploring the k-means"
41120,46480," clustering algorithm right and it's a very simple algorithm that given like sort of like a points"
46480,52560," in some euclidean space uh which represent maybe representations or observations or something like"
52560,59760," that uh so you try to fit them into k clusters right and uh it's actually very very simple it's"
59760,67520," actually very simple uh let me demonstrate you how it looks like so um essentially we generated uh five"
67520,74480," clusters in here you can clearly see that there is a five clusters and uh so the colors of dot represents"
74480,79760," to which cluster it sort of belongs and here we have centroids of the of the cluster so the"
80480,86240," goal of the algorithm to find the optimum position of the centroids so they could uh they correctly"
86240,91920," identify the clusters so it's an iterative algorithm and if you just iterate a few times as you can see"
91920,97120," centroids go to the center of the clusters and there you go we actually identified all of the five clusters"
97120,102480," successfully right so it's actually kind of fun algorithm right so there is a lot of applications for"
102480,107360," for this kind of stuff and on the previous stream i was a little bit struggling to come up with"
107360,113200," interesting application on the stream to implement right and then after the stream i found such"
113200,121200," application right so and such application is a color a color quantization so the idea i suppose"
121200,128000," i haven't read uh like anything about color quantization right so i'm basically gonna try to guess"
128000,135760," how it works so each uh point each pixel is basically a point in a color space right and"
135760,141840," you take all of the colors all the unique colors you put them in a color space and you essentially"
141840,150480," feed them into k clusters and there you go you got a palette you've got a palette so you can basically now"
150480,156480," reduce the size of the image by using the palette that doesn't uh reduce the quality of the image too"
156480,162960," much right so for example here we have 24 bits rgb color and after the core quantization uh it looks"
162960,169280," a little bit like less quality but still it represents the palette represents the the image quite well"
169280,175680," right so and this is what k-means clusters can be used for right so and as far as you know it"
175680,182640," it's originated in signal processing like that right so um and this is exactly what i wanted"
182640,189520," to implement today but since it's a color space it is a 3d space um this kind of visualization that"
189520,195520," we have in here is not gonna cut it right because it's a 2d visualization it would be kind of nice to"
195520,202720," actually see all of the points in the color space in 3d right and see the actual clusters and stuff like"
202720,209760," that that would have been cool and luckily raylib uh raylib has such capabilities right so because"
209760,215600," it's a library that was um you know developed for video games right so obviously it has 3d capabilities"
215600,222320," that we didn't really explore that much on our streams where we use raylib unfortunately so i decided"
222320,228800," that that could be a very good opportunity to actually explore uh 3d capabilities of raylib"
228800,232560," what do you guys think i think it's actually a pretty cool idea so and that's exactly what we're"
232560,237200," going to be doing today right so we're going to explore the 3d visualization capabilities of raylib"
237200,242640," right and then we're going to use them to implement k-means clustering on 3d and then once we have a k-means"
242640,250320," cluster on 3d we can try to do color quantization uh right and try to maybe sort of like reduce the"
250320,254480," sizes of the image or something like that this kind of stuff by the way is very useful for converting"
255120,263680," for instance pngs to gifs right so because gif has sort of like a mode where you can basically store a"
263680,269920," palette right instead of like a full rgb colors you can just like provide the palette and the palette can"
269920,276480," be provided i think in rgb colors right so you can basically compress some images right so essentially if"
276480,285040," you say each pixel is going to be uh one of the 16 colors right so you can actually store uh such"
285040,289840," thing in a few bits somewhere like it greatly compressing the image itself you can come up"
289840,296960," with a format like that so yeah all right uh so let's go ahead and see what we can do like"
296960,303840," to be fair i think i never tried 3d capabilities of raylib i think i tried them one time long time ago"
303840,308160," but i think raylib was well i mean it really didn't really change that much but i feel like it was"
308160,314960," different i was different and i forgot everything so it was long time ago so anyway uh let's try um"
314960,320800," you know to let's try to learn all that from scratch so i'm going to create a separate executable right"
320800,327440," so because we already have a lot of stuff in the previous executable here related to 2d stuff right so"
327440,332960," it's kind of difficult to integrate 3d stuff in here so i want to start from scratch so i'm going to keep"
332960,338320," both of these things like side by side uh right i'm going to keep them side by side so the first thing"
338320,343200," we're going to do we're going to create a simple hello world how about that so i'm going to do it like"
343200,355760," this so the usual thing uh sdio so print f and uh we're going to do hello world hello world and i'm going to"
355760,363520," go into my build script script right and uh i'm going to try to just build it so essentially here"
363520,368720," is the command line that builds a single executable and what i'm thinking is that maybe i'm going to"
368720,373680," factor it out because i'm going to use the same command line for building the second executable as"
373680,381600," well right so uh let's actually do something like uh build program right build program and we're going"
381600,389600," to accept uh the source source path in here and maybe the output path right so the output path uh all of"
389600,395840," that is needed for for these things so this is the output path and this is the source path uh right and"
395840,403520," then uh we're going to basically factor out this entire stuff to here right like so so and i'm going"
403520,410000," to replace this thing with the output path and this thing with the source path so and then we are"
410000,415120," running it in here so and if it returns false that means it failed but i think i'm going to propagate"
415120,422720," the the result of this thing uh you know to the color of the function right so there that then"
422720,429840," they can see if that particular command has failed or not so interestingly uh interestingly i think i"
429840,436240," want to do something like this right so the the command object has to be in here so and we have src"
436240,444960," main.c and the output is k means right so and this entire thing fails uh we're going to return non-zero"
444960,450080," exit code right there we go and if now i want to add another uh program that i want to build i just have"
450080,456640," to clone this command or clone this line and just do 3d 3d so now we're building two of these things"
