start,end,text
640,7040," looks like we're live hello everyone and welcome to yet another azuzian session uh let's make a"
7040,14960," little bit of an announcement and officially start the stream as usual as usual uh so let's do the"
14960,23680," usual red circle uh live on twitch and what are we doing today on twitch.at television a website"
23680,28880," so today we continue doing machine learning in c but specifically today we're going to be"
28880,37840," developing a new framework for neural networks easy that's right it is possible in 2023 let's go"
37840,42640," so i'm gonna give the link to where we do know that which dot tv is slashed sodding and i'm gonna ping"
42640,47440," everyone who's interested in being pinged and there we go the stream has officially started holy"
47440,52560," that's how we're supposed to act in 2023 on social media otherwise nobody's gonna watch you"
52560,61440," because you have to be engaging and i won't die anyway hello everyone so uh hello hello welcome"
61440,69920," welcome welcome so on the previous stream we um um essentially we essentially explored"
69920,76400," uh a paradigm called machine learning right so uh in this paradigm you create a some sort of a"
76400,83680," mathematical model of uh some sort of a process right so and essentially you do not create that model"
83680,89040," directly right so the model has a bunch of parameters you do not specify the parameters of the models"
89040,97360," directly what you do you write a description of the behavior of the model that you desire uh so-called cost"
97360,102800," function right so it's basically like a distance between uh the how the model actually behaves and"
102800,109200," how you want it to be here and then you basically tweak and mess with parameters algorithmically purely"
109200,115280," algorithmically until the cost function becomes like small enough that you would say that's a good model"
115280,120320," right so that's a good model so essentially this entire process uh takes your description of the model"
120320,125120," and just you know finds the model that fits the best that specific description so it's it's kind of a"
125120,131360," different paradigm of programming so to speak right so you're not creating a thing directly you create"
131360,136400," a thing that describes how the thing has to behave right and of course because of it's a different"
136400,142160," paradigm it has its own strengths strengths and weaknesses some things are easy in that paradigm"
142160,151360," some things are difficult and vice versa right so yeah and on the previous stream we actually studied very"
151360,158560," very um with various with very simple examples we considered three different models so you can find"
158560,163440," the notes from the previous streaming here so i'm going to copy paste them in the chat so here they are"
163440,170880," uh right and for people who's watching me on um on youtube uh it's going to be in the description"
171440,175840," right so what we started with we started with a very simple model maybe we can even take a look at"
175840,182960," that right so let's take a look at the ml notes so the model is called twice right and essentially what's"
182960,193920," up with that model right so you is you are supposed to uh supply a number x into that model right so and"
193920,200720," the model itself it has only one parameter right which is like you know the weight of the connection if we"
200720,205600," look at that model as a single neuron but if you look at it as a single neuron we're supposed to"
205600,210240," actually put weight on the connection in here right because that's the strength of connection but let's not"
210240,217280," go to wind up about all of that and on the uh in the output you would see this thing being multiplied"
217280,223520," by two so here you have two x right and essentially uh the simple solution for that model is just to say"
223520,228960," w equal to uh to two but we don't know that we pretended that that's a very difficult very"
228960,234240," complicated uh model and we wanted to use machine learning approach to actually find that specific"
234240,239680," solution right and uh we used a very simple approach where we define the cost function right"
239680,247360," and then we used a very simple finite differences approach essentially we wiggled the parameters of the"
247360,253280," the model by a certain epsilon and uh if that drive the cost function down we just increased by that"
253280,257680," specific epsilon that specific direction nothing particularly special so i think in this specific"
257680,263840," case i also introduced the biases right so to to demonstrate uh how how it works it's just addition"
263840,269360," number but doesn't really matter so this was the twice model right it just multiplies the specific"
269360,277600," thing by by two right so this is twice so the other thing we explored we explored a model with yet a"
277600,283840," single neuron right but already with two connections right so there was two connections in here so we have"
283840,295920," uh a value x1 and x2 uh there is two weights in here a w1 and w2 and also um there is like one one bias"
295920,301600," specifically for that neuron and uh essentially what we did with that single neuron we modeled a couple"
301600,311920," of uh you know uh gates right and a couple of like a binary gates like or gate uh or gate and uh and gate"
311920,318800," and so on and so forth and we also demonstrated that it is not not really possible to model zor gate with"
318800,326800," just a single neuron uh right so it's not particularly possible uh to model uh to model zor gate right to"
326800,335920," model zor gate uh we have to uh create a more complicated um architecture of the neural network"
335920,343600," right so we had to come out we had to create three separate neurons right three separate neurons so the input"
344160,352000," goes into these two right so actually uh you have two inputs in here so this is not like an actual neurons"
352000,358800," of the neural network but they are sort of like an input so this is x1 and this is x2 and uh the first"
358800,365120," input connects to here right and the second one connects to here and again these two also connect to"
365120,373040," these uh two things right so and then the final result is combined by this neuron right the final"
373040,379760," result is combined by this neuron so this particular thing has uh at least like six weights because each"
379760,385760," of the connection has its own weight so there's a four connections in here uh and two connections in here"
385760,394720," so there's a six weights and uh each of the neuron have their own bias like b1 b2 and b3 so there was"
394720,401040," in total like nine parameters in that model uh and uh so the way we actually represented that specific"
401040,407200," model right the way we represented that specific model is just like we literally listed listed all of"
407200,414000," these parameters in a structure and we passed around and so on and so forth right so the problem with this"
414000,422560," entire stuff is that this particular approach is not scalable right because we already have like a three"
422560,427360," neurons in here right but it's already kind of difficult to work with we had to do a lot of copy"
427360,432800," paste uh right just to work with all of that we could have actually put all of that into an array"
432800,439840," like a linear array of those things but that doesn't describe the architecture of the neural network what if we"
439840,445600," have uh three neurons but organized in a completely different architecture right so here they are like"
445600,452000," sort of in a triangle but what if we just uh straighten them up linearly so how do we describe that we"
452000,458480," literally have to change the code of the function that forwards information in here so sort of the actual"
458480,465520," um topology so to speak of the uh of the neural network is described by literally this code right it's sort of like"
465520,471360," hard coded how can we make it more flexible so yeah and that's the problem that i wanted to"
471360,476560," want you to tackle today there is a very convenient and kind of like elegant way of representing neural"
476560,484320," networks in the memory of a computer and uh so we're gonna explore that sort of technique and we're gonna"
484320,491360," build a framework around the technique today so that's the plan for today so we've got some subs right"
491360,494880," so we've got some subs that i would like to acknowledge right so let me quickly do that"
494880,502240," uh so we have some people uh silence uh showman thank you so much for tier one subscription they"
502240,507520," subscribed actually off screen uh but i won't acknowledge them anyway uh jack patterns thank"
507520,512320," you so much for twitch prime swinging sorcerer thank you so much for twitch prime lindra braga thank"
512320,516240," you so much for twitch prime azura akimori thank you so much for twitch prime with the message"
