start,end,text
160,5840," looks like we're live hello everyone and welcome to yet another recreational programming session"
5840,11600," how about it let's make a little bit of an announcement and officially start the stream"
11600,19520," as usual as usual uh red circle live on twitch and what are we doing today on twitch.tv"
19520,26320," website today we are uh simulating actual freaking life and see i feel like i went a"
26320,31200," little bit over the board with that title but i think it's good enough uh it's good enough uh"
31200,39520," welcome to the internet in 2023 so i'm going to give the link to http uh as slash tv and i'm going"
39520,45520," to ping everyone who's interested in being pink and there we go the stream has officially started"
45520,50640," the stream has officially started hello hello everyone welcome welcome welcome really glad to"
50640,55840," see you all today so today we're going to be looking into this paper right it's a relatively"
55840,63360," old paper right so it's from 2011 right as you can see uh relatively old but still kind of relevant"
63360,71200," it's a generalization of conveys game of life uh to a continuous domain aka smooth life right so a lot"
71200,77280," of people probably know what is a game of life conveys game of life is this it's this cell automaton that"
77280,84400," actually very simple it is extremely simple but it gives the birth to uh like a lot of complexity so it"
84400,92000," has a lot of emergent complexity and if we google it up game of life uh right so and uh there are some"
92000,100800," animations i think uh that demonstrate that uh so gay the game of life by that's not the game of life i was"
100800,110160," looking for actually that's the wrong game of life what the uh okay thank you thank you dr go very cool"
110160,119360," every time i want to switch to duck the go shit like that happens to me uh anyway so conveys game of life"
119360,124960," uh right so you you can see this like a lot of different interesting complexities so this is"
124960,130480," basically conveys game of life this thing is just like a shooting gliders and glider is probably the"
130480,137440," the most like interesting structure that emerges out of the conveys game of life uh right so but"
137440,145600," this paper is about actually taking this discrete thing and um generalizing it to a continuous domain as it"
145600,151920," basically says right so and it looks actually kind of spectacular right if you google up smooth life"
151920,159040," right a smooth life it's actually kind of cool it's just like game of life uh but uh it's actually like"
159040,166320," very continuous and it creates this sort of like you know um biological like structures and everything"
166320,173760," it's just actually freaking spectacular uh right and it's not on uh a finite discrete grid it's actually"
173760,182000," continuous right so in in game of life uh the cell can be only in two states uh zero or one uh dead or"
182000,190400," alive right so this thing in this thing the cell can be uh in any state between zero and one so its state is"
190400,198480," continuous right its state is kind of continuous uh right so and it actually creates it has its own gliders"
198480,205360," right it has its own gliders that look like this uh right and they are unlike the game of conveys game"
205360,212400," of life uh gliders they're um they're only directional so that means they can move in any directions or not only"
212400,218880," diagonally right so and i think that was the goal basically of this paper is to just come up with the"
218880,226880," uh sort of like a conveys game of life uh that creates on the directional gliders right so and"
226880,233760," the problem with the uh smooth life right the problem with smooth life is that um it feels a"
233760,239600," little bit gatekeeping i don't think it's intentional but uh you can quite easily just"
239600,244800," look at the wikipedia page of uh conveys game of life and get an idea on how to implement it on the"
244800,250080," computer right and that's what made it made it so popular that's what made it so popular because like"
250080,255440," anyone even without any like mathematical background or anything just like can open that page read that"
255440,260800," page and understand what the fuck is going on this thing you open this paper and the first thing you're"
260800,270320," greeted with is a freaking integrals what the fuck is this like what the hell is just like no like it's just"
270320,275280," like everyone is going to be scared away from from from that but i do understand where they're coming"
275280,282160," from i i do understand where they're coming from because it's a continuous thing right it's a continuous"
282160,290400," thing and they need to describe continuous sums right so and that's why it just goes here and it's a little"
290400,296320," bit scary like what the fuck is going on in here it's it's not like uh conveys game of life where you can"
296320,302560," have a description of of a power of about the paragraph right and there you go that's enough"
302560,307680," for you to implement that like you yeah you need to understand what the fuck is going on in here"
307680,312320," and that's why not that many people actually implement this thing there are some implementations"
312320,317680," of this kind of stuff but it's not like game of life where anyone on any machine with any programming"
317680,323120," language can just like sit down and implement this entire thing uh right so it's kind of like um"
324160,329680," yeah it's a bit gatekeepy but i don't think it was intentional so and the cool thing here is"
329680,334640," that uh if you managed to implement it you would start seeing these kind of structures and that's"
