start,end,text
0,2000," *music*"
30000,32000," *music*"
60000,62000," *music*"
62000,76000," *music*"
76000,88000," *music*"
88000,116000," *music*"
116000,118000," *music*"
118000,120000," *music*"
120000,122000," *music*"
122000,124000," *music*"
124000,126000," *music*"
126000,126000," *music*"
126000,128000," *music*"
128000,128000," *music*"
128000,130000," *music*"
130000,132000," *music*"
132000,134000," *music*"
134000,134000," *music*"
134000,136000," *music*"
136000,136000," *music*"
136000,136000," *music*"
136000,138000," *music:"
138000,140000," *music*"
140000,142000," *music*"
142000,144000," *music*"
144000,144000," *music*"
144000,144000," *music*"
144000,144000," *music*"
144000,146000," *music*"
146000,146000," *music*"
146000,146000," *music*"
146000,148000," *music*"
148000,148000," *music*"
148000,150000," *music*"
150000,151000," *music*"
152000,154000," *music*"
154000,156000," *music*"
156000,158000," *music*"
158000,187980," Thank you."
188000,217980," Thank you."
218000,247980," Thank you."
248000,277980," Thank you."
278000,307980," Thank you."
308000,337980," Thank you."
338000,367980," Thank you."
368000,397980," Thank you."
398000,427980," Thank you."
428000,457980," Thank you."
458000,487980," Thank you."
488000,517980," Thank you."
518000,547980," Thank you."
548000,577980," Thank you."
578000,607980," Thank you."
608000,637980," Thank you."
637980,667960," Hello, hello, welcome, welcome, everyone."
667960,674760," Today is Wednesday, today is Wednesday, if I'm not mistaken, and yeah, today I decided"
674760,680720," to make another stream about virtual machine because I was enjoying making the virtual machine."
680720,681760," Can you believe that?"
681760,683560," I was finally enjoying doing something."
683560,686200," That's incredible, in my opinion."
686200,686940," That's incredible."
686940,691380," So, and yeah, today we're going to continue developing the virtual machine."
691380,713980," And you can find the virtual machine, you can find the virtual machine, so we're going to work on the virtual machine, so we're going to work on the virtual machine, so we're going to virtualize all of your software, and I don't know what to say, but yeah, I'm going to do something."
713980,714980," I'll come up with something."
714980,716340," Don't go anywhere."
716340,717540," Don't go."
717540,718580," Don't go anywhere."
718580,718920," Don't go anywhere."
718920,747520," Don't go anywhere."
747520,756500," uh yeah as i already mentioned you can find the source code in the chat by issuing a corresponding"
756500,763720," command and let's just take a look of uh at what we've done so of what we've done so far"
763720,770440," so i'm gonna start to mucus and i'm gonna go to the bm and uh what's the status of this thing"
770440,779660," we are on some weird branch the crisp good damn it okay uh check out master and let me fetch the"
779660,789000," latest changes how about that how about that first try fetched the changes first try uh origin master"
789000,795460," and uh should we remove the previous branch i think we should this is not the previous branch and let's"
795460,801880," build everything so what we built so far is actually three important tools uh this one is"
801880,808060," not that important it's just a you know experiment but our virtual machine consists like a tool set of"
808060,815340," the virtual machine consists of three important tools the first one is bosom which enables you to"
815340,822240," write in an assembly of the virtual machine so this is like a non-existing uh toy virtual machine and it"
822240,830160," has its own assembly so uh for example this is how you write a fibonacci uh number generator in"
830160,838320," uh this assembly so as you can see it has some uh instructions and it has uh you know conditional and"
838320,843480," uh unconditional jumps you can use labels and stuff like that this is like a proper assembly here"
843480,847080," without any preprocessor unfortunately maybe we're going to add preprocessor"
847080,855780," to be fair do we really need to add preprocessor we can just use cpp um yeah god damn it"
855780,870860," oh wait can we use cpp because i decided to use this uh comment things so maybe that will prevent us"
870860,877340," yeah so that means we'll have to change the uh change the comments uh and anyway so uh there is bosom"
877340,890060," which accepts input and uh can generate an output uh and um if i go to the uh to the examples folder"
890060,900540," and i try to try to translate assembly to the byte code it will generate me this file so this is a binary"
900540,910860," file right this is a binary file and uh it contains the byte code of the virtual machine right so the next"
910860,918780," important tool here is bme which is the virtual machine emulator so after translating the assembly to"
918780,923740," the byte code you can emulate that byte code right so the thing you have to provide you have to provide"
923740,929740," the input basically the file with the byte code and also you can provide the limit like how many cycles of"
929740,933900," the virtual machine you want to perform because for example fibonacci number generator is going to go"
933900,939580," indefinitely and it's going to overflow your stack so we want to go for a small amount of iterations so it"
939580,945820," doesn't overflow the stack and as you can see it generated us the uh fibonacci number fibonacci numbers"
945820,950780," so this is how it works on top of that there is the third tool uh which is important for the virtual"
950780,959340," machine tool set is the disassembly so it can take the uh binary file that we generated and generate"
959340,964700," assembly back so you see it generated the assembly back as you can see it doesn't have any comments it"
964700,969500," doesn't have any labels or anything like that because this kind of information is not preserved"
969500,976780," when you translate assembly to bytecode so uh but if this kind of tool is useful in case you want to"
976780,984380," inspect the translated binaries right so uh so far we have only these three tools and i'm not sure if we"
984380,992300," need more uh and of course on top of that the virtual machine itself is a header on the library so that"
992300,999260," means you can copy paste that header to your project and embed that virtual machine into uh your project and use it"
999500,1005340," um you know uh use it there if you want right so i would say that there's like a four important"
1005340,1011660," components right uh it's the library itself and the tools that use this library so assembler assembly"
1011660,1018220," emulator disassembler and so on and so on all right so yeah we do plan to do jits of course we do plan to"
1018220,1022780," do jit but not right now because the virtual machine is not finished yet we are in the middle of designing that"
1022780,1029980," virtual machine so it can do some things but it can do cannot do like a whole lot so yeah that's"
1029980,1034460," pretty much the thing at least this is pretty much the state of the virtual machine right now"
1035820,1042380," why are you still in part one okay uh people expect too much from me i am developing this"
1042380,1049020," machine for the third day this is the third day of the development okay so uh what we were doing"
1049020,1056860," yesterday by the way and what we're doing yesterday uh we were working on assembly specifically by the way"
1056860,1064380," uh speaking of i only started to develop this thing recently yesterday we didn't have comments and"
1064380,1070140," labels in our assembly language can you believe that we implemented it yesterday like yesterday"
1070140,1076780," it was another thing there was literally another thing like this uh language evolved uh like within"
1076780,1083260," 24 hours so and maybe today we're gonna add even more things into this into this um assembly speaking"
1083260,1087820," of adding more things i need to uh create an issue for the pre-processor right because i will definitely"
1087820,1093660," forget about it comments are the future comments are really important for a language in my opinion"
1094140,1103020," um they actually serve two purposes the first one is disabling enabling pieces of code uh at compile time"
1103020,1109100," and the second purpose is uh documenting the the code so they are extremely useful in my opinion"
1109100,1112860," any language should have comments um so"
1112860,1120860," can you make variable length instructions yes i can but why um so"
1123900,1136700," uh so let's put it like this assembly uh some sort of pre-processor uh even cpp would suffice"
1136700,1149740," but for cpp we um we need to change the style of the comments there we go so this is gonna be uh the thing"
1149740,1156460," that we have here and to be fair like i don't know like variable length instructions are not useful as uh"
1156460,1161660," you know fixed length instructions because fixed length instructions first of all is easier to iterate"
1161660,1167740," second of all easier to load and save it's like literally just array of elements it's just so convenient"
1167740,1172540," to work with there's already operand and no operand yes but um"
1174540,1181020," yeah uh but even the instruction uh there's still fixed length even if you have instruction with no"
1181020,1187340," operand it still has the space for the operand to to pad things out um all right"
1187340,1191020," but variable length instruction on the stack base machine here"
1191020,1200300," it's fucking genius uh all right so hello uh sorting to us welcome welcome to the stream"
1201580,1215100," um so let's uh pour a cup of tea"
1215100,1225100," well i mean i'm not allowed to say that word on twitch unfortunately because it's a it's an insult of some"
1225100,1232780," sort i don't know who's who insulting that word right now in this particular context but i'm pretty sure"
1232780,1239020," somebody feeling feels insulted so let's not pronounce that word just in case um so"
1239020,1249820," do you recommend oh it's not for me okay so the message is not for me all right um okay so and"
1249820,1257660," another thing that we were working on yesterday is an unboxing it was an uh it was an unboxing and it"
1257660,1262300," was kind of interesting have you guys have you guys heard about unboxing if you never heard about"
1262300,1269100," nand boxing watch the yesterday stream there's also uh i also linked an article that explains nand"
1269100,1275420," boxing in details so uh you can you can read it here i don't know i don't know who wrote that article i"
1276220,1284380," yeah if if this is a bad person i don't know them so don't blame me uh anyway so and that was an"
1284380,1293420," interesting experience and uh i extracted the results of the uh research into a separate repo right so"
1293420,1300700," because i do not plan to use nand boxing in my virtual machine so um but i at the same time i don't"
1300700,1306940," want to remove the source code because i actually like liked working on it and maybe this thing is"
1306940,1312860," going to be useful in the future so i extracted this entire thing into a separate repo so if anyone"
1312860,1319580," needs it or anyone want to learn more about nand boxing you can read it here uh but yeah i'm not going"
1319580,1325980," to use nand boxing for the virtual machine and i'm going to explain why so let's actually uh start emacs and"
1325980,1333020," let's go into the source code uh let's go into the source code uh so where is the definition of"
1333020,1339420," the virtual machine here it is so we have a stack and uh here we have words on the stack and the word"
1339420,1348140," is a 60 64 bit integer infinito thank you so much for twitch prime subscription thank you thank you thank you"
1348140,1356860," and welcome to our epic nan boxing club that's right we're boxing nuns no we don't uh so yeah and the"
1356860,1364300," idea was instead of words i would use uh nand boxes right i would use nand boxes and the virtual machine"
1364300,1373580," at runtime would look the antonia subscribe with twitch prime thank you thank you for for your twitch prime"
1373580,1380620," subscription welcome to our virtual machine club i suppose welcome welcome welcome thank you so much"
1380620,1389260," um so and uh yeah so essentially you would have nand boxes and for example instruction"
1389260,1397260," um instruction plus would look at the types of the boxes right we would look at the types of boxes"
1397900,1405660," and uh perform the uh different transformations and so on and so forth and then put the nand box back"
1405660,1413500," after thinking a little bit about this idea i came to the conclusion that it ca it's kind of unnecessary"
1413500,1420380," to be fair it's kind of unnecessary because you can do the following thing you can make a word a union"
1420380,1435180," where you can have something like as uh as 64 then uh then u as u 64 then double as f 64 and so on and so"
1435180,1441980," forth and most importantly you may have something like s pointer and just keep words like this right and"
1441980,1447900," uh then you would have different uh instructions right you would have different instructions uh something like"
1447900,1456700," i plus that uh performs um integer um some and f plus that performs float uh float some and basically"
1456700,1463180," depending on the instruction it will interpret these bits differently right so it will interpret this bit"
1463180,1470220," differently and by the way this is pretty much how web assembly machine works right so as look at one"
1471020,1478780," sequence of bits can be interpreted both as integers or as ieee 754 flows depending on the instruction you're"
1478780,1489340," using and furthermore uh with such virtual machine we can implement non-boxing on top of the virtual machine"
1489340,1496140," if we ever will need it so the only thing we'll need is uh being able to interpret uh sequence of bits as"
1496140,1504140," float floats and as integers and also bit manipulate them so once we will be able to do that we can just"
1504140,1509340," have non-boxing on top of the virtual machine so it doesn't have to be part of the virtual machine which"
1509340,1516220," simplifies the implementation and makes the virtual machine more generally useful so less work to do more"
1516220,1522620," generally useful you get my idea so if we don't do that on the level of virtual machine it's just like better"
1522620,1530620," what you know only pros so and that's pretty much my conclusion after working on nant boxes yesterday"
1530620,1537420," and also thinking about them today so yeah that's going to be the direction that we go we're going to go"
1537420,1544380," to and uh it's not like i wasted time by the way it's not like i wasted time because i was doing a research"
1544380,1551500," so i implemented nant boxes gathered some information and came to the conclusion so there you go we can"
1551500,1556460," finally close this issue and uh before we can close this issue we have to put the results of our"
1556460,1561500," research here so everything i said we need to put into the comment and say there we go here's our"
1561500,1566620," conclusion on this research let's move on and we can also create separate issues like for example"
1566620,1571820," create separate instructions for floating point operations create separate instruction for bit"
