start,end,text
480,6800," Looks like we're live. Hello everyone and welcome to yet another recreational programming session"
6800,10880," with Azuzin. Let's make a little bit of an announcement. I'm not sure you start the stream."
10880,17040," Hello, hello everyone. Welcome, welcome, welcome. So let's do red circle live on Twitch. And what"
17040,23440," are we doing today on twitch.a television website? Mind if for going there. Today we're doing,"
23440,28320," just a second, let me copy paste it, Rust procedural macros. That's right, so this is rather"
28320,34000," interesting. Twitch.tv/togging. This is the place where we're doing all that. I'm gonna ping everyone"
34000,39680," who's interested in being pinged and there we go. The stream has officially started. The stream has"
39680,46720," officially started. So what it's all about. Hello, hello, welcome, welcome, welcome. So we,"
46720,53040," some time ago, all right, in the previous stream, we were developing a client for our multi-user chat,"
53040,59360," right. So essentially, I'm gonna give the link to that in the chat, right in the Twitch chat. And for"
59360,64000," the people on YouTube, it's going to be in the description. So let's take a look at it. I think"
64000,71840," it's rather interesting to look at. So it's called 48. And let me maybe open the terminal and do all of"
71840,78960," that in the terminal, right. I think it would make sense. All right, so I need to run the client. So"
78960,85120," there you go. This is how the client looks like. So I worked on it a bit off screen, so it might look"
85120,90560," a little bit different than what it was when we're developing it. Right. And one of the things I"
90560,98320," introduced is a system of commands down in the prompt, right. So of course, you can put some messages in here,"
98320,103440," but you may notice a very interesting thing. So now you have to connect to the server by using"
103440,109760," slash connect command, right. So you're supposed to provide connect. Yes, there is a tab out of"
109760,114640," completion in here, right. So there is a tab out of completion. And you're supposed to provide the IP"
114640,119840," address to which you want to connect, right. Right now, there is no server or anything like that,"
119840,123920," right. But we can actually start up the server. So let me quickly do that. So I'm going to go to"
123920,131360," for add cargo run being server, right. So as you can see, it already running. So let's actually connect"
131360,138960," to 7.0.0.1. Right. And it will ask you for a token. So let's copy paste the token and put it in here."
138960,142640," There we go. So now we are in the chat and we can send messages. And as you can see,"
142640,146880," the server does in fact receive the messages. And at any point, we can actually disconnect."
146880,151760," And we basically disconnected. And then we can quit from this entire thing."
151760,156080," On top of that, all right, if you want to know how many commands you have, you can put the help command."
156080,160480," And this is all of the commands that you have. You can connect, disconnect, quit and print the help."
160480,165360," All right. So, and of course, in the future, we're going to do more of these kind of things."
165360,174640," So, and this is very interesting because this is a classical command pattern that I encounter over and"
174640,180720," over again in my applications. Do you guys know what I'm talking about? Do you guys know what I'm talking"
180720,184800," about? I'm not talking about OOP patterns or anything like that. I literally don't give a"
184800,192880," shit about OOP. It's more of a pattern in procedural programs, right? It's usually quite often occurs"
192880,199040," when you develop these kind of prompts or when you develop a command line utility that has so-called"
199040,204160," subcommands that are similar to git subcommands. All right. So you can do git commit, git add,"
204160,210640," and so on and so forth. When you try to develop this kind of stuff, this kind of stuff, you will encounter"
210640,219600," a very interesting pattern. And I think something like Rust procedural macros may help making that"
219600,226400," pattern a little bit more manageable, maintainable, readable. You know, all of the favorite words that we"
226400,232640," like to talk about, right? So let me show you. So let's actually not talk about specifically this"
232640,238400," application. Let's actually start over, right? So to sort of gather a little bit more context,"
238400,245920," let's try to develop an application, sort of like a made application with subcommands and see how this"
245920,252160," pattern sort of evolves and what kind of problems you encounter, right? Because I think it is kind of"
252160,258000," interesting. I do think it's kind of interesting. So let me close this entire stuff and let's develop"
258000,266160," something dumb and something simple. All right. So command, command pattern, let's create a folder,"
266160,274320," command pattern, and let's actually create main.rs. We're not going to be using cargo for this specific,"
274320,280720," you know, test application because we're not going to use any third-party dependencies, right? So we're going"
280720,286320," to be using procedural macros which are in a separate crate, but it's not a third-party dependency. It's a"
286320,292160," crate that comes with the Rust compiler and doesn't require any downloading or anything like that. Plus,"
292160,302320," cargo kind of obscures, it kind of obscures how Rust actually works. For example, cargo very often obscures"
302320,309680," the notion of a crate. Even though you hear the word crate very often, when you're using cargo,"
309680,315280," it kind of obscures that notion. Like how many of you know what is a crate and what kind of crates"
315280,321360," you can have? What type of crates you can have apart from executable and library?"
321360,329040," What is a crate? What is actually a crate?"
330960,340960," No idea exactly, because cargo kind of obscures what is a crate, right? So did you know that there is a"
340960,348240," separate crate specifically for procedural macros, right? And like what is a crate and why does it have"
348240,354080," to be a separate crate? What is going on, right? And this is exactly what I'm talking about because cargo"
354080,359360," obscures the notion of all of these things. Yes, somebody knows that. Okay, okay, okay. Somebody"
359360,364240," knows that crate is a translation unit of Rust. Yes, yes, yes. Thank you. Thank you so much. So we have"
364240,371120," actual specialists in the chat. It is basically a single translation unit of Rust and it's actually"
371120,378560," rather interesting. It compiles to different things depending on the kind of that translation unit. And"
378560,383680," there is more than two kinds of crates, right? You may think that, oh, okay, so there is a"
383680,388560," executable and library. There is another one and potentially another one. I'm not quite sure, right?"
388560,394720," So it's kind of interesting thing that is rarely explored because it's behind this additional layer"
394720,399840," of abstraction. You're not supposed to look into that because you dummy dum-dum, you're not supposed"
399840,407600," to use a framework. You think you are smarter than the creators of Rust? How fucking dare you use a cargo?"
407600,415040," So you know what I'm talking about, right? You're trying to understand how React works? What the fuck?"
415040,430240," Anyways, so let's actually create the main thing here, right? What happened? I'm just, I'm going mad. I'm sorry."
432240,440240," And let's create a hello world. Let's create hello world and let's compile that big. Let's compile"
440240,449040," that big and I'm going to write, you know, this is a hello world. This is hello world. So let's introduce"
449040,454880," separate subcommands. Let's actually put this hello world behind a hello subcommand. I think that will be"
454880,460480," interesting. So if we do something like use std environment, right? So this is where you're supposed to"
460480,465920," take the arguments, if I'm not mistaken. So let's actually do a Rustup doc, just to have it in front"
465920,472640," of us. So, and let's go into the API. So, and if you take a look at the args, I'm pretty sure they"
472640,477840," are in the, yeah, they're in environment. And essentially what they do, they create an iterator,"
477840,484480," right? So, and you can pull the arguments from that iterator all the time. So let's do environment"
484480,493680," args and here are our args, right? The first argument is always a program, right? So we're going to assign"
493680,499280," that thing in here and we're going to literally just, you know, expect a program because it's supposed"
499280,504800," to be always there. And if it's not there, it's rather a bug, right? So because of that, we kind of"
