start,end,text
0,6340," Hello everyone and welcome to yet another recreational programming session with Mr. Azuzin."
6340,12060," So, I've been asked to look at this language for quite some time already, but unfortunately I"
12060,17460," couldn't do that because it didn't freaking work on my laptop, because I had a very old Debian,"
17460,26880," and the only way for me to use this language was to use a Docker container. And I'm not"
26880,31760," fucking using a Docker container for a freaking language. You guys know what is a freaking"
31760,39420," language, a compiler for language? Compiler is a program that takes a sequence of bytes,"
39420,46880," aka source code, and translates it to another sequence of bytes, aka binary. That's what"
46880,53260," compiler is. It's a translator of one sequence of bytes to another sequence of bytes. I ain't using"
53760,60020," Docker container for a byte translator. Like, seriously, come on. So, yeah, recently I updated"
60020,67400," my Debian distribution, and apparently this language now works. I don't know how, but it works,"
67400,73260," right? So, the only thing I did before the stream, I downloaded their Debian compiler, right, for Debian,"
73260,79960," and I tried to compile Hello World, and it worked. So, and that actually prompted me to"
80380,88600," do this stream, right? So, I didn't do anything off screen except compiling Hello World. So, I do not know"
88600,95060," really what to expect from this language, except that it uses let keyword to define variables, because"
95060,100940," that's instantly what I see in here. So, I'm going into this language basically blindly. So, it's basically"
100940,108080," going to be unboxing, yet another unboxing of the language, right? So, let's go. Let's jump into this"
108080,112720," language, and let's take a look at it. So, there is a button install. So, let's actually click on it."
112720,121340," So, we are on Linux. Okay. So, that's pretty cool. And we are on Debian. Yeah, exactly. Docker."
121340,129840," Wow! What the fuck is going on? Sorry. My mouse is going crazy sometimes. So, exactly. Like, why do I have"
129840,134200," to run? Like, what the fuck is wrong with the modern software these days? Can anybody explain"
134200,142740," me? Like, how did we end up putting compilers into Docker containers? Like, and everyone is okay with"
142740,150800," that. Nobody sees any problems with that, right? So, I don't know, right? It's just, it's kind of weird"
150800,157840," for me. So, maybe I'm weird. But anyway, so, let's actually download this entire thing. So, it's just a link"
157840,166560," to the Debian. Okay. So, I'm going to create a folder, maybe Swift Probe. So, this is where we're going to be"
166560,173680," experimenting with Swift. Wget. And boom! Let's go, my default in there. Let's go."
173680,180560," So, it is downloading. So, wonderful. It's going to download for two minutes."
180560,185200," That's actually, I don't know what's up with that. Why is it going to be downloaded for two minutes? Maybe I"
185200,192240," should have actually done that off screen? But maybe, maybe not. So, ah!"
192240,197360," So, ah! Hmm."
219680,231840," Somehow, okay. So, we're back, if I understand correctly. We're back. Somehow, I just can't download"
231840,241680," Swift. Somehow, when I'm trying to download it, it just brings down the entire stream. I have no idea why."
241680,249040," It never happened to me, ever. I've been downloading different things on the stream just fine, but"
249040,255120," specifically that, I can't do that. I can't freaking do that. Maybe this is because of the"
255120,262160," Swift or something. Like, I don't understand what's up with that. So, can I just download it from GitHub, maybe?"
263280,271200," So, GitHub. So, something like Swift. Man, I didn't expect to have such problem, right? So,"
271200,277200," um, okay. So, here's the source code of Swift. So, there's some releases in here. I hope there's some"
277200,283360," binaries in there because I remember that there's no binaries in there. There's literally no binaries."
283360,290320," Like, how am I supposed to use this shit, uh, if I can't freaking download that? Um, all right. So,"
290320,299040," let me actually maybe go offline, download it first, and go online again because there's something with"
299040,305200," the server of Swift where I just can't download it properly. I never experienced that before. All right."
307200,313760," So, uh, let's go ahead. Like, I see you in five minutes, I suppose. Um, all right. So, finally,"
313760,318880," I managed to download that. Uh, so let's take a look. So, I have two copies of Swift for whatever"
318880,325200," reason. So, let me actually remove one of them. Uh, I never had shit like that with C3, by the way."
325200,331600," Just saying. Just saying. Never had shit like that with C3. So, anyways, uh, all right. So, I'm gonna unpack"
331600,337680," this entire thing. Hopefully, it's not gonna... Clang! This motor flippers ship an entire clang. I didn't"
337680,348240," notice that. Oh, good fuck. Wait! The original size of this thing is compressed 600 meg... Oh, my God!"
348240,354640," Oh, my God! Holy shit!"
356880,360720," I already... I can already sense a lot of fun with this thing."
360720,368560," Oh, boy! So, yeah, we're unpacking, like, huge files and stuff."
368560,380320," Hmm... Zozin, you don't understand. It's a necessary complexity. It's a necessary complexity. All of that is"
380320,387520," actually needed Zozin. You don't understand the point of Swift. I can already hear those voices. I can"
387520,394640," already fucking hear them. Every single fucking time, bruv. Every single fucking time. Okay, so how do you"
394640,399440," write a hello freaking world in this thing? I already forgot. I already did that once, but I don't remember"
399440,410000," how to do that. So, yeah, installing... Okay, so what if we already installed it? Write a Swift tour. Okay, so let's"
410000,418080," let's take a look at it. Let's take a look at this. Why did you switch off my dark mode? Where is my dark"
418080,424000," mode? Okay, so here is it. I can click on it. Yeah, thank you so much. Thank you so much. Show me the..."
424000,430640," Finally, so here is the hello world, right? So, it's going to be main. I suppose the extension is Swift,"
430640,438800," right? So, apparently, I don't have an extension for Emacs. So, yeah. So, let's do Swift user bin."
438800,445120," And I suppose we have a Swift compiler, right? So, if I try to do something like this,"
445120,451360," it just said hello world. So, it basically executed... It just interpreted it. It's an interpreted language,"
451360,459520," guys. It's an interpreted language. Okay. So, maybe you can compile. Is there like subcommands?"
459520,465040," Yeah. So, maybe there's some sub... Yeah. Okay. So, there is a build. All right. So,"
465040,469280," and I can do something like this. Build... Okay. Unexpected arguments..."
472560,481840," Seriously? Just providing the file name after a build subcommand is an unexpected argument in the"
481840,491360," Apple world, apparently. Okay. I don't know what to say. So, there was another... I saw a Swift C. Okay."
491360,496720," So, there is a thing called Swift C. Maybe that's what we need in here, right? Maybe that's what we need."
496720,502160," So, let's actually give it a try. Okay. So, it did a thing. And it created an executable, which is"
502160,510240," rather small. 16... Okay. I suppose it's a native executable. It is, in fact, a native executable. Look"
510240,516080," at that. So, it's an F64, LSB, PyExecutable, blah, blah, blah. Dynamically linked though, right? So, not"
516080,520560," stripped without any debug information. But I mean, I'm pretty sure you can provide some debug information."
520560,526000," So, let's take a look at the dependencies of that executable. Oof. Oof. Oof. Oof. Oof. Oof."
526000,534800," So, that executable depends not only, like, on standard, like, C shit, but also on C++, by the way,"
534800,543760," and custom Swift runtime. String processing, rejects parsing, and I don't even do any of this shit."
543760,550160," All of... All I do is just print ""hello world"" and I already need a regular expression support in an executable."
550560,558560," So... So... So, yeah."
558560,573360," Zoysin, you don't understand. It's a necessary complexity. It's a necessary complexity, Zoysin, you do not understand."
575760,582160," All right. So, but can I, like, compile it fucking statically? Because this is nasty, bro. This is"
582160,587440," fucking nasty. So, that means I can't really, like, pass that executable to somebody who doesn't have any of"
587440,596080," that runtime. And it's specifically, like, hardcodes it, like, to the play. So, okay. So, that means if I,"
596640,603200," if I run main, it works. But if I move it to some, a different place, right, I literally just,"
603200,610720," um, you know, copy this thing, um, you know, copy it here. So, is it going to find..."
610720,619920," Okay. So, it uses absolute path, right? So, it uses absolute path, so it will still find all of this stuff?"
619920,626960," Okay, cool. But what if I rename this entire thing, right? So, I just rename the, uh, this stuff, and I just"
626960,633120," do LDD. It cannot find any of the shit, and if I try to run the main, it's not going to even fucking run."
642160,651520," This is the price of third-party dependencies. So, like, this is the danger of third-party dependencies,"
651520,657200," that people just don't realize. It's a price that you don't know when you're going to pay, right?"
657200,661120," Because you just compile, everything works, everything is up, you just chase something,"
661120,664640," and it just falls apart. It just fucking falls apart."
668400,675440," That's why I'm always advocating for reduced complexity, reduce the amount of moving parts,"
675440,681360," do not use things that you don't fucking need, right? The Hello World obviously has no business to,"
681360,686640," you know, depend on all of this shit, right? So, just strip it off during optimization or something"
686640,694320," like that, uh, right? So, maybe there is a flag to do that, though. Maybe there is some sort of a flag"
694320,699200," to do that, I don't freaking know. So, let's actually, let's actually try to see if there's anything."
699200,704720," So, maybe something like, ""Hello, do you have, like, a static?"" Uh, okay, so, there's a static executable."
704720,714640," Uh, right, so, static executable. Let's do that, my friend. Uh, so, main, uh, swift,"
716720,725760," static executable. All right. Wait, it didn't work? What, what? Am I, am I going crazy? So,"
725760,732960," I think I'm going crazy with static. Ah, it's a single freaking dash. Bro, just support double dashes,"
732960,740080," like a normal freaking thing. Uh, argument, uh, unused during compilation pie, but I never even provided it."
742080,753520," Um, and it's actually was printed by clank 15. Uh, so, this is how abstractions leak,"
753520,760000," by the way. This is how abstractions leak. People prize abstractions for simplifying thing,"
760000,765840," but those motherfuckers leak all the time. So, like, I never fucking provided any of the pie flags, and this"
765840,772960," thing is talking about pie flags because this is what it passed to underlying clank probably somewhere."
772960,779600," All right. Literally, a LLVM wrapper. Literally, a LLVM wrapper. Right, so, this is, like, all of these"
779600,787120," things are results of, like, a lot of moving part and a lot of complexity. Right. So, people either"
787120,794480," just don't notice this kind of thing, or they just choose to ignore it. Right. Um, so, anyway, so, did it"
794480,803920," create an actual executable? Okay. So, that explains why the original executable was so small. Because,"
803920,809760," I suppose, it basically linked everything. Well, I mean, it's basically on par with rust executables,"
809760,815920," I suppose. Right. So, it's basically on par with the rust executables. So, let's take a look at the file."
815920,820000," Um, so, yeah. It's, it's statically linked. Look at that. So, it's statically linked. It's not"
820000,825680," stripped and stuff like that. Okay. So, and if I do all the d, yeah, it's not dynamic executable. And then,"
826240,837680," I can... I can... I can..."
837680,847120," I can..."
847120,852800," I'm not even trying."
852800,862480," Bro, I'm not even fucking trying. This entire thing just falls apart on touching different things."
862480,873760," Um, okay. So, um, people, some people say just do static. I want to take a look at what are the static"
873760,880000," flags we have in here. So, this makes statically linkable and make emit library static library."
880000,886800," Um, so, I don't understand why do we have static executable and just static."
886800,893760," All right. So, do I have to use them both simultaneously or do I have to use only just static?"
893760,904720," Uh, all right. So, this is ldd. Uh-huh. It didn't create a static. So, now, uh, static executable."
904720,912880," Uh-huh. And then, if I try to run this entire thing, unable to obtain Swift runtime."
913360,918240," I... I think I'm just going to give up on making static executable. I think I'm going to simply"
918240,923120," give up on that. I don't think it is a solved computer science problem in Apple department,"
923120,930080," honestly. Uh, I don't think they have figured that out yet. Uh, so, I think we're going to be only using"
930080,938560," the dynamically linked, uh, things. Um, right. Okay. So, I'm done with, uh, like, analyzing the actual"
938560,944560," output of Swift compiler. Uh, static. Well, I mean, okay. So, let's, let's give it another try. I'm"
944560,953360," going to give it the last try. So, I have to use both static, static executable, and static stdlib."
