start,end,text
0,10760," so are we live already are we live looks like we're live hello everyone and welcome to yet"
10760,17120," another losing session how about that a bitch in his bed that should do it again so let's make a"
17120,23640," little bit of an announcement and so this is going to be a red circle right live on twitch"
24940,33600," and what are we doing on twitch.tv i'm still streaming on this website i'm actually quite"
33600,42260," surprised that i still do that okay so let me give the link https twitch.tv slash sorting and i'm"
42260,47040," going to ping everyone who's interested in being pinged and there we go the stream has officially"
47040,53880," started all right for the past two streams we were developing um a very interesting programming"
53880,60060," language that i call knock which is not cock right cock is basically a proof assistant"
60060,67060," that allows you to um you know define some theorems and stuff like that and then prove them"
67060,73240," and uh what i found while using cock is that in the majority of the situations i personally"
73240,79800," just want to transform some expressions right so i know that cock is a very complicated system and"
79800,85660," very serious people very serious mathematicians are using it for uh you know proving different"
85660,91220," theorems and developing developing different theories and stuff like that uh i do not invalidate that i'm"
91220,97140," just saying that i personally quite often just want to transform a bunch of expressions without going"
97140,102380," through all of these like mathematical formalisms right so i don't want to prove anything i just want"
102380,109800," you know just you know doodle around and uh what i did i came up with this system which is just a simple"
109800,116400," expression transformer which is not trying to be cock right it is not trying to replace cock it is not"
116400,122500," trying to be cock it is not trying to be like a proof assistant or anything it's just a simple expression"
122500,128800," transformer right so i already developed a little bit of that language so it already has a syntax"
128800,134920," it already has a ripple and it can already uh interpret the files and stuff like that so we're"
134920,140520," going to go through that a little bit later and um today we're going to actually try to extend this"
140520,145560," language and add some uh you know more features and stuff like that uh i think it's going to be fun"
145560,151860," it's actually a pretty fun language so you can find the source code of this language in uh chat i'm"
151860,158020," going to copy paste it in the chat and for people who's watching uh on twitch i think i'm going to put"
158020,165440," that in the description all right so let me take a look so we already have a description for the previous"
165440,170600," episode i still haven't uploaded a lot of episodes to be fair so i already have like a you know two"
170600,178140," episodes of knock that i haven't uh uploaded so i'll have to um you know put something in there"
178140,184780," uh so i don't quite remember so there was a knock one this is knock two oh yeah so this is actually"
184780,191860," fourth episode that's quite interesting so it's going to be description dot md and we're going to"
191860,198640," put the references in here right so this is going to be source code right so this is the source code"
198640,204160," of this entire thing that we are developing and let's take a look at that system shall we hello hello"
204160,213680," everyone how are you guys doing how are you guys doing hello hello hello um html parser when um i don't"
213680,218320," know just use regular expressions why do you need an html html passer if you can just use regular"
218320,223680," expressions like i don't understand i think developing uh html parser is kind of waste of time"
224960,232320," nice hair nice thank you i just lost my hairband so how is it called like a rubber thingy that like"
232320,238320," makes me uh lets me do a ponytail i just lost that so that's why my hair looks like that i really"
238320,244960," apologize for that so i didn't mean to look like that today but i just like lost uh the the thingy"
244960,252720," um all right so let's actually go into knock right and let's take a look at this entire thing so what"
252720,261040," do i have in here uh let me do clean fdx and maybe even git fetch a prune origin"
262800,275120," um so and let's merge origin master okay so this is how many changes i've made um off screen right so"
275120,280240," this language already can do things and let's actually start the repo right so when you start"
280240,285920," the language you're greeted with a ripple after like a half of an hour of downloading dependencies"
285920,290480," and building everything i'm just joking by the way this language doesn't have any dependencies yet"
290480,297200," um i don't know if i'm gonna add something in the future i plan to add something for cross-platform"
297200,303840," terminal handling so to add some colors because kids these days like like colors in their repos and"
303840,309520," stuff like that so i'm probably gonna add that uh but we'll see so in any case you are greeted with this"
309520,318560," ripple right so language um has like a core at the core of the language we have expressions right and"
318560,325360," expression is actually very uh very simple thing it has a very simple syntax uh right so um i even have"
