start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
629980,659960," Welcome, welcome, welcome."
659960,689940," Hello, welcome."
689940,719920," Thank you."
719920,749900," Thank you."
749920,779900," Thank you."
779920,809900," Thank you."
809940,839900," Thank you."
839920,869900," Thank you."
869920,899900," Thank you."
899920,929900," Thank you."
929920,959900," Thank you."
959920,989900," Thank you."
989900,1019880," Thank you."
1019900,1049880," Thank you."
1049900,1079880," Thank you."
1079900,1109880," Thank you."
1109900,1139880," It's kind of a funny."
1139880,1169860," Thank you."
1169880,1199860," Thank you."
1199880,1229860," Thank you."
1229880,1259860," Thank you."
1259880,1289860," Thank you."
1289880,1319860," Thank you."
1319880,1349860," So, it's just, you know,"
1349880,1379860," Perl syntax."
1379860,1409840," view itself, it's a view, you know,"
1409840,1439820," I don't really, you know, I don't want to think, you know, I don't want to think, you know,"
1439820,1445660," and a special case uh for this situation i completely forgot about that so all right so"
1445660,1452140," let's go ahead and do that super quick so uh here's the assets here's we uh skipping empty line"
1452140,1457180," skip empty lines and another one is gonna be"
1457180,1465100," lines data equal hash continue"
1467100,1471180," skip single line comments all right"
1471180,1480060," those who understand rejects have the power the power of what the you mean the electricity"
1480060,1483180," i i do have electricity and i do understand"
1483180,1493100," all right rejects are relatively simple i do agree with that uh if you're not using like super"
1493100,1495100," complicated stop"
1495100,1507020," wouldn't that just keep uh lines that only have single no because we're looking at the first character"
1507020,1518860," here uh because we're looking at the first character here uh all right so uh skip single lines and um all right"
1520380,1522380," so"
1522380,1534060," so i chop by this thing and this gives me uh-huh so then i have equals and throw that part away"
1534060,1545340," oh boy throw that part away and uh maybe here i don't really want to trim anything and what i want to do"
1545340,1553500," here is basically chop by delim like this uh you know what i'm not gonna do that i'm gonna just"
1554460,1558700," let it be like let it be like that and we're gonna test this kind of thing separately hello upon the"
1558700,1566060," podio welcome to the stream welcome book uh all right let's recompile everything something debug"
1569500,1573500," so uh yeah i don't need to have that anymore"
1573500,1583660," all right so could not load"
1583660,1594540," space as png so as obviously forgot to trim something uh i wonder where it should be yeah i mean i literally"
1594540,1598060," deleted the trim and now jesus christ what the fuck is going on with this today"
1598060,1603740," all right so uh i need to concentrate i need to concentrate"
1603740,1608780," all right so there we go everything seems to be working quite well"
1608780,1614460," uh and we do have support for a single line comments and the only thing we need to add here"
1614460,1620380," is the the comments on the same line this is another comment there we go"
1622140,1628060," oh it's actually quite warm today yes uh i've been outside uh right before the stream because i need"
1628060,1635980," you to buy some chocolate um yeah i can't stream without the chocolate i had to actually buy chocolate"
1635980,1641580," right before the stream all right so and here's the problem right so it tries to load this entire thing"
1641580,1648700," as the path and this is something that we have to uh we have to properly fix yes dark chocolate the 97"
1648700,1657980," one um yeah i need that dopamine kick to stream i think i'm getting addicted to chocolate it's actually"
1657980,1665340," quite interesting uh all right so here's the line uh i chop body limiter like this basically skipping"
1665340,1674620," the rest of the stuff uh the rest of the stuff uh and this stuff can be i suppose uh shop by delim"
1674620,1682700," there we go outside weird champ like i have a store right across the road so it's not that"
1682700,1691260," you know it's not that i'm spreading too much of a of a corona and stuff uh so yeah there we go we have"
1691260,1696620," support for both of the style of the comments and that's actually pretty cool that is actually pretty"
1696620,1703980," cool uh let's do a committee committee and maybe then even a pushy pushy i have a tea store right"
1703980,1713820," across the the road oh so and that's the only thing you can buy so yeah i always thought programmers do"
1713820,1720540," streams from a swimming pool and their villa disappointing uh sorry um i'm not a programmer"
1720540,1727180," though so that's probably why um all right so let's do committee committee before we do committee committee"
1727180,1736140," let's actually create a separate branch let's create a separate branch um it's going to be 251 uh 251"
1737100,1748540," uh and uh add support for the comments in uh assets conf there we go so now we have support for all of"
1748540,1760380," that i'm going to push that right into the repo um yep i only want to see um okay let's create a pull request"
1760380,1769900," guys boys and girls let's create a pull request"
1769900,1784460," um wait a second did i i forgot to oh no no no no no no no i forgot to actually mention the issue"
1787820,1793740," i forgot to actually do this kind of thing so i have to uh you know amend my comment and"
1793740,1802380," unfortunately force push into into the reaper yes force push is required so it's just a regular push"
1802380,1811260," but with a with a little bit of force you know to get it through uh to get it through"
1817820,1828780," okay and we're going to close that thing uh we're going to quickly close that thing so the next issue"
1828780,1834300," is going to be really interesting and it's something that i wanted to do for quite some time but because"
1834300,1843580," we didn't have a centralized asset system i couldn't do that so i want to uh be able to hot reload the assets"
1844700,1853500," and that will enable such a cool um workflows right so it's essentially right uh i want to be able to"
