start,end,text
0,6840," all right so let's try to do something interesting with this graphical library"
6840,14160," um so you're probably yeah i already demonstrated that we can do the terminal rendering right so"
14160,22440," let's actually take a look at that one more time but the native version actually is colorful"
22440,29920," right so it has colors and shit and the modern terminals are also capable of rendering colors"
29920,37440," the question is can't we interpolate this thing with the terminal colors"
37440,47080," that would be kind of cool if all of that was rendered in the terminal but with colors"
47080,56960," let's give it a try why not i think i even had a to do for that specifically right so if i take a"
56960,64480," look at vc demo so nc yeah yeah use nc terminal colors for color to char and color to char is"
64480,71360," basically the um the function that accepts the pixel and uh returns your character by the way"
71360,77360," we need to update the title right because we're currently scamming people by saying that i'm"
77360,85040," rewriting uh bash script and see because i already did that so what we need to do is that uh 3d"
86800,96880," graphics in the text terminal uh in text terminal does it sound epic does it sound something you would"
96880,103440," click on okay i think i think it's good i think it's good so 3d graphics in the text terminal there we go"
103440,111920," so uh but i don't know how to do the nc colors because i'm not some sort of a zoomer who does who the first"
111920,119440," thing they do is add shed ton of colors to their output because it's fancy and cool i don't really know"
119440,125280," how to do that so this is something that i'll have to research first so let me let me see uh so"
125280,137280," nc terminal color codes i don't know how to do that really uh okay so we have that i have no idea what is a zero one uh"
137280,144320," uh so it's just is that an escape code is that an escape code maybe so let's let's give it a try"
144320,149600," um so let's call it color dot c right"
149600,157360," stdio and uh probably not gonna need uh anything else right there we go"
157360,164880," so you see i just googled it up right people constantly ask me like zozin what is the best"
164880,169440," c book to read about c like i never read a c book i just google shed"
169440,174720," right so is there any book that tells you this kind of stuff i don't think so i'm not even sure"
174720,178240," if this shed correct that's how cool this right"
178240,186640," so the book is usually like reviewed by the the editors and stuff like that made sure that everything"
186640,192080," is correct i just slapped some query in the google it spit out some shed i'm not even sure if it's correct"
192080,196080," there we go we does we've done something right that's how we develop things"
196080,207200," who reads books in 2022 i don't know uh okay so let's actually do hello uh seaman hello seaman"
207200,213600," and let's try to build this into i think clang o color color dot c and i'm going to also instantly"
213600,220720," run this entire stuff and you can see it says hello seaman uh right so hands up"
220720,230800," okay hello seaman hands up so let's actually try to make this entire thing uh red i wonder if i can"
230800,237200," literally like copy paste this entire thing in here and hope that okay universal character name refers to a"
237200,243920," control character so i can't just do that um all right so let's actually go to this website so as"
243920,251600," you can see it's not particularly correct uh huh so the nc core the character is a special character that starts"
251600,259840," of most ascii uh allow syntax for one ah it's it's a one b wait a second i think i know what the"
259840,270160," fuck is this uh python uh three if i do one b it's the way it's an escape character it's an escape character"
270160,277200," okay okay okay why didn't you tell me that uh all right so how can i do an escape character can i just you"
277200,279680," know um"
279680,286080," yo it worked"
286080,292560," can you learn this kind of in a in a book about c i don't think so"
295520,303600," that's a very creative way of doing this um so i wonder how can i um okay"
303600,309600," c print f escape code i i forgot how you do that and see um"
309600,322880," so escape code escape code 27 uh ascii character escape code l uh left arrow is it left arrow"
323920,331040," uh okay is there just like convenient way of doing that uh yeah i don't know"
331040,340880," so this is python but i don't want python so how do you do that"
340880,349120," oh you can put e in here can you"
351760,360960," yo it works who needs books about c you have google am i right uh all right so that's actually"
360960,367920," pretty cool did it oh so somebody created a gist so rabba dabba doba rabba dabba doba"
367920,375440," uh rabba dabba doba thank you so much for this gist yo this is so cool i'm gonna actually give the"
375440,381360," link to to these things like for everyone look at that i'm gonna also give you the link in the description"
381360,389200," ah why do i have cyrillic uh where's my description thingy uh so i probably need to create another"
389200,400960," thing so what's the title for today's stream so so today's date is uh 0 2 12 2022 the worst year so far"
400960,406240," and since we have a trend of the next year being worse than the previous one"
406960,411200," uh looking forward looking forward looking forward looking forward for 2023 jesus christ"
411200,422800," all right so um color and c codes in c there we go so this is what we have um i wonder if we"
422800,430160," have our if we can have like rgb that would be kind of cool i think so there's also bold text the regular text"
430160,434000," um maybe i'm going to go with the regular text um maybe i'm going to go with the regular text"
434000,438880," right so i'm going to copy paste this thing uh to cola"
438880,444080," and see"
444080,456000," uh so there is a little bit of a discussion so okay this is interesting 16 colors i think this is more"
456000,460880," important in here so most of them apart from the basic set of eight goals also support bright and"
460880,469120," bold colors these have their own set of coast okay so 16 course 256 colors yeah i kind of want to do"
469120,476240," this kind of shit lastly after the 16 course some terminal support 256 calls extended color set um"
477680,490400," okay okay so there is a range of those things"
490400,495040," all right"
498160,505840," uh-huh uh-huh so the background colors all right i think i'm interested in this specific example"
505840,517520," and what it does essentially it sort of like iterates 16 by 16 table right it's a 16 by 16 table"
517520,520720," uh and this puts the cell"
522960,528960," okay okay that's very interesting and for each uh row in here it i suppose updates the thing"
528960,541760," so let's try to like write this specific code but try to write it in in c and see how it goes"
541760,545200," because i'll need to come up with a way to transform the rgb"
545920,550000," to these sort of colors right so we'll we'll see how we can do that"
550000,556880," um okay so this one is um like this so this is the first thing"
556880,572320," for j j 16 plus plus j uh and then we create a new code right and this one is effectively 16 plus j"
573440,582000," right so this is the row and this is the column uh and then we need to do print f um so we do e"
582000,591440," 48 then five and then here we have to put a code in decimal so we'll have to do like percent d"
591440,600640," then m and then space and here they just put some some code i'm not sure if it's like really"
