start,end,text
880,7140," Hello and welcome to another sorting session. How about that? So today is"
7140,10500," Saturday and that means today according to the schedule we're supposed to be"
10500,16200," doing a game development, but yesterday I was busy all day so yesterday we"
16200,20200," didn't have any video and yesterday we're supposed to be having a random"
20200,25680," one-off topic so I basically decided to move that topic for today. So we're going"
25680,30660," to be doing a random one-off session today and the topic of today's session"
30660,36180," is going to be implementing regular expression library. So yeah, a lot of"
36180,39920," programmers use regular expressions on a daily basis but not everyone knows how"
39920,44640," they're implemented, me included. So the only thing I know about regular"
44640,49500," expressions is that usually they are compiled into some sort of like finite"
49500,55080," state machine and then that finite state machine is executed on the string that you"
55080,62340," need to match and then the result of the of this finite state machine tells you"
62340,66720," whether it matched or not matched and also captured some capture groups and stuff"
66720,70800," like that. But I've never implemented that like myself and also I never read"
70800,77020," anything about how precisely how you know how precisely the regular expressions are"
77020,79980," implemented. So the only thing I know as I already said is that they probably"
79980,84060," compiled to some sort of finite state machine and we're gonna start from there."
84060,91320," So what I want to try to do I want to try to figure out, given the information I know, how to implement"
91320,98580," your own regular expressions. So the language of today is going to be Rust because I haven't programmed in Rust for a while, so maybe"
98580,105080," yeah, why not? So let's quickly do that. So let's create a new file. So I'm thinking"
105080,110580," since it's going to be like a, yeah, since we're probably not going to have any third-party dependencies"
110580,117840," instances. So I'm going to just, you know, create a project without cargo. So it's going to be a simple Rust file."
117840,125100," And that way we're going to eliminate, you know, the complexity, a little bit of a complexity. So it's an educational"
125100,132360," recreational project. It doesn't really need any package management or building tool or anything like that because you can build the entire project"
132360,139620," just Rust C after a little bit of time. So I'm really sorry, I have a very slow hard drive, so it needs to warm up"
139620,146460," some caches. So that's why it takes a little bit longer than usual. But if I restart it, as you can see, it actually compiles a little bit faster."
146460,153720," So just needed to warm up some caches. Right. And we got an executable and you can just run this executable. And there you go, you've got a hello world."
153720,157740," So that's pretty cool. So what is a finite state machine?"
157740,163200," I don't know. Do I look like a programmer or something? Let's actually Google it up."
163200,170280," So let's go to the Chromium and see what the fuck is a finite state machine, finite state machine."
173580,180300," I think I'm using the wrong profile. Yeah, let me just quickly switch to a different one because I'm using DuckDuckGo in a different profile."
180300,183540," In my secret identity, I'm using DuckDuckGo instead of Google."
183540,186000," Finite state machine."
186000,188260," I already Googled that before."
188260,190740," Yeah, apparently we talked about it on the stream."
190740,194040," So it's a mathematical model of computation."
194040,196740," Thank you very much, Wikipedia. Very cool."
196740,203520," It is an abstract machine that can be in exactly one of a finite number of states at any given time."
203900,210260," The FSM, so it's basically short for finite state machine, can change from one state to another in response to some inputs."
210260,213540," The change from one state to another is called a transition."
213540,218200," Yeah, so basically you have a bunch of states and you have a bunch of transitions between those states."
218200,223120," Right, so in here we have a model of turn style."
223380,233080," I hope I pronounced this thing correctly and it can be in two different states, locked and unlocked and the transitions are based on different actions that you can do with this thing, right?"
233080,241040," You can put a coin or push a button and yeah, so that basically makes a transition between different states and whatnot."
242040,248100," So I suppose like in Rust, you can describe different states with enumeration, right?"
248100,249360," So it's going to be something like state."
249360,256000," Right, and in here, let's actually, you know, define these kind of states though."
256000,259660," So we're going to have locked and unlocked state."
259660,262060," Unlocked state."
262060,263300," There we go."
263400,265140," So here's the state of the turn style."
265140,271680," So, and transitions are basically described in terms of like events, right?"
271680,279780," So I suppose there's only two events, like pushing the bottom and putting a coin into this thing."
279780,284220," So maybe we're going to actually introduce some sort of like events in here, right?"
284220,288000," So in events is going to be push and coin, right?"
288000,290460," I hope I actually interpreted it correctly, right?"
291700,295320," Putting a coin in a slot and pushing an arm."
295320,296520," Okay, that makes sense."
296520,297380," All right."
297380,303860," So, and I suppose you can have some sort of a function that performs the transition from one state to another one, right?"
303860,305440," So something like that."
305440,308500," Next state, right?"
308500,314100," The function will accept the state as an argument, right?"
314100,316880," And event also as an argument."
316880,318860," And let's say that it's going to be a pure function."
318860,320840," So it's not going to modify anything."
321020,322820," It's not going to have any side effects."
322820,327120," The only thing it will do, it will return the next state, right?"
327120,330340," And given the stream of events, right?"
330340,336420," Given the stream of events, you'll have to call this function on the current state and get the next state, right?"
336420,338380," So this is how basically it's going to work."
338380,342780," So let's actually try to simulate this state machine, right?"
342780,343340," Super quick."
343680,347640," So as you can see, you can be in one of the states, locked and unlocked."
347640,350040," Let's actually, you know, quote that."
350040,352340," We're going to match a state."
352340,357260," And one of the states you can have is basically state locked."
357260,373400," So if you are in a locked state and you received push, you have to stay in a locked state."
373560,377860," If you are in a locked state but received coin, you have to go into unlocked one."
377860,379600," Okay, let's actually call that explicitly."
379600,383960," So essentially, we can now match the event that we got."
383960,389640," And if the event is push, you stay in a locked state."
389640,391800," Locked."
392600,399100," All right, if the event was coin, you do state unlocked, right?"
399100,401200," So you're now unlocked."
401200,401960," Cool."
401960,407300," If you are in unlocked and you push, you put a coin, you stay in unlocked."
407300,410580," But if you push, you then go into the locked state."
410580,412600," Okay, so it's going to be the other way around."
412600,419760," So event push makes you go into a locked state, right?"
419760,421740," Event push makes you go into the locked state."
422600,427920," It's kind of interesting that push always moves you."
427920,429800," Yeah, this is very interesting."
429800,433380," So push always moves you into the locked state."
433380,436700," Put in a coin always moves you into unlocked state."
436700,438380," That's very interesting."
438380,438800," Okay."
438800,440780," Event coin."
440780,445180," Yeah, and that's why these two things are kind of repeated, right?"
445180,447080," These two things are kind of repeated."
447080,451620," I wonder if you can, since you actually repeat these two branches,"
451760,454540," can you just completely remove outer match?"
454540,457840," And it's going to be the same thing, essentially, maybe."
457840,461980," But I'm going to actually code it as it is described in the diagram."
461980,465500," So as close to the diagram as possible, right?"
465500,468600," For the educational and recreational purposes, because why not?"
468600,469280," So there we go."
469660,478080," So you have states, you have events, and you have a transition function that accepts states and event and transitions to the next state."
478080,479240," All right."
479240,488580," So maybe we could code a simple program that basically allows you to input events and displays the current state or something like that."
488580,489740," That will be actually kind of interesting."
489880,490940," So let's actually quickly do that."
490940,492760," So we're going to have the initial state."
492760,494960," And initially, let's say that it's going to be locked."
494960,496740," The entire thing is going to be locked."
496740,499220," Then we need to organize the loop."
499220,501940," And this is where it's going to be difficult."
501940,504560," I don't remember how to read line by line in Rust."
504660,507540," So I'll have to quickly, quickly look it up."
507540,509300," Rust stdlib."
509300,515200," Maybe I can just Google Rust read stdin line by line."
515200,515780," Yeah, there we go."
515780,518200," I already Googled that before."
518200,523300," I switch languages way too often to remember each individual details, to be fair."
523300,524140," So I'm really sorry."
524140,528440," So you can actually, yeah, you can get the stdin."
528440,531300," You can lock it and then iterate line by line."
531380,535420," Okay, that's actually pretty, pretty good, pretty Gucci, I would say."
535420,536700," Pretty Tamaguchi."
536700,540720," Okay, so here's the buff read."
540720,543700," I'm sure if buff read is really, really needed in here."
543700,550900," But here we're creating stdin and then we are getting the lines, right?"
550900,556540," So basically, you can create an iterator out of stdin and stuff like that."
556540,561340," I wonder if I can just inline the center, I think, because I don't really need stdin by itself, right?"
561380,562220," You know what I'm talking about?"
562220,566680," So, okay, let's try to compile this entire thing and see what's going to happen."
566680,569240," It's going to be Rust C, main RS."
569240,572640," And there we go, there we go."
572640,573980," Coined, it's not coined."
573980,576220," All right."
576220,581400," So let me see if we can work with all of that."
581400,588120," So I'm going to be running main and hello, world, test, cool."
588120,589460," I really like that."
589460,590360," Nice, nice, nice."
590360,595880," It would be kind of cool to also have a prompt, if you know what I mean."
595880,599500," To have a prompt."
601120,608340," And maybe if we actually change the way we read this entire thing, maybe we can easily do that, right?"
608340,609100," Read the line."
609100,615040," And before you read the line, you would prompt something like, please, like, input a command and whatnot."
615040,616800," That would be kind of interesting."
619200,621720," So let me try to do that."
621720,624720," So we're going to have a mutable line, right?"
624720,625900," We're going to have a mutable line."
625900,630900," Well, you can always do something like this, right?"
630900,633540," So before printing this thing, you're going to be doing like that."
633540,635660," But then you'll have to repeat this thing here."
635660,641880," And on top of that, it may not work because if you have, like, buffered input or buffered output, rather,"
641880,644820," you should not forget to flush the standard output."
644820,648500," Otherwise, you will never see those prompts, right?"
648500,649820," So let's actually give it a try."
649820,651460," Rust C main RS."
651460,653340," I hope I didn't make any compilation errors."
653340,654640," And I didn't."
654640,655160," There we go."
655160,656900," This is what I'm talking about, right?"
656900,661100," So, yeah, if you do something like this, you will never see anything."
661100,663800," But, I mean, this doesn't really solve that problem either."
663800,667520," So you need to know how to flush STD out, right?"
667520,670180," So flush the STD out."
670180,674100," It's a classical, classical problem, to be fair."
674820,678720," So, yeah, you can do STD out flush."
678720,688040," So, IO, STD out flush."
688040,697000," Maybe I can, I'm just thinking if now maybe makes sense to actually create a separate variable for this entire thing."
698300,699800," Okay, it was not that."
699800,705480," All right, STD print."
705480,708040," Flush."
708040,709860," Well, yeah, it should actually work."
709860,713260," But it, method not found on STD out."
713260,714660," That is very strange."
714660,716540," Is that because I didn't import something?"
716540,718020," I feel like I didn't import something."
718920,721100," Maybe I have to do it, like, right."
721100,723740," And maybe that will make it work."
723740,725720," Apparently, I was right."
725720,726580," Yes, yes, yes."
726580,727620," Yes, yes, yes, yes."
727620,728880," And there you go."
728880,730540," Now you can see the prompt."
730540,730980," Right."
730980,734540," So you do hello, world, test, and so on and so forth."
735000,735400," Right."
735400,744620," So, and now, after you get the line, after you get the line, you may try to switch."
744620,747900," You can try to match the line upon different inputs."
747900,748380," All right."
748380,750120," So you can put a coin in here."
750120,750840," Right."
750840,753640," I'm not sure if this is how you match lines in Rust."
753640,754820," I don't program in Rust."
754820,755120," I'm sorry."
755120,756260," I'm not a Rust developer."
756260,757820," Or you can push things."
757820,758400," Right."
758400,759980," You can push things around."
760080,761600," Let's see if this entire thing compiles."
761600,766000," I suppose, I remember that you can match slices."
766000,769160," So we may try to turn the line into a slice."
769160,773340," So the question has type."
773340,774700," Oh, shit."
774700,775080," Okay."
775080,779600," So this entire thing, first of all, returns the result."
779600,784340," So maybe the first thing we want to do in here, we can, we want to unwrap this entire thing."
784340,788360," And unwrapping this entire thing gives us a string, which we still cannot match."
788720,792940," So that means we'll have to match it like this."
792940,793460," Right."
793460,794280," Is it going to work?"
794280,797760," Expected struct string found str."
797760,798700," Huh."
798700,802760," So can I do something like to str or something?"
802760,804260," Is that a thing I can do?"
804260,806040," Or maybe it's as str."
806040,807440," Yeah."
807440,808920," There is as str."
808920,809480," Okay."
809480,814920," So you can clearly see the heritage of a camel in here."
814920,823740," Because, you know, camel, it's quite often pattern of converting types like int as string or something like that."
823740,825000," So, yeah."
825000,827980," It's kind of a camel thing to do like this."
827980,829780," So we have an unreachable statement."
830880,831340," Oh, okay."
831340,833540," Because to do breaks everything in here."
833540,833860," Okay."
833860,834180," Okay."
834180,837980," So, and we also want to have the case when there is nothing in here."
837980,840620," Well, in that case, we can just do something like ePrintLN."
840620,843400," Unknown event."
843400,845240," So let's actually put something like this error."
845240,846240," Unknown event."
846240,851120," So, unknown."
851120,851720," Right."
851720,852840," So it's going to be unknown."
852840,854560," Unknown."
854560,855220," There we go."
856640,857000," Cool."
857000,859040," So let's see what we have in here."
859040,860980," Yep, yep, yep."
860980,861960," So we can do push."
861960,863800," Yeah."
863800,864840," We hit to do."
864840,865160," Right."
865160,866120," Not implemented yet."
866120,871780," So, and if I put some garbage in here, it says unknown event something something."
871780,872340," Okay, cool."
872340,875480," So essentially the idea here is going to be the following."
875480,878100," The idea here is going to be the following."
879100,886280," If you put a coin, you have to do something like state, next state, the current state, and"
886280,888160," the event is coin."
888160,888820," Right."
888820,894680," So if you have a push, the next thing in here is going to be push."
894680,895620," There we go."
895620,901160," So when I suppose before printing the prompt, we have to print the current state."
901160,902500," So let's actually print it like this."
905380,909960," So state, maybe it's going to actually print this prefix."
909960,913820," I don't know if it's going to print this prefix, but if it's going to print this prefix, it's"
913820,914480," actually pretty good."
914480,916660," That means I will be able to remove this thing from here."
916660,922540," But anyway, so we're going to be doing that every time the state is updated."
922540,927700," So in that way, yeah, so this requires debug."
927700,931520," Oh yeah, I need to do something on this state."
931520,934340," And the second one is going to be state."
935380,936220," There we go."
936220,938240," So, and of course, state needs to be debuggable."
938240,941120," Otherwise, we won't be able to print it."
941120,943840," Derive debug."
943840,945380," And let's put that on both of them."
945380,947400," Okay."
947400,948900," So result."
948900,949220," Okay."
