start,end,text
0,2000," How are you doing?"
2000,4000," Hey, what's up here at SunBots?"
4000,21000," The day has come."
21000,23000," Yes."
23000,25000," Yes."
25000,28000," I'm finally 30 years old cooler."
28000,34000," I've been waiting for that 30 years."
34000,36000," Yep."
36000,37000," Hello, Jim."
37000,38000," Thank you."
38000,39000," Thank you, guys."
39000,42000," So, yeah, this is legit my birthday today."
42000,44000," So, now everyone knows."
44000,47000," So, the next time you want to, you know, congratulate me,"
47000,49000," you know when to do that."
49000,50000," Hello, hello, welcome."
50000,52000," Welcome to the stream."
52000,55000," So, yeah, I don't know what we're going to do today."
55000,57000," Well, probably we're going to do something."
57000,58000," Thank you."
58000,59000," Thank you, Yguduk."
59000,60000," Thank you, Jeff."
60000,61000," Yes."
61000,67000," I'm starting a happy birthday song."
67000,71000," We need, like, a lo-fi version of happy birthday song."
71000,72000," Song."
72000,73000," Thong."
73000,74000," Jesus Christ."
74000,77000," My English is getting worse and worse."
77000,81000," So, here's an interesting thing that I noticed."
81000,84000," That I wanted to fix for quite some time, actually."
84000,85000," Yeah."
85000,87000," Because I confuse S and TH."
87000,88000," Zhiyang."
88000,89000," Hello, Zhiyang."
89000,90000," Welcome, welcome, welcome."
90000,91000," Thank you."
91000,92000," Thank you so much."
92000,95000," So, here's one thing that I noticed."
95000,96000," Suvun only works."
96000,101000," C3301 subscribe at tier one."
101000,102000," Thank you."
102000,105000," Thank you so much for 10 months of a tier one subscription."
105000,108000," And welcome to our epic birthday club."
108000,109000," That sounds wrong."
109000,110000," But, yeah."
110000,111000," So, yeah."
111000,112000," It's, it's, thank you."
112000,113000," Thank you so much."
113000,121000," So, Suvun only works when you have these file digits in the same folder."
121000,122000," Thank you."
122000,123000," Thank you so much C3301."
123000,127000," So, it only works in the same folder."
127000,132000," But if you move to a different folder, right, it doesn't work because it cannot find it."
132000,136000," Anton Annon subscribed to tier one for two months."
136000,137000," Thank you."
137000,138000," Thank you so much."
138000,139000," Thank you, thank you, thank you."
139000,141000," And welcome to our birthday club."
141000,143000," Do we wear birthday suits in the birthday club?"
143000,144000," No."
144000,147000," I, we, you just need to wear the birthday t-shirt or something."
147000,151000," The birthday, since, okay."
