start,end,text
0,5620," Let's get started. Hello, everyone, and welcome to yet another recreation programming session with"
5620,11820," Mr. Zozin. On the previous stream, we developed a multiplayer game prototype in a browser, right?"
11820,16720," So, as you can see, we have a simple game. I know it doesn't look like a game, right? So, but that's"
16720,21740," the point of a prototype, just to have something that you can test things on, right? And it is"
21740,28640," truly multiplayer, right? So, essentially, if you open localhost in a second tab, right? So, you have"
28640,33620," now two players, right? So, you can move around in one window, right? You switch to another window,"
33620,39460," and you can also move around, right? And how many windows you create? Essentially, this is how many"
39460,43080," players you're going to have. So, we can open another one, and there will be three of them,"
43080,47760," right? So, it generated like a similar call. Let's actually refresh a couple of times. Yeah. So, now we"
47760,53640," have a blue one, right? So, this is how it looks like. And all of that is implemented using WebSockets,"
53720,59480," right? So, we have a WebSocket server that listens for input connections, right? So, and when you open"
59480,65640," the web page in browser, it connects to that WebSocket. And this is like a very simple prototype of the"
65640,71780," multiplayer game, right? You can find the source code of this entire thing in the description for YouTube"
71780,77140," people and for people in the chat. I'm going to put that in the chat in here. So, I wonder if I put it in"
77140,81040," description. Yeah, I did in fact put that in the description. So, the problem with this entire thing"
81040,86740," is that I have no idea how to make multiplayer online games, right? So, this is my first attempt"
86740,94100," at making them, right? And I don't even know if I did everything correctly, but so far so good. It seems"
94100,99800," to be working. It seems to be twerking. So, I must be doing something correctly. At least something,"
99800,105100," not everything, but maybe something I'm doing correctly. Right. So, and from here, I would like to"
105100,112120," start improving this entire thing. And to improve this entire thing, I probably need to, you know,"
112120,119280," collect some statistics, right? So, maybe some profiling and stuff like that. I actually outlined"
119280,124640," the list of things that I would like to collect statistics about, right? So, this is basically the"
124640,130800," thing I want to know. Like, for example, an average time to process a tick. So, on the server, we actually"
130800,136280," simulate the game, right? You know, when you play like a single player game, you have frames, right?"
136280,140640," But on the server, the server doesn't really render anything, right? It doesn't, usually it doesn't"
140640,145580," even have a monitor, right? So, what it does, it still simulates the game, but it simulates the frames"
145580,151720," like ticks, right? So, I would like to know, like, how much time it takes to simulate a single tick on a"
151720,157760," server, right? I think that's kind of useful, right? We communicate between client and server by"
157760,162960," sending single messages over the WebSocket connection. It would be kind of nice to know"
162960,169100," how many messages the server sent and how many messages it received from the client. So, we know"
169100,175100," the total amount of traffic, right? And the most interesting part is that how many, on average,"
175180,181980," messages we send per tick, per tick, and how many messages we receive from the clients per tick,"
181980,190200," right? So, the hypothesis I have is that if we send or receive too many messages, specifically send,"
190200,195760," right? So, if we send too many messages, it may take, like, a lot of time doing that because I presume"
195760,200960," that the network is a very slow connection, right? So, you probably don't really want to send too many"
200960,207980," messages, right? And maybe one of the optimizations we can do to reduce the amount of messages sent,"
207980,213600," we can just basically bundle them somehow, right? So, we need to implement some sort of bundling and"
213600,220380," maybe also switch from JSON. Right now, we're packing our messages into the JSON, right? So, which is"
220380,226020," probably wasteful. But again, I'm doing this kind of stuff for the first time and the way I work is I"
226020,232500," implement the dumbest solution possible and just see what I can improve, right? So, and maybe one of the"
232500,238720," improvements would be to just switch to a binary protocol, right? So, people will instantly go,"
238720,245300," oh, protobuffs, protobuffs, but to be fair, I don't really want to use protobuffs, right? Because I briefly"
245300,251060," looked into it and it looks like a huge over dependency for something that I can literally do"
251060,259660," myself. It's not like, look, look, look, I programmed a lot in low-level languages. I'm not a web developer"
259660,269320," who's afraid of bytes. I'm not fucking afraid of bytes, right? I can create uint8 array and just, you know,"
269320,275800," poke into the bytes directly. I'm not some sort of like a soy web devs who's afraid of uint8 array"
275800,282780," and use protobuff and stuff like that. I can do that. I programmed an assembly. I fucking rolled a"
282780,292600," website in assembly. I'm not even joking, by the way. So, yeah, I think it's to do awesome, right? So,"
292600,298900," let me see. Yeah, there you go. I rolled this kind of shit. I'm not afraid of bytes, you know? I'm not"
298900,303400," afraid of bytes. So, I'm going to put that in here and for people who's watching on YouTube"
303400,307660," and interested in this kind of shenanigans, I'm going to put that in the description."
