start,end,text
160,5600," Hello everyone and welcome to yet another recreational programming session with Ahu"
5600,11280," Amista Azorzin. So lately we've been developing this really weird thing, right? So I was playing"
11280,17680," with a raycasting algorithm in web, right? So essentially raycasting algorithm is basically"
17680,24960," like a 3D from 90s and 80s. Wolfenstein 3D was implemented using this kind of technique."
24960,29520," It's a very simple technique and it doesn't ever require any OpenGL or anything like that."
29520,36080," This entire thing is actually using 2D canvas, right? It is using 2D canvas. It was kind of fun,"
36080,41920," it was kind of interesting, but then I thought can we make a game out of that, right? So I kind of"
41920,48080," really want to make a game out of that, especially because I have a very old laptop, so not that many"
48080,54880," games, like I can't really play that many games in here. So and yeah, so I can just like implement"
54880,60480," a game that I would personally play, right? So to just entertain myself. And what kind of game I would"
60480,70000," like to play? I really like to play roguelike games, right? So and roguelike games with like a 3D graphic"
70000,76880," with Wolfenstein 3D sounds like kind of interesting. Also working in your browser also sounds kind of"
76880,83840," interesting and that's exactly what I'd like to attempt today. Maybe we'll see, we'll see how it goes,"
83840,88800," right? So we'll see, we'll see how it goes. So the first thing we probably need to do, we probably need"
88800,94560," to make it look like roguelike, right? So it's probably going to be sort of like a dungeons,"
94560,99920," right? So essentially you start at a particular dungeon as a dungeon master, right? Like a van."
99920,108320," So and you have like walls out of stone, maybe some chains and stuff like that. So we'll need to have"
108320,115120," some sort of like a floor and ceiling. And you go through different rooms, you collect some different"
115120,120400," items, maybe some keys, maybe some other stuff, maybe some weapons, potions and stuff like that."
120400,127680," And you find the ladder down to the next floor and then it kind of repeats itself. So you basically go"
127680,134640," constantly going down and down and down and down. And this is not Isaac by the way. Original rogue game"
134640,139920," developed for, I don't know what it's developed for, but the one that didn't even have like a GUI,"
139920,147040," it was completely text game. The original rogue game was basically like that. What's interesting"
147040,152000," is that if you download the original rogue game and try to play it, you would be fucking surprised how"
152000,161840," how it looks like basically Isaac. It is actually kind of insane. Like, so Isaac is basically the original"
161840,167920," rogue. They just extended it and added shit. Literally, by the way, they literally added shit,"
167920,172160," the literal shit. So yeah, so I was thinking about something like that."
172160,180880," Right. So but to make it look like, you know, like a dungeon, right, we need to have some sort of like"
180880,187920," assets and shit. So let's actually go into open game art and maybe grab some free assets, right? So open"
187920,193440," game art. There's also net hack, right? So but net hack is not the original rogue game."
194400,200400," Right. So rogue game. We can take a look at it. So the original rogue game is still available online."
200400,209920," It is like net hack, but it's much simpler actually. So it's from 1980. Yeah, it's pretty old. I really like"
209920,217040," how so there's like this thumbnail. The game looks nothing like that. The game looks nothing like that."
217040,220240," In fact, it looks like. Yeah. So this is how the game looks like actually."
220240,229760," This is kind of funny, right? So this is the trailer, right? This is the trailer, right? And then down there,"
230640,231600," this is the gameplay."
231600,243840," Oh, hell, you clickbait. I mean, people been clickbaiting since fucking forever. Actually,"
243840,249600," people think that all this like clickbaiting is like a new thing of the modern internet. In fact,"
249600,257120," people been doing that fucking constantly, right? So it's basically the problem of packaging, right?"
257120,263760," Okay. So essentially, like if you are, look at the supermarkets, the supermarkets,"
263760,271840," I think supermarkets represent the modern YouTube quite well. Supermarkets like a space where different"
