start,end,text
80,6000," Hello everyone, and welcome to yet another recreation programming session with Mr. Zozin."
6000,12880," So, since the downfall of Zig, I started to program in C3 a lot and use it in my projects"
12880,17120," and stuff like that. So, for those who doesn't know, C3 is just like a next-generation programming"
17120,23760," language that is built on top of C, right? But it actually made it better, right? Not like C++,"
23760,30800," but actually made it better. So, and one of the things I want you to do with C3 is to sort of use it as"
30800,36480," like a semi-scripting language, even though it's a compiled language, right? So, it's a native statically"
36480,42720," typed compiled language. I want you to use it as a semi-scripting language because the C3 compiler"
42720,49920," has a very interesting command called compile-run. So, which accepts the files, right? It compiles"
49920,56320," the files and then runs those files, right? So, we take a look at the signature compile-run. So,"
56320,61680," here is the signature compile-run. You just provide the files and stuff like that. So, let's actually"
61680,69040," create a simple program, right? And so, this is how you define an entry point. So, this is the main."
69040,76640," And one of the important thing for any sort of like a scripting, for any script, right, is to be able to"
76640,81200," handle command line arguments, right? So, as far as you know, this is how you accept command line"
81200,86800," arguments, right? So, just basically an array of strings, right? So, and the arguments are basically"
86800,92000," the parameters of the main function. And let's go ahead and just print whatever parameters we got in"
92000,100240," there. So, first of all, we have to import stdio, io, stdio, and we're going to do print and not ln,"
100960,110000," it's not some sort of a l language, right? So, they got rid of that l, right? So, and there you go,"
110000,114720," let's actually print this args, right? So, let's actually try to run this into anything, and let's"
114720,119840," see what it's going to do. So, it's compiling, and as you can see, it's running. So, this is the arguments"
119840,126720," that we've got. Usually, traditionally, the first argument in the argument list is the path to the"
126720,131040," program that you're running, which is understandable. Okay, at some point, I decided, okay, I want to"
131040,135040," provide some arguments in here, right? I want to provide some arguments. So, I'm going to do foo,"
135040,144240," and file names must be known empty, name c foo is invalid. Ah! So, you can actually provide several"
144240,149760," files in here, and it basically interpreted foo as one of the files. Okay, so this is very common. Usually,"
149760,154320," traditionally, to sort of separate the files that you want to run, and the arguments, you have to put"
154320,159440," something like dash dash. Okay, so that's not a big deal, right? I can put dash dash in here,"
159440,162880," and it doesn't work."
162880,172960," So, and apparently, apparently, this language, like this subcommand specifically,"
172960,179920," does not support arguments that you want to pass to your program. And you can even take a look at the"
179920,187760," signature of this entire thing. It only accepts the files. It only accepts the files. How you are"
187760,197760," supposed to compete with zig? I'm disappointed. I'm freaking disappointed. We can't allow these"
197760,205680," goddamn zig developers to win. We must fucking fix that. And that's going to be the topic of today's stream."
205680,212240," Right. So, I'm going to try to contribute this feature to the compiler, right? So, I already talked"
212240,217680," to the creator. I created an issue about that. And we agreed that I'm going to implement that, right?"
217680,222320," So, that's basically the topic for today's stream. Seriously. That's literally the topic for the stream."
222320,227680," Isn't that cool? We're going to do a compiler hacking. We're going to do a compiler hacking."
228240,236400," Let's go. Let's fucking go, mate. Let's fucking go. So, thank you. Thank you so much for all of the subs."
