start,end,text
0,29980," Thank you."
30000,59980," Thank you."
60000,89980," Thank you."
90000,119980," Thank you."
120000,149980," Thank you."
150000,179980," Thank you."
180000,209980," Thank you."
210000,239980," Thank you."
240000,269980," Thank you."
270000,299980," Thank you."
300000,329980," Thank you."
330000,359980," Thank you."
360000,389980," Thank you."
390000,419980," Thank you."
420000,449980," Thank you."
450000,479980," Thank you."
480000,509980," Thank you."
510000,539980," Thank you."
540000,569980," Thank you."
570000,599980," Thank you."
600000,629980," Thank you."
629980,659960," Hello."
659960,689940," Thank you."
689940,719920," Thank you."
719940,749920," Thank you."
749940,779920," I mean, yeah."
779920,809900," Thank you."
809920,839900," Thank you."
839920,869900," Thank you."
869900,899880," Thank you."
899900,929880," Thank you."
929900,959880," So, but I don't think"
959880,989860," It's really, it's really, it's really bright, it's really bright, it's really bright, it's"
989860,1019840,", or maybe it's true."
1019840,1049820,", you know, it's true."
1049820,1079800," It's true, it's true, it's true."
1079800,1109780," It's true, it's true, it's true."
1109780,1139760," It's true, it's true, it's true."
1139760,1169740," It's true, it's true, it's true, it's true, it's true."
1169740,1199720," It's true, it's true, it's true, it's true, it's true."
1199740,1229700,", it's true, it's true, it's true, it's true, it's true, it's true, it's true."
1229700,1259680," It's true, it's true, it's true, it's true."
1259680,1289660," It's true, it's true, it's true, it's true."
1289660,1319640," It's true, it's true, it's true, it's true."
1319640,1349620," It's true, it's true, it's true, it's true, it's true."
1349620,1379600," It's true, it's true, it's true, it's true, it's true, it's true, it's true."
1379600,1409580," It's true, it's true, it's true."
1409600,1416560," I think you probably know this, I think you probably know this, I think you probably know this, but you don't have to fulfill all this stuff in the requirement, it depends on who else applies."
1416560,1446540," Well, yeah, it's true, it's true."
1446540,1476520," It's true, it's true, it's true."
1476520,1506500," It's true, it's true, it's true."
1506500,1536480," I have enough of you, it's true, it's true, it's true."
1536480,1566460," I suppose, I suppose, in a career environment, right?"
1566460,1573460," I'm talking how to be competitive in a career and how to land a job in Google, I won't answer that to you, I don't answer this kind of question."
1573460,1582460," It's true, it's true, it's true, it's true."
1582460,1591460," It's true, it's true, it's true, it's true, it's true, it's true, it's true."
1591460,1601920," um how can i achieve a good level in computer science it's the same question i'm sorry you're"
1601920,1609780," trying to like you know try to bypass my logic or something i don't know uh fk4 os uh thank you so"
1609780,1614600," much for two months of uh of twitch prime subscription thank you thank you thank you and"
1614600,1620900," welcome to our epic computer science club how about that welcome all right so we need to implement"
1620900,1630460," this shit by the way um uh so and"
1630460,1636500," how are you today thanks for the stream well i'm doing well thank you thank you for watching"
1636500,1645680," hello the rendels hello hello so let me see let me see we need to implement all of this shit"
1645680,1654400," homage you did you've got issues yeah that's true like i got at least eight of them"
1654400,1660200," so yes uh three of them are blocked though so"
1660200,1668040," yeah it is in fact true um"
1668040,1681600," so where do we do this kind of stuff where do we do the cmd thingy uh actually i think it's called uh"
1681600,1688160," uh pipe i think it's called pipe"
1688160,1701820," so the entire thing is actually quite kind of complicated so um probably because i was just"
1701820,1710060," smashing things together uh can you tell me if i have to make such compile time programming can i do"
1710060,1714380," specifically for mac only compile time programming i didn't know what i mean by compile time programming"
1714380,1720380," uh c doesn't really have that much compile time programming to be fair apart from c preprocessor"
1720380,1726540," like can i do in swift and uh or i have to stick with c or c plus plus"
1727420,1735420," uh what a mess of a language what a mess of a question okay uh if you have to make such compile"
1735420,1742300," type programming can i do specifically for mac only i don't understand what you want"
1742300,1747900," uh what do you want you want to execute things at compile time in different languages"
1747900,1750940," uh you have different mechanism and you don't have to"
1752300,1758060," like i don't understand what you're trying to ask me uh i'm trying to comprehend your question but"
1758060,1762300," apparently i cannot because i have issues um so i'm sorry"
1762300,1771180," that's a cool thing okay so every time i don't want to ask uh like understand or answer a question"
1771180,1772940," i'm gonna say that i have issues"
1772940,1778300," this is perfect thank you random"
1778940,1783420," viewer of the internet for giving me such a beautiful excuse i'm just gonna say i have"
1783420,1786700," issues i'm sorry like i i cannot ask for your questions i've got issues"
1786700,1802780," maybe i actually have issues because sometimes people ask like very insane and i literally like i've"
1802780,1808780," genuinely tried to understand and i cannot understand like and i'm thinking is that is that a problem with me"
1808780,1814460," maybe it is in fact problem with me like it's just like maybe my brain is fucked maybe maybe it's true"
1814460,1816620," maybe i've got issues who knows"
1816620,1824060," it's okay to have issues it's more important to have pull requests to fix them"
1824060,1831260," okay that's true that's actually true um okay so i think i wanna uh"
1832940,1841500," i think i want to uh have some like a little bit more strict typing"
1841500,1848780," you just totally bad at answering uh to be fair"
1848780,1859100," from my perspective people are totally bad at asking questions like i rarely get uh good uh questions"
1859740,1865020," that they can actually answer so basically my answer usually the quality of my answer usually depends on"
1865020,1870700," the quality of the question so if you see me answering in a really bad way so that means the"
1870700,1873180," question is bad so yeah"
1881100,1886540," sorry um the quality of my answer depends on the quality of the question or the amount of money you"
