start,end,text
160,6960," looks like we're live hello everyone and welcome to yet another azuzin session uh azuzin session"
6960,13360," let's make a little bit of an announcement and officially start the stream so um okay i'm"
13360,21120," actually typing in the wrong window uh red circle live on twitch and what are we doing today on"
21120,28800," twitch.a television so today we are implementing syntax highlighting for my text editor in c how"
28800,38320," about that so https.tv/sonic and everyone who wants to be pinged is pinged right now who doesn't want to"
38320,44640," be pinged is not pinged it's as simple as that so today we're going to continue developing our text"
44640,49600," editor as already mentioned you can find the source code of this text editor in here i'm going to copy"
49600,56000," paste it in the chat for anyone who happened to watch that in the far future on youtube uh it's probably"
56000,64400," going to be in the description but i'm not sure i don't know we'll see uh so and uh yeah so let's"
64400,71520," take a look at the text editor itself so let's go into dead so that's literally the name of the text"
71520,77360," editor the text editor is called dead which stands for dramatic editor right so let's actually reveal the"
77360,85360," scene i think uh and uh let's start the editor so this is how the editor initially looks like right so"
85360,92720," and if you start typing for instance uh hello chat uh right so the editor is being dramatic so we have a"
92720,101360," camera that is actually trying to center the cursor uh and stuff like that uh and uh as you type uh it"
101360,106960," actually sort of moves around it's trying to be a little bit uh you know dramatic so on the previous"
106960,111920," stream i think we implemented this selection right so we're developing the text editor from scratch so"
111920,116960," we don't even have any selection and this is how selection looks like it behaves like a selection but"
116960,121760," right now if i try to delete something it doesn't really delete this selection so it's not finished i i"
121760,127440," said that i'm gonna do that off screen and i didn't do that on screen right so maybe we're gonna do that"
127440,134880," on screen who knows but uh only after the main topic of today and the main topic of today is syntax"
134880,140400," highlighting as already mentioned so i want to be able to just open a c file uh unfortunately i can't"
140400,145840," really open the c file or at least like a shell file and have some sort of a syntax highlighting right"
145840,152800," so that probably means that we'll have to get rid of that pretentious rain bush highlighting thingy"
152800,157200," so it's not going to be probably part of the text editor in the future but maybe we're going to"
157200,165040," highlight the keywords with this rainbow effect who knows right so we'll see how it goes uh right so i"
165040,170880," think i'm going to start with uh highlighting the c syntax and the way we're going to highlight is going"
170880,175840," to be super simple we're going to go with a very simple route for now uh we're going to only"
175840,182560," highlight the keywords right so if we encounter a particular keyword uh for instance like void void"
182560,188640," is a built-in type it is a keyword okay so it's very cool now i can select the things i'm talking about"
188640,193680," this is actually very convenient right so if we encounter something like void we're going to highlight"
193680,199360," it with uh some sort of like a caller right so maybe we're going to also highlight the comments right"
200480,206320," personally personally personally uh i kind of like the approach to syntax highlighting that is"
206320,216720," that is sort of like proposed by the creator of stb libraries right so essentially no syntax highlighting"
216720,223920," except three things right so the all of the code all of the actually executable code is one color for"
223920,230080," example white uh if you if the background is black right so then um all of the comments"
230080,236480," the comments are different color and all of the string literals is the third color right so something"
236480,243600," like that so you only have three colors and uh right and it's actually kind of like it's sufficient enough"
243600,249680," for me personally but i don't really follow that um highlighting scheme is because i'm streaming"
249680,255680," and majority of people on the stream are not going to understand my choice i actually tried and a lot of people"
255680,261040," kind of find it difficult to read for them i personally don't mind uh but yeah anyway so this is just like"
261040,270880," a tangent um so we're gonna go with a simple uh keyword highlighting for now uh and uh let's go i suppose"
270880,278640," let's go um right so let me open the tag study time"
278640,286720," uh right so and what are we going to be doing uh today so i want to start with"
286720,294000," uh maybe getting rid of the rainbow uh rainbow effect so it is done with the shaders"
294800,300960," and in the shaders we have the epic shader right so a simple epic and that's the shader that is"
300960,308400," responsible for the rainbowish color so we also have another shader that is intended for images"
308400,316480," right but we can't really use that specific shader for the text because the texture the the text yeah the"
316480,325600," texture that the text uses to render um actually uses only one color channel right so essentially"
325600,331760," we make an atlas of the glyphs that we are about to render uh right and we put that atlas in the"
331760,336640," texture and we pass it to a shader the thing about the texture is that it only uses one channel which is"
336640,342880," red and the choice of red is completely arbitrary and the reason why it uses a single channel is because"
342880,351760," we get that glyph from free type and free type gives us uh this glyph in a grayscale essentially it's not"
351760,358000," trying to assume any color of the of the glyph it just gives you grayscale and you can do whatever the"
358000,366000," hell you want with it uh right so and to pass it to a shader i just pick one channel and i say okay i'm passing"
366000,370000," the grayscale information through the red channel doesn't really matter i could have picked red i could"
370000,376560," have pink blue uh doesn't matter right and because of that just using the uh shader that is responsible"
376560,381440," for rendering the images is not really sufficient for rendering the text because the text is going to look"
381440,387760," red uh right so what i'm thinking is that maybe we're going to have a special shader specifically for"
387760,398480," rendering text that treats the texture simply differently right it treats it differently uh it uh only looks at the"
398480,407280," red channel and then it uh just renders it like using only that one channel maybe it just extends that red"
407280,412160," channel to all of the channels to make it white and on top of that since we're going to be highlighting"
412160,418880," things highlighting is basically coloring different uh glyphs with different color maybe that share should"
418880,425680," also take into account the color uh that would pass in there right because in our simple renderer right"
425680,431360," if we take a look at the simple renderer so the main function is probably triangle the thing that renders"
431360,439520," the triangle so here we're passing the vertices of the triangle on the 2d space of the screen then we"
439520,446240," pass the colors of the vertices and then we pass uv coordinates right the colors are used for the shaders"
446240,452800," that can interpret those colors the uv coordinates are used by the shader that uh render the texture so the"
452800,461040," text um the text shader can actually use both of these parameters right so essentially it's going to use"
461040,469040," uv coordinates to find the specific glyph in the atlas in the texture and also these colors to multiply the"
469040,477840," uh the red channel by to color the text with a certain color uh right so and i feel like for that we need"
477840,485200," like a very specific shader uh right so we have shader for where are all of the shares like shader for"
485200,492000," color which allows you to render just uh you know solid shapes right so this is the shader that we use to"
492960,497920," uh to render the cursor right so for instance we have a cursor which is just a rectangle this is"
497920,504320," the shader that we use uh just a solid thing this is also the shader that we use to render the selection"
504320,511760," right because selection is just a rectangle uh behind the text so that's the the same shader uh right"
511760,519120," and um we have an image shader for the images and epicness is the shader for rendering the text with"
519120,523520," rainbow stuff it's just a temporary thing and probably gonna remove it and get rid of it"
523520,530240," uh right so what i want to do for now uh is i want to introduce the shader for text uh what's funny is"
530240,537200," that we have a image for like shader for image but we don't really use it for anything uh right so we're"
537200,543360," probably going to use it for maybe icons uh or something like that maybe when you go to the file"
543360,548960," browser to pick a file that you want to edit maybe in front of the files we're going to put the file"
548960,554400," icon in front of the folders we're going to put the folder icon and stuff like that so maybe that's"
554400,560560," what we can use that shader for but i'm not really sure though i'm not eager to remove that shader yet"
560560,567200," because it's super simple that's the entire shader right so uh the thing about the shader is that it"
567200,572880," just takes uv coordinates it queries the texture by that those uv coordinates and it just passes it as a"
572880,580800," fragment that's it that simple doesn't even put any effects on on these things so i can just keep it maybe"
580800,586480," it's going to be useful in the future we'll see but anyway for now we need a special shader for text"
586480,594560," right a special shader for text which is going to uh you know be like an image shader except it is going to"
595440,601840," uh only take the red color and multiply it by the color that we passed in there something like"
601840,605840," something like that we will see so first i need to actually write some code in here"
609920,615520," so all right all right all right hello hello everyone welcome welcome welcome"
623040,636400," okay so let me let me see uh we probably also need to extend the constructor for the simple renderer"
636400,641840," right because in this specific constructor we're passing all of these file paths to different shaders"
641840,649840," and i think this is something not particularly convenient right because usually um what i do"
650640,658080," i have a separate array uh where i associate different values of the enumeration with the file path maybe"
658080,660480," maybe this is precisely what i need to do"
660480,665520," so simple renderer.c"
665520,672080," all right so const char so how should i call that uh maybe shader"
672080,679120," file paths right so in the amount of file paths that we're going to have in here is going to count simple shaders"
680320,687600," then we're going to be using so for now just to keep things simple i'm going to get rid of the text"
687600,697200," right uh so with each individual value of the shader we're going to be associating the file paths that"
697200,707920," we're passing uh from the main right so simple renderer init so here are all the file paths in here"
708800,717040," right for the color we need to pass this thing uh for the image we need to put this thing"
717040,723760," right because we're not going to be constructing another simple renderer with different shaders"
723760,729440," right because of that there's no point in passing these file paths like that in my opinion right"
729440,733840," and in the future we're going to actually have quite a lot of different kinds of shaders in here"
733840,740240," and passing all of them for a single tone if we're using the op uh you know terminology it's kind of"
740240,747600," like doesn't really make much sense in my opinion uh right so these are fragment shader file paths right"
747600,756240," so and i don't really know how should i call it so should i call it something like a vert shader file path"
756240,763200," and for now we're going to have only a single vertex shader right so only a single one we're not going"
763200,768480," to have more uh than one but maybe in the future we're going to have more vertex shaders right so for"
768480,774320," now the the purpose of the vertex shader is to actually apply the camera transformations right as"
774320,781200," you can see so the camera moves around and it's done in a vertex shader right because the we pass"
781200,786640," like a mesh of everything that we're trying to render the mesh that includes the selection the cursor"
786640,792720," and all of the quads associated with the glyphs and stuff like that it's a pretty big mesh especially if"
792720,802160," you open a big file uh right and uh all of the vertices of the mesh are translated and scaled in a vertex"
802160,808320," shader um and the only thing we pass to that is just like position of the camera and the uh zoom"
808320,814960," of the camera and all that is automatically calculated on gpu uh i was kind of thinking to do that on cpu"
814960,820480," right but maybe maybe it's it's a good thing to do on gpu right especially if we're going to have a lot"
820480,827440," of those things in the future it's like a special big file uh right but probably like right now we render"
827440,832560," literally everything even if something is outside of the screen so maybe in the future our renderer"
832560,839680," should sort of like cut off things that are not visible uh but uh it's not for now yet all that can"
839680,852240," be applied later uh anyway so let me go to the renderer remember simple uh renderer where is the simple renderer"
852240,861360," initializer okay so here it is and we're not going to be accepting anything in here and let's find in it"
