start,end,text
880,8120," Looks like we're live. Hello everyone and welcome to yet another recreational programming session. How about that?"
8120,14400," I bet you didn't expect that shit. So let's make a little bit of an announcement and officially start the stream as usual."
14400,19960," I'm going to put a red circle, then I'm going to say live on Twitch."
19960,24100," And what are we doing today on Twitch.at television website?"
24100,29420," Today we are doing machine learning in C."
30000,33340," How about that? I bet you didn't expect that shit to happen. I didn't for sure."
33340,40740," Twitch.tv slash surfing. This is the place where we're doing all that and I'm going to ping everyone who's interested in being pinged."
40740,47460," There we go. The stream has officially started. The stream has officially started. Hello, hello everyone. Welcome, welcome, welcome."
47460,54360," So, machine learning. Right. So you probably heard about this thing for quite some time. Right."
54360,58160," So, it's rather a hot thing, I would say."
58160,64200," So, and I'm going to tell you that I'm not a specialist in that area at all."
64200,67800," I'm just like, you know, you know, third person observer."
67800,74000," I understand some of the things, but I'm in no way claiming to be an authority on this topic."
74000,74720," That's for sure."
75160,78880," So, take everything that I say with a grain of pepper."
78880,82500," So, essentially, what is machine learning?"
82500,86140," I'm going to explain you how I understand this entire area."
86140,91460," I understand this as the entire area as sort of like a different paradigm of programming."
91460,91860," Right."
91860,95080," So, you know, we have several paradigms of programming."
95220,98160," Actually, we have two main paradigms of programming."
98160,104400," It's, you know, imperative programming and sort of like a functional programming."
104400,105820," Right."
105820,110660," So, but I think machine learning is more of like another third paradigm."
110660,111640," Right."
111640,114740," In the first two paradigms, you write the code directly."
114740,115240," Right."
115240,120360," So, you have a particular goal and you're trying to achieve that goal by just literally writing that code."
120780,127420," In case of machine learning, you're not really writing the code of the thing that you're going to be executing directly."
127420,128320," Right."
128320,130780," Essentially, you have some sort of a model."
130780,131360," Right."
131360,139480," That models some sort of a process that you want to predict or do something with that or maybe even optimize that entire thing."
139480,141980," And this model has certain parameters."
141980,142640," Right."
142640,144180," This model has certain parameters."
144180,152320," And what you code, you code of the description of what you expect from this model."
152320,154880," Like, how do you expect it to behave?"
154880,162680," And then you give your untrained model and the description of how it's supposed to behave to a learning process."
162680,167420," And it just like tweaks it around until it fits your description well enough."
167580,173940," And there you go, you've got the thing that does what you want probably with a certain probability because it's never going to be perfect."
173940,174760," Right."
174760,178900," So, and that's how I understand it."
178900,183600," So, I personally like to call it automatic mathematical modeling."
183600,184040," Right."
184080,188600," Because this is the thing that people have been doing for ages, actually."
188600,191560," For, yeah, for ages, essentially."
191560,194200," Mathematical modeling by itself."
194200,198980," We actually learned this sort of a discipline in university."
198980,199900," I went to university."
199900,202540," I got a degree in feral metallurgy."
202540,203360," Right."
204320,221780," I like to joke that I have a degree in rust, literally in rust, because feral metallurgy is a branch of chemistry that is concerned with converting feral oxide to steel, cast iron, and stuff like that."
221780,228080," So, it's an entire branch of chemistry concerned with processing feral oxide, a.k.a. rust."
228080,230700," So, I literally have a degree in rust."
230700,237260," So, and rust comes in the form usually of iron ore."
237260,245660," So, iron ore is usually literally rust, unless it's like a different kind of feral oxide, which is black, which is magnetite."
245660,246820," I think it's called magnetite."
246820,248000," All right."
248000,253280," So, and it's usually processed differently, but usually it's the red one."
253280,253660," Right."
253660,254720," It's the red one."
255340,261380," So, and essentially mathematical model for modeling for that specific area was extremely important."
261380,261820," Right."
261820,274780," So, essentially, because it's this branch of chemistry was extremely concerned with industrial processes of converting rust into usable iron, right?"
274780,276560," Steel and stuff like that."
276560,281340," So, and essentially the industrial process was extremely expensive."
281660,289860," Actually, it was extremely expensive to start and then you have to waste a bunch of resources to get some sort of like a small yield."
289860,305200," So, and what the scientists who were working in that area were concerned with is what's the optimal combination of parameters for that process, right?"
305200,307260," What's the optimal combination of parameters for that process?"
307260,312260," We could just like literally experiment."
312260,318480," We could literally experiment and see like which one yields the best, but it's too fucking expensive, right?"
318480,320160," It's just too freaking expensive."
320160,325620," No one would literally allow you to waste money just to find the optimal thing."
325860,331320," So, what people were doing instead, they were making fewer experiments, right?"
331320,335000," Fewer experiments and each experiment would be like a point on a graph."
335000,339640," And then they would create a mathematical model that fits that data."
339640,347760," And using that mathematical model, they would predict what would be the best, you know, parameters for that specific model, right?"
347860,360380," So, and all of that was done hundreds of years ago, like maybe like more than 100 years ago, fucking manually, on a piece of paper, with a fucking pencil, with nerds like me, right?"
360380,364200," In glasses and anyway."
364740,369420," So, because there was no computers at the time, but people were doing that anyway."
369420,373380," These days, the same process is simply automated."
373380,375260," How is it automated?"
375260,377340," You just conduct a bunch of experiments."
377340,379540," You feed those experiments into the computer."
379540,383340," It just does automatic mathematical model and you've got the mathematical model."
383340,385400," You can do whatever the fuck you want with it."
385400,387920," And that's basically machinery, right?"
387920,394180," So, essentially, you have the data, how your model is supposed to, is expected to behave."
394560,397040," Then we just tweak around the model, right?"
397040,400260," Trying to see which model will fit that specific data."
400260,401340," And there you go."
401340,405040," So, that's basically, that's basically what it is."
405040,407800," Something that was made, right?"
407800,415140," Something that was made manually, long time ago, now is completely automatic, right?"
415140,419200," And today, I would like to explore, because here's an interesting thing."
419200,422520," I actually explained a very simple case."
423100,426240," A very, not really very simple case."
426240,430340," A very kind of like a mundane case, which is not probably interesting for anybody."
430340,435780," You would say, oh, machine learning is only applied to this, like, boring shit ass that nobody gives a fuck about."
435780,437080," What the fuck is a fair mythology?"
437080,438060," You're fucking crazy."
438060,440140," Who fucking needs all that shit except the nerds?"
440140,442200," I understand that, but here's an interesting thing."
442200,445040," You can model anything."
445040,448520," Literally anything."
448520,452460," For anything that you have a data, you can fucking model it."
452660,459340," One of the things you can model is basically the probability of the next word in a sentence."
460900,461540," Why not?"
461540,463720," You can make a mathematical model out of that."
463720,470420," So, you have a sentence, and you can make a huge mathematical model that tries to predict the next sentence, the next word in the sentence."
470420,473580," And then you can repeat the process, and you can get ChatGPT."
474040,484160," So, there is a direct connection with nerds sitting in a feral industrial plant and people in OpenAI creating ChatGPT."
484160,485420," They're using the same process."
485420,488160," They're literally using the same process, actually."
490580,497220," And this is what we're going to try to explore today."
497220,505080," We're going to try to just take that approach of, essentially, I want to model something, but I don't have a model."
505080,514140," Can we come up with an algorithm that, given how the model is supposed to behave, give me that actual model?"
514140,516980," Can we come up with something like that?"
516980,519040," We'll just explore that entire idea."
519040,525280," We're going to start with this very abstract idea and see where we can go, and see where we can go."
525280,528000," So, that's basically the plan for today's stream."
528000,529420," I hope it's going to be interesting."
529420,532680," So, we've got some subs, I suppose."
532680,535260," So, let me see what we've got."
535260,538840," So, thank you so much, the Redcore with Twitch Prime."
538840,539680," Thank you, thank you, thank you."
539680,544500," It was two days ago, but since Twitch shows me that, I want to acknowledge that."
545340,549260," Valini, thank you so much for 23 months of Tier 1 subscription."
549260,550220," Thank you, thank you, thank you."
550220,553700," FabioHBF, thank you so much for Tier 1 subscription."
553700,556680," OrmusBaxter, thank you so much for Twitch Prime."
556680,559520," AndrewZero, thank you so much for 1GiftedSubs."
559520,563800," And AkiXD underscore underscore, thank you so much for Twitch Prime subscription."
564340,570740," And AisLeo, thank you so much for wasting a shit ton of money to Jeffrey Bezos, because I'm not going to get any of that, ever."
570740,573360," But thank you so much for 100 community subs."
573360,578300," That just means that 100 people have an opportunity to speak in our Discord server."
578300,582920," Right, because once you get subbed, you actually can talk in a Discord server."
583040,589020," So now 100 more people can say something there, right, and maybe have a beautiful time."
589020,598420," Because a lot of people say who have a voice in our Discord server that our Discord server is actually quite pleasant to talk in."
598420,599740," Because it's very calm."
599740,604800," Because it's closed, actually, it's not as crazy as other Discord servers, right?"
605020,609140," So it's actually very, like, very much isolated its own cultural bubble."
609140,611800," And that's what makes it sort of nice, right?"
611800,612620," Because it's closed."
612620,615820," But now 100 people can experience that."
615820,616920," Thank you."
616920,622780," Thank you so much for wasting so much money, but making 100 people, you know, more happy."
622780,623340," Hopefully."
623340,623980," I don't know."
623980,624480," We'll see."
624480,626320," It depends."
626320,628560," But you can also use emotes now as well."
628560,634440," So anyway, let's take a look."
635780,640300," So there was a very interesting example that I actually saw some time ago."
640300,647240," I would like to credit the author of that example, but I can't really seem to find that."
647240,655640," But just keep in mind that this example of machine learning, or rather, hello world of machine learning, I didn't come up with that example myself, right?"
655640,656820," So just keep that in mind."
656820,658520," So let's create a C program."
658520,660080," We're going to be using C, by the way, right?"
660080,664320," We're not going to use any fancy frameworks or any libraries or anything like that."
664600,666240," We don't really need that for now."
666240,668400," We're only learning the principles."
668400,669860," Right."
669860,672520," So we're going to start like from fundamentals."
672520,674560," Like it's a very much fundamental stream."
674560,679180," We're going to use libc and just C, at least for now."
679180,679720," Right."
679800,681420," So we're not going to use anything else."
681420,684000," Actually, we're going to also use libmath, right?"
684000,687100," Because we're going to use some of the mathematical functions, but we'll see."
687100,688800," We'll see how it goes."
688800,690460," I'm going to start with the hello world."
690460,691260," All right."
691260,692580," We're going to start with the hello world."
694220,694580," Okay."
694580,695640," So I'm going to return zero."
695640,700320," And I'm going to say something like, hello, seaman."
700320,701680," Right."
703140,711300," And let me maybe create a build.sh, build.sh, which is going to build the event."
712780,719840," So bnsh and let's use clang and let's compile it down to an executable."
719840,725580," So I probably also want to enable all the warnings and all of the extra warnings just in case."
726380,729760," And I'm going to make this entire thing executable."
729760,731880," So let's actually run it."
