start,end,text
480,5680," looks like we're live hello everyone and welcome to yet another azuzin session"
5680,13840," so let's make a little announcement and uh fisheries today hello hello welcome welcome welcome"
13840,21840," so uh let's do the usual uh red circle live on twitch and what are we doing today on twitch dot"
21840,28160," at television website uh that's a very very important question of today today we're doing"
28160,32720," typescript computer science that's exactly what we're doing today i'm going to be building to the"
32720,39360," place where we're doing all that uh twitch.tv slash sorting and i'm going to ping everyone who's"
39360,45360," interested in being pinged and there we go the stream has officially started so today we're going"
45360,51440," to continue working on uh autocell the project that we started like a couple of streams ago"
51440,56960," uh right so you can find the source code in here i'm going to copy paste it in the chat um right for"
56960,61920," people on twitch and for people who's watching on youtube it's going to be in the description right"
61920,69440," so basically here we are experimenting with cellular automata uh right and essentially what we are"
69440,75440," trying to do we're trying to take like a conveys game of life style uh cellular automata which uses"
75440,82400," like a moore's neighborhood for uh you know computing the next state of the cell and we're trying to"
82400,90080," generalize this kind of automata uh by introducing the transition table right so instead of like um"
90080,96560," describing cellular automata with the code with if conditions and switch cases and stuff like that"
96560,102000," we introduced um a transition table and that way we can actually uh sort of describe"
103280,110080," uh the cell automata without um writing any actual code like purely with the data of transition table"
110080,115520," so and uh we've already done that right so on one of the previous streams so we can take a look at that"
115520,120720," uh outer cell uh right i'm gonna just rebuild the entire thing just in case we're using typescript for"
120720,127600," all of that right we're using typescript and uh let me start the python web server and that's the web server"
127600,133840," that i use these days even though uh for the for the topic of today's stream it would be actually better"
133840,141120," to use some um some built-in node.js http server right because we're using node.js so it would be"
141120,147200," sort of like on on the theme of of the stream right but i kind of get used to using uh python instead"
147200,152640," because it's just like this is just in my muscle memory uh let's go into the local host i suppose i need"
152640,160880," to refresh we were doing some experiments uh that we'll get into a little bit later right so here i"
160880,169680," suppose uh we just have a setup uh conveys game of life right if we go into the source code there should"
169680,177280," be current uh current automaton yeah actually it's not uh conveys game of life all right it's something"
177280,182240," else so it's actually set it to a game of life all right and it'll have to re rebuild this entire"
182240,190480," thing just in case uh all right i'll have to rebuild just in case so i'm gonna refresh this entire thing"
190480,196480," hopefully uh it is going to be a correct thing so with my chromium you never know if it cached"
196480,201440," the thing or didn't properly cache so i have to first open the dev tools to make sure that it"
201440,206800," doesn't cache anything and i'm gonna put uh some sort of a glider in here right i'm gonna put some sort"
206800,213840," of a gliding here and uh there you go it is a gliding it is a sliding right so and then it should"
213840,218000," be super easy to switch to a different cellular automaton if you take a look at the definition of"
218000,224480," goal it's literally like a json uh thing like it's an array of objects and stuff like that and it describes"
224480,232160," the transitions uh of different states right so uh we have other other things in here so let me take a look"
232160,237760," look so we have a seeds cellular automaton right it's a similar to game of life cellular automaton"
237760,242880," but it's different it's actually way simpler uh right if we take a look at the definitions right it's way"
242880,250480," simpler than game of life right so it basically expects only two alive neighboring cells and it becomes"
250480,256560," alive and if it's alive it just becomes dead so it's a very simple one uh right so let's actually"
256560,265280," recompile this entire thing uh all right all right all right and i'm gonna refresh this entire thing"
265280,273520," and uh let me let me see right so and the the cool thing about seeds is that it's sort of like"
