start,end,text
320,5760," Hello everyone and welcome to yet another recreational programming session. How about"
5760,11280," that? So today we're going to continue developing Musualizer, which is music visualizer that we"
11280,16800," started to develop like a couple of sessions ago, right? So, so far what we have is just a simple"
16800,23040," console application, right? So, Musualizer. And if you supply a music file to this entire thing,"
23040,30320," it starts playing it and also visualizing the frequencies of the song, right? So, this is how"
30320,34960," basically it looks like. So, we can hear the song playing, so I'm not going to actually adjust the"
34960,41040," volume. And as you can see, we are doing FFT on the frequencies constantly and we're trying to visualize"
41040,47760," those frequencies like an equalizer style thing, right? So, right now it looks kind of boring and"
47760,52000," this is because we didn't spend too much time like making it paradier or interesting"
52640,56800," and stuff like that. So, but we're going to get to that at some point. So, one of the things we"
56800,61840," implemented recently is we implemented hot reloading because this is a creative application. This is"
61840,67760," multimedia application. And to be able to create something interesting visually, you need to quickly"
67760,73920," iterate on that thing without stopping the application. Right. So, and this is precisely what"
73920,80320," we did. So, let me actually start the Musualizer slightly differently so I can demonstrate you what I mean."
81440,88880," Right. So, there we go. So, here we go. It's playing. Just a second. One more time. Okay. Now we're"
88880,95680," talking. So, I'm going to go to the logic of this entire stuff and now I can adjust the code, right?"
95680,102320," I can change the color of this entire thing. And then if I recompile this entire stuff, I can then just"
102320,108800," reload. And as you can see, it doesn't stop the application. Right. And the way it works is the logic of"
108800,116560," the application is actually located in a separate DLL file, right? On Linux it's called SO, but it's"
116560,122880," basically DLL, right? It's a Linux DLL. So, we have the main loop of the application in the executable,"
122880,129840," in the main executable and the logic in this so-called plugin, right? So, and there's a couple of problems"
129840,136880," with this kind of approach right now, right? So, the way we implemented it, right, is that essentially"
136880,144480," we have some functions in this separate SO file in the separate DLL. And then in the main application,"
144480,151440," we have a bunch of global variables that store the pointers to those functions. And then we have a special"
151440,158560," function that basically just loads them one by one using DLL open of Linux. DLL open is essentially a"
158560,164000," library that allows you to load up dynamic libraries at runtime and just search for symbols within those"
164000,172560," libraries and just like call to the symbols of their functions. Right. So, the first problem that I see is"
172560,179120," that we have a lot of duplicate code, right? So, essentially, first of all, what we do, we have a"
179120,187040," header plug, a plug dot header, and we have signatures of the functions that we have in that plugin, right?"
187040,195440," So, we define them as type devs. So, then in the main application, we have to create a variable with that"
195440,202480," type, right? So, we already have to put a name of the function in one place, and then we have"
202480,210000," to put it in another place, and then we have to not forget to modify a reload the plug function, right?"
210000,215280," And actually load this entire thing. And if you take a look at how many in how many places we have to"
215280,221040," mention the function name, we have to mention it in four different places, right? So, you just want"
221040,227600," to add one single thing, and you have to modify so many places. It's just like it's too much. It's like"
227600,234320," there's too many places to make a mistake at. Is that even in English? I don't know. So, but you get"
234320,239920," the point, right? And on top of that, since it's C, you also have to put implementation in here, right? So,"
239920,245920," you put implementation in a C file, then you put the declaration in the header, and then you also need to"
245920,253840," add some loading code. There is just too many places you can make a mistake, right? So, and I want to"
253840,259600," tackle that problem today. But this is only one problem. Another problem is edit complexity, right?"
259600,265520," Because this hot reloading is not really needed for the end user. It's only needed for the developer,"
265520,272400," right? So, for the end user, it would be nice to have an option to actually not create this separate"
272400,277440," DLL and just link everything together, right? You know what I mean, right? Because it's just like"
277440,284640," two different components, right? And also additional code that loads up that DLL and stuff like that is"
284640,292000," just like too much, right? So, the second problem I would like to tackle is essentially create the build"
292000,298400," option that allows us to basically link everything together, right? So, that's basically the plan for"
298400,305200," today's session. Right? So, let's try to actually, you know, do that. So, if you like the music that"
305200,311120," played right now, check out the description, the author of that music is in there. All right. So,"
311120,319120," let me see what do we have in here, right? So, the first thing we can notice is"
320480,328720," essentially there is sort of like a list of all of these methods of the plugin, right? And there is"
328720,335280," another list of the same methods, but it's just like it's doing a different thing."
335280,343040," It would be kind of nice to have like a global centralized list of all of the methods of the"
343040,349360," plugin. And in both of the places we could iterate that list. So, we don't have to create this sort of"
349360,355040," duplication. So, in here it would be relatively straightforward. We could just like take this"
355040,360720," entire thing and put it in a sort of like a for loop, right? So, if we did something like"
361520,374400," for size t array len methods plus plus i. And then instead of like doing this kind of stuff, like"
374400,382960," we would just put that in the body. All right. And in here we would do something like methods"
382960,390560," i name and so on and so forth, right? It kind of works for this specific code for loading the methods,"
390560,399520," but having a list doesn't really work in here, right? Because here we can't really iterate"
399520,406400," anything. We can't really put a declaration of a variable in a loop, right? What we need to do here,"
406400,415120," we need to generate code at compile time, right? So, we need a compile time list of methods and then"
415120,421360," having that compile time list of methods, we need to generate like these variable declarations."
421360,428960," That's what we need to do. And it's like a difficult problem in C. But there is a very interesting"
428960,433840," technique that can allow you to do that, right? And it's a really weird technique, not that many people"
433840,440080," are aware with, especially even C programmers, right? Even C, C++ programmers are not really aware of that"
440080,447200," technique, but it's really useful for this kind of stuff, right? And that technique is actually called X macros,"
447200,451040," right? If you google up, you'll find a Wikipedia article"
451920,459600," that actually describes this particular technique. So, X macro. I hope that's the right article."
459600,467120," So, this is how it looks like, right? So, this is the main X macro. It's actually, yeah, so you define a"
467120,476080," macro that defines a list of things, right? And within that macro, you actually call X to each individual"
476080,486640," value, but X is not defined. X is not defined. You define it later however you want. So, it acts like a"
486640,494320," template. So, here it defines just an iteration over a fixed list of values. But what exactly you do on"
494320,500480," that iteration, you define later. So, when you're about to use this thing, you define what to do with"
500480,507520," each element of this list. Then you put this thing in here, effectively expanding this entire thing and"
507520,514320," applying this specific X to each individual value. And then you undify that X. And even in here, like"
514320,520560," this example is declaration of variables, like exactly our case. We opened Wikipedia and this is"
520560,526480," exactly our case. Right. It's a very interesting technique. Like I really recommend to like learn it."
526480,531360," And I'm also going to demonstrate how to use that. So, let's actually go to the description and I'm going"
531360,540240," to put X macro. Right. So, here we go. So, let's go ahead and try to do that. So, I'm going to"
541040,550880," maybe define that list in the plug.h closer to where we define all of these things. It would be also kind"
550880,558160," of nice. You know what? Ah, it's probably not going to work. Right. I was thinking maybe we can use X"
558160,563680," macros to define this list as well. But this list is actually kind of unique because you also have like"
563680,570320," these sort of signatures. Right. So, you can't really abstract these arguments away. So, we're still going"
570320,576080," to have a little bit of a duplication. But my hope is to like dramatically reduce the amount of duplication."
576080,584160," Right. So, anyway, let's actually define something like a list of plugs. Let's call them plugs."
584160,590320," Right. And essentially, let's actually define all of the plugs that we have in there."
592480,598720," So, just a second. PlugInit. So, this is the first one. And what's going to be the X macro?"
598720,607680," Macro. Right. We can just call it X or we can call it, you know, plug. Right. So, we don't have to use"
607680,613360," the same naming convention. Right. We can use whatever. So, what's important is the idea. Right."
614240,621600," The idea is more important than the convention. So, here we have pre-reload. And then here we have"
621600,627120," post-reload. So, this is another method. And update. So, there we go. So, I think, yeah. So, let's"
627120,631600," actually define hello as well. Hello is just like one of these methods that we defined for testing. I"
631600,637520," should probably remove it. But it's just like it sticks around for whatever reason. Okay. So, we defined"
637520,641680," a list of the plugins. Right. We defined the list of the plugins. And let's actually go here."
642320,651920," And now we can define this as the plug macro. Right. So, let's define plug. It accepts the name."
651920,659600," And what we have to do, we have to replace plug hello with the name. So, specifically here, it is not"
659600,665600," going to work because it's recognized as a single token that is not equal to name. So, to indicate that"
665600,670800," we want to sort of like concatenate the token that is passed through the name with underscore"
670800,675120," t suffix. The suffix, we have to do something like this. Right. So, this is sort of like a simple"
675120,683600," process or way of indicating that. And then what we have to do, we have to just call to list of plugs."
683600,691680," All right. And then we undefine the plug. There you go. This simple thing replaces that"
693040,699120," hand coded list. Hard coded list. Right. It's also hand coded because we did that with our hands. We could"
699120,707840," try to do that with our legs, but I decided to do that with my hands today. Anyway. So, if we try to"
707840,714720," compile this into, I think, I wonder if it's going to work or is it going to crash with some stuff. So,"
714720,720640," I accidentally removed a global variable that stores the state of the plugin. Right. So, I also had this"
720640,728800," sort of a variable plug and I accidentally removed it. So, a little bit of a casualties of removing the"
728800,736240," code, but it compiles at the end. It does, in fact, compiles at the end and we can try to play it and see"
736240,744960," if it's still working. Right. It's supposed to work. Does it reload? So, it's supposed to reload. I think"
744960,750400," there's like, there's no reason for this thing to fail. All right. So, I'm going to make it blue now."
750400,758320," So, let's try to recompile. I mean, I didn't want to do that. And something... Oh, is that because I"
758320,766160," I didn't even build it yet. Right. And now it works as usual. So, it will be kind of interesting to"
766160,773280," actually see how this entire thing works. Right. So, the thing is that we can run C preprocessors"
773280,780240," separately. So, essentially, let's create a separate file full.c and let's go to plug.h"
780240,786000," and copy this entire thing in here. Right. So, we're literally copying this entire thing in here."
786000,791040," And then, in the mutualizer, we're going to copy this entire thing in here as well."
791040,795840," Right. So, this is the file. And we can apply preprocessor to this file without actually compiling"
795840,802880," it. Right. So, to call preprocessors separately from the C compiler, you use CPP. Right. So, CPP is just"
802880,810320," the C preprocessor. And we're going to apply full.c on it. And there we go. So, here is the declaration of"
810320,815920," all of the variables. So, there's no new lines in there. And that's actually fine. Right."
815920,822800," So, the C compiler won't care. But maybe, can we actually make it add a new line? Maybe this is"
822800,827200," what we have to do. Maybe we have to escape this entire thing and put a new line in here. Maybe that"
827200,831280," will create. No, it doesn't really create it. But it doesn't really matter. Right. Because"
831280,838320," they're separated by semicolons. So, everything should work fine. Right. And in the future, you want to add"
838320,847360," another thing in here. Right. So, something like foo, bar, foo and the bar, it will automatically declare"
847360,854640," these variables as well. Right. So, essentially, here with the list, you define the list of things to"
854640,861200," iterate. And you also apply sort of like an iterator with which you're going to be iterating these items."
861200,868320," And then, afterwards, you define the iterator. And then, you expand this list effectively like applying"
868320,872400," plug to each individual thing in here. And then, you undefine it because you may want to do"
872400,878800," something else with that later. Right. So, because you're going to be doing this construction in several"
878800,887280," places. So, that's basically how X macros work. Okay. So, we sort of like compressed a little bit of a"
887280,893760," duplication in one place. And another place where I would like to compress all that is in here. Right."
893760,900720," So, in here, let me actually separate the old code that I plan to remove. We can put this entire thing"
900720,907360," under the plug macro as well. Let's actually try to do that. So, this is going to plug name. So, this is"
907360,916880," the new line. And everywhere we mention plug hello, we have to probably use name. So, here is an interesting"
916880,922800," thing. We need to refer to name as a string literal. And in a C preprocessor, there is a trick. You can"
922800,929120," take the argument and you can put hash in front of it and it will turn it into a string literal. So,"
929120,935760," yeah. So, we don't even have to define this string literal separately. So, it will just work"
935760,942160," automatically. And in here, it would be probably nice to maybe accept s and put name as a string literal"
942160,949360," again. So, and let's also escape all of these things like so. Right. Maybe we want to indent"
949360,955280," this entire thing a little bit. So, it's going to be like that. Boom. And then I do list of plugs."
955280,961840," And then I undefined the plug. And that basically gets rid of this entire code."
963440,971920," That should be it, believe it or not. That should be it. So, that's pretty cool. So, that's how much we"
