start,end,text
0,6180," Hello everyone and welcome to yet another recreational programming session with Ahu Amista"
6180,13300," Azuzin. So today I wanted to take a look at SDL 3. Right, so for those who doesn't know, SDL is a"
13300,18700," simple direct media layer, right, so it's a cross-platform library for multimedia applications,"
18700,25120," right, so it's basically what it says in the name, right, so the kind of the goal of SDL is to"
25120,30040," abstract away everything that is related to multimedia, right, so for example creating a"
30040,36960," window, doing graphics and stuff like that, processing the input and doing the sound and"
36960,43440," like everything you need for a multimedia application, right, and what's interesting is that"
43440,51280," on the graphical part, it's actually rather limited, right, because it's trying to be cross-platform,"
51280,58320," so it has to work on Windows, it has to work on Linux, it has to work on macOS, it works on pretty"
58320,63920," much all of the POSIX operating system, like it supports a lot of different platforms, right, and"
63920,71380," because of that, by itself, it cannot do more than the intersection of all these platforms, right, so"
71380,77320," and because of that, in terms of graphics, it's very limited. To be fair, SDL 2, which is the main sort of"
77320,85320," like a primary version of SDL, is so limited that nobody really uses SDL, like the SDL capabilities for"
85320,93960," graphics, everyone's just using SDL as a glorified OpenGL initializer, and people just use OpenGL instead,"
93960,102280," right, so essentially people just use it as a GLFW replacement, which GLFW by itself was designed to be just"
102280,109800," the OpenGL initializing, so yeah, but I mean, on top of just initializing OpenGL, it's really great for,"
109800,116040," again, the other things like input, sound, I think it even has networking capabilities, like I don't"
116040,120040," remember, it supports a lot of things, it's basically like everything that you need to make a game,"
120040,125960," but it's not an engine, right, so it's not an engine, this is something that should build your engine on top,"
125960,132840," In fact, as far as I know, I think Unreal Engine uses SDL, right, so it just initializes the window and graphic"
132840,139720," and OpenGL and whatnot with the SDL, but I might be wrong on that, right, so I never used Unreal Engine,"
139720,146680," I know nothing about Unreal Engine. So anyway, recently, for quite some time actually, not recently,"
146680,153960," for quite some time, the developers of SDL were working on SDL 3, right, so the main version was SDL 2,"
153960,161480," and now they're working on SDL 3, and it's not out yet, so it's sort of like in a pre-release,"
161480,168440," in a pre-release state, and it's been like that for quite some time already, and I'm actually patiently"
168440,175160," waiting until it comes out, I'm not sure if it will come out before Half-Life 3, but eventually it will"
175160,185480," come out. SDL 3, Half-Life 3, is SDL developed by Valve or something? Anyway, so yeah, even RayLib, as of"
185480,193000," recently, actually started to support SDL as one of the backends, right, RayLib actually uses, can use"
