start,end,text
960,6400," looks like we're live hello everyone and welcome to yet another recreational programming session"
6400,13920," uh let's make a little bit of an announcement and officially study stream as usual um as usual"
13920,21360," as usual red circle uh live on twitch and what are we doing today on twitch"
21360,28880," adote television website today we are learning uh fortran uh and i'm gonna give the link to twitch.tv"
28880,36640," and i'm gonna ping everyone uh who's interested in being pinked and there we go the stream has"
36640,43600," officially started how about that uh how about that so what we're gonna do today today we're gonna learn"
43600,49440," uh fortran and the reason why we are learning fortune today is because it is kind of related"
49440,54640," to the deep learning framework that we've been developing for quite some time for two months"
54640,62560," already so as i can see in the in github right so two months so uh essentially what i want to do i"
62560,69200," want to be able to use the libraries such libraries as bless uh right so have you guys heard about bless"
69200,77680," it doesn't okay bless and le pack le pack so the original sort of like reference implementations of"
77680,83600," these libraries are in fortran unfortunately like this website actually blocks my ip right so i won't"
83600,88160," be able to go there but maybe i'll just like pre-download this library for for the next stream"
88160,94240," and stuff like that so and to be able to effectively use this kind of libraries i think it is kind of"
94240,102080," important to at least be familiar with a fortran programming language right so and that's basically the"
102080,107600," goal for today just learning a little bit of a fortran so i don't remember if i ever programmed in fortran"
107600,119120," so yeah so here's the thing um people keep asking me how many languages do you know right so i tried so"
119120,128000," many languages that i don't remember if i ever tried fortran or not like that's how many of them i uh i tried"
128000,134000," like i just like i don't remember seriously like i i tried too many of them it's just like because"
134000,141520," languages are the same right so they basically rehash and um the same ideas and reuse the same ideas so i"
141520,146880," don't really see much difference between them uh so i don't remember i think i did something maybe for"
146880,152480," advent of code i think i think i did something for advent of code but apart from that i don't remember doing"
152480,157920," anything super serious in that language right so and i certainly do not remember anything from that language"
157920,164480," that's for sure so yeah let's go ahead and try to maybe write hello world right uh write hello world"
164480,171680," uh so let's go so the usual thing that you do when you learn any language you write a hello"
171680,179200," a world or hello seaman as we like to do that fortran so i'm going to create a fortran and uh what's the"
180480,188160," extension of fortran i think uh let's actually go to wikipedia uh fortran uh fortran w"
188160,196080," so usually they give you the oh it's f oh okay i can't remember that there's also four"
196080,204640," f90 is there f69 that would be actually nice if it was f69 so okay main.f so it already automatically"
204640,210320," recognized that it's a fortran uh okay that's cool uh you know what i'm gonna do i'm gonna just like save"
210320,217280," this entire thing and i'm gonna try to compile if i remember correctly um so the one of the like open"
217280,224400," source uh compiler for fortran is gnu fortran or g fortran uh so and this is probably what we're going"
224400,229520," to use today right i know i know that there are several implementations of this compiler uh but i'm"
229520,234880," going to use the one that's available on my machine uh so let's go ahead and just try to compile this"
234880,242400," center i think main dot f and see what it is going to tell us if we just feed it an empty file all right"
242400,249440," so undefined reference main that's actually very cool so it already yeah that's funny an empty program"
249440,257440," in fortran compiled but didn't link it compiled but didn't link this is actually kind of interesting so if"
257440,263040," i try to do the same thing with c is it going to be the same uh the same situation uh why did it save it"
263040,268000," sometimes i just press something that makes it save the compilation buffer i don't know really i don't"
268000,275680," really know why so if i like literally create an mtc file and just do gcc main dot c uh it's kind of the"
275680,284800," same situation um never thought about that actually never thought about it because people rarely try to"
284800,292800," compile and empty files right so usually it doesn't make sense um so i suppose we need to create a"
292800,298800," procedure right we need to create a procedure but i don't really know how to do that okay so this is a"
298800,305440," very old fortran i suppose simple fortran 2 program and i'm pretty sure this kind of thing is not going"
305440,313280," to work anymore uh i actually wonder if i just like literally look at this uh emacs actually still compiles"
313280,318400," i mean highlights this entire thing but this looks like very freaking old right so it reminds me like"
318400,327120," this basic style um references or labels where you just like write number as a label so then later you can"
327120,332160," go to uh to one of these labels but i don't think they're actually going to to any of the labels but"
332160,338240," yeah it's actually quite surprised that emacs recognizes all that and i wonder if fortran will"
338240,344160," be able to do that as well let's actually try to compile the same oh yeah it cannot compile very old"
344160,350480," fortran right it cannot compile very old though emacs does recognize this kind of thing um all right"
351760,358960," so uh let's go and recreate this thing one more time uh and see how do you create a procedure"
358960,369360," uh so so this is this kind of stuff oh that's literally hello world you have to create a program"
369360,375840," hello it's it's almost like a pascal uh it's almost like a pascal uh so let's go ahead and"
376640,383680," revert this entire thing right so i have to say program uh hello let's actually call it main and"
383680,391200," then you have to say end program and emacs does not automatically indented uh but what if i put my"
391200,401600," it doesn't automatically indent it so i have to do that which is wait a second okay what one two three four"
401600,410480," five okay the letter e has a special meaning if it has five spaces in front of it"
410480,422720," i don't know if it has anything to do with like an actual fortran or is this this is just like a bug"
422720,430240," of the syntax uh but this is kind of fun right uh i wonder if i can just like try to compile this entire"
430240,437840," thing is it going to work um so okay non-numeric character in a statement label one"
437840,445680," huh so there is some sort of like an implicit label one in here and you have a non-numeric character"
445680,453600," which is a suppose new line what if i put new line in here right what if i put new line in here"
454160,463440," and uh is it still go yeah it seems to be uh what if i put number in did you notice that wait wait a second"
463440,472560," i put my uh cursor in here and i just press one and this is what it does"
