start,end,text
0,29980," We'll be right back."
30000,59980," We'll be right back."
60000,89980," We'll be right back."
90000,119980," We'll be right back."
120000,149980," We'll be right back."
150000,179980," We'll be right back."
180000,209980," We'll be right back."
210000,239980," We'll be right back."
240000,269980," We'll be right back."
270000,299980," We'll be right back."
300000,329980," We'll be right back."
330000,359980," We'll be right back."
360000,389980," We'll be right back."
390000,419980," We'll be right back."
420000,449980," We'll be right back."
450000,479980," We'll be right back."
480000,509980," We'll be right back."
510000,539980," We'll be right back."
540000,569980," We'll be right back."
570000,599980," We'll be right back."
600000,629980," We'll be right back."
629980,659960," We'll be right back."
659960,689940," We'll be right back."
689940,719920," We'll be right back."
719920,749900," Yeah, so I'm going to be right back."
749900,779880," We'll be right back."
779880,809860," We'll be right back."
809860,839840," We'll be right back."
839840,869820," We'll be right back."
869820,899800," We'll be right back."
899800,929780," We'll be right back."
929780,959760," I see."
959760,989740," We're right back."
989740,1019720," We'll be right back."
1019720,1049700," We'll be right back."
1049700,1079680," We'll be right back."
1079680,1109660," We'll be right back."
1109660,1139640," We'll be right back."
1139640,1169620," We'll be right back."
1169620,1199600," We'll be right back."
1199600,1229580," We'll be right back."
1229580,1259560," We'll be right back."
1259560,1289540," We'll be right back."
1289540,1319520," We'll be right back."
1319520,1349500," We'll be right back."
1349500,1379480," We'll be right back."
1379480,1409460," We'll be right back."
1409460,1439440," We'll be right back."
1439440,1469420," We'll be right back."
1469420,1499400," We'll be right back."
1499400,1529380," We'll be right back."
1529380,1559360," We'll be right back."
1559360,1589340," We'll be right back."
1589340,1619320," We'll be right back."
1619320,1649300," We'll be right back."
1649300,1679280," We'll be right back."
1679280,1709260," We'll be right back."
1709260,1739240," We'll be right back."
1739240,1769220," We'll be right back."
1769220,1799200," We'll be right back."
1799200,1829180," We'll be right back."
1829180,1859160," We'll be right back."
1859160,1889140," We'll be right back."
1889140,1919120," We'll be right back."
1919120,1949100," We'll be right back."
1949100,1979080," We'll be right back."
1979080,2009060," We'll be right back."
2009060,2039040," We'll be right back."
2039040,2069020," We'll be right back."
2069020,2099000," We'll be right back."
2099000,2128980," We'll be right back."
2128980,2158960," We'll be right back."
2158960,2188940," We'll be right back."
2188940,2218920," We'll be right back."
2218920,2248900," We'll be right back."
2248900,2278880," All right."
2278880,2308860," We'll be right back."
2308860,2338840," We'll be right back."
2338840,2368820," We'll be right back."
2368820,2398800," We'll be right back."
2398800,2428780," We'll be right back."
2428780,2458760," We'll be right back."
2458760,2488740," We'll be right back."
2488740,2518720," We'll be right back."
2518720,2548700," We'll be right back."
2548700,2578680," We'll be right back."
2578680,2608660," We'll be right back."
2608660,2638640," We'll be right back."
2638640,2668620," We'll be right back."
2668620,2698600," We'll be right back."
2698600,2728580," We'll be right back."
2728580,2758560," We'll be right back."
2758560,2788540," We'll be right back."
2788540,2818520," We'll be right back."
2818520,2848500," We'll be right back."
2848500,2878480," We'll be right back."
2878480,2908460," We'll be right back."
2908460,2938440," We'll be right back."
2938440,2968420," We'll be right back."
2968420,2998400," We'll be right back."
2998400,3028380," We'll be right back."
3028380,3058360," We'll be right back."
3058360,3088340," We'll be right back."
3088340,3118320," We'll be right back."
3118320,3148300," We'll be right back."
3148300,3178280," We'll be right back."
3178280,3208260," We'll be right back."
3208260,3238240," We'll be right back."
3238240,3268220," We'll be right back."
3268220,3298200," We'll be right back."
3298200,3328180," We'll be right back."
3328180,3358160," We'll be right back."
3358160,3388140," We'll be right back."
3388140,3418120," We'll be right back."
3418120,3448100," We'll be right back."
3448100,3478080," Okay, I get the gist."
3478080,3508060," We'll be right back."
3508060,3538040," We'll be right back."
3538040,3568020," We'll be right back."
3568020,3598000," We'll be right back."
3598000,3627980," So, we'll be right back."
3627980,3657960," We'll be right back."
3657960,3687940," We'll be right back."
3687940,3717920," Okay, so we'll be right back."
3717920,3747900," We'll be right back."
3747900,3777880," We'll be right back."
3777880,3807860," We'll be right back."
3807860,3837840," We'll be right back."
3837840,3867820," We'll be right back."
3867820,3897800," We'll be right back."
3897800,3927780," We'll be right back."
3927780,3957760," We'll be right back."
3957760,3987740," We'll be right back."
3987740,4017720," We'll be right back."
4017720,4047700," We'll be right back."
4047700,4077680," Okay, okay."
4077680,4107660," We'll be right back."
4107660,4137640," We'll be right back."
4137640,4167620," We'll be right back."
