start,end,text
0,5100," Hello everyone and welcome to yet another recreational programming session with Mr. Zozin."
5100,11020," So today we're going to continue developing our programming animation engine that we started to"
11020,17140," develop I think three streams ago. Right, so and the topic of today's stream is I think engine in"
17140,23460," C. Right, which sounds kind of kind of awesome. Right, and that's basically what I developed while"
23460,29400," trying to come up with a good paradigm for describing animations. So right now the current"
29400,33740," animation that I have as sort of like an example and also as animation I'm going to be using in my"
33740,39760," YouTube video. Right, so it's an animation of a Turing machine. So let's take a look at this entire"
39760,42940," thing. So I'm going to just start this entire animation. There we go. So this is how it looks"
42940,48420," like. Right, as you can see you can see doing different things. It's like modifying stuff and"
48420,53180," stuff like that. Right, so it changes the scenes and trying different programs. There's a lot of"
53180,57800," different stuff going on in here. Right, so and the cool part of that engine is that then you can go"
57800,62140," ahead and render a video out of this thing. Right, so it basically will start rendering the video and it"
62140,67520," will start piping it into FF unpack and rendering and stuff like that. So I'm going to actually cancel"
67520,77020," that. Right, so but the question is how do you describe these complicated animations in a very"
77020,82640," effective way in such an imperative language like C. Right, and initially what I was thinking about,"
82640,89320," I was thinking about some sort of like a keyframe system where I have just basically a structure like"
89320,95320," a keyframe. So let me actually go, where's my Emacs? Emacs is not even open. Well, Emacs is open. I just"
95320,100720," confused it with the term. Just a second, just a second. There we go. So everything is fine."
100720,106040," I'm going to switch to sim mode. Right, so essentially you have a system of keywords,"
106620,112880," keyframes. Right, so this is a keyframe and essentially what they hold, they hold begin value"
112880,118480," and the end value. Let's actually call it something like begin and end and maybe some sort of like"
118480,125100," interpolator between these two values. And essentially I would have like an array of keyframes and I'm going"
125100,130840," to have a system that interpolates from one value to another one and then I'm going to use that value"
130840,137360," somehow in somewhere. Right, to animate some things. That didn't really work out that great."
137360,144520," And what they came up instead, I came up with a system of actions. Right, so let me actually show you"
144520,150240," like how a script for this specific animation looks like. Right, because that animation is probably"
150240,156440," described somewhere in the code. Right, so how is it described? So let's actually take a look at it."
156440,166780," So it's going to be plug. So I think it's called tm.c. Right, and where is the animation? So it's"
166780,174620," something like action. There we go. So this is how it looks like. Like everything you saw on the screen"
174620,184520," in here, like everything you see in here is each individual action like this. Right, and here I specify"
184520,191480," the kind of action. Right, so I specify the kind of action. Where is the action intro? And I have these"
191480,198060," kind of actions. I have these kind of actions. Right, and then I just like put them in some sort of array"
198060,206080," of actions and I execute them. Where is this? There we go. So I also specify a parameter and stuff like that."
206080,212840," I can modify some of these things. Right, so for example, maybe I can command out everything from here."
212840,219320," Right, so we're going to have only an intro. Right, so and let's actually do something like, I don't know,"
219320,227580," action. Right, right. So and that essentially writes a thing into a cell. Right, so we can say your."
227580,236160," Right, so then we can move to, for instance, a direction. Right, right. So we can say your mom"
236800,244640," or something like that. Maybe even just stay in here. Then after that we can wait for one second. Right,"
244640,251960," so we can wait for one second and then we can go into the outro. So we can just go like fade out. As far"
251960,256940," as I know, outro doesn't really accept any parameters in here. So we can just leave it as it is. So afterwards,"
256940,263640," I can try to recompile this entire thing. Right, so and then I can just hot reload the entire stuff and refresh"
263640,271000," the whole thing. There we go. So and then it goes away. I can restart it again."
273500,284460," So you can do things like that. And you can describe different scripts out of these like simple building blocks."
284460,290640," Out of these simple building blocks. But what's interesting is that execution of a simple building block"
290640,299580," is not really just calling a function. It happens over several frames because playing a certain animation,"
299580,305740," a certain action is actually interpolating over a certain amount of time. So these actions,"
305740,312620," they're more like promises. They're more like tasks. That's what they are. They're more like tasks."
312620,319660," And to be fair, I feel like this particular framework of thinking is extremely useful that I probably want to"
319660,326700," develop it into a general mechanism of panim. Right, so there will be some sort of like a sync engine"
326700,333260," where you can define your own custom actions and there will be some sort of like a code in event loop"
333260,339100," that basically schedules these actions. Right, so we need some sort of a scheduler of these actions."
339100,345580," So they're just like coroutines probably. Honestly, I hear the word coroutines and goroutines like quite"
345580,350940," often these days, but I don't know exactly what they mean. Right, don't really know exactly what they mean."
351580,357980," But I know how to write asynchronous code. Right, so in C specifically, when you have an event loop,"
357980,363100," right, so you have asynchronous tasks and you have array of this task and you just like asynchronously"
363100,367660," checking once in a while this task or maybe calling something or maybe scheduling and stuff like that."
367660,373980," People came up with all sorts of fancy names. I'm not really proficient in fancy names. I'm just a"
373980,381580," a simple programmer who writes code, who solves problems. Right, so this is basically what I wanted"
381580,387420," to try to do today to develop like a more general mechanism of defining these actions and maybe along"
387420,391260," the way we're going to create some sort of interesting animation using all of that. Right,"
391260,401100," sounds good, sounds good, sounds maybe Atamaguchi. Let's go. So let me maybe change, basically revert"
401100,407100," all these changes that I made in here. And so the framework is actually general enough, right, so that"
407100,413980," you can have different custom animations. So when I run the animation, so I can't just run it like this,"
413980,421020," because it will tell me that you have to provide an animation. So the Turing machine animation is"
421020,428140," actually something that I build along with the main engine, right, so it's a libtmso. So it's that thing,"
428140,435420," right. So, but on top of that I also have a template for starting new animations, right, so which is very"
435420,443420," basic. It doesn't really do anything except printing some text. And if I try to essentially run it lipp,"
443980,451020," template. So, there we go. So it just says panim template. So this is how it looks like, right. You"
451020,456940," can't really render it. I think it says it won't even allow you to render a single frame because its"
456940,461420," finishing function always returns true. So that means it's always finished. You can't really do anything"
461420,467020," useful with this thing, but this is just a template, right. So to develop a new thing, let's actually maybe"
467020,476700," create a new animation. So how are we going to call that? So I'm thinking about a simple animation that"
476700,485900," involves three cubes or maybe three squares that move around in a grid of four by four and maybe switching"
485900,492780," the places and stuff like that. So having several sort of agents is going to be very useful to demonstrate"
492780,497340," the asynchronous of the whole thing, right. So they can sort of move independently and stuff like that."
497340,501900," So I'm going to go for that. So let's actually call it something like squares, right. So we're going to"
501900,509500," have a bunch of squares in here. So in here is the template. So let's say we're going to put squares in"
509500,517420," here and let's add the building of that specific animation into the build script. So we're building them in"
517420,526140," here. So this is squares and this is going to be leap squares. There we go. So I'm going to rebuild this"
526140,534620," entire thing. So this is a leap squares and I'm going to try to run this stuff, leap squares. And look at that,"
534620,541020," we have squares. It's kind of hard to believe that we have squares, but as you can see on the on the screen,"
541020,548220," we have squares, right. It literally says squares. Anyways, so what we're going to have in here. So"
548220,555420," let's actually maybe see. So we can do actually hot reloading and stuff like that to just, you know,"
555420,560860," develop this continuously, right. We don't have to restart the whole animation engine and unless we"
560860,566540," fuck up, right. Unless we fuck up, we don't really have to restart anything. So I'm going to go into the"
566540,572940," squares and let's maybe first remove the text, right. So let's actually remove all of the text related"
572940,579900," stuff. We don't really need any of that anymore. And let's actually draw rectangle, right. So in this"
579900,589180," specific function, if we go into arraylib include, so we accept the rectangle and we accept the color"
589180,596380," with which we're drawing the rectangle. So the only thing that we have in here is we need to define the"
596380,601980," rectangle. So we have to provide the position. Let's actually render it at 00 and the width and height is"
601980,609260," going to be maybe 100, maybe 100. So this is going to be the height. So let's render the rect and the"
609260,614620," color is going to be the foreground color that we already predefined in here from the template. The"
614620,620700," template already had this kind of stuff. Could you put a window behind your camera? So maybe, maybe it makes"
620700,627820," sense. So something like this. Right. Is that what you mean? So then that sounds good. In fact, we could"
627820,633260," have actually maybe put the engine in here so I can see the logs and stuff like that. But maybe it would"
633260,640140," be better for you to also see the logs. We'll see. We'll see. Right. So let me now try to recompile this"
640140,644460," entire thing. So it doesn't compile. Let's go to the compilation. Yes, I forgot the semicolon. That's fine."
644460,650220," That is totally normal. I have unused things in here. I can fix that as well. There we go."
650220,655340," And now I want to open the logs so we can see what is going on in here. I'm going to hot reload this"
655340,660300," entire thing. Now we have squared. I didn't have to reset anything or stuff like that. So it just worked."
660300,668140," It just essentially worked. So that's pretty cool. That is pretty cool. So maybe it would be nice to"
668140,676780," define a bunch of squares within the state of the plugin. Right. So how many squares we're going to"
676780,682460," have? So squares, squares, we're going to have four of them. So that's basically the stuff we have in here."
682460,691100," And when we are rendering the whole thing, maybe it would make sense for us to just iterate through all"
691100,698300," of them. So let's factor out this four to something like squaresCount. Right. So this is a squaresCount."
698300,707100," We define squaresCount. It's going to be four. Right. And we're going to iterate through all of that."
707100,719340," squaresCount. squaresCount ++i. And just render this entire stuff. So it's going to be squaresCount."
719340,725900," I like so. So right now it's not going to render anything because all of that is zero initialized."
725900,731340," Right. So all of them are zero initialized. They basically going to be invisible. Right. So we have"
731340,736700," position zero zero and width and width and height zero zero. So this thing has to be null, by the way,"
736700,743580," initially. Right. So if I try to... It doesn't even compile. It doesn't even compile because this is a"
743580,751020," rectangle, of course. So it's totally fine. All right. So we can't see anything. So essentially,"
751020,756060," how are we going to be initializing all of them? I think I want to sort of like define some sort of a"
756060,763980," grid in here. All right. Two by two within which those squares are going to reside initially. So I"
763980,771500," have a function plug reset, which resets the state of the animation. Right. So and position of all of"
771500,778380," these things is basically the state of the animation. Right. So to speak. So to be fair, I think I want to"
778380,783980," have three of them. Right. So I don't want the amount of square be exactly four because we're going to have"
783980,787980," a grid four by four. So they're going to actually feel the entirety of the grid. I want to want it"
787980,793260," to have like one missing so we can actually animate them moving to different places and stuff like that."
793260,799420," So that's what I want to do. That's essentially what I want to do. So and we're going to just iterator"
799420,807820," all of them like so. So P, actually not P, squares, squares count. So this is going to be squares count."
807820,814300," And in here I'm going to do squares. And width and height, let's actually say maybe square size. Right."
814300,822060," So let's define a special magical constant called square, square size. Right. So it's going to be square"
822060,829340," size and both width and height is going to be square, square size. There we go. So in terms of position,"
829340,837260," it very much depends on the size of the window. Right. It does very much depend on the size of the window."
838780,847500," So where exactly we're going to be moving? Because of that, maybe..."
847500,859100," So it has to be sort of interpolated in some sense because here we have a plug reset. So they have to"
859100,866300," be in some sort of like this coordinate system that is independent from the size of the window. Right. It is"
866300,872620," independent from the size of the window. So because of that, maybe I'm going to assume that we are in a"
872620,881580," normalized coordinate system. So which we're going to remap during the rendering to somewhere in the middle"
881580,888700," of the screen. Right. UV coordinates. Right. So maybe we can think about UV coordinates. So because why not?"
