start,end,text
160,6560," Hello everyone and welcome to yet another Recreation Programming Session with Mr. Azuzun."
6560,12240," So today we're going to be looking at an old piece of Python code that is actually useful,"
12240,18640," right, for us specifically. It's called Autobahn Test Suite and it's a test suite for web protocol"
18640,25680," implementations. So essentially I think it was used for testing all the major WebSocket"
25680,31520," implementations like in Mozilla Firefox and Google Chrome and stuff like that. Unfortunately the"
31520,38640," official website of this test suite is actually dead, but I don't know, since we're implementing"
38640,44640," our own WebSocket protocol implementation, right, so in C3 specifically, and it already works by the way,"
44640,50080," right, to some extent, right, so you can create a very simple server, you can create a very simple"
50080,56880," client, and the server that you can create, it can interact with the browser. So I decided to"
56880,61280," spend some time to iron out the kinks in the implementation because obviously I just like"
61280,68160," roughly outlined the implementation. Right, so, and to not do that myself, going through the entirety of"
68160,74000," the spec and stuff like that, it would be nice to have some sort of a script, some sort of maybe, you know,"
74000,81120," that basically tests your code. Right, so, and yeah, that's what we're going to be doing today. We're"
81120,86960," going to be looking into this thing. I never used it before, like, I don't know how it works. From the"
86960,96000," brief, you know, outlook brief, after brief review of the code base, it looks like a mess of Python script"
96000,105920," wrapped in a Docker container. So, right, and the expected way to work with this entire thing is to"
105920,111600," actually use a Docker container, but I don't really like Docker containers, right, so we'll see if we can"
111600,118480," do, you know, this entire thing without one, right. So, yeah, let's go ahead and just maybe clone it and see"
118480,125840," what we can do about this entire thing, right. So, let's go into the third party, right, so, and I'm"
125840,130240," going to just little, maybe I'm going to do that from the terminal, actually, right. So, I'm going"
130240,138880," to do that from the terminal, right, and I'm going to cd to here, right, so, and just do git clone"
138880,145920," like so. Wait, what is that? It didn't really copy properly things. Right, there we go. So, it's"
145920,151920," actually cloned. I hope it's not going to clone too many, 522 commits, right, so it's probably, oh, okay,"
151920,160080," so it's already finished itself. All right, so, okay, how do I even start all of that? So, maybe"
160080,166400," I'm going to take a look at the Docker folder. So, what's inside of the Docker folder? So, there's"
166400,178240," a Docker file that, you know, describes the Docker container. So, all right, so, PyPy2. It uses PyPy,"
178240,187280," by the way. It uses PyPy. Okay, so, that's very interesting. So, application home, node."
193680,198000," I'm not surprised that they're using Docker for this kind of shit. It's like, it's a Python script."
198000,199200," Also, it's JavaScript."
199200,208160," Bro, why people can't write software normally? Why do they always have to throw as many languages as"
208160,211920," possible and then wrap it in a Docker container? Like, what's wrong with people?"
211920,219600," Like, what makes people write this kind of software? Like, just like, what exactly? It's just like a"
219600,224240," self-hatred? Because they're the ones who's going to be maintaining this mess, right? So, it's just like,"
224240,232160," I don't fucking understand them. So, they're using PyPy and shit. So, I don't freaking know."
232160,237360," Okay, so, wstest and everything."
237360,246480," Ah, what's funny is that it just installs auto-ban test to it. Yeah, so, it just installs it from"
246480,253600," PEEP. It doesn't even build it on this step of creating the Docker container. It just downloads it."
253600,259280," Like, why can't I just do PEEP install then? Like, why do I need a Docker container in here exactly?"
259280,266160," So, and then, so, there's a bunch of node modules. Do it do npm? No, it just like packs it."
266160,273360," Man, this thing, this thing is such, such a bizarre thing. But anyway, so, I suppose,"
274080,279200," So, where's the source code of this entire thing? So, there's this thing. So, we can go into that."
279200,285600," Maybe it is a Python package. Okay, so, this one is interesting. So, it looks like a Python package."
285600,291760," It is a Python package. So, does it have a, okay, so, it does have an init, you know, Python thingy."
291760,300160," I wonder if we can just do something like, you know, Python and import this auto-ban, auto-ban thingy."
300160,311920," Right, like so. Okay, so, no module named version. No module made version. So, is there, maybe, okay,"
312480,323840," is there something like, just a second. So, find file name version. Right, so, with some sort of extent."
323840,335360," Okay, so, there is this kind of thing. Right. Wait a second. I vaguely remember something similar when"
335360,343760," I worked with PyPy. When I worked with PyPy. Wait a freaking second. F-Fuck you! It's a PyPy..."
353520,367360," So, no wonder they were installing PyPy, because PyPy is one of the supported Python 2 implementations."
367360,379200," Okay, so, it's getting more and more interesting. So, it's a mess of Node.js and Python 2 scripts"
379200,383360," wrapped in the Docker container. So, that's why they need Docker, I see."
383360,386560," Oh, boy!"
386560,400480," Anyways, so, to be fair, the stream title says ""Old Python"". Well, I mean, I knew that it's old,"
400480,408080," but I didn't expect that it's going to be this fucking old. Okay, so, anyways. So, I wonder,"
408080,412640," do I still have the PyPy2 installed somewhere? Let me actually find that. So, it's going to be..."
412640,418640," Let's find a name, which is just a PyPy. Right, so, PyPy, PyPy, PyPy, PyPy. Okay, so,"
418640,427360," let me... Here it is. Right, so, it's somewhere in prob. But can I say I'm looking for directories"
427360,434880," specifically. Right, so, I'm looking for directories specifically. All right, so, all of that is in prob."
435840,442240," And honestly, maybe I should move them into third-party, because all that is kind of useful."
442240,450000," Yeah, I think it should be moved into third-party. So, all right, so, I have a system of folders in here."
450000,461360," Right, so, now it is in third-party. All right, so, can I do PyPy? PyPy 2.7. Okay, can you see what I'm doing?"
461360,471840," Yeah, so, PyPy. All right. So, does anybody remember? Can I... Oh, yeah. So, I just need"
471840,485760," this folder. Can I import? Okay, so, no module named Twisted. Okay, so, yeah, that's going to be a pain in the"
485760,490160," ass. Right, so, because we have to install it. Oof."
490160,495200," Yeah. I guess we can't..."
495200,501760," I don't really want to give up. All right, I really don't want to give up."
501760,504880," And I want to try to do that without the docker, but"
505920,510240," It might be actually impossible at this point, because, like, yeah."
510240,518960," Pip install autoband suite, but is it going to install the... for the Python 2 or for the Python 3?"
518960,523280," That's a good question. The joys of long deprecated software. Yeah, exactly."
523280,529280," So, for example, okay, I have Pip... I don't even have Pip ZSH, right? So,"
530320,536320," I probably need to install Pip, you know, system-wide. So, let's go ahead and try to do that."
536320,540800," Right. So, here is the root console, xbps, query, rs. Do we have Pip?"
540800,550320," Okay. So, there is Python Pip. Oh, there is a Python 2. Wait a second. Can I just have Python 2?"
550320,555840," Oh, shit. I can actually install Python 2 on my machine. What the fuck? I'm going to be"
555840,561040," fucking doing that, bro. xbps install. Let's actually fucking install Python 2."
561040,565600," We're going to have both of them. Let's fucking go. Python 2."
565600,574160," Electric boogaloo. So, Python 2. There we go. So, when I do just Python, it's going to be Python 3."
574160,581440," But if I want a Python 2, I have to specifically say Python 2. And now, if I try to do something like"
581440,587120," this, right? So, import. It works as expected, right? So, it finds the underscore version module,"
587120,590720," but it doesn't find it twisted because it's probably one of the dependencies."
590720,596800," All right. So, we'll let Twisted choose the default reactor potential performance degradation."
596800,603600," Running on Linux, but can not use epoll twisted reactor. No module twisted internet."
605200,614080," All right. Package resources. Oh, okay. So, yeah. So, we don't really have to install Twisted."
614080,618000," We don't have to install Twisted, but we need to have package resources somewhere."
618000,624160," Right. And I wonder if this thing is some sort of a thing that we have to install through pipe."
625120,633280," So, void is one of the last distors. Really? Are you for real? Oh, by the way, I don't have to do that"
633280,638720," anymore. Wait a second, because I can now just zoom in like that. Yo, void is one of the last distors to"
638720,645920," have it. I thought that Debian is one of the last distors to have Python 2. I don't remember. Did they"
645920,656640," remove Python 2? Right. Did they actually remove? Boomer's rule. Yeah. It now works again because I"
656640,667600," updated my x11. So, okay. Let's actually query Python 2 pip. Do we have just pip? Uh-huh. So,"
667600,672400," it's just Python pip. All right. So, we'll just go ahead and maybe install this thing."
672400,678960," Pps install. Let's go. Installing all the Python sheets."
678960,685680," Uh, this package will install Python 3 soon. If you wish to keep Python 2,"
685680,688720," mark Python 2 as manually installed with package. Okay."
688720,697280," I can actually feel that I'm doing something forbidden. Like,"
697280,705760," it's just like, uh, how to use pip. Does anybody remember? Uh, like, um, is there any information?"
705760,712320," So, maybe some sort of a help would be, uh, can I search for certain things? Okay. So, here is the"
712320,720000," search. Um, all right. So, and what I'm searching for, I'm searching for package resources. Right. So,"
720000,726800," wait, wait, wait. Is there a requirements? There should be some sort of a requirements thingy, shouldn't it? Um, nah,"
726800,734480," I don't think so. Uh, so if I find the file require, all right, so ends with txt. There's nothing like"
734480,741280," that. So, it's a very old school code base where this is not a thing. Uh, but anyway, so pip to install"
741280,748000," this thing, package resources. Okay. Could you find a version that satisfies the required package resources"
748000,758400," from versions? None. Um, that's very interesting. So, what is that? Uh, what is that module then? Um,"
758400,763440," maybe the setup has the requirements maybe. Uh, I don't really know how to use this kind of thing."
764320,771600," So, twist it. How do you use the setup.py, uh, script? Do you just run them or do what do they do"
771600,777360," actually, usually? Oh, okay. So, so install requirements. Do you just run setup and it's"
777360,784240," just like does the setup? Uh, does anybody know? Like, what, what is this? Uh, what is this script?"
784240,790080," Python? I'm not a Python developer, so I have no idea. I know the problem with Python is just it has"
790080,798880," too many different, like, compilation install mechanisms. Uh, right. It compiles pyc. I see."
798880,806000," I think. Okay. So, python setup.py scripts. Right. It has some, like, virtual environments,"
806000,813360," requirements.txt, and it keeps multiplying all of these mechanisms, like, over time. There's more and more"
813360,817040," and more different mechanisms, and how do people keep track of them? Does anybody know?"
817040,824320," It's just like, uh, since I'm not a very active Python developer, I kind of just don't follow any"
824320,830480," of that. Right. So, from time to time, I just go back into the Python ecosystem and it just becomes even"
830480,839040," more bloated than, than when it was when I actually, you know, left this ecosystem. Setup is something for"
839040,846240," metadata of package, but I have zero clue how it works. Oh, okay. So, it's the same, uh, actually same."
846240,853120," So, writing setup scripts. Okay. So, let's actually maybe read about, so, but this is a Python 3,"
853120,857600," and there is no information. Okay. So, maybe we can find the 2.7 document. Okay."
857600,861680," So, the setup script is the center of all activity in building,"
862240,865920," distributing and installing modules using the distutils."
865920,874080," Like, now we have distutils. So, what the fuck is distutils?"
874080,882720," That's the funniest shit about Python. It's just like, it keeps going. They keep creating these"
882720,889360," bullshit systems. Like, they can't fucking stop. It's so insane to me. Distutils is something that"
889360,896240," was replaced by setup. This is exactly what I'm talking about. Like, why do they keep multiplying"
896240,905680," these bullshit things? Why? Bro. Furthermore, it's a scripting interpreted language."
907280,914320," What kind of setup building things? What kind of building are we talking about in a scripting"
914320,921600," dynamic language? People, wake up! Please! People! Are you okay? Like, it's just..."
921600,928800," It is so insane. It's just like it has zero value."
936720,943760," They will replace it with PyProject Tom over Seth. Please tell me you just made it up. Please tell me"
943760,949600," you just made up this file for shits and giggles and this is not a real thing."
949600,952800," Please tell me. This is just a joke, right? So..."
