start,end,text
800,9920," Hello and welcome to another Zodin stream. How about that? How about that, but you didn't expect that"
9920,19200," shit to happen. So today is Sunday, if I'm not mistaken, the day of the sun and that means today"
19200,25600," according to the schedule we're doing a game development in C++. How about that? How about"
25600,32640," that bitch? You didn't expect that shit to happen. So let me see. So you can find the source code of"
32640,40080," the game that we've been developing for quite some time in here in the description. So it's going to be"
40080,46000," a game source code. There we go. This is going to be game source code and let's take a look at it."
46000,48720," Let's take a look at the game. Let's rebuild everything just in case."
48720,61520," Yeah, this is how it looks like. So it's not a final look and feel. It's just like a programmer's art,"
61520,68960," more of a technological demo. It's a custom engine in OpenGL and stuff like that. And today we're"
68960,73760," going to continue developing these things. So let's take a look at the issue tracker just to see what we"
73760,79360," can do today. So yeah, we still need to develop the development console. We still don't have it."
79360,89360," And we could also work on in game level editor, which is also quite useful because these kind of tiles"
89360,95920," here, they're pretty much hard coded. And to change them, it's kind of painful for me to change them"
95920,103920," because I need to go into the source code and place them by their grid coordinates, which is kind of meh."
103920,110000," It will be better if I could like go into some sort of like an editor mode and just click on those things"
110000,114800," and it will automatically create these tiles for me. That will be goddamn fucking sick."
115360,119600," So, and probably that's what I want to work on. So to be fair, like I feel like I want to work"
119600,126160," specifically on that today. So let's actually grab this issue and start working on it. I think that's"
126160,138800," a good idea. Uh, in game level editor. So I think I already fetched everything, uh, all the latest changes"
138800,148880," that introduced recently. Okay. So, and let's create a branch for the issue number 90. There we go. So, um,"
148880,153280," how are we going to approach this entire thing? So first of all, we need to know the position of the mouse."
153280,158400," As far as I know, we keep track of the position of the mouse in two different ways. We know the"
158400,164560," position of the mouse on the screen, on the window, uh, in integer coordinates. And we also know the"
164560,172160," position of the mouse in the world, which is quite goddamn cool. So maybe, uh, I just want to see the"
172160,178000," mouse, uh, in the world. Maybe we're going to go into the game and when we're rendering everything,"
178000,184400," after we managed to render everything, we could try to, um, render some sort of like a rectangle,"
184400,192080," some sort of rectangle, um, at the position of the mouse. So, uh, let me go to the renderer."
192080,199840," So, and as far as I know, we have a few AABB. Okay. So, and, uh, let me see, let me see."
201040,207920," Renderer, uh, an AABB stands for Access Aligned Boundary Box, right? So if you never heard about AABB,"
207920,217200," it basically means a rectangle, um, app.org. Yeah. It has an official website. Yes. Yes. Uh, access, uh,"
217200,225040," aligned. I saw it in this after suggestion, but Google trying to be super, super smart. So, yeah,"
225920,232960," essentially it's a rectangle, each axis of which each side of which I would suppose aligned with the"
232960,242560," axis, right? So, um, let me show you, I'm going to start my pain. I'm going to start my pain, uh, wait a"
242560,249280," half of an hour because it's written in Python. And, uh, so you have access in here. So, and something like"
249280,258240," this would be considered an AABB because its sides are aligned with the axis. Uh, something like this"
258240,264400," probably wouldn't be considered, uh, AABB even though it's a rectangle, right? So this is a rectangle,"
264400,270960," but its sides are not aligned with the axis. So, sorry. So the main difference is that this kind of"
270960,278160," rectangles to represent this kind of rectangles, you need to store, uh, each individual point, right? So you"
278160,287200," need to store each individual point or maybe, yeah, uh, so you need four points, right? In here,"
287200,292480," you only need one point, uh, which denotes some sort of a position. If you, if we're actually talking"
292480,297200," about OpenGL coordinates, right? So it's going to be like this. So this is going to be the position"
297200,303040," and, uh, this size. So in that case, size could be represented as another vector. So in the case of"
303040,313120," AABB you need two points, uh, right? So this is a regular rectangle and this is AABB, AABB, right?"
313120,320160," So, and I suppose a regular rectangle could be also represented as AABB plus its rotation,"
320160,331680," right? Um, so it could be also AABB plus its rotation, but a rotation is not enough because you"
331680,336560," also need to know the rotation around which pivot, right? Uh, for example, it's going to be a rotation"
336560,345200," around this pivot. So that means you need the pivot, uh, plus pivot. And you're going to end up with four"
345200,350480," points anyway. That's very interesting. So we're going to get two points to represent AABB, right?"
350480,355200," Because the first point is going to be the position and the size. Uh, the second one is going to be"
355200,359360," a rotation, but the rotation is not necessarily a point. It's just an angle. Uh, and the pivot is"
359360,364160," going to be another point. You still have to have a lot of information just to represent this kind of"
364160,369520," rectangle, right? But to represent this one, when you know that, uh, sides are aligned with the axis,"
369520,375920," you only need like two points or something. So basically you can, the representation of AABB is"
375920,381760," much smaller than the representation of a general rectangle, right? So that's basically what it means."
381760,391360," Um, and, uh, here, uh, our renderer is capable of filling AABB, right? So, and to create AABB,"
391360,397200," we need to construct something like, ah, let me see. So we have a math module. All right. We have a math"
397200,402880," module. And if I take a look at the structure AABB. So it has a constructor. It allows you to construct"
402880,410480," AABB from its position and the size. Uh, so its position is located at the mouse world position,"
410480,415760," right? But I also want to have the rectangle to have a particular size, right? So let's actually"
415760,423840," introduce something like medium, uh, mouse cursor size, right? It's going to be mouse cursor size."
425200,432640," And that means I need to shift the position of the, um, of the AABB to,"
432640,441920," yeah. So basically what I need to do in here, I need to subtract V2, uh, cursor size. And after that,"
441920,447760," I need to construct the size. And because of that, the size of the mouse is going to be two sizes,"
447760,453760," right? So we're going to multiply that by two. Uh, there we go. We constructed AABB of the mouse,"
453760,459760," right? There we go. So the next thing we need to do in here, we need to represent the shade,"
459760,467600," right? So the color is going to be something like mouse cursor, uh, cursor color, right? And then we"
467600,472080," have to take a, uh, UV coordinates. UV coordinates are basically coordinates of the texture. How are we"
472080,477760," going to texture that specific cursor? So right now we're not going to put any texture in there,"
477760,481840," even though we could. I mean, we technically could."
481840,488080," Let's do that, I don't know. Let's find a cursor texture."
488080,495600," Uh, open game art. Let's just find something like random, uh, and just put it in there."
497120,507120," Uh, why not, uh, cursor, right? Uh, that looks good, I guess. That looks familiar."
507120,515360," Dwarven cursor. It's something like from the heroes of might and magic or something. I don't know. Pizza!"
515360,521600," I like pizza cursor. And I also like the question when I look at that. Pizza cursor?"
521600,529600," This is perfect. Oh my god, I love it. I love it. I want to have a pizza cursor. Yes, yes."
530640,536240," Uh, so it's, it's for development anyway. So this is a cursor for development. So it's not going to be in the final game."
536240,544400," But I love it. It's so beautiful. Such a cool idea. Okay, so, uh, let me put some like credits in here."
544400,552560," Uh, uh-huh. So is it in the, in the rewriting? Okay, so this is the pizza cursor. Nice."
553680,559760," So then I'm going to take the textures, right? So, and just download this entire thing. So pizza slice, pizza."
559760,568640," There's two pizza slice PNGs. Why there's two? Some of them is 38 kilobytes. Another one, probably different size."
568640,573840," Yeah, this is probably different size. Okay, so, and let me put this into, I think."
577760,588000," Panic attack. Okay, um, where is the pizza? Pizza slice. Perfect. Perfect, perfect, perfect, perfect, perfect, perfect."
588000,594640," All right, so, and we have a special configuration, right? So this is the pizza slice. And I'm going to just"
594640,604800," put it assets, textures, uh, pizza slice. And so this is one, this is 12. So that means the texture have 11th"
604800,610560," index, which is not particularly convenient. Um, but I mean, yeah, like referring to textures y indices is"
610560,614480," not particularly convenient, but I didn't have time to implement a better system where you could refer"
614480,620640," to textures y. Um, I don't know, something like an id, a human readable id, but I'm going to implement that"
620640,629040," a little bit later. All right, so, um, yeah, it's going to be automatically added to the atlas. Uh, and in the"
629040,642560," atlas, um, would have something like, yeah, we'll have to get the UV. Uh, so atlas, uh, get UV. And in here,"
642560,650080," we're going to have a UV index. So mouse cursor, uh, texture. Yeah, that's what we're going to have in"
650080,654880," here. So it's going to be mouse cursor texture. Uh, I've got a message in just a second."
654880,665360," Okay. Everything's fine. It's just a spam, nothing special. So, and, uh, what kind of program we're"
665360,669520," going to render it with? I suppose we're going to be rendering like with a regular program, but I don't"
669520,674960," remember the name of that program. Uh, so I think it should be called something. Yeah, I think it's called"
674960,680080," regular program assets. Okay. So let's actually put it in here and there we go. We are officially"
680080,684960," rendering the cursor. I'm not sure if it's going to work or not. We'll see. We'll see. So let's try to"
684960,693280," rebuild the entire thing. So it's going to build sh. Uh, and, uh, we don't have any of those things,"
693280,698800," right? Because I was referring to constants that don't exist yet. So we're going to add them to the"
698800,705200," configuration. So it's going to be assets vars. Conf. Uh, so what do we need in here? Mouse cursor"
705200,712160," size. Uh, let's set it to 100, right? So it's going to be 100. The next thing we need to do is a mouse"
712160,718080," cursor color. Uh, since we're using a texture for it, color probably doesn't matter. So we're going to"
718080,724320," just set it to white. Okay. So it's going to be white color because this is the color that is usually"
724320,728800," multiplied by the texture, right? So it doesn't really, it doesn't really matter that much."
728800,733280," So in the mouse texture itself is going to be an integer. Do we even support integers?"
733280,738400," I don't remember if we support integers. If we don't, we'll have to add them to the configuration"
738400,742880," and the texture is going to be 11. So let's actually see if we do support integers in here."
742880,748880," Um, oh, okay. So this one has to be a color. Thank you so much."
750080,757920," Um, all right. So I think we support integers. Um, narrow conversion."
757920,768320," Narrow conversion, narrow conversion. I don't really understand what the hell is going on in"
768320,774640," here. And why is this a narrow conversion? Oh yeah, because it's a long reeling."
775760,784560," Um, ah, yeah, it's an integer and, uh, here we accept size T or something. Okay. So let me"
784560,789360," actually like force it to be a size T or maybe since it's a C++, I'm going to be using like static"
789360,797840," cast or something, static cast. Uh, and this is going to be size T. Sure. Why not? Uh, let's put it like this."
797840,804080," All right. Is it going to be working? Is it going to be working? Okay. It worked. Beautiful. Nice. Finally."
804080,812960," Well, it kind of worked, but it's a wrong texture. Uh, okay. But since, uh, we have all of that stuff"
812960,817440," in the configuration, I should be able to quite easily change all of that stuff. All right. So"
817440,821680," I'm going to go to the vars. First of all, I think the size is too big. Let's actually make it a little"
821680,828160," bit smaller. So it's going to be like 50. Uh, there we go. So now it is way smaller. Uh, and by the way,"
828160,836080," you can change the color now, um, for instance, uh, I want to make it like green, right? And basically"
836080,842640," because of that, the, uh, cursor texture is going to be multiplied by the, oh, by the color that you"
842640,849920," provided in here. That's actually pretty interesting. So it's affected by the camera. Huh? It is in fact"
849920,857520," affected by the camera. So to make it not to be affected by the camera, probably, uh, well, yeah,"
857520,862560," I'll probably have to first of all, draw it with a screen program and"
866720,872560," using a screen coordinates of the mouse. That's probably what I have to do, but I mean, it's fine."
872560,877680," I guess, I guess it's fine, but I mean, it's not really that fine because, uh, if you zoom out,"
877680,884640," I want to still be able to see the cursor, but again, eh, so anyway, uh, let's go back to"
884640,891920," this thing and let's try a different textures now. What about texture 10? So this is the texture of"
892720,900080," of the player. Uh, is it 12? Uh, yeah, it is 12. Okay. But the problem is that it's flipped around,"
900080,904800," right? So this is the main problem. It is in fact flipped around and look at that. It has a,"
904800,910080," it has a shadow and it's properly rendered. Look at that. That's actually pretty cool. So"
910080,917680," the, the cursor has a shadow, huh? That is very, very interesting, actually. I like that. Um, okay."
917680,927760," So let me actually try to flip that entire stuff. Um, so this is the mouse texture and after we got"
927760,932720," the UV coordinates, we can actually try to flip it vertically, right? So we flipped all of that"
932720,938640," vertically and how it's going to look like, uh, hopefully that will look okay. I just forgot that"
938640,942880," I don't restart the application after rebuilding right now. So let me actually do that."
942880,954720," All right. And it looks nice, I suppose, right? So you have pizza and you know precisely the position"
954720,963760," of the, of the mouse. So this is precisely what we can use in here. Uh, yeah, it's kind of,"
963760,974560," it's kind of fun. It's funny how it's following the, uh, strangely enough, it's not really, it's not"
974560,984640," really staying on the cursor on the screen. So there's some sort of a lag between the actual position there"
984640,989680," and, huh, that's very interesting, but, uh, maybe I will instigate that a little bit later."
990640,994720," Uh, but anyway, so we have a pizza slice cursor, um,"
994720,1006960," pizza slice cursor. So this cursor has a bunch of problems. Uh, first of all, uh,"
1006960,1017440," the ratio of the cursor texture is not, uh, preserved, right? Because we're using just,"
1018240,1022640," yeah, it's not preserved whatsoever. We're just using mouse cursor and basically it becomes"
1022640,1029280," square, right? It essentially becomes square. Uh, this is one of the problems. Um,"
1029280,1041360," the size of the cursor texture depends on the zoom. Uh, so that means it has to stay always on the screen."
1042320,1051760," Um, and there is another problem is that, um, I didn't even know. I didn't even know what to say."
1051760,1061520," So you see, uh, as we move around, I think the, like the, the pizza cursor, like keeps upsetting from the"
1061520,1066560," actual, uh, native cursor. You can clearly see that if you like look at the, look at the pizza,"
1067120,1072160," right. Um, so maybe I can actually do it like that. So I'm going to zoom in and as you can see,"
1072160,1078320," the pizza cursor just sort of like lacks behind the, the native cursor, right? So it's just like"
1078320,1083280," lacks behind it. And that's kind of weird. I don't know what's causing that, but this is something that"
1083280,1088880," we'll need to investigate. Um, so maybe this is because we're taking the screen coordinates and keep"
1088880,1094000," converting them to the world coordinates every frame. And because of that, it sort of lacks one frame or"
1094000,1104560," something. I don't know what exactly is going on in there. All right. So, um, okay. The, uh, cursor, uh,"
1104560,1113840," lacks behind the native cursor, right? So here are the problems that we have with this particular approach."
1113840,1128480," So which one do I want to tackle first? I think the easiest one would be this one. So essentially,"
1128480,1136240," instead of using the regular program, you have to use the screen program. Uh, let me see. Uh, regular program"
1136240,1148320," just renders everything inside of the world. And that is very interesting. Uh, so, uh,"
1148320,1160720," I didn't introduce it. That's what's interesting. I thought I had a version of a regular program"
1160720,1167920," that basically does everything the regular program does, but renders on the screen inside instead of"
1167920,1173920," in the world. Uh, that's what I thought I had, but apparently I didn't implement that. I was thinking"
1173920,1179920," to implement that, but I never actually implemented that. Interesting. Very, very interesting. Maybe this"
1179920,1185360," is what I will have to implement at some point. So renderer CPP. If you take a look at the regular,"
1185360,1215340," triangle camera. Uh, triangle camera. Uh-huh. Uh-huh. Uh-huh. Hmm. Maybe that's precisely what I need to do. Okay. So let's actually introduce a couple of shader programs that actually, um, yeah, that actually render on the screen. But before I can do that, I'm going to add a couple of shader programs that actually, um, yeah, that actually render on the screen. But before I can do that,"
1215340,1221660," uh, I want to make a cup of tea, I didn't make a cup of tea right before the stream and now I'm struggling a little bit. So let's make a small break."
1221660,1229420," All right. So let's quickly add some shaders. How about that? How about that?"
1229420,1245320," So we have a triangle camera. Do we have a triangle, um, triangle screen? I think that's how it's going to be called. All right. So shaders, uh, here's the vertex triangle camera. Okay. So"
1245320,1273320," what this thing does, uh, what this thing does, it essentially projects everything to the, um, to the world. So let's quickly paste this entire thing and introduce triangle, uh, screen. And it's going to be vert, uh, triangle screen. And we're not, we, we're won't, we won't care about the camera position and camera zoom. Uh, and here we're only going to apply the screen, uh, projection, right? It's going to be, uh, almost typed."
1273320,1284780," Okay. Okay. Back to, uh, screen projection, screen projection. Um, and it's going to be just this kind of position."
1284780,1300900," Right. And what we're doing here, we take the position, right? We multiply it by two and we divide it by the resolution. And that way we are projecting all of that into the screen. So this is screen projection."
1301320,1305180," And I'm going to replace, uh, and I'm going to replace, uh, the camera projection with the screen projection."
1312500,1336140," JLSL is so inconvenient. So some other modes, like C mode, um, C mode. If you have something like a screen projection, right? So the tokenization in this specific mode will recognize this as a separate word. So if you want to jump between the words, you can actually jump like this. And it's pretty convenient."
1336140,1355660," The JLSL mode does not recognize, uh, underscore as a separate sort of like thing. And if you try to jump by word, it jumped by the whole, the whole thing, which makes it kind of inconvenient for me to jump to like beginning of the screen, as I would like do in here, right? And just put N in here."
1355660,1366060," So JLSL mode just like, uh, maybe I need to fix that. Uh, who, who actually developed JLSL mode."
1367820,1380820," Do they accept pull requests? They don't have any pull requests. Uh, and all the pull requests are accepted. Uh, okay. So, and are they active? They don't seem to be active, uh, uh, on GitHub. Unfortunately, I don't know. I don't know. Maybe I just need to fork it, but that's really inconvenient."
1380820,1394820," Anyway, so let me go to, uh, to the render at end and add another shader, right? So here we have, um, triangle camera vertex shader. Uh, and let's introduce triangle screen, uh, vertex shader. Right."
1394820,1400620," Anyway, so let me go to the renderer, add end, and add another shader."
1400620,1405940," Right, so here we have triangle camera vertex shader."
1405940,1410440," And let's introduce triangle screen vertex shader."
1410440,1413980," Right, so let's try to recompile this entire thing and follow the compilation errors."
1413980,1416660," Yep, yep, yep, yep."
1416660,1418980," Okay, so what do we have in here?"
1418980,1421380," The amount of shader assets have changed."
1421380,1423860," Okay, so where's the triangle camera?"
1424600,1429040," Here is a triangle camera, and in here I will need to set screen."
1429040,1433600," Triangle screen, and this is the screen, and there we go."
1433600,1435340," So after that, this thing should compile."
1435340,1438700," And of course, I forgot a very important thing."
1438700,1440500," I forgot to update this counter."
1440500,1442340," Discounter."
1442340,1444740," Discount?"
1444740,1447640," Renderer HPP."
1447640,1453180," So I suppose the next thing I want to do here is introduce something like screen program."
1453520,1457580," Right, so it's going to be screen program asset, and there we go."
1457580,1459900," So that will also cause the compilation errors."
1462840,1479100," So, regular program, screen program asset, and this thing is going to simply use screen vertex shader, but regular texture color fragment shader."
1479100,1479640," Right."
1480220,1484440," So, and of course, I need to increment that 4 to 5."
1484440,1485700," Now we have 5 programs."
1485700,1490100," And cool."
1490100,1500200," So if I go back to the game, right, so now I should be able to render the cursor on the screen instead of the camera."
1500440,1503060," Okay, so let's quickly see what's going to happen."
1503060,1510180," If I run this entire thing like that, here is the cursor, right, and I'm replacing it with the screen."
1510180,1516300," But the thing is, the position of the mouse now has to be in the screen coordinates."
1516960,1522040," And as far as I know, it has to be in OpenGL screen coordinates."
1522040,1525360," In OpenGL screen coordinates."
1525360,1533720," And OpenGL screen coordinates are minus half of the width, plus half of the width, minus half of the height, plus height of the height."
1534900,1539880," So, yeah, we'll need to do a conversion between two coordinate systems yet again."
1539880,1542600," Classic OpenGL move."
1542600,1558540," So, this is OpenGL, right, this is OpenGL, it's going to go like this, minus half of the width, plus half of the width, plus half of the height, right, and this is minus half of the height."
1558540,1568180," And I'm pretty sure the mouse is in those other, in the screen coordinates, and screen coordinates basically something like this, right."
1568180,1576260," This is where you have zero, this is where you have zero in OpenGL, and this is the full width, and this is the full height, right."
1576260,1581560," Let me confirm that we have mouse specifically in this sort of coordinates."
1581560,1582580," Let me confirm that."
1582580,1586480," So, it should be something like mouse window."
1586480,1588300," Yeah, there we go."
1588540,1590060," Here's the mouse window."
1590060,1594440," So, we won't be able to just easily plug it in."
1594440,1610620," So, if I just take the mouse window and basically cast all of that into the float, or maybe specifically GL float, it's going to look very, very awkward."
1610620,1613020," It's going to be constantly upset and stuff like that."
1614020,1619740," Also, our shaders may not compile, because we never actually run them, because the shaders are compiled in runtime."
1620480,1631280," Yeah, as you can see, the vertical things are opposite, right, and there is an offset."
1631280,1633600," There is a huge offset in here."
1633600,1640940," The offset could be actually fixed quite easily, I think, by offsetting everything properly."
1643440,1644400," Let me see."
1644400,1644420," Let me see."
1644420,1646140," So, this is the window cast."
1646140,1652900," Maybe I should introduce something like cons auto mouse screen."
1652900,1658960," So, we're going to have window coordinates, then screen coordinates, and then world coordinates."
1659440,1662060," I think I vaguely remember that I already did that."
1662060,1662320," Okay."
1662320,1664020," So, mouse world."
1664020,1665800," Okay."
1665800,1669080," So, window to viewport."
1669080,1673300," We have a special function that can convert."
1674380,1675200," Oh, shit."
1675200,1677180," That's actually quite convenient."
1677180,1680960," So, I already have a function that performs this kind of transformation."
1680960,1682460," Yes."
1682460,1682960," Okay."
1682960,1684700," So, I need to do window to viewport."
1684700,1685680," Let's quickly use that."
1685680,1687720," All right."
1687720,1689880," So, it's going to be mouse screen."
1689880,1692440," Mouse window."
1692440,1694480," Here it is."
1695080,1695480," Okay."
1695480,1698020," So, that means I should be able to do something like this."
1698020,1698540," Window."
1698540,1700000," Mouse window."
1700000,1701020," All right."
1701020,1702400," There we go."
1702400,1704920," I think it might actually work."
1704920,1706320," I think it might actually work."
1706320,1707620," Let's rebuild this entire stuff."
1707620,1709200," Build this edge."
1709200,1709900," There we go."
1709900,1717400," And there is still offset."
1717400,1722100," There is still offset."
1722100,1726900," But at least the y-axis is not inverted."
1726900,1727620," Right."
1727620,1731360," So, there is this offset."
1731360,1733480," But the y-axis are not inverted."
1733480,1735360," And I can already work with that."
1735360,1735980," At least."
1735980,1738060," All right."
1738060,1744340," So, let me see how this entire thing is used."
1744340,1747980," So, then we take a viewport to the camera."
1747980,1750460," So, viewport."
1750460,1753960," And this is where the offset is actually done."
1753960,1754580," Oh, yeah."
1754580,1755900," Because it's a viewport."
1755900,1756560," I see."
1756560,1757020," I see."
1757020,1757500," I see."
1757500,1762320," So, I suppose we can just steal this specific offset in here."
1762320,1762960," All right."
1762960,1765000," We can steal this specific offset in here."
1765000,1767080," Okay."
1767080,1768840," So, let's actually go in here."
1769100,1770820," And this is a viewport."
1770820,1771960," This is a viewport."
1771960,1774900," And here is the offset."
1774900,1776800," All right."
1776800,1782160," Maybe I can grab this entire stuff and replace it with a mouse screen."
1782160,1783160," Right."
1783160,1786260," This one's going to const auto mouse screen."
1786820,1790220," And here is what I wanted to have."
1790220,1796840," There we go."
1796840,1797840," I think it's..."
1797840,1798020," Yeah."
1798020,1799780," That's precisely what I wanted to have."
1799780,1801800," Oh, shit."
1802220,1808080," And we automatically fixed the problem with drifting around."
1808080,1809280," Okay."
1809280,1812580," So, we actually killed two stones with one bird."
1812580,1813960," That's actually perfect."
1813960,1815980," You see, now..."
1815980,1817440," I think it's not floating."
1817440,1818000," Yeah."
1818000,1819600," I think it actually stays fixed."
1819600,1820560," All right."
1820560,1821320," That's actually perfect."
1821320,1821880," I love that."
1821880,1822440," I love that."
1823560,1823960," Okay."
1823960,1830860," So, that means we automatically fixed this thing and this thing."
1830860,1831300," Okay."
1831300,1835100," So, we only have a problem with the ratio of this stuff, with the ratio of the texture."
1835100,1838620," So, we need to remember..."
1838620,1840360," We need to restore the ratio."
1840360,1842920," We need to restore the ratio."
1842920,1847300," Where can we get the original sizes of the textures?"
1847300,1849840," I think they're still stored in the atlas."
1849840,1850760," Right."
1850760,1852560," The atlas can give you UV coordinates."
1853560,1858880," But can you give you the original size?"
1858880,1861080," Maybe we can get something like..."
1861080,1861380," Yeah."
1861380,1864940," AABB size T."
1864940,1868020," Because, as you can see, it stores the original..."
1868020,1868620," Oh."
1868620,1869820," Did you look at that?"
1869820,1871200," Here's UVs."
1871200,1875020," We don't store the original sizes of the textures."
1875020,1876900," We only store their UVs."
1876900,1878700," Oh, shit."
1878700,1879940," Okay."
1879940,1881460," That's very interesting."
1881720,1883180," But, I mean, maybe we can..."
1883180,1884040," Oh, yeah."
1884040,1885180," UVs probably..."
1885180,1888040," They probably don't store the original ratio."
1888040,1889640," Yeah."
1889640,1891200," Unfortunately."
1891200,1896960," Okay."
1899320,1903980," So, that will require, you know, implementing something."
1903980,1907300," AABB size T."
1907300,1910240," Get size."
1910240,1911140," Right."
1911140,1917000," Well, I mean, the size could be just a vector 2."
1917000,1917360," Right."
1917360,1918840," It doesn't have to be a rectangle."
1919300,1922140," And then here, we're going to accept the index."
1922140,1922860," Right."
1922860,1924640," It's rather a texture index."
1924640,1925860," This is a texture index."
