start,end,text
160,6400," Hello everyone and welcome to yet another recreation programming session with Amista Azozin."
6400,12240," So, today it's too hot to do any serious software development so what I decided to do, I decided to"
12240,19600," do some low effort language review slop and the target of today's stream is going to be this thing"
19600,25040," that I heard about some time ago but I, you know, just brushed it off because it's a yet another"
25040,32160," so-called ckiller but it looks like a pretty good target for our language review slop. So, yeah,"
32160,38640," so let's actually read about it. So, C3 programming language, a simple, fast, safe, compiled, wow,"
38640,47440," for developing maintainable software. Not readable, mind you, only maintainable. They said nothing about"
47440,55040," readable. So, yeah, it looks like... I don't even know what it looks like. Is that right?"
55040,64880," What's the point of fn keyword if you just like using... This is basically C but with an unnecessary"
64880,70720," additional fn keyword like it's just like you can remove fn keyword and have sort of like a backward"
70720,78000," compatibility with C. It's just like... Okay, so it has modules. It has modules so you can have a module"
78000,83680," system and stuff like that. So, it's already better than C. So, it has modules. It's already better than C."
83680,89440," You can have namespaces. You can finally separate RayDeep into a different namespace so it doesn't collide"
89440,96000," with Win API. That's already a win in my opinion. That's already a win. Right, so let's actually get"
96000,103360," started. Why is it bright? I specifically requested like a dark mode. Like, why don't you..."
103360,109600," This is what you get when C developers start developing websites. Right, so you get stuff like that."
109600,118640," Anyways, so... Okay, but how do I install this shit? Excuse me. Okay, I'm gonna go back. So,"
118640,124640," get started doesn't really get you started. Okay, so here is the installation guide. Okay, so you have"
124640,136160," Debian. Specifically Debian. Not just Linux. Debian. And we are, as far as I know, on Debian."
136160,146000," Okay, so let's actually download. So, we... So, it's a Linux star. Okay, so we're downloading. Okay,"
146720,154960," Okay, so we got the Tor. We got Tor. Okay, so let's go. So, I'm gonna go into the downloads. Let me take a"
154960,160400," look. So, where are we gonna put all that? So, I think I want to create like a separate sort of like a folder and"
160400,169920," So, I'm gonna call it C3 probe. And I'm gonna just move this entire thing in here. And let's do unboxing."
169920,175920," Are you guys ready? Are you guys ready for unboxing experience of a programming language?"
175920,182160," So, let's go ahead and just like... All right. So, the root folder is called Linux."
182160,190000," Not even a C3 Linux. Or it's just... It's just Linux. We just downloaded the source code of Linux,"
190000,195200," apparently. That's what happened. All right. So, I'm gonna rename it to just something like C3 Linux,"
195200,200240," so I can like distinguish it. Like, I mean, the archive itself is already called C3 Linux. You could"
200240,206800," have like just call it like that at least. Okay, so we've got a single executable and msvc"
206800,212000," build libraries.py on fucking Linux build."
212000,222000," I'm on Linux. Guys, I'm on Linux. What msvc?"
222000,228880," What the fuck is this? Okay, wait. I want to open it. Like,"
228880,236640," script based on this thing. Okay, so what is that? So, it's based on some sort of like a gist."
236640,242880," Right. So, you need msvc for Linux? Or it's just like, what the fuck is going on?"
242880,247360," Don't msvc compile linker windows SDK without installing full visual studio."
247360,253120," All right. That's fine. It's just like it doesn't affect anything. It's just like looks a little bit"
253120,258720," silly, right? It just looks a little bit silly. So, we have an executable C3C, right? So, we can take a"
258720,268640," look at what it is. It is, in fact, elf69bitlsbpy executable x8664 version 1sv dynamically. Disgusting."
268640,274880," Dynamically linked. How are you supposed to create a self-contained software if you dynamically link"
274880,279760," with things? Absolutely disgusting. Anyway, that's fine. I'm joking actually. So, let's actually take a"
279760,285040," look at what kind of dependencies do we have in here. Not that many. Not that many dependencies. So, we have a"
285040,293520," compiler that depends on libxml2. This compiler, for whatever reason, needs to be able to parse xml files."
293520,301040," I have no idea why, but it needs to be able to parse xml files. Maybe because it integrates"
301040,306960," with msvc, actually. Because as far as you know, msvc projects, there are xml files, aren't they? I think"
306960,314240," they are. So, just in case it does that. But, I mean, we are on Linux. Again, so that doesn't explain"
314240,319840," shit. Maybe the standard library sort of has something. But, I mean, the compiler doesn't"
319840,324080," need to have a libxml. I don't know. Maybe it's configured to xml."
331920,337840," Okay. You guys are funny. You guys are funny. Okay. So, let's actually try to run this executable and see if"
337840,346080," it even runs on my machine. It seems to be right. Okay. So, okay. It has a system of subcommands. So,"
346080,354800," you basically compile a file, right? You can initialize projects. You can build and stuff like that. So, it feels a little"
354800,364480," bit like go. It feels a little bit like go-ish, right? So, okay. So, let's take a look at hello world."
364480,369920," No, no, no, no, no, no. So, what I'm going to do, I'm going to create hello c3 and I'm going to actually"
369920,376880," save it as an empty file. So, let's do an empty file test. How this language will react an empty file,"
376880,382800," right? So, will it give any useful information? So, because it's kind of cool. It would be cool to have"
382800,388880," a language that you just start with an empty file and the error messages are descriptive enough that"
388880,394720," you can actually figure out how to create an entry point without even looking into the documentation,"
394720,399680," just by looking at the error messages, right? So, it would be kind of cool if there was a language that"
399680,404160," can achieve that, right? So, let's actually see. Oh, you're supposed to actually say something like"
404160,412640," compile. Okay. No main function was found. Compilation, only object files are generated. Okay. So,"
412800,418880," I'm going to go... Oh, shit. What the fuck?"
418880,432720," Lib... This thing that just barfed. It just..."
435360,445680," What the fuck am I even looking at? Bro. There's so many of them. Holy shit. Okay. So,"
445680,452400," if I take a look at... What the fuck is this? It's almost a megabyte of files. Like,"
452400,459440," I created an empty file. I tried to compile just an empty file and it just barfed into the current folder."
459440,462960," Almost a megabyte of object files of different things."
462960,470400," I don't know what's up with that. I honestly don't know what's up with that. But we're going to just"
470400,478880," keep it, right? So, it's understandable for like a compiler to just have some sort of artifacts of"
478880,484400," compilation. Jai does stuff like that. As far as I know, Jai tries to keep them in a separate sort of like"
484400,492560," a dot build folder, right? So, it may barf a bunch of stuff, but it will barf it into a separate sort of"
492560,500000," like a bag, right? Into a separate sort of folder. So, to not disturb your current folder, right? I think"
500000,509280," it's a little bit more civil. So, anyways, let's actually see. So, it wants a main function. So, from the"
509840,514000," promotional material, from promotional material, I kind of vaguely remember that you're supposed to"
514000,521120," put fn void. Oh, we don't even have a highlighting, guys. We don't even have a syntax highlighting."
521120,525600," Okay. So, let's actually try to do something like this. And let's try to compile it one more time. So,"
525600,532960," what is it going to do? Program linked to executable hello. Okay. So, all the object files just like"
532960,539200," sucked up into the executable, right? So, I suppose they're sort of like an intermediate things."
540800,544960," Right. So, everything got sucked up into the executable. All right. So, fair enough."
544960,550560," Now, let's take a look at the executable that we've got in here. All right. So, it's a 64-bit alpha"
550560,555040," executable. It's dynamically linked and stuff like that. Nothing particularly special. And what does it"
555040,565200," depend on? What does it depend on? It depends on the libc. It depends only on libc. So, it's almost statically"
565200,572080," linked. Almost. They couldn't get rid of libc, which is understandable. On Linux, it's kind of"
572080,578480," difficult to get rid of libc, right? So, it's almost like it's the Win API of Linux, right?"
578480,584480," The libc is the Win API of Linux. There's nothing much you can do. What was their libc. Oh, if it links"
584480,591760," with libc? I have no idea. Like, I'm seeing this entire shit for the first time. This is literally my"
591760,598080," first impression of this thing. Like, I don't know anything about it. Right. Never tried it locally"
598080,604720," in the machine. I only read documentation a little bit in the past, but that's about it."
604720,610320," Okay. So, let's actually try to run this entire thing. And it's not supposed to do anything, right?"
610320,615600," So, it's not supposed to do anything. So, I remember you do something like I/O, println,"
615600,621440," something like your mom. Right. So, let's actually see if it's going to compile. Okay. So,"
621440,629120," expected. Look at that. Look at that. So, it tells you precisely where you expect the semicolon."
629120,634240," Props for error messages. Props for error messages. Okay. Okay. So, let's see. Okay. So,"
634240,643760," ioprintln could not be found. Did you spell it right? Asking rhetorical questions. Asking rhetorical"
643760,651600," questions. I don't know. Like, did I? Do I have to maybe import this entire thing? Yeah. So,"
651600,656160," I have to actually do the import. Okay. So, let's actually try to do it one more time. Okay. So,"
656160,668880," is it not println? It's just, oh, it's a printn without l. Okay. So, all right. Fair enough. Fair enough."
668880,678480," All right. So, I wonder if I don't import and just do std, right? Is it going to? No. In a module. So,"
678480,689120," you have to explicitly import it like that. Okay. So, I got a hello world. It seems good. It seems"
689120,694400," uh, Tamaguchi. But I want to have like a little bit of an extension or like mode. So, let's see"
694400,702320," if the mode for this thing is available in the in the packages, in Melpa packages. So, let me do C3"
704000,707520," mode. There's no mode in here. So, let me go to Melpa."
707520,716560," Is this another Rayleap speedrun, by the way? I don't know, honestly. So, we can try to link with"
716560,721680," uh, with Rayleap. So, I don't really know how to link with external libraries in here. So, we'll see."
721680,728800," We'll see. So, C3. So, there's no C3 mode in here. So, maybe we can find something,"
729680,736560," uh, something on the interwebs. Something on the interwebs. C3 mode emacs."
736560,747920," Um, so, can I, by the way, have a dark mode in here? Thank you so much. Uh, yeah. Apparently,"
747920,758960," we just can't have the editor support for this thing. Um, okay. So, C3. Maybe it's a C3C mode."
759680,766960," Um, no, it doesn't, it doesn't know that. What about Google? Maybe Google can answer that twice?"
766960,777760," No. So, all right. So, C3, uh, language, GitHub. Maybe they have some sort of like, yeah, yeah. So,"
777760,784960," this is what I'm talking about. They have a GitHub. So, maybe they have an extension somewhere there. Um,"
785680,793040," So, there's a Docker, dependencies, minis, SSC, wrappers, resources. Don't really see anything."
793040,796880," So, there's some sort of like, they, they ported Quake or something. Like,"
796880,802240," wait, did they rewrite it in Quake? Or what's up with this screenshot?"
806320,813760," What's up with this? Like, what does it have to do with this? It's, uh, I don't know, man. It's,"
813760,816560," it's kind of bizarre. But anyway, so maybe it's in organization."
818640,829440," uh so editor plugins okay we found something bravo bravo bravo emacs look at that look at that we"
829440,837280," found emacs okay so uh obviously i probably want to actually give the link to the editor plugins in"
837280,843520," here right in the description uh so that's what we found this this is where we found all that"
844160,858160," so this had simple syntax highlighted voices yeah this is exactly what"
858160,870160," am i famous or something it's just like this is the last thing i actually expected"
874160,880160," uh what the i like i mean i'm glad that it was useful"
880160,884800," i'm actually glad it was useful okay uh"
884800,896880," all right all right fair enough it does look like it it does look like it uh yep yep thank you all right"
898000,906880," so let me quickly give it the star uh right and obviously like so far from what i from what i can"
906880,911920," see this language already deserves the star right it works so you can like write hello world in it like"
911920,920240," it's a it's a language um so i'm gonna give it the star already uh don't know if it's gonna become the"
