start,end,text
720,6640," Hello everyone, and welcome to yet another recreational programming session with Azosium,"
6640,11920," of course. So today we're going to continue working on Musializer, which is a music visualizer"
11920,16880," that we've been working on for quite some time. And I'm going to put the link to the source code"
16880,22080," in the description. So let me show you how it looks like. So it's pretty straightforward, right?"
22080,25920," So what you're supposed to do, you're supposed to start it up. And as you can see, it prompts you to"
25920,30960," drag and drop some music. What you do, you just go ahead and drag and drop some music."
30960,37600," It's a little bit loud, so we'll make it a little bit quieter. And it starts visualizing the music that"
37600,43040," you drag and drop. And then you can press F and it will start actually rendering the video and actually"
43040,49600," visualizing this entire thing. And essentially recently, on the previous stream, on the previous"
49600,54960," session specifically, we added support for several files, right? So as you can see, there is a sort of"
54960,60880," like a square down there. And that's basically what it is, right? So now you can actually drag and drop"
60880,67920," several files. And it will remember all of them. And you'll be able to switch between them, right? And"
67920,73360," like basically pick which file you want to work with and which file you want to visualize essentially."
73360,81920," So as you can see right now, this UI in a very rudimentary state. And one of the things I wanted to do"
81920,87760," today is I wanted to make it a little bit better, make it look a little bit more professional. You know"
87760,94160," what I'm talking about? Right. So this is sort of like a sketch, like a rough outline of the UI."
94160,100960," And also, this is also refactoring because the the mutualizer before couldn't work with several files,"
100960,108080," right? Just to be able to have this panel, we had to refactor a little bit of the logic of the application"
108080,114480," itself, right? So it was a little bit of an effort. So I was thinking about how when I want to organize"
114480,121280," the UI generally, and I came to a conclusion that I don't really want this panel to be at the bottom."
121280,126720," I actually want it to be on the side, right? So maybe we're going to start on the left,"
126720,132240," maybe in the future, there will be possibility to customize it to snap it to the right. But for now,"
132240,137440," we're going to keep it simple, we're going to keep it on the left, right? So which will enable us to"
137440,144800," add something at the bottom to control the visualizer. For example, we could put some sort of like a"
144800,150400," slider that shows the progress of the music playing. So it will also allow you to maybe"
150400,155040," jump into different timestamps within the music and stuff like that. So we'll see."
156160,160640," So that's basically what I want you to do today. I want you to make this UI a little bit better,"
160640,166160," right? Because right now it's kind of, it's not even clear like what that's supposed to mean. It just looks"
166160,172720," weird, if you know what I mean, right? So it just looks a little bit weird. So by the way, on top of"
172720,179120," this panel, we also implemented scrolling, right? So if we put a lot of files in here, as you can see,"
179120,186160," they do not all fit into the panel. So you are able to actually scroll, right? It works relatively well."
