start,end,text
880,7120," looks like we're live hello everyone and welcome to yet another recreational programming session"
7120,11600," with a mr zozin how about that but you didn't expect that to happen let's make a little bit"
11600,17280," of announcement and officially start the stream as usual as usual live on twitch and what are we"
17280,26080," doing today on twitch.tv website today we're doing uh own my name style uh but in c uh and"
26080,34080," with rayley right so my own my name style library with uh c and ready so essentially for those who"
34080,39440," doesn't know i forgot to actually like ping and stuff like that jesus christ twitch.tv/todding"
39440,44560," right so and ping everyone who's interested in being pink i wonder if it will actually it actually"
44560,49520," highlighted it as it's pink so i suppose now everyone is pinked so everything is gucci everything is"
49520,55760," tamaguchi so right uh essentially if you heard about the channel three blue one brown right you probably"
56080,62320," uh know about his animation engine uh thingy which is called manium uh right and essentially i want"
62320,68480," to have kind of similar thing for my uh for my youtube channel right so for uh for making animations about"
68480,74880," programming concepts and stuff like that so and since i'm a programmer right it only makes sense uh it only"
74880,79520," makes sense to actually make it myself from scratch right so not necessarily from scratch we're going to"
79520,85440," be using really but really uh is going to be needed for just putting some shapes on the screen and stuff"
85440,93200," like that so an idea is going to be that um i'm going to reuse some of the technology technology that i"
93200,100880," developed uh in mutualizer right so you probably know about these things mutualizer so essentially one of the"
100880,107920," things we'll need from mutualizer is an ability to render ff like videos with ffmpeg uh right so i'm"
107920,114160," going to put the link to mutualizer in here uh so we're going to strip of this um you know we're going"
114160,121600," to steal this ability of like rendering videos with ffmpeg from mutualizer uh right and another thing i"
121600,128240," will probably need is an ability to hot reload uh our application because you're going to be writing animations"
128240,133360," uh with the c code right so that means you need to have a sort of like a very short feedback loop"
133360,138880," right so essentially you modify something you want to see that changes instantly on the screen so because"
138880,144160," of that we're going to steal some hot reloading technology from mutualizer as well right so and"
144160,153200," essentially i'm like i envision that framework that engine to be just a library that you link with"
153200,158480," right so each individual animation so to speak is going to be a library and execute them"
158480,165040," an executable right an executable that links with that library and then it then it has an ability to"
165040,170960," generate the the final videos and stuff like that so that that's basically how i see that uh and that's"
170960,176000," basically what i'm going to be going for right for today so yeah we're going to start doing all of"
176000,180320," that and we'll see how it goes that's the plan for today essentially that's the plan for today"
180320,185840," so i'm going to call it panning right so because monium is a mathematical animation engine this one"
185840,191440," is going to be programming animation engine right so i think it only makes sense uh so let's make"
191440,196000," maybe a little bit of a boilerplate uh my name is one three blow brownies yeah yeah so it's written"
196000,201920," in python it's i don't really know what like how exactly it works and what kind of things it uses"
201920,210320," uh right so but yeah so like from the from how it looks like it seems pretty straightforward to implement"
210320,215120," it right so i don't know like i didn't see any particular difficulties in there except like it has"
215120,219760," cool animations over the vectors of the phones and stuff like that we're probably not going to go into"
219760,224320," there yet but maybe at some point we're going to have something with the vectors and animating the"
224320,227600," vector representations svg and stuff like that we'll see how it goes"
228640,234960," uh it all it also has a cool mathematic rendering with latex and shed so i don't know how exactly it"
234960,241440," renders the later uh i suppose it just calls uh to later has an external program right so this is"
241440,247760," something that we can try to do as well um right so i suppose maybe it just like asks later to generate"
247760,253520," some svgs then it loads those svgs and having the vector it can kind of animate that based on the vector"
253520,259120," or something like that uh right so it doesn't sound like something impossible to implement and see as"
259120,264080," well um right so we'll see how it goes we're going to start with some simple stuff right so we're going"
264080,268560," to start with some simple stuff and uh what i'm going to be using it for i'm going to be using it in"
268560,276080," my next video about the turing machine language right so tula uh this one uh it's it's actually better"
276080,281360," you're not supposed to see better right so there's a public page in here with a readme which explains"
281360,287200," how the language works and stuff like that so and the idea that i have specifically for that video is"
287200,293120," is not going to be that it's fully animated videos right so essentially i'm going to have animated"
293120,298400," interjections right so when i'm about to explain some sort of a concept uh it's going to switch to a"
298400,305360," different kind of scene where i have animations which kind of like supplement my like voice over"
305360,311120," explanations and stuff like that but the majority of the sort of the idea is going to be conveyed"
311120,316240," my usual sodium style where i talk and code simultaneously you know the usual thing that"
316240,321680," i do in the stream right so this is like the focal point of the of the content but sometimes they're"
321680,326880," going to be like animation interjection right so to explain some sort of a concept right so for example"
326880,331120," um like i want to explain the concept of a turing machine so i'm going to go into the scene where"
331120,336880," there's only animation and there's a tuning machine which visualizes the the tape the head and stuff like"
336880,342560," that uh right so and then once that out of the way we go back and we start coding we code for a little"
342560,348080," bit then another concept that needs explanation animation pop-up and just like stuff like that you"
348080,353360," know what i'm talking about right so and then maybe it will make more sense when i actually develop"
353360,358880," that right so but we'll see we'll see sounds like a python or lower bindings for such kind of library is"
358880,365920," kind of useful probably but they're useful for their ability to hot reload you can hot reload c as well"
365920,372240," right the only reason why you want to use scripting languages like python and lure is for hot reloading"
372240,378000," you can hot reload c as well i implemented that in mutualizer uh right i'm not really claiming that using"
378000,383840," c for this kind of stuff is better or worse not making any claims i'm just saying that it is possible"
383840,390320," and i think here i can conduct some sort of an experiment to see uh right to see if if it is"
390320,397200," like you know at least convenient lukewarm reload yeah so the idea is that you basically put all of your"
397200,404320," logic into dll right so you recompile dll and you ask the main event loop to just reload that dll and that's it"
404320,409520," essentially uh and it's pretty much as convenient as using dynamic languages honestly because i use"
409520,414880," that in visualizer and uh i used it a lot for developing ui and stuff like that and it was actually"
414880,420160," extremely convenient like i would not be able to develop the ui of visualizer without hot reloading"
420160,425840," right that was an essential feature to uh to develop the ui uh right and we're definitely gonna have"
425840,431360," something like that in here too uh and honestly to be fair i'm not a really big fan of dynamic"
