start,end,text
0,29980," I'll see you next time."
30000,59980," I'll see you next time."
60000,89980," I'll see you next time."
90000,119980," I'll see you next time."
120000,149980," I'll see you next time."
150000,179980," I'll see you next time."
179980,209960," I'll see you next time."
209980,239960," I'll see you next time."
239980,269960," I'll see you next time."
269960,299940," I'll see you next time."
299940,329920," I'll see you next time."
329920,359900," I'll see you next time."
359920,389900," I'll see you next time."
389900,419880," I'll see you next time."
419880,449860," I'll see you next time."
449880,479860," I'll see you next time."
479860,509840," I'll see you next time."
509840,539820," I'll see you next time."
539820,569800," I'll see you next time."
569820,599800," I'll see you next time."
599820,629800," I'll see you next time."
629800,659780," I'll see you next time."
659780,689760," I'll see you next time."
689760,719740," I'll see you next time."
719740,749720," I'll see you next time."
749720,779700," I'll see you next time."
779700,809680," I'll see you next time."
809680,839660," I'll see you next time."
839660,869640," I'll see you next time."
869640,899620," I'll see you next time."
899620,929600," I'll see you next time."
929600,959580," I'll see you next time."
959580,989560," I'll see you next time."
989560,1019540," I'll see you next time."
1019540,1049520," I'll see you next time."
1049520,1079500," I'll see you next time."
1079500,1109480," I'll see you next time."
1109480,1139460," I'll see you next time."
1139460,1169440," I'll see you next time."
1169440,1199420," I'll see you next time."
1199420,1229400," I'll see you next time."
1229400,1259380," I'll see you next time."
1259380,1289360," I'll see you next time."
1289360,1319340," I'll see you next time."
1319340,1349320," I'll see you next time."
1349320,1379300," I'll see you next time."
1379300,1409280," I'll see you next time."
1409280,1439260," I'll see you next time."
1439260,1469240," I'll see you next time."
1469240,1499220," I'll see you next time."
1499220,1529200," I'll see you next time."
1529200,1559180," I'll see you next time."
1559180,1589160," I'll see you next time."
1589160,1619140," I'll see you next time."
1619140,1649120," I'll see you next time."
1649120,1679100," I'll see you next time."
1679100,1709080," I'll see you next time."
1709080,1739060," I'll see you next time."
1739060,1769040," I'll see you next time."
1769040,1799020," I'll see you next time."
1799020,1829000," I'll see you next time."
1829000,1858980," I'll see you next time."
1858980,1888960," I'll see you next time."
1888960,1918940," I'll see you next time."
1918940,1948920," I'll see you next time."
1948920,1978900," I'll see you next time."
1978900,2008880," I'll see you next time."
2008880,2038860," I'll see you next time."
2038860,2068840," I'll see you next time."
2068840,2098820," I'll see you next time."
2098820,2128800," I'll see you next time."
2128800,2158780," I'll see you next time."
2158780,2188760," I'll see you next time."
2188760,2218740," I'll see you next time."
2218740,2248720," I'll see you next time."
2248720,2278700," I'll see you next time."
2278700,2308680," I'll see you next time."
2308680,2338660," I'll see you next time."
2338660,2368640," I'll see you next time."
2368640,2398620," I'll see you next time."
2398620,2428600," I'll see you next time."
2428600,2458580," I'll see you next time."
2458580,2488560," I'll see you next time."
2488560,2518540," I'll see you next time."
2518540,2548520," I'll see you next time."
2548520,2578500," I'll see you next time."
2578500,2608480," I'll see you next time."
2608480,2638460," I'll see you next time."
2638460,2668440," I'll see you next time."
2668440,2698420," I'll see you next time."
2698420,2728400," I'll see you next time."
2728400,2758380," I'll see you next time."
2758380,2788360," I'll see you next time."
2788360,2818340," I'll see you next time."
2818340,2848320," I'll see you next time."
2848320,2878300," I'll see you next time."
2878300,2908280," I'll see you next time."
2908280,2938260," I'll see you next time."
2938260,2968240," I'll see you next time."
2968240,2998220," I'll see you next time."
2998220,3028200," I'll see you next time."
3028200,3058180," I'll see you next time."
3058180,3088160," I'll see you next time."
3088160,3118140," I'll see you next time."
3118140,3148120," I'll see you next time."
3148120,3178100," I'll see you next time."
3178100,3208080," I'll see you next time."
3208080,3238060," I'll see you next time."
3238060,3268040," I'll see you next time."
3268040,3298020," I'll see you next time."
3298020,3328000," I'll see you next time."
3328000,3357980," I'll see you next time."
3357980,3387960," I'll see you next time."
3387960,3417940," I'll see you next time."
3417940,3447920," I'll see you next time."
