start,end,text
960,9280," um okay so now let's take a look at something uh very interesting so it's some problem uh that i"
9280,17200," had for quite some time right so uh let's try to implement um a procedure that copies a chunk of"
17200,22960," memory right so let's implement mem copy something that we call mem copy in the industry so this is"
22960,31120," going to be mem copy uh it's not really port right it's rather port there we go so this is going to be"
31120,38080," something like this so we're going to include i think i already have a mem copy um mem copy in"
38080,47360," the standard library so let's actually not include it then um okay um so um mem copy is going to accept"
47360,51760," three arguments it is going to accept the size of the memory chunk that you need to copy"
52480,58320," uh so and uh then it's going to accept the source right the source of this thing and then the"
58320,67120," destination right so it's going to copy uh the memory from here to here so and um implementing"
67120,75520," such um such procedure without any local variables it's kind of difficult actually uh knowing like"
75520,81680," having all of the all of the operations that you have all the intrinsics to work with stacks like"
81680,90000," duplicate uh swap and so on and so forth it's kind of difficult to juggle uh three arguments simultaneously"
90000,96720," so the way i actually implemented that is i uh allocated um a bunch of like um variables right so"
96720,104480," i basically offloaded the uh two these two variables to um to a separate memory so we're going to have mem"
104480,110640," copy um src right and since both of these things are pointers uh we're going to provide the size of the"
110640,115600," pointer right so it's going to be something like this and this is going to be dst so both of them"
115600,120080," are size of the pointer since we don't have the standard library i'll have to define a constant"
120080,128480," myself uh size of ptr and uh the size of the thing is going to be eight there we go right and the first"
128480,134720," thing i want to do i want to actually save uh the arguments into that thing uh so it's going to be a"
134720,140080," 64 right so we take destination and then we're saving this thing in here then we take the source"
140080,146000," we're saving this thing in here and after that on the stack we're going to have only the size so we"
146000,152640," sort of like simplified this stack a little bit for us by uploading the arguments to to the memory right"
152640,159920," so after that we should be able to quite easily iterate uh like n times or rather size times so we're"
159920,166880," going to define a loop uh while duplicate is uh greater than zero we're going to keep looping and"
166880,173040," we're going to be uh subtracting uh we're going to be subtracting one from uh from the current index"
173040,181280," all right after that uh i need to grab the source right so that gives me the pointer i uh read that"
181280,187280," pointer so it gives me the value that i will probably have to cast to the pointer and then i read the"
189920,196880," first character from the uh from the source and then i go and grab the destination i read the value of"
196880,203360," the destination i cast it to the pointer and i'm writing the red character into here right i'm writing"
203360,209120," this character into here and after that i can just go ahead and increment the source by one and the"
209120,217920," destination by one right so and after that uh we only have the zero at the uh at the top of the stack and"
217920,223200," i can just straight up drop it and there we go we implemented mem copy right we implemented mem copy"
223200,231440," but there is a huge problem in here uh right it um uses this uh global memory region which actually"
231440,236560," pollutes the namespace right it but it's the name space and on top of that it's like not part of the"
236560,244400," stack it's not like a local variables so clearly you kind of need local variables to comfortably um to"
244400,251840," comfortably develop functions that accept a lot of arguments right so and um the question is how can we"
251840,260560," do that well as far as i know recently i learned that um fourth allows you to use not only the data stack"
260560,269840," but also the return stack so here's an interesting thing in fact in both uh fourth and port uh there are"
269840,276160," there are two stacks the first one is a data stack and the second one is the uh return stack which stores"
276160,283200," the return addresses every time you call a procedure right every time you do a mem cp cpy we push the next"
283200,290720," address after mem cpy to the return stack and then we jump in here execute and when we reach the end we"
290720,300720," jump back uh to the address that is in return stack so fourth actually decided to allow the programmer to"
300720,310080," push values on the return stack right so as far as no uh like fourth uh return stack right so return stack"
310080,316720," it has a special intrinsics that allow you to basically exchange the values between the data stack and the"
316720,325200," return stack so and because of that you can use the return stack as the location um as the location for"
325200,333120," the local variables right so um essentially in port you would just push src and dst to the return stack"
333120,340000," then you will be keep iterating bringing src and dc dst from the return stack modifying them and pushing"
340000,348400," them back to just increment uh the uh the size and until you like finish the entire thing um so which"
348400,357760," is actually pretty cool idea and um but i had a slightly different idea i was thinking what if we"
357760,368000," go ahead and allow uh the programmer to define the uh memory locations inside of the procedure it is"
368000,375200," possible right now you can define memory locations inside of the procedures but what if you do that"
375200,383120," it actually makes them local and it allocates them in not in the global bss section but on the return stack"
383120,388720," and then once you return whatever memory you allocated on the return stack is going to be"
388720,394960," automatically cleaned up so it basically implements local memory regions"
394960,404960," so and that way we can also make it so in terms of the namespaces uh in terms of analysis we can get rid"
404960,411360," of the prefixes and actually uh you know uh make them local to that specific procedure"
413040,420320," uh to that specific procedure there we go so uh yeah it's kind of similar to the uh like pushing"
420320,425280," values on the return stack it's just like you have a little bit more control of the things that you can"
425280,430640," put on the return stack as far as i know in fourth you can only push the values of the size of the word"
430640,437200," on the return stack which is kind of understandable i suppose because fourth it works in a very weird"
437200,443840," embedded architectures maybe where uh you could have some weird uh memory access limitations and maybe"
443840,448880," because of that like um you want to restrict the size of the things you can push on that stack but i"
448880,454000," don't think we're going to encounter such situations so why not allow um this kind of thing"
454000,459200," and in the future once we have the variables right so you're literally going to have like a local"
459200,463920," variables of a particular type which are allocated on the return stack and it's just like basically"
463920,471520," behaves like local variables and um yeah so i think that's pretty cool so and i'm thinking uh implementing"
471520,477680," the ability to push values on the return stack is actually super easy and will kind of temporarily"
477680,485040," solve the problem with local variables for now right um but having local memory regions is a little"
485040,492080," bit more complicated but yet i think it's a little bit more convenient to use because you have specific"
492080,498480," names associated with the region memories uh memory regions right so you have a specific value called"
498480,503200," src specific like name called dst and it's just like overall a little bit easier to work with"
503200,510800," so and i'm thinking so which one i want to do which one i want to do i want to do the fourth way"
510800,517040," or do i want to do you know the mainstream way because this is more like a mainstream local variables"
518240,525600," so i'm thinking i'm thinking and thinking and i kind of want to try the local memory regions way"
525600,530320," i kind of want to try the local memory regions way i think it's going to be kind of cool"
530320,537680," shouldn't be really difficult to implement it may require introducing a bunch of operations to the"
537680,543760," intermediate presentation right so we definitely need we'll need to introduce a new operation that allocates"
543760,550560," uh a size like a chunk of a memory of a particular science on this stack so it's going to be new uh"
550560,557600," opcode in the intermediate presentation and accessing like pushing the pointer to that region"
557600,566000," is also going to be a separate um separate opcode because the regular opcode that pushes the memory it"
566000,571760," actually pushes it relative to the global memory so for the local one you will have to generate a little bit more code that"
571760,577280," retrieves the current uh position of the stack the current size of the stack and calculates the things"
577280,584080," and only then pushes the pointer on the stack so we'll need to introduce at least two new opcodes uh to"
584080,592080," the intermediate representation with the uh operations that push values on the local on the return stack"
592080,599280," we only will need to introduce like two intrinsics which is kind of the same which is all also kind of"
599280,604800," introducing new opcodes because each individual intrinsic is basically like uh allocated space in the opcode"
604800,611760," space so uh yeah i think these kind of solutions are equivalent in terms of the difficulty of implementation"
611760,617280," i think they're kind of like equivalent in terms of the difficulty and because of that i want to try to"
617280,619760," go the local memory region route"
619760,631040," so and that way by the way we have we're going to have like a proper like stack things and it will make"
631040,634880," it like easier to have recursion right"
634880,640240," though we have a little bit of a problem with recursion"
640880,646960," tap checking doesn't really work with the recursion right now uh but anyway so let's go ahead and try"
646960,654640," to implement local memory regions how about that how about that so i'm going to try to go ahead and"
654640,661200," compile this entire thing so we have a mem copy example right it's going to be ports.py and i'm going to"
661200,668240," compile mem cpy dot port and it doesn't know about increment 64. okay so i already have a mem copy"
668240,676080," in the standard library so if i just include the standard library uh it's not going to compile so i"
676080,682160," probably want to rename mem cpy to something else right i want to rename some uh this thing to something"
682160,689440," else that's actually called mem copy uh right mem copy and see if we can compile this entire thing"
689440,695040," and it compiled it's successfully compiled because you are allowed to uh define memory regions inside"
695040,699600," of the procedures it's just like they're going to be global right so this entire thing is going to become"
699600,707520," global uh right one of the things you want to do in here is um just go to the compiler right and change"
707520,717600," the way we parse things so parse.py so parse uh program and if we encounter uh memory right if we"
717600,728000," encounter memory in here we may always check whether we are inside of the proc or outside of the proc"
728000,735200," right because we keep track of uh of that literally we keep track of that so we have a variable called"
