start,end,text
240,6160," Hello everyone and welcome to yet another recreation programming session with Mr. Zozing."
6160,12080," So today we're taking a look at a thing called Cello, which is a library that brings higher"
12080,19120," level programming to C. Right, I heard about this library quite some time ago, right, but recently"
19120,25680," I just briefly looked into it and I thought this could be a banger stream to do, to explore this"
25680,32240," library and stuff like that. So essentially it brings a modern and powerful runtime system,"
32240,39440," right. So it has a lot of high level capabilities as you can see, so this is definitely not a standard"
39440,46880," C. Right, this is definitely not a standard C, but it even has like a runtime inspection and stuff like"
46880,54960," that. And apparently it achieves all of that by adding a little bit of a bloat into the runtime of"
54960,59920," the language. It even has a garbage collector as far as I know, right, they even say it's some,"
59920,64400," yeah, there we go, so here's the list of things that these things support, like optional garbage"
64400,69520," collector. You have generic data types, polymorphic functions, interfaces, type classes, constructors,"
69520,75520," destructors, pure C, not C++ mind you, pure C, not C++, constructors, destructors, optional garbage"
75520,82560," collection, exceptions and reflection. Right, so and here's an interesting thing, like a lot of people use"
82560,88480," C precisely because it doesn't have any of these things and the reason why people don't like all"
88480,95840," of these things who you see is because all of these things come at a cost, right. They all come at a cost,"
95840,102560," an additional code at the runtime that you usually don't see, right. You usually don't see that code"
102560,108000," because it's automatically generated for you by a compiler. It's perfectly hidden from you, right,"
108000,115040," so to not distress you, to not think about all the costs that you're paying, right. But people who are"
115040,120000," doing C, they are actually aware of this cost, right, and that's why they don't really like this kind of"
120000,126400," stuff. But I suppose this library was some sort of an experiment of like, let's bring that cost into C"
126400,132560," and see what's going to happen, right. So it's more of like an experimental library. Like I don't"
132560,138640," view this library as something serious that you should use in your like production code or anything. I think"
138640,145360," it's like a small little fun recreational programming experiment which I actually respect. I like this"
145360,151040," kind of like interesting experiments that you can have in here. And so let's go ahead and take a look"
151040,156480," at that, right. So let's download this entire thing. So here's the download button and download button"
156480,164400," leads to an archive, right, so which is good, right. So let's go ahead and just unpack it. So just a second,"
164400,170720," my laptop is a little bit slow, right. Cello. There we go. I'm gonna open it in here and we're gonna"
170720,181680," just wget this entire thing. So we're wgetting this entire stuff. Okay, so what do we have in here? So we"
181680,189520," have a lot of source code as far as I can tell, right. So we have a lot of source code. And is that just"
189520,197040," like literally GitHub source code? Is this literally GitHub source code? It could be actually. Looks like"
197040,204400," it looks like basically GitHub source code. Yeah, it is. Except benchmarks. So it doesn't contain any"
204400,210400," benchmarks. So you have make file. And I suppose you have to build it yourself, right. So you really have"
210400,217120," to, yeah, you have to build it yourself. So here are object files. There we go. So, and if I understood"
217120,223120," correctly, this entire library consists of basically two components. The library itself, a make file"
223120,227760," actually built a static library and a dynamic library, which I kind of respect, right. So if you don't want"
227760,234800," to keep this bloated runtime in your executable, you can put it in a separate dynamic library, which I"
234800,240320," understand. So this is the first component. And the second component is the header that you include."
240320,247440," That's pretty cool. That's really cool. I really like that."
247440,257600," It's a really cool way to, you know, to improve the unboxing experience of your library. Just put a huge"
257600,261600," freaking ASCII art at the top. And you, when you open the file, it's just like,"
261600,268960," holy fucking shit. It's literally like an unboxing device. It's like you, you open the box and there's"
268960,275200," some sort of like a pretty card there. Like it's just something like that. So I like, it's a 10 out of"
275200,280720," 10 unboxing experience for the library. I'm telling you, it's a 10 out of 10 unboxing experience. I"
280720,286560," really appreciate that. So and as you can see, there is a lot of like a syntactical interesting"
286560,292320," things. There is a lot of syntactical interesting things. And where are all these syntactical things"
292320,298320," defined? They're probably all macros, right? So and the macros cannot be part of the like static"
298320,303200," library that you're linking with, right? It has to be something with a preprocessor, right? And all of"
303200,308160," that stuff is located in that header. So because of that, I view this library as a two component library."
308160,314160," It's the header that adds the additional syntax as much as it can because the C preprocessor is rather"
314160,319520," limited, right? It's limited in terms of what you can do with this, right? And the actual runtime that"
319520,324880," you're linking with either statically or dynamically. Another interesting thing in here is that"
324880,332480," it says it has garbage collector. But garbage collector is a rather complex system that requires"
332480,339200," some sort of initialization, right? Usually, if you if you ever used any like additional garbage"
339200,347120," collectors that you use in C code, they have some sort of a initializer command, initialize a function."
347120,354480," So you have to call some sort of like you need the GC at least to start the GC thread and like allocate"
354480,360240," some memory for data structures for the GC and start doing things like you have to do something. Notice how"
360240,366000," here you don't do anything. Like you literally don't do anything. Like how do you get a garbage collector"
366000,372000," if you like just start and write normally? That's a very interesting question. Like like how do you"
372000,378960," the fuck do you do that? Well, it from what I saw, it is done with the preprocessor, believe it or not."
378960,384880," Modified main exactly. So we can even try to find maybe something like define main. There we go. So as"
384880,393520," as soon as you include this header, your main is actually replaced with a custom main which creates a new garbage"
393520,398400," collector. Like straight up, literally. Here is the new garbage collector."
398400,409280," So yeah. And then it also it even kind of substitutes like look at that. If you have some sort of a main, right?"
409280,417040," main like that. This entire thing, this entire thing will be replaced with this chunk of code, right? With this chunk"
417040,425120," of code which calls to cello main and then it substitutes the declaration of cello main. So when you"
425680,432320," uh define a body of main, you in reality syntactically define a body of cello main."
432320,439600," That's what you do. So the the entry point, like you're not defining the entry point, you're defining like"
439600,444800," this additional thing and it wraps it around to initialize the garbage collector and stuff like that."
444800,451040," So that's how they do that, right? And that's why um the you know the header part of this library is also"
451040,456240," rather important because without it you won't be able to like start and initialize the the runtime."
456240,462080," Uh and what's cool about this library is that it's rather simple, right? So it's hackable. You can"
462080,470240," understand how exactly it does all of these tricks. Um right, so when I saw when I saw that, this is the"
470240,475840," moment I realized, okay, we need to stream that. We need to stream that because this looks fucking cool."
475840,482720," If this is the kind of tricks this library doing, this was uh like worth exploring honestly. It's worth exploring."
482720,493360," Wouldn't work in C89 needs at least C99. Understandable, actually understandable. But again,"
493360,500320," I don't perceive this as a like a serious like a you know production ready library. I see it as sort of"
500320,506320," like a recreational programming experiment, which is rather cool. And if somebody uses this in in"
506320,512480," production, well, yeah, okay, so they're actually have it. Can it be used in production? Okay, let's"
512480,517760," actually read the answer. So it might be better to try sell out on the hobby project for exactly."
517760,524080," Uh Cello does aim to be uh production ready, but because it is a hack, it has its fair share of oddities"
524080,529120," and pitfalls. And if you're working in a team or to a deadline, there's much better tooling, support,"
529120,534720," and community for languages such as C++. Exactly. So even the project itself doesn't really take"
534720,539440," itself seriously. And that's what I like about it. That's what I like about it. It's just like,"
