start,end,text
960,6340," Looks like we're live. Hello everyone and welcome to another Abuzozin session."
6340,9240," Hello, hello, welcome, welcome, welcome."
9240,13900," So let's make a little bit of an announcement and officially start the stream."
13900,15560," Of course, of course."
15560,19160," We can't start without that."
19160,23280," Red Circle, live on Twitch."
23280,28160," And what are we doing today on Twitch.television?"
28160,34920," Today we're doing low-level graphics coding on Linux in C."
34920,39820," I hope I actually put enough of the keywords in the title so people will click on it."
39820,43480," And let me give the link to twitch.tv.television."
43480,45780," So this is the place where we're doing all of that."
45780,48780," And I'm going to ping everyone who's interested in being pinged."
48780,53540," Even though these days you can't declare that you're being interested in being pinged"
53540,56240," because the bot is dead that assigns the pinged role."
56240,58680," So anyway, yeah."
58680,60300," So, hello, hello everyone."
60300,61400," Welcome, welcome, welcome."
61400,62740," I can see people in the chat."
63380,69860," So today we're going to continue developing Olive C, which is the graphics library in C,"
69860,74680," how you can see, which is designed to do graphics, right?"
74680,79360," It's a simple graphics library that does all the graphics in memory, right?"
79440,85200," So the displaying of the graphics is outside of the scope of the library."
85200,87300," The library just generates the graphics."
87300,92640," And it's up to you what to do with that, you know, memory of pixels that are just filled in."
92640,96240," So, yeah, we've been developing this thing for quite some time."
96380,97480," So let's continue."
97480,100360," All right, all right, all right."
100360,102340," So let me see."
102340,105420," Today we need to work on something rather interesting."
105420,112220," So we have a bunch of demos of the library, right?"
112280,114060," So you can find all of that stuff in here."
114060,120740," So if you're interested, I'm going to put this thing in the chat and also for anyone watching on YouTube, right?"
120740,122600," So I'm going to put that in the description as well."
122600,123760," So this is the demos."
124700,129940," So there's one particularly interesting demo, which is called Squish, right?"
129940,135740," So essentially what it does, it demonstrates the transformation of the textures, right?"
135740,141140," So essentially it has a, it takes a texture and just squishes and stretches and stuff like that."
141140,142260," So it just demonstrates that."
142260,145000," As you can see, it doesn't do any interpolations, right?"
145000,150200," So it's rather pixelated, but implementing the proper interpolation is, you know,"
150200,153160," is a separate issue that we're going to work on later, not right now."
153840,159200," Right, so it only works for squares, right?"
159200,168500," So you can only do this sort of texture rendering and texture transformations only if you're talking about squares and no other shapes."
168500,173120," So let's take a look at how exactly this transformation works."
173120,177760," So let me open this entire thing and I'm going to go to Olive Sea."
178880,185900," So the functions that do all of that, they are called Olive Sea Sprite Blend and Sprite Copy."
185900,195140," The difference between these two functions is that Copy literally copies the pixels of the sprite onto the canvas, right?"
195140,196520," It just like literally copies."
196520,204900," And Blend, it actually blends the pixels if the pixels of the sprite have semi-transparent pixels."
204900,210060," For example, their alpha is, you know, half of one or something like that."
210060,211580," So it properly blends things."
211580,213920," And Copy literally copies things."
214180,223900," I really need to separate these two operations because sometimes you may want to just resize the texture without doing any fancy blending."
223900,227680," You just need to resize it so you can use this, you can use this function."
227680,230600," The logic behind these two functions is actually the same."
230600,232120," It's just like how you treat the pixels."
232480,239240," Maybe in the future I will be able to compress this duplicate code, but right now I don't really see how to compress it."
239240,248700," So one of the ideas I have is to have some sort of a flexible mechanism of defining the format of the pixel."
249100,258040," So you can easily say, OK, this pixel doesn't have a blending channel, so don't blend it, so the functions will never blend them."
258040,266560," And maybe you can also be able to define like where is the alpha channel located, how many bits it takes, you know, kind of like how SDL does that."
266560,270740," So SDL, I think it has a surface, right?"
270740,276220," The surface defines the pixel format and it's actually a rather complicated thing."
278680,283680," It's usually, yeah, yeah, pixel format and pixel format, as far as I know, is the whole structure, right?"
283680,290040," Look, look how much, how many fields it has just to describe the pixel format, right?"
290040,295080," It has enumeration that tells you what kind of format, look how many formats it supports, right?"
295080,303780," So, and then for each, for different formats, it has different fields that describe where different channels go and stuff like that."
303780,305160," So it's rather complicated."
305160,312320," So maybe we're going to have a similar mechanism that will allow you to describe the formats like that, or maybe you will come up to like with something else."
312320,318540," So that way you'll be able to say, OK, that specific format doesn't have an alpha channel, just copy whatever you have there."
318540,322660," But this is just like, you know, I'm going on tangent anyway."
323360,325720," So some of them even internally used, but I don't know."
325720,329240," So essentially how it works, right?"
329240,332580," So how it works, I wish I could draw."
332580,338280," Unfortunately, I'm not sure if I have a working tablet."
342360,358040," I think I have a tablet, but the cable of the tablet is actually kind of messed up."
358040,361300," So I'm not sure if it still works and I don't have money to buy a new one."
362300,366580," Unfortunately, but it is what it is, and it isn't what it isn't."
366580,368980," I do not deserve to have money."
368980,369900," All right."
369900,370520," So."
370520,374500," And I also don't have a place where to put that."
374500,374800," So."
374800,376400," Oh, OK, it works."
376400,377080," Holy shit."
377080,378900," That's actually super cool."
378900,382500," Yusu, yusu, yusu, koi, freaking desu."
382500,388860," So, what I want to do, I want to draw a rectangle, right?"
388860,395100," So here is the rectangle, and this is our canvas, right?"
395100,396860," This is our canvas."
396860,403360," And we have some sort of a sprite, right?"
403360,404800," So let me actually find the sprite."
404800,408120," So this is going to be the colors, but maybe it's going to be a little bit brighter."
408120,409860," I want it to be a brighter color."
409860,410860," Thank you so much."
410860,411240," Thank you."
411240,411500," Thank you."
411500,411840," Thank you."
412260,415520," So this is going to be our sprite."
415520,419280," This is our original sprite."
419280,426000," And we have a rectangle within the canvas."
426000,430080," I think this has to be a little bit pale, a little bit pale."
430080,434880," Right."
434880,436880," This is more of a destination."
436880,439540," So this is a destination."
439540,441320," There we go."
441400,443280," So we have these three things."
443280,446920," So we have a canvas, we have a sprite, and we have a destination."
446920,450320," All of these three things, they have different dimensions."
450320,452280," Literally different dimensions."
452280,455680," So, and essentially, what's the point of all of that?"
455680,460240," By copying a sprite, by copying a sprite into the destination,"
460240,465900," you basically take this entire thing and try to fit it into this rectangle."
466280,469800," So if the rectangle is a little bit wider, so if the rectangle is a little bit wider, you have to stretch the sprite."
469800,474140," If it's a little bit thinner, you have to squeeze the sprite."
474140,477380," And the same goes vertically, right?"
477380,483720," So essentially, you basically tell the new dimensions within the canvas for that specific sprite."
483720,488960," And this is why we accept three things."
488960,494260," The canvas itself, the dimensions and position of the destination rectangle."
494260,497840," X and Y is the left top corner of this destination rectangle."
497840,500280," And width and height is, of course, the size of this thing."
500280,501380," And the sprite."
501680,504440," So this is how it basically works."
504440,506100," This is the input for the algorithm."
506100,508620," And what the algorithm does."
508620,510180," What the algorithm does."
510180,512100," And this is very, very interesting thing."
512100,521100," So essentially, what it does, it iterates each and individual pixel of the destination rectangle within the canvas."
521100,521940," Right."
522760,526560," And as you can see, it has a width and it has a height."
526560,532220," So, and at some point of iteration, right, you can say that it has a value X and Y."
532220,533040," Right."
533040,544260," And the goal of this algorithm is by knowing X and Y within the destination to figure out the core of that pixel inside of this sprite."
544260,545280," Right."
545520,550520," So basically, you need to find the corresponding X and Y within the sprite."
550520,552440," Okay."
552440,555380," So how can you even do that?"
555380,561560," So essentially, you can think of X and Y as values within the following range."
561560,565460," Zero, less or equal, less width."
565460,567260," This is for X, right?"
567260,568360," This is for X."
568360,571300," And just a second."
572120,576660," For Y, it's 0, H, right?"
576660,579320," So here is an interesting thing."
579320,591040," If you divide both of these things by W, so if you divide X by W and Y by H, what you're going to end up with, right?"
591040,597900," So you basically divide these things by 1 as well, is values from 0 to 1."
597900,601360," From 0 to 1."
602120,602520," Right."
602520,609940," So essentially, what we could do, we take X and Y, we divide X by W and Y by H, and we get a range from 0 to 1."
609940,614760," So now, we are not iterating from 0 to width and from 0 to H."
614760,618400," We're iterating from 0 to 1, and we sort of normalize the coordinates."
618400,619220," Right."
619220,621120," We normalize the coordinates."
621660,639620," Then, if we multiply this value by the width of the sprite and the height of the sprite, we're getting back to the values from 0 to W and 0 to H, but within the coordinates of the sprite."
640260,655820," So essentially, what we're doing, like in this specific case, we're mapping the coordinates of the destination into the coordinates of the sprites, and this is how we figure out the colors of the pixels, and this is how we do stretching, squishing, and stuff like that."
